ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787521757965,巴别塔,[美]匡灵秀,2023,中信出版集团,https://book.douban.com/subject/36463571/
9787020096695,哈利·波特,J.K.罗琳(J.K.Rowling),2008,人民文学出版社,https://book.douban.com/subject/24531956/
9787229179533,巨龙的颂歌,屈畅,2024,重庆出版社,https://book.douban.com/subject/36552794/
9788016014976,迷宮飯(01),九井諒子,2015,迷宮飯,https://book.douban.com/subject/26634871/
9787539964812,地海传奇2：地海古墓,(美)厄休拉·勒古恩,2013,江苏文艺出版社,https://book.douban.com/subject/24882313/
9787572615085,龙与地下铁,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36657407/
9787544253994,百年孤独,[哥伦比亚]加西亚·马尔克斯,2011,南海出版公司,https://book.douban.com/subject/6082808/
9787530687888,迷宫饭14,（日）九井谅子编绘,2024,百花文艺出版社,https://book.douban.com/subject/36799715/
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787229151430,猎魔人（卷二）,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,https://book.douban.com/subject/35139962/
9787572710841,城防十六计,[英]K.J.帕克,2023,四川科学技术出版社,https://book.douban.com/subject/36504188/
9787539964805,地海传奇1,[美]厄休拉·勒古恩,2013,江苏文艺出版社,https://book.douban.com/subject/24882304/
9787223361835,冰与火之歌,[美]乔治·R.R.马丁,2013,重庆出版社,https://book.douban.com/subject/25826936/
9787557021115,诡秘之主1,爱潜水的乌贼,2020,广东旅游出版社,https://book.douban.com/subject/35051813/
9787229151447,猎魔人卷四,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,https://book.douban.com/subject/35139964/
9787229177195,V帝国,[俄]维克多·佩列文,2024,重庆出版社,https://book.douban.com/subject/36471334/
9787539965864,地海传奇3,(美)厄休拉·勒奎恩,2013,江苏文艺出版社,https://book.douban.com/subject/25731663/
9787572703515,弓之力,[英]K.J.帕克,2022,四川科学技术出版社,https://book.douban.com/subject/35627842/
9787559445735,坟场之书,[英]尼尔·盖曼,2020,江苏凤凰文艺出版社,https://book.douban.com/subject/34954108/
