ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36710597/
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,https://book.douban.com/subject/36104107/
9787506365437,活着,余华,2012,作家出版社,https://book.douban.com/subject/4913064/
9787020139590,额尔古纳河右岸,迟子建,2019,人民文学出版社,https://book.douban.com/subject/34432750/
9787516835265,明亮的夜晚,[韩]崔恩荣,2023,台海出版社,https://book.douban.com/subject/36457094/
9787559484550,十八岁出门远行,余华,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36727285/
9787573508775,我们八月见,[哥伦比亚]加西亚·马尔克斯,2024,南海出版公司,https://book.douban.com/subject/36754770/
9787559641182,绝叫,[日]叶真中显,2020,北京联合出版公司,https://book.douban.com/subject/35031587/
9787549641901,恐怖呢喃,贵志祐介,2024,文汇出版社,https://book.douban.com/subject/36743308/
9787559640666,秋园,杨本芬,2020,北京联合出版公司,https://book.douban.com/subject/34998019/
9787201112695,悉达多,[德]赫尔曼·黑塞,2017,天津人民出版社,https://book.douban.com/subject/26980487/
9787536692930,三体,刘慈欣,2008,重庆出版社,https://book.douban.com/subject/2567698/
9787536097261,一句顶一万句,刘震云,2022,花城出版社,https://book.douban.com/subject/36062390/
9787533966102,生死疲劳,莫言,2022,浙江文艺出版社,https://book.douban.com/subject/35587028/
9787521226805,钦探,周游,2024,作家出版社,https://book.douban.com/subject/36736875/
9787559673848,最后一个死去的女孩,[美]哈里·多兰,2024,北京联合出版公司,https://book.douban.com/subject/36782247/
9787229030933,三体Ⅲ,刘慈欣,2010,重庆出版社,https://book.douban.com/subject/5363767/
9787532763696,卡拉马佐夫兄弟,[俄]费奥多尔·陀思妥耶夫斯基,2015,上海译文出版社,https://book.douban.com/subject/25887924/
9787532148004,繁花,金宇澄,2013,上海文艺出版社,https://book.douban.com/subject/22714154/
9787553520643,平面国,[英]埃德温·A.艾勃特,2020,上海文化出版社,https://book.douban.com/subject/35170896/
9787549565115,献给阿尔吉侬的花束,[美]丹尼尔·凯斯,2015,广西师范大学出版社,https://book.douban.com/subject/26362836/
9787201141527,窄门,[法]安德烈·纪德,2018,天津人民出版社,https://book.douban.com/subject/30331835/
9787532175512,消失的13级台阶,[日]高野和明,2020,上海文艺出版社,https://book.douban.com/subject/34996429/
9787542669964,夜晚的潜水艇,陈春成,2020,上海三联书店,https://book.douban.com/subject/35005045/
9787532969623,涅朵奇卡,陀思妥耶夫斯基,2023,山东文艺出版社,https://book.douban.com/subject/36504167/
9787532795161,信任,[美]埃尔南·迪亚斯,2024,上海译文出版社,https://book.douban.com/subject/36852938/
9787573506061,唯余细节,[瑞典]伊娅·根伯格,2024,南海出版公司,https://book.douban.com/subject/36633337/
9787544258975,霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯,2012,南海出版公司,https://book.douban.com/subject/10594787/
9787559866936,佐丽,[美]莱尔德·亨特,2024,广西师范大学出版社,https://book.douban.com/subject/36744522/
9787536693968,三体Ⅱ,刘慈欣,2008,重庆出版社,https://book.douban.com/subject/3066477/
9787544253994,百年孤独,[哥伦比亚]加西亚·马尔克斯,2011,南海出版公司,https://book.douban.com/subject/6082808/
9787020185054,暗处的女儿,[意大利]埃莱娜·费兰特,2024,人民文学出版社,https://book.douban.com/subject/36721763/
9787530219218,人生海海,麦家,2019,北京十月文艺出版社,https://book.douban.com/subject/30475767/
9787513353939,联愁杀,[日]西泽保彦,2024,新星出版社,https://book.douban.com/subject/36647304/
9787544258609,白夜行,[日]东野圭吾,2013,南海出版公司,https://book.douban.com/subject/10554308/
9787506365604,在细雨中呼喊,余华,2012,作家出版社,https://book.douban.com/subject/20421947/
9787535439765,一句顶一万句,刘震云,2009,长江文艺出版社,https://book.douban.com/subject/3633461/
9787559665539,她对此感到厌烦,妚鹤,2023,北京联合出版公司,https://book.douban.com/subject/36392723/
9787020002207,红楼梦,[清]曹雪芹著,1996,人民文学出版社,https://book.douban.com/subject/1007305/
9787559673039,隐墙,[奥]玛尔伦·豪斯霍费尔,2024,北京联合出版公司,https://book.douban.com/subject/36698238/
9787555913689,失明症漫记,[葡]若泽·萨拉马戈,2022,河南文艺出版社,https://book.douban.com/subject/35984787/
9787533969608,命运,蔡崇达,2022,浙江文艺出版社,https://book.douban.com/subject/36084340/
9787540496715,两京十五日,马伯庸,2020,湖南文艺出版社,https://book.douban.com/subject/35080870/
9787218169507,豆子芝麻茶,杨本芬,2023,广东人民出版社,https://book.douban.com/subject/36560856/
