ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787513353939,联愁杀,[日]西泽保彦,2024,新星出版社,https://book.douban.com/subject/36647304/
9787549641864,第七重解答,[法]保罗·霍尔特,2024,文汇出版社,https://book.douban.com/subject/36665775/
9787547746349,追诉时效倒计时,[日]横山秀夫,2024,北京日报出版社,https://book.douban.com/subject/36462621/
9787522520773,名侦探的献祭,[日]白井智之,2023,九州出版社,https://book.douban.com/subject/36512989/
9787559673848,最后一个死去的女孩,[美]哈里·多兰,2024,北京联合出版公司,https://book.douban.com/subject/36782247/
9787532175512,消失的13级台阶,[日]高野和明,2020,上海文艺出版社,https://book.douban.com/subject/34996429/
9787559641182,绝叫,[日]叶真中显,2020,北京联合出版公司,https://book.douban.com/subject/35031587/
9787541166051,六个说谎的大学生,[日]浅仓秋成,2023,四川文艺出版社,https://book.douban.com/subject/36283547/
9787541169175,宋慈洗冤笔记3,巫童,2024,四川文艺出版社,https://book.douban.com/subject/36809032/
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36710597/
9787513311236,罗杰疑案,[英]阿加莎·克里斯蒂,2013,新星出版社,https://book.douban.com/subject/21371175/
9787549641901,恐怖呢喃,贵志祐介,2024,文汇出版社,https://book.douban.com/subject/36743308/
9789573330806,1367,陳浩基,2014,陳浩基作品,https://book.douban.com/subject/25897884/
9787513354356,替身计划,[日]山泽晴雄,2024,新星出版社,https://book.douban.com/subject/36669749/
9787557030100,明明不是我！,[日]浅仓秋成,2024,广东旅游出版社,https://book.douban.com/subject/36711731/
9787513351911,献给名侦探的甜美死亡,[日]方丈贵惠,2023,新星出版社,https://book.douban.com/subject/36316842/
9787544285148,恶意,[日]东野圭吾,2016,南海出版公司,https://book.douban.com/subject/26877752/
9787513320955,钟表馆事件,[日]绫辻行人,2016,新星出版社,https://book.douban.com/subject/26771719/
9787573506078,假面游戏,[日]东野圭吾,2024,南海出版公司,https://book.douban.com/subject/36561834/
9787513335256,圣母,[日]秋吉理香子,2019,新星出版社,https://book.douban.com/subject/30475757/
9787547747216,赎罪,[日]凑佳苗,2024,北京日报出版社,https://book.douban.com/subject/36657403/
9787221179586,星咏师的记忆,[日]阿津川辰海,2024,贵州人民出版社,https://book.douban.com/subject/36570620/
9787513351850,孤岛的来访者,[日]方丈贵惠,2023,新星出版社,https://book.douban.com/subject/36284336/
9787513344142,时空旅行者的沙漏,[日]方丈贵惠,2021,新星出版社,https://book.douban.com/subject/35430467/
9787533975401,求婚的密室,[日]笹泽左保,2024,浙江文艺出版社,https://book.douban.com/subject/36811397/
9787513321211,十角馆事件,[日]绫辻行人,2016,新星出版社,https://book.douban.com/subject/26771717/
9787122346032,克莱因壶,[日]冈岛二人,2019,化学工业出版社,https://book.douban.com/subject/33658616/
9787541167553,宋慈洗冤笔记,巫童,2023,四川文艺出版社,https://book.douban.com/subject/36540441/
9787512515635,幻觉侦探,[日]小西雅晖,2024,国际文化出版公司,https://book.douban.com/subject/36673885/
9787544258609,白夜行,[日]东野圭吾,2013,南海出版公司,https://book.douban.com/subject/10554308/
9787541167539,宋慈洗冤笔记2,巫童,2023,四川文艺出版社,https://book.douban.com/subject/36540442/
9787516835616,怪屋谜案,[日]雨穴,2023,台海出版社,https://book.douban.com/subject/36407256/
9787020143566,19年间谋杀小叙,那多,2018,人民文学出版社,https://book.douban.com/subject/30237176/
9787541165368,玻璃塔谜案,[日]知念实希人,2023,四川文艺出版社,https://book.douban.com/subject/36170929/
9787572611070,邻居,[日]雫井脩介,2023,湖南文艺出版社,https://book.douban.com/subject/36351178/
9787802258136,第七重解答,[法]保罗·霍尔特,2010,新星出版社,https://book.douban.com/subject/4140380/
9787547746332,玻璃之锤,[日]贵志祐介,2023,北京日报出版社,https://book.douban.com/subject/36462589/
9787513334334,犹大之窗,[美]约翰·迪克森·卡尔,2019,新星出版社,https://book.douban.com/subject/30441962/
9787545573206,涅墨西斯的使者,[日]中山七里,2024,天地出版社,https://book.douban.com/subject/36139365/
9787572616075,拨开迷雾,雫井脩介,2024,湖南文艺出版社,https://book.douban.com/subject/36743034/
9787505757301,六小时后你会死,[日]高野和明,2024,中国友谊出版公司,https://book.douban.com/subject/36628430/
9787547743416,密室狂乱时代的孤岛事件,[日]鸭崎暖炉,2023,北京日报出版社,https://book.douban.com/subject/36579654/
9787541169946,宋慈洗冤笔记4,巫童,2024,四川文艺出版社,https://book.douban.com/subject/36909085/
9787553529790,熊猫骑士,钟声礼,2024,上海文化出版社,https://book.douban.com/subject/36868159/
9784062990417,虹の歯ブラシ上木らいち発散,早坂吝,2015,上木らいち「援交探偵」系列,https://book.douban.com/subject/26285818/
9787513352963,玻璃长颈鹿,[日]加纳朋子,2024,新星出版社,https://book.douban.com/subject/36504163/
