ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787108006639,笑傲江湖（全四册）,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1002299/
9787108012586,射雕英雄传,金庸,1999,生活·读书·新知三联书店,https://book.douban.com/subject/1044547/
9787108006660,神雕侠侣,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1255624/
9787553819013,江湖的倒影,彭洁明,2024,岳麓书社,https://book.douban.com/subject/36788045/
9787108012692,倚天屠龙记,金庸,1999,生活·读书·新知三联书店,https://book.douban.com/subject/1070851/
9787546213347,射雕英雄传（新修版）,金庸,2013,广州出版社,https://book.douban.com/subject/26592708/
9787108006721,天龙八部,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1255625/
9787546205618,射雕英雄传,金庸,2013,广州出版社,https://book.douban.com/subject/10466059/
9787108006691,鹿鼎记,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1559310/
9787108006714,射雕英雄传,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1789837/
9787807658047,七种武器1：长生剑·孔雀翎,古龙,2013,河南文艺出版社,https://book.douban.com/subject/21778097/
9787546206134,天龙八部,金庸,2011,广州出版社,https://book.douban.com/subject/6969074/
9787807658085,萧十一郎,古龙,2013,河南文艺出版社,https://book.douban.com/subject/21778489/
9787108012555,连城诀,金庸,1999,生活·读书·新知三联书店,https://book.douban.com/subject/1076045/
9787807658597,三少爷的剑,古龙,2013,河南文艺出版社,https://book.douban.com/subject/24870338/
9787807658955,绝代双骄,古龙,2013,河南文艺出版社,https://book.douban.com/subject/24872480/
9787807658054,七种武器2：碧玉刀·多情环,古龙,2013,河南文艺出版社,https://book.douban.com/subject/21778288/
9787807658061,七种武器3：离别钩·霸王枪,古龙,2013,河南文艺出版社,https://book.douban.com/subject/21778498/
9787546213316,碧血剑（新修版）,金庸,2013,广州出版社,https://book.douban.com/subject/26312792/
9787807657767,陆小凤传奇5：幽灵山庄,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516992/
9787807657774,陆小凤传奇6：凤舞九天,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516993/
9787807657781,陆小凤传奇7：剑神一笑,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516994/
9787807657743,陆小凤传奇3：决战前后,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516996/
9787807657750,陆小凤传奇4：银钩赌坊,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516997/
9787807657736,陆小凤传奇2：绣花大盗,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516998/
9787807657729,陆小凤传奇1：金鹏王朝,古龙,2013,河南文艺出版社,https://book.douban.com/subject/20516999/
9787108006677,碧血剑,金庸,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1058956/
