ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787573908896,控糖革命,[法]杰西·安佐斯佩（JessieInchauspé）,2024,浙江科学技术出版社,https://book.douban.com/subject/36707112/
9787542678652,东京八平米,[日]吉井忍,2023,上海三联书店,https://book.douban.com/subject/36096287/
9787536094352,我的阿勒泰,李娟,2021,花城出版社,https://book.douban.com/subject/35552619/
9787572616389,小小小小的人间,李彬,2024,湖南文艺出版社,https://book.douban.com/subject/36790833/
9787572609268,我在北京送快递,胡安焉,2023,湖南文艺出版社,https://book.douban.com/subject/36150423/
9787513344180,阿勒泰的角落,李娟,2024,新星出版社,https://book.douban.com/subject/36629769/
9787574901643,各自为爱的我们,小满,2024,花城出版社,https://book.douban.com/subject/36833107/
9787545219869,我的母亲做保洁,张小满,2023,光启书局,https://book.douban.com/subject/36623046/
9787532794133,世上为什么要有图书馆,杨素秋,2024,上海译文出版社,https://book.douban.com/subject/36593622/
9787549641895,吃着吃着就老了,陈晓卿,2024,文汇出版社,https://book.douban.com/subject/36705913/
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,https://book.douban.com/subject/36104107/
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787544276986,你当像鸟飞往你的山,塔拉·韦斯特弗,2019,南海出版公司,https://book.douban.com/subject/33440205/
9787547744086,老派少女购物路线,洪爱珠,2023,北京日报出版社,https://book.douban.com/subject/36235328/
9787536091078,记一忘三二,李娟,2020,花城出版社,https://book.douban.com/subject/35040904/
9787570204946,我的阿勒泰,李娟,2018,长江文艺出版社,https://book.douban.com/subject/30259726/
9787020139590,额尔古纳河右岸,迟子建,2019,人民文学出版社,https://book.douban.com/subject/34432750/
9787500175643,超越百岁,彼得·阿提亚（PeterAttia）,2024,中译出版社,https://book.douban.com/subject/36696538/
9787505754942,快乐就是哈哈哈哈哈,梁实秋,2022,中国友谊出版公司,https://book.douban.com/subject/36029740/
9787559640666,秋园,杨本芬,2020,北京联合出版公司,https://book.douban.com/subject/34998019/
9787515525310,走南闯北吃东西,高文麒,2024,金城出版社,https://book.douban.com/subject/36620622/
9787115638137,你不必是一朵花,理微尘,2024,人民邮电出版社,https://book.douban.com/subject/36845048/
9787218169507,豆子芝麻茶,杨本芬,2023,广东人民出版社,https://book.douban.com/subject/36560856/
9787536097261,一句顶一万句,刘震云,2022,花城出版社,https://book.douban.com/subject/36062390/
9787521755756,我还能看到多少次满月升起,[日]坂本龙一,2023,中信出版社,https://book.douban.com/subject/36361860/
9787530214657,我们生活在巨大的差距里,余华,2015,北京十月文艺出版社,https://book.douban.com/subject/26291216/
9787020181667,不理想的妻子,王欣,2024,人民文学出版社,https://book.douban.com/subject/36866737/
9787559476395,外婆的小吃店,赵挺,2023,江苏凤凰文艺出版社,https://book.douban.com/subject/36462707/
9787572249037,不便的便利店,[韩]金浩然,2023,浙江教育出版社,https://book.douban.com/subject/36193372/
9787547748732,吧唧一口，全部吃掉,(日)高木直子,2024,北京日报出版社,https://book.douban.com/subject/36776149/
9787559484550,十八岁出门远行,余华,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36727285/
9787532796175,君幸食,[英]扶霞·邓洛普,2024,上海译文出版社,https://book.douban.com/subject/36826796/
9787571436483,找出口的人,卡罗琳小姐,2024,北京科学技术出版社,https://book.douban.com/subject/36908894/
9787201199559,在菜场，在人间,陈慧,2023,天津人民出版社,https://book.douban.com/subject/36706392/
9787571431143,疯狂的尿酸,【美】戴维·珀尔马特,2023,北京科学技术出版社,https://book.douban.com/subject/36591951/
9787559465900,整理师的家,卞栎淳,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36855478/
9787544269223,撒哈拉的故事,三毛,2022,南海出版公司,https://book.douban.com/subject/35815898/
9787505756618,上野千鹤子的午后时光,[日]上野千鹤子,2023,中国友谊出版公司,https://book.douban.com/subject/36446876/
9787532793655,生活的囚徒,[爱尔兰]威廉·特雷弗,2023,上海译文出版社,https://book.douban.com/subject/36594895/
9787101161847,素锦的香港往事,百合,2023,中华书局,https://book.douban.com/subject/36422982/
9787115390578,亲密关系,[美]罗兰·米勒(RowlandS.Miller),2015,人民邮电出版社,https://book.douban.com/subject/26585065/
9787572615962,洋食小川,小川糸,2024,湖南文艺出版社,https://book.douban.com/subject/36759681/
9787516835265,明亮的夜晚,[韩]崔恩荣,2023,台海出版社,https://book.douban.com/subject/36457094/
9787201175133,焦虑的人,弗雷德里克·巴克曼,2021,天津人民出版社,https://book.douban.com/subject/35539713/
9787536097087,羊道·前山夏牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982107/
9787536084469,遥远的向日葵地,李娟,2017,花城出版社,https://book.douban.com/subject/27184303/
9787506331746,遥远的救世主,豆豆,2005,作家出版社,https://book.douban.com/subject/1322455/
9787201161693,蛤蟆先生去看心理医生,[英]罗伯特·戴博德,2020,天津人民出版社,https://book.douban.com/subject/35143790/
9787536097117,山居杂忆,高诵芬,2022,花城出版社,https://book.douban.com/subject/36138979/
9787521747577,掌中花园,张辰亮,2022,中信出版集团,https://book.douban.com/subject/36139446/
9787516834824,克拉克森的农场,[英]杰里米·克拉克森,2023,台海出版社,https://book.douban.com/subject/36213871/
9787559485809,我栖春山,陆苏,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36886639/
9787532186624,在小山和小山之间,李停,2023,上海文艺出版社,https://book.douban.com/subject/36388449/
9787569538427,我比世界晚熟,胡安焉,2024,陕西师范大学出版社,https://book.douban.com/subject/36699757/
