ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787513353724,干得漂亮,脱不花,2024,新星出版社,https://book.douban.com/subject/36798889/
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,https://book.douban.com/subject/36104107/
9787115638786,人人都要学点劳动法,任康磊,2024,人民邮电出版社,https://book.douban.com/subject/36906262/
9787513344708,沟通的方法,脱不花,2021,新星出版社,https://book.douban.com/subject/35473807/
9787121475016,工作的心智,阳志平,2024,电子工业出版社,https://book.douban.com/subject/36814311/
9787115642417,团队复盘法,李婧怡,2024,人民邮电出版社,https://book.douban.com/subject/36889879/
9787010091006,办公厅工作常见的160个问题与114个失误事例,杨殿钟,2010,人民出版社,https://book.douban.com/subject/4919383/
9787559485007,咖啡哪有上班苦,机灵囧囧,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36774159/
9787559675019,我有自己的宇宙,钱婧,2024,北京联合出版公司,https://book.douban.com/subject/36811250/
9787111745341,结构化汇报：如何呈现工作成果、产品与自我能力,黄漫宇,2024,机械工业出版社,https://book.douban.com/subject/36782685/
9787572609268,我在北京送快递,胡安焉,2023,湖南文艺出版社,https://book.douban.com/subject/36150423/
9787521745276,小米创业思考,雷军,2022,中信出版社,https://book.douban.com/subject/36057097/
9787511741677,职场女性：别让这些细节绊住你,[美]洛伊斯·弗兰克尔,2022,中央编译出版社,https://book.douban.com/subject/35948562/
9787572618529,别把我当朋友,常条,2024,湖南文艺出版社,https://book.douban.com/subject/36903971/
9787020090907,第2份工作,京宝儿,2012,人民文学出版社,https://book.douban.com/subject/11516220/
9787115630230,实用行为学,[德]马蒂亚斯·祖特尔（MatthiasSutter）,2024,人民邮电出版社,https://book.douban.com/subject/36782678/
9787521758184,第一选择,[美]英德拉·努伊,2024,中信出版集团,https://book.douban.com/subject/36706215/
9787530221525,沧浪之水,阎真,2021,北京十月文艺出版社,https://book.douban.com/subject/35498118/
9787559479693,每个人都有自己的职场优势,崔璀,2023,江苏凤凰文艺出版社,https://book.douban.com/subject/36579580/
9787302464778,秘书工作手记,像玉的石头,2017,清华大学出版社,https://book.douban.com/subject/27049500/
9787302651611,坦途：职业生涯如何少走弯路,路烽,2024,清华大学出版社,https://book.douban.com/subject/36759449/
9787572270307,如何对付像马一样大的鸭子,[美]威廉·庞德斯通（WilliamPoundstone）著,2024,浙江教育出版社,https://book.douban.com/subject/36709386/
9787111566199,关键冲突：如何化人际关系危机为合作共赢（原书第2版）,[美]科里•帕特森（KerryPatterson）,2017,机械工业出版社,https://book.douban.com/subject/27046049/
9787513943239,深度工作,[美]卡尔•纽波特,2023,民主与建设出版社,https://book.douban.com/subject/36696278/
9787559612168,远见,[美]布赖恩·费瑟斯通豪,2018,北京联合出版公司,https://book.douban.com/subject/27609489/
9787550295469,10人以下小团队管理手册,[日]堀之内克彦,2017,北京联合出版公司,https://book.douban.com/subject/27019726/
9787210092407,靠谱,[日]大石哲之,2017,江西人民出版社,https://book.douban.com/subject/27021786/
9787504388025,终身成长,[德]布什·霍尔菲尔德·卡特琳,2022,中国广播影视出版社,https://book.douban.com/subject/35801732/
9787547015469,职场动物进化手册,雾满拦江,2011,万卷出版公司,https://book.douban.com/subject/6716209/
9787559672100,识人攻略,熊太行,2023,北京联合出版公司,https://book.douban.com/subject/36580240/
9787515360430,高效能人士的七个习惯（30周年纪念版）,（美）史蒂芬·柯维,2020,中国青年出版社,https://book.douban.com/subject/35124134/
9787115625885,职场胜任力：职场的关键3年这样做,杨明,2023,人民邮电出版社,https://book.douban.com/subject/36623519/
9787121453557,技术为径,[美]CamilleFournier,2023,电子工业出版社,https://book.douban.com/subject/36432906/
9787115396730,向上管理,蒋巍巍,2015,人民邮电出版社,https://book.douban.com/subject/26596465/
9787541166051,六个说谎的大学生,[日]浅仓秋成,2023,四川文艺出版社,https://book.douban.com/subject/36283547/
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36710597/
9787508684031,原则,[美]瑞·达利欧,2018,中信出版社,https://book.douban.com/subject/27608239/
9787508694795,做自己人生的CEO,崔璀,2018,中信出版社,https://book.douban.com/subject/30379317/
9787229038847,二号首长,黄晓阳,2011,重庆出版社,https://book.douban.com/subject/6085181/
9787547746660,进化：快速打开局面的职场丛林法则,（日）仲山进也,2024,北京日报出版社,https://book.douban.com/subject/36789976/
9787111726340,如何找到想做的事,八木仁平,2023,机械工业出版社,https://book.douban.com/subject/36507772/
9787121046964,职场小黑书,[美]杰弗里·吉特默,2007,电子工业出版社,https://book.douban.com/subject/2228271/
