ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787559673817,试探黑夜,[阿根廷]胡安·赫尔曼,2024,北京联合出版公司,https://book.douban.com/subject/36781327/
9787573506153,穿过一无所有的空气,[加拿大]玛格丽特·阿特伍德,2024,南海出版公司,https://book.douban.com/subject/36648152/
9787559848727,后山开花,余秀华,2024,广西师范大学出版社,https://book.douban.com/subject/36857680/
9787559673800,大熊座的呼唤,[奥]英格博格·巴赫曼,2024,北京联合出版公司,https://book.douban.com/subject/36781328/
9787208187320,合作农场的冬日食谱,[美]露易丝·格丽克,2024,上海人民出版社,https://book.douban.com/subject/36769665/
9787559866905,诗歌小史,[英]约翰·凯里,2024,广西师范大学出版社,https://book.douban.com/subject/36743918/
9787516834114,赶时间的人,王计兵,2023,台海出版社,https://book.douban.com/subject/36248699/
9787559673190,帕斯捷尔纳克抒情诗全集,[俄]鲍里斯·帕斯捷尔纳克,2024,北京联合出版公司,https://book.douban.com/subject/36688908/
9787559673275,一只乌鸫在歌唱,[英]R.S.托马斯,2024,北京联合出版公司,https://book.douban.com/subject/36698233/
9787559673879,永存我的话语,[俄]奥西普·曼德尔施塔姆,2024,北京联合出版公司,https://book.douban.com/subject/36783317/
9787559481047,诗人的诞生,韩东,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36774193/
9787521761788,穿越月色宁谧,[爱尔兰]威廉·巴特勒·叶芝,2024,中信出版集团,https://book.douban.com/subject/36665669/
9787521761764,乌贼骨,[意]欧金尼奥·蒙塔莱,2024,中信出版社,https://book.douban.com/subject/36696692/
9787559673787,今日有点沉思,[日]谷川俊太郎,2024,北京联合出版公司,https://book.douban.com/subject/36781331/
9787540483050,我们生活的故事,[美]马克·斯特兰德,2024,湖南文艺出版社,https://book.douban.com/subject/36884509/
9787559836052,大海，飞鸟和学者,（美）海伦·文德勒,2024,广西师范大学出版社,https://book.douban.com/subject/36009621/
9787305277122,洛尔迦，被诅咒的诗人,[西]弗朗西斯科·翁布拉尔,2024,南京大学出版社,https://book.douban.com/subject/36774421/
9787544270779,二十首情诗和一首绝望的歌,[智利]巴勃罗·聂鲁达,2014,南海出版公司,https://book.douban.com/subject/25858680/
9787540796815,戈麦全集,戈麦著,2024,漓江出版社,https://book.douban.com/subject/36716728/
9787521750867,聂鲁达情诗,[智利]巴勃罗·聂鲁达,2024,中信出版集团,https://book.douban.com/subject/36630041/
9787219116555,未来之城,[俄]赫列勃尼科夫·韦利米尔,2024,广西人民出版社,https://book.douban.com/subject/36631048/
9787521761771,迁徙的花园：奥登诗101首,[英]W.H.奥登,2024,中信出版集团,https://book.douban.com/subject/36664219/
9787559864598,诗歌的坏时代,[德]贝托尔特·布莱希特,2024,广西师范大学出版社,https://book.douban.com/subject/36607105/
9787532794652,吃火,[加]玛格丽特·阿特伍德,2024,上海译文出版社,https://book.douban.com/subject/36814333/
9787544797849,辛波斯卡：诗心独具的私密传记,[波兰]尤安娜·格罗梅克-伊尔格,2024,译林出版社,https://book.douban.com/subject/36437540/
9787532188574,展翅与破格,张逸旻,2024,上海文艺出版社,https://book.douban.com/subject/36743871/
9787540471811,万物静默如谜,[波]维斯拉瓦·辛波斯卡,2016,湖南文艺出版社,https://book.douban.com/subject/26421126/
9787544398565,必有人重写爱情,北岛,2022,海南出版社,https://book.douban.com/subject/35817787/
9787559838759,意象的帝国,黄梵,2021,广西师范大学出版社,https://book.douban.com/subject/35539716/
9787100226943,诗的九重门,[美]简·赫斯菲尔德,2023,商务印书馆,https://book.douban.com/subject/36494272/
9787559674180,奥登传,[英]汉弗莱·卡彭特,2024,北京联合出版公司,https://book.douban.com/subject/36789856/
9787020185900,墨水或许来自阴影,[瑞士]菲利普·雅各泰,2024,人民文学出版社,https://book.douban.com/subject/36831317/
9787572614439,你燃烧了我：萨福诗集,[古希腊]萨福,2024,湖南文艺出版社,https://book.douban.com/subject/36594001/
9787536097360,火车快开,李娟,2022,花城出版社,https://book.douban.com/subject/36127786/
9787544798563,宇宙来我手中啄食,[智利]比森特·维多夫罗,2023,译林出版社,https://book.douban.com/subject/36513067/
9787540262495,我偏爱读诗的荒谬,廖伟棠,2022,北京燕山出版社,https://book.douban.com/subject/35710878/
9787559671547,再度唤醒世界：赖特诗选,[美]詹姆斯·赖特,2023,北京联合出版公司,https://book.douban.com/subject/36538053/
9787515370217,语词中的历史与风景：中国新诗的基本问题,张桃洲,2024,中国青年出版社,https://book.douban.com/subject/36866443/
9787532180202,我深爱我们一起相处的这些夜晚,[美国]露易丝·格丽克,2021,上海文艺出版社,https://book.douban.com/subject/35556939/
9787559673015,我的灵魂是日落时分空无一人的旋转木马,[智利]巴勃罗·聂鲁达,2024,北京联合出版公司,https://book.douban.com/subject/36698232/
9787516837535,二十首情诗与一首绝望的歌,[智利]巴勃罗·聂鲁达,2024,台海出版社,https://book.douban.com/subject/36796586/
9787556134649,田野诗班,田野诗班著,2024,湖南人民出版社,https://book.douban.com/subject/36772467/
9787522811123,何以成诗,[美]田菱（WendySwartz）,2024,社会科学文献出版社,https://book.douban.com/subject/36168848/
9787559671738,一个拣鲨鱼牙齿的男人,胡续冬,2023,北京联合出版公司,https://book.douban.com/subject/36513068/
9787559655097,致后代：布莱希特诗选,[德]贝托尔特·布莱希特,2022,北京联合出版公司,https://book.douban.com/subject/35852732/
