ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787513344180,阿勒泰的角落,李娟,2024,新星出版社,https://book.douban.com/subject/36629769/
9787536094352,我的阿勒泰,李娟,2021,花城出版社,https://book.douban.com/subject/35552619/
9787549641895,吃着吃着就老了,陈晓卿,2024,文汇出版社,https://book.douban.com/subject/36705913/
9787532189700,亲密关系的核心是友谊,汪民安,2024,上海文艺出版社,https://book.douban.com/subject/36712198/
9787572609268,我在北京送快递,胡安焉,2023,湖南文艺出版社,https://book.douban.com/subject/36150423/
9787536091078,记一忘三二,李娟,2020,花城出版社,https://book.douban.com/subject/35040904/
9787208187078,历史的游荡者,李硕,2024,上海人民出版社,https://book.douban.com/subject/36740502/
9787542678652,东京八平米,[日]吉井忍,2023,上海三联书店,https://book.douban.com/subject/36096287/
9787530214657,我们生活在巨大的差距里,余华,2015,北京十月文艺出版社,https://book.douban.com/subject/26291216/
9787532189922,可能的世界,杨潇,2024,上海文艺出版社,https://book.douban.com/subject/36815098/
9787500883210,尼罗河开始流淌,吕强,2024,中国工人出版社,https://book.douban.com/subject/36717512/
9787570204946,我的阿勒泰,李娟,2018,长江文艺出版社,https://book.douban.com/subject/30259726/
9787572616471,赞美闲散,[英]伯特兰·罗素,2024,湖南文艺出版社,https://book.douban.com/subject/36794809/
9787108075369,历史是扩充心量之学,王汎森,2024,生活·读书·新知三联书店,https://book.douban.com/subject/36157296/
9787559849977,闭经记,[日]伊藤比吕美,2022,广西师范大学出版社,https://book.douban.com/subject/35907571/
9787547744086,老派少女购物路线,洪爱珠,2023,北京日报出版社,https://book.douban.com/subject/36235328/
9787572616389,小小小小的人间,李彬,2024,湖南文艺出版社,https://book.douban.com/subject/36790833/
9787532188147,认识我的人慢慢忘了我,周慧著,2024,上海文艺出版社,https://book.douban.com/subject/36527078/
9787020083442,我与地坛,史铁生,2011,人民文学出版社,https://book.douban.com/subject/5910656/
9787559867759,离岛,库索,2024,广西师范大学出版社,https://book.douban.com/subject/36754484/
9787532794133,世上为什么要有图书馆,杨素秋,2024,上海译文出版社,https://book.douban.com/subject/36593622/
9787218169507,豆子芝麻茶,杨本芬,2023,广东人民出版社,https://book.douban.com/subject/36560856/
9787516837917,解闷儿,张辰亮,2024,台海出版社,https://book.douban.com/subject/36864467/
9787516834824,克拉克森的农场,[英]杰里米·克拉克森,2023,台海出版社,https://book.douban.com/subject/36213871/
9787521755756,我还能看到多少次满月升起,[日]坂本龙一,2023,中信出版社,https://book.douban.com/subject/36361860/
9787222226012,意外的旅程,许知远,2024,云南人民出版社,https://book.douban.com/subject/36739654/
9787505754942,快乐就是哈哈哈哈哈,梁实秋,2022,中国友谊出版公司,https://book.douban.com/subject/36029740/
9787515525310,走南闯北吃东西,高文麒,2024,金城出版社,https://book.douban.com/subject/36620622/
9787521762549,先跳了再说,[日]仓本聪,2024,中信出版集团,https://book.douban.com/subject/36697164/
9787222204331,法治的细节,罗翔,2021,云南人民出版社,https://book.douban.com/subject/35635639/
9787218173863,我在上海开出租,黑桃,2024,广东人民出版社,https://book.douban.com/subject/36759005/
9787521762457,别离歌,陈行甲,2024,中信出版集团,https://book.douban.com/subject/36686648/
9787220126437,暮色将尽,[英]戴安娜·阿西尔,2022,四川人民出版社,https://book.douban.com/subject/36020007/
9787573505798,沿着季风的方向,刘子超,2023,南海出版公司,https://book.douban.com/subject/36577789/
9787559484550,十八岁出门远行,余华,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36727285/
9787572616907,一蔸雨水一蔸禾,蔡皋,2024,湖南文艺出版社,https://book.douban.com/subject/36820861/
9787559868268,肆意生长,程璧,2024,广西师范大学出版社,https://book.douban.com/subject/36801988/
9787555037040,初老的女人,伊藤比吕美,2024,海峡文艺出版社,https://book.douban.com/subject/36818389/
9787572612145,我就要自由,[日]佐野洋子,2024,湖南文艺出版社,https://book.douban.com/subject/36429133/
9787549631452,失落的卫星,刘子超,2020,文汇出版社,https://book.douban.com/subject/35025453/
9787532185962,书会说话,顾真,2024,上海文艺出版社,https://book.douban.com/subject/36207949/
9787547740989,俗女养成记,江鹅,2021,北京日报出版社,https://book.douban.com/subject/35608319/
9787201199559,在菜场，在人间,陈慧,2023,天津人民出版社,https://book.douban.com/subject/36706392/
9787302658801,小红书博主炼成记,朱奕澄,2024,清华大学出版社,https://book.douban.com/subject/36862486/
9787505756618,上野千鹤子的午后时光,[日]上野千鹤子,2023,中国友谊出版公司,https://book.douban.com/subject/36446876/
9787573506023,念念远山,[英]罗伯特·麦克法伦,2024,南海出版公司,https://book.douban.com/subject/36676418/
9787513352734,我，厌男,[法]波利娜·阿尔芒热,2023,新星出版社,https://book.douban.com/subject/36472055/
9787536084469,遥远的向日葵地,李娟,2017,花城出版社,https://book.douban.com/subject/27184303/
9787532796175,君幸食,[英]扶霞·邓洛普,2024,上海译文出版社,https://book.douban.com/subject/36826796/
9787521760804,日常的深处,王小伟,2023,中信出版社,https://book.douban.com/subject/36622125/
9787300325316,我在美国当精神科医生,杨伊德,2023,中国人民大学出版社,https://book.douban.com/subject/36737079/
9787542684202,电影，我略知一二,贾樟柯,2024,上海三联书店,https://book.douban.com/subject/36810997/
9787573508782,古道,[英]罗伯特·麦克法伦,2024,南海出版公司,https://book.douban.com/subject/36811013/
9787545219838,车墩墩野事记,周颖琪,2023,光启书局,https://book.douban.com/subject/36544374/
9787521756616,写下来，痛苦就会过去,[英]弗吉尼亚·伍尔夫著,2024,中信出版社,https://book.douban.com/subject/36373952/
9787205107802,东京札记,葛兆光,2024,辽宁人民出版社,https://book.douban.com/subject/36438800/
9787572615962,洋食小川,小川糸,2024,湖南文艺出版社,https://book.douban.com/subject/36759681/
9787513312530,阿勒泰的角落,李娟,2013,新星出版社,https://book.douban.com/subject/24922716/
9787530220368,沉默的大多数,王小波,2021,北京十月文艺出版社,https://book.douban.com/subject/34974501/
9787532171552,边界的诱惑,柏琳,2024,上海文艺出版社,https://book.douban.com/subject/36679041/
9787522521916,我所告诉你关于那座山的一切,刘宸君,2024,九州出版社,https://book.douban.com/subject/36736782/
9787208187474,旧物的灵魂,郭婷,2024,上海人民出版社,https://book.douban.com/subject/36856880/
9787305266270,资本主义现实主义,[英]马克·费舍,2024,南京大学出版社,https://book.douban.com/subject/36615454/
9787575300148,克拉克森的农场2,[英]杰里米·克拉克森,2024,译林出版社,https://book.douban.com/subject/36722710/
9787559672438,别靠近书,佐野洋子,2024,北京联合出版公司,https://book.douban.com/subject/36597505/
9787550294578,阅读是一座随身携带的避难所,[英]毛姆,2017,北京联合出版公司,https://book.douban.com/subject/27024398/
9787559672650,红尘万丈,铁鱼,2023,北京联合出版公司,https://book.douban.com/subject/36658285/
9787569538427,我比世界晚熟,胡安焉,2024,陕西师范大学出版社,https://book.douban.com/subject/36699757/
9787530219102,九篇雪,李娟,2019,北京十月文艺出版社,https://book.douban.com/subject/30473840/
9787559809513,旅行之木,[日]星野道夫（MichioHoshino）,2021,广西师范大学出版社,https://book.douban.com/subject/35331764/
9787546237381,草民,蔡崇达,2024,广州出版社,https://book.douban.com/subject/36897370/
9787536097094,羊道·深山夏牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982104/
9787572616693,一个人生活,[日]谷川俊太郎,2024,湖南文艺出版社,https://book.douban.com/subject/36790947/
9787536096912,羊道·春牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982110/
9787208184749,从昨日醒来,[美]帕蒂·史密斯,2024,上海人民出版社,https://book.douban.com/subject/36553455/
9787020084357,我与地坛,史铁生,2008,人民文学出版社,https://book.douban.com/subject/6079389/
9787521757958,裸泳,[日]伊藤诗织,2023,中信出版社,https://book.douban.com/subject/36447219/
9787522519647,主人公,蒋方舟,2023,九州出版社,https://book.douban.com/subject/36480466/
9787549635511,午夜降临前抵达,刘子超,2021,文汇出版社,https://book.douban.com/subject/35522033/
9787536099876,冬牧场,李娟,2023,花城出版社,https://book.douban.com/subject/36456400/
9787573011145,日常,梁永安,2023,海南出版社,https://book.douban.com/subject/36350328/
9787521754803,相信,蔡磊,2023,中信出版社,https://book.douban.com/subject/36317762/
9787548619925,更重要的是过好今天,bilibili编著,2024,学林出版社,https://book.douban.com/subject/36818098/
9787533973773,醉在中国,[美]德力·桑德豪斯,2024,浙江文艺出版社,https://book.douban.com/subject/36580716/
9787100215930,带上查理去旅行,[美]约翰·斯坦贝克,2024,商务印书馆,https://book.douban.com/subject/36769617/
9787545219869,我的母亲做保洁,张小满,2023,光启书局,https://book.douban.com/subject/36623046/
9787222221833,法律的悖论,罗翔,2023,云南人民出版社,https://book.douban.com/subject/36624253/
9787570235261,独自走过悲喜,梁晓声,2024,长江文艺出版社,https://book.douban.com/subject/36829467/
9787541163050,幸得诸君慰平生,故园风雨前,2022,四川文艺出版社,https://book.douban.com/subject/35873142/
9787541166600,孤独的旅行家,文泽尔,2023,四川文艺出版社,https://book.douban.com/subject/36430343/
9787542669964,夜晚的潜水艇,陈春成,2020,上海三联书店,https://book.douban.com/subject/35005045/
9787521216516,沿着塞纳河到翡冷翠,黄永玉,2023,作家出版社,https://book.douban.com/subject/36209410/
9787222220713,给青年叛逆者的信,[美]克里斯托弗·希钦斯,2023,云南人民出版社,https://book.douban.com/subject/36537650/
9787222065413,我的阿勒泰,李娟,2010,云南人民出版社,https://book.douban.com/subject/4884218/
9787544792745,一百年，许多人，许多事,杨苡/口述,2023,译林出版社,https://book.douban.com/subject/36162256/
9787532189373,眩晕的散步,[日]武田泰淳,2024,上海文艺出版社,https://book.douban.com/subject/36727759/
9787222220737,多谢不阅,[荷]杜布拉夫卡·乌格雷西奇,2023,云南人民出版社,https://book.douban.com/subject/36539569/
9787551326094,当相爱的人住进一个房间,胡辛束,2024,太白文艺出版社,https://book.douban.com/subject/36883981/
9787532758814,旅行的艺术,[英]阿兰·德波顿,2012,上海译文出版社,https://book.douban.com/subject/11505636/
9787542682390,在秋天,[挪威]卡尔·奥韦·克瑙斯高,2023,上海三联书店,https://book.douban.com/subject/36548763/
9787535481504,我的阿勒泰,李娟,2015,长江文艺出版社,https://book.douban.com/subject/26773661/
9787201202075,亚特兰蒂斯的水手,杨无锐,2024,天津人民出版社,https://book.douban.com/subject/36877378/
9787510892790,在中国大地上,[美]保罗·索鲁,2020,九州出版社,https://book.douban.com/subject/35148942/
9787536097087,羊道·前山夏牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982107/
9787559639233,文化苦旅,余秋雨,2020,北京联合出版公司,https://book.douban.com/subject/35051018/
9787532184439,白色绵羊里的黑色绵羊,双雪涛,2023,上海文艺出版社,https://book.douban.com/subject/36124371/
9787559859594,供词与放逐,[法]E.M.齐奥朗,2023,广西师范大学出版社,https://book.douban.com/subject/36361955/
9787547742693,梁永安的爱情课,梁永安,2022,北京日报出版社,https://book.douban.com/subject/35887122/
9787208181564,工厂日记,[法]西蒙娜·薇依,2023,上海人民出版社,https://book.douban.com/subject/36255848/
9787559485809,我栖春山,陆苏,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36886639/
9787541163449,大自然治好了我的抑郁症,[英]艾玛·米切尔,2022,四川文艺出版社,https://book.douban.com/subject/35879279/
9787203090342,我书架上的神明,刘小磊主编,2015,山西人民出版社,https://book.douban.com/subject/26393369/
