ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787229151447,猎魔人卷四,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,https://book.douban.com/subject/35139964/
9787020185504,猛虎下山,李修文,2024,人民文学出版社,https://book.douban.com/subject/36848162/
9788016014976,迷宮飯(01),九井諒子,2015,迷宮飯,https://book.douban.com/subject/26634871/
9787544291170,百年孤独,[哥伦比亚]加西亚·马尔克斯,2017,南海出版公司,https://book.douban.com/subject/27107109/
9787559477767,蜘蛛神的儿子,[美]尼尔·盖曼,2023,江苏凤凰文艺出版社,https://book.douban.com/subject/36480230/
9787557021115,诡秘之主1,爱潜水的乌贼,2020,广东旅游出版社,https://book.douban.com/subject/35051813/
9787208113039,魔戒,[英]J.R.R.托尔金,2013,上海人民出版社,https://book.douban.com/subject/21979017/
9787020096695,哈利·波特,J.K.罗琳(J.K.Rowling),2008,人民文学出版社,https://book.douban.com/subject/24531956/
9787514238204,克苏鲁的呼唤,[日]田边刚,2023,文化发展出版社,https://book.douban.com/subject/36085250/
9789864829750,庫洛魔法使愛藏版8,CLAMP,2018,庫洛魔法使愛藏版,https://book.douban.com/subject/27103318/
9787801455260,冰风谷（全三册）,[美]R.A.萨尔瓦多,2002,光明日报出版社,https://book.douban.com/subject/1096714/
9787513316750,圣诞夜惊魂,[美]蒂姆·伯顿著/绘,2015,新星出版社,https://book.douban.com/subject/26278419/
9787020104215,巴黎圣母院,[法]雨果,2015,人民文学出版社,https://book.douban.com/subject/25886226/
9787208183360,魔戒,[英]J.R.R.托尔金,2023,上海人民出版社,https://book.douban.com/subject/36437523/
9787559858474,魔角,[墨西哥]莉奥诺拉·卡林顿,2023,广西师范大学出版社,https://book.douban.com/subject/36299286/
9787554623169,从前，有一个点,常立,2024,古吴轩出版社,https://book.douban.com/subject/36866587/
9787539673196,诡秘之主8,爱潜水的乌贼,2021,安徽文艺出版社,https://book.douban.com/subject/35632164/
9787532149766,替身,[日]绫辻行人,2013,上海文艺出版社,https://book.douban.com/subject/24842290/
9787557014858,诡秘之主4,爱潜水的乌贼,2020,广东旅游出版社,https://book.douban.com/subject/35268276/
9787229167127,饥饿的盛世,张宏杰,2022,重庆出版社,https://book.douban.com/subject/35888701/
9787539671710,诡秘之主5,爱潜水的乌贼,2021,安徽文艺出版社,https://book.douban.com/subject/35374655/
9787020060528,守夜人,(俄罗斯)谢尔盖·卢基扬年科,2007,人民文学出版社,https://book.douban.com/subject/2057291/
9787531325758,幻城,郭敬明,2003,春风文艺出版社,https://book.douban.com/subject/1059406/
9789864829699,庫洛魔法使愛藏版2,CLAMP,2017,庫洛魔法使愛藏版,https://book.douban.com/subject/27103311/
9789864829705,庫洛魔法使愛藏版3,CLAMP,2017,庫洛魔法使愛藏版,https://book.douban.com/subject/27103312/
9789864829712,庫洛魔法使愛藏版4,CLAMP,2017,庫洛魔法使愛藏版,https://book.douban.com/subject/27103313/
9789864829729,庫洛魔法使愛藏版5,CLAMP,2017,庫洛魔法使愛藏版,https://book.douban.com/subject/27103314/
9787532178629,深水,[英]黛西·约翰逊,2021,上海文艺出版社,https://book.douban.com/subject/35291219/
9789864829743,庫洛魔法使愛藏版7,CLAMP,2018,庫洛魔法使愛藏版,https://book.douban.com/subject/27103317/
9789861140872,厄夜怪客(04),平野耕太,2004,厄夜怪客,https://book.douban.com/subject/2382936/
9789861140865,厄夜怪客(03),平野耕太,2004,厄夜怪客,https://book.douban.com/subject/2382443/
9787559652614,浮木,杨本芬,2021,北京联合出版公司,https://book.douban.com/subject/35479662/
9789573489443,厄夜怪客(02),平野耕太,2000,厄夜怪客,https://book.douban.com/subject/2382451/
9787542669964,夜晚的潜水艇,陈春成,2020,上海三联书店,https://book.douban.com/subject/35005045/
9787559673374,霍比特人,[英]J.R.R.托尔金,2024,北京联合出版公司,https://book.douban.com/subject/36711032/
9787544791076,纳尼亚传奇：狮子、女巫与魔衣柜,[英国]C.S.刘易斯,2022,译林出版社,https://book.douban.com/subject/35925626/
9787600100354,龙珠,[日]鸟山明,2005,中国少年儿童出版社,https://book.douban.com/subject/3048059/
9789861034881,厄夜怪客(10),平野耕太,2009,厄夜怪客,https://book.douban.com/subject/3810434/
9787544722292,如果在冬夜，一个旅人,[意]伊塔洛·卡尔维诺,2012,译林出版社,https://book.douban.com/subject/10555535/
9787559657275,我本芬芳,杨本芬,2022,北京联合出版公司,https://book.douban.com/subject/35695541/
9787532177578,抓落叶,[美]汤米·巴特勒,2020,上海文艺出版社,https://book.douban.com/subject/35182243/
9787549621149,碟形世界2：实习女巫和小小自由人,[英]特里·普拉切特,2017,文汇出版社,https://book.douban.com/subject/27059885/
9787513348744,第七天,余华,2023,新星出版社,https://book.douban.com/subject/36174516/
9787559460011,南部档案,南派三叔,2021,江苏凤凰文艺出版社,https://book.douban.com/subject/35501244/
9781506711096,TheWitcherVolume4,AleksandraMotyka,2019,TheWitcherVolume,https://book.douban.com/subject/34460349/
9789573489436,厄夜怪客(01),平野耕太,2000,厄夜怪客,https://book.douban.com/subject/2382453/
9787540785420,狗心,[俄]布尔加科夫,2018,漓江出版社,https://book.douban.com/subject/30376131/
9789861144078,厄夜怪客(05),平野耕太,2004,厄夜怪客,https://book.douban.com/subject/3173070/
9789861144085,厄夜怪客(06),平野耕太,2004,厄夜怪客,https://book.douban.com/subject/3173071/
9789861161464,厄夜怪客(07),平野耕太,2005,厄夜怪客,https://book.douban.com/subject/3173072/
9789861188041,厄夜怪客(08),平野耕太,2006,厄夜怪客,https://book.douban.com/subject/3173074/
9789861009957,厄夜怪客(09),平野耕太,2008,厄夜怪客,https://book.douban.com/subject/3173075/
9787548936183,大道朝天一：临江仙,猫腻,2019,云南美术出版社,https://book.douban.com/subject/34884826/
9787559665386,在东大和上野千鹤子学“吵架”,[日]遥洋子,2023,北京联合出版公司,https://book.douban.com/subject/36170462/
9787539629032,鬼吹灯Ⅱ之二·南海归墟,天下霸唱,2007,安徽文艺出版社,https://book.douban.com/subject/2265312/
9787535441768,临界·爵迹I,郭敬明,2010,长江文艺出版社,https://book.douban.com/subject/4920037/
9787534262135,查理九世1·黑贝街的亡灵,雷欧幻像,2011,浙江少年儿童出版社,https://book.douban.com/subject/5912701/
9787513328883,黑暗精灵,[美]R·A·萨尔瓦多,2017,新星出版社,https://book.douban.com/subject/27174128/
9781781107959,霍格沃茨不完全不靠谱指南,[英]J.K.罗琳,2016,PottermorePresents(中文),https://book.douban.com/subject/30282484/
9787550189294,魔戒四部曲,[英]J.R.R.托尔金,2024,南方出版社,https://book.douban.com/subject/36796173/
9787559479136,爱伦·坡故事集,[美]埃德加·爱伦·坡,2023,江苏凤凰文艺出版社,https://book.douban.com/subject/36512986/
9781526666321,HarryPotterandthePrisonerofAzkaban,[英]J.K.罗琳,2023,HarryPotter(MinaLimaEdition),https://book.douban.com/subject/36574494/
9787559425515,星尘,(英)尼尔·盖曼(NeilGaiman),2018,江苏凤凰文艺出版社,https://book.douban.com/subject/30270242/
9787532161850,失物之书,〔爱尔兰〕约翰•康诺利,2017,上海文艺出版社,https://book.douban.com/subject/26879779/
9787557021122,诡秘之主2,爱潜水的乌贼,2020,广东旅游出版社,https://book.douban.com/subject/35051814/
9787557021139,诡秘之主3,爱潜水的乌贼,2020,广东旅游出版社,https://book.douban.com/subject/35051815/
9787551819251,山月记,[日]中岛敦,2018,三秦出版社,https://book.douban.com/subject/30394154/
9787539675305,诡秘之主13,爱潜水的乌贼,2022,安徽文艺出版社,https://book.douban.com/subject/36085547/
9787539673882,诡秘之主10,爱潜水的乌贼,2022,安徽文艺出版社,https://book.douban.com/subject/35731251/
9787536097513,谷围南亭,墨飞,2022,花城出版社,https://book.douban.com/subject/36126527/
9787544290678,南方高速,[阿根廷]胡里奥·科塔萨尔,2017,南海出版公司,https://book.douban.com/subject/27079479/
9787229174613,饥饿的盛世,张宏杰,2023,重庆出版社,https://book.douban.com/subject/36215634/
9780590353427,HarryPotterandtheSorcerer'sStone,J.K.Rowling,1999,HarryPotter(AmericanPaperbacksVersion),https://book.douban.com/subject/1340758/
9787544716086,宇宙奇趣全集,伊塔洛·卡尔维诺,2011,译林出版社,https://book.douban.com/subject/5446490/
9787547744635,绑架回忆,[日]大山诚一郎,2023,北京日报出版社,https://book.douban.com/subject/36191375/
9789888507481,寄生獸完全版1,岩明均,2018,寄生獸完全版,https://book.douban.com/subject/30285172/
9787229151485,猎魔人（卷一）,[波兰]安杰伊·萨普科夫斯基,2020,重庆出版社,https://book.douban.com/subject/35139961/
