ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787229185084,紫禁城三十作,唐炜杰,2024,重庆出版社,https://book.douban.com/subject/36874512/
9787559852533,翦商,李硕,2022,广西师范大学出版社,https://book.douban.com/subject/36096304/
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36710597/
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,https://book.douban.com/subject/36104107/
9787222224933,从中国出发的全球史,葛兆光主编,2024,云南人民出版社,https://book.douban.com/subject/36669709/
9787208187078,历史的游荡者,李硕,2024,上海人民出版社,https://book.douban.com/subject/36740502/
9787553820385,中国历代政治得失,钱穆,2024,岳麓书社,https://book.douban.com/subject/36792415/
9787559869012,制造亚洲,宋念申,2024,广西师范大学出版社,https://book.douban.com/subject/36858419/
9787301204351,东晋门阀政治,田余庆,2012,北京大学出版社,https://book.douban.com/subject/10758290/
9787801656087,明朝那些事儿（1-9）,当年明月,2009,中国海关出版社,https://book.douban.com/subject/3674537/
9787542643216,叫魂,[美]孔飞力,2014,孔飞力著作集,https://book.douban.com/subject/25912076/
9787108009821,万历十五年,[美]黄仁宇,1997,生活·读书·新知三联书店,https://book.douban.com/subject/1041482/
9787540488475,显微镜下的大明,马伯庸,2019,湖南文艺出版社,https://book.douban.com/subject/30414743/
9787545566062,弃长安,张明扬,2021,天地出版社,https://book.douban.com/subject/35678328/
9787100234245,康熙的红票,孙立天,2024,商务印书馆,https://book.douban.com/subject/36794613/
9787108075369,历史是扩充心量之学,王汎森,2024,生活·读书·新知三联书店,https://book.douban.com/subject/36157296/
9787108050656,天朝的崩溃,茅海建,2014,生活·读书·新知三联书店,https://book.douban.com/subject/25935941/
9787509763247,筚路维艰,萧冬连,2014,社会科学文献出版社,https://book.douban.com/subject/26171466/
9787101164367,宋史测度,[美]刘子健,2024,中华书局,https://book.douban.com/subject/36706379/
9787218166117,奔腾不息,[印]苏尼尔·阿姆瑞斯,2024,广东人民出版社,https://book.douban.com/subject/36414410/
9787221182920,巫蛊乱长安,谭木声,2024,贵州人民出版社,https://book.douban.com/subject/36885590/
9787229167127,饥饿的盛世,张宏杰,2022,重庆出版社,https://book.douban.com/subject/35888701/
9787108015280,中国历代政治得失,钱穆,2001,生活·读书·新知三联书店,https://book.douban.com/subject/1003479/
9787536079113,大明王朝1566,刘和平,2016,花城出版社,https://book.douban.com/subject/26925171/
9787559864253,明代国家权力结构及运行机制,方志远,2024,广西师范大学出版社,https://book.douban.com/subject/36594961/
9787208172036,祥瑞,张向荣,2021,上海人民出版社,https://book.douban.com/subject/35519560/
9787301281482,波峰与波谷,阎步克,2017,北京大学出版社,https://book.douban.com/subject/26992823/
9787510479106,秦亡汉兴,于朝阳,2024,新世界出版社,https://book.douban.com/subject/36829726/
9787547740224,南明史,顾诚,2022,北京日报出版社,https://book.douban.com/subject/35771873/
9787301350188,彼美淑令,罗新主编,2024,北京大学出版社,https://book.douban.com/subject/36888587/
9787513356183,发现东亚,宋念申,2024,新星出版社,https://book.douban.com/subject/36827633/
9787553820002,女主临朝,胡戟,2024,岳麓书社,https://book.douban.com/subject/36872269/
9787508647357,人类简史,[以色列]尤瓦尔·赫拉利,2014,中信出版社,https://book.douban.com/subject/25985021/
9787520214988,南北归一,渤海小吏,2024,中国大百科全书出版社,https://book.douban.com/subject/36805181/
9787559867193,琐言赘语,李孝悌,2024,广西师范大学出版社,https://book.douban.com/subject/36748126/
9787218170367,基辅罗斯,肖瑜,2024,广东人民出版社,https://book.douban.com/subject/36629230/
9787547743126,漫长的余生,罗新,2022,北京日报出版社,https://book.douban.com/subject/35909188/
9787221179364,明清与李朝时代,[日]岸本美绪,2024,贵州人民出版社,https://book.douban.com/subject/36793003/
9787530675816,战国歧途,刘勃,2019,百花文艺出版社,https://book.douban.com/subject/33436921/
9787559867285,魏晋清谈史,龚斌,2024,广西师范大学出版社,https://book.douban.com/subject/36748133/
9787559673510,玛雅通史,[美]迈克尔·D.科,2024,北京联合出版公司,https://book.douban.com/subject/36726088/
9787108041531,邓小平时代,【美】傅高义(Ezra.F.Vogel),2013,生活·读书·新知三联书店,https://book.douban.com/subject/20424526/
9787513351430,入关,张明扬,2023,新星出版社,https://book.douban.com/subject/36384601/
9787218167367,文学之冬,[德]乌维·维特施托克,2024,广东人民出版社,https://book.douban.com/subject/36486737/
9787530677216,失败者的春秋,刘勃,2019,百花文艺出版社,https://book.douban.com/subject/34431806/
9787521226805,钦探,周游,2024,作家出版社,https://book.douban.com/subject/36736875/
9787521761924,欧洲之心,[英]彼得·威尔逊,2024,中信出版社,https://book.douban.com/subject/36678544/
9787547323236,古代中国的帝国网络,[俄]马硕,2024,东方出版中心,https://book.douban.com/subject/36701269/
9787553819624,杜甫的历史图景：盛世,王炳文,2024,岳麓书社,https://book.douban.com/subject/36717469/
9787545577372,长城之外,(美)窦德士,2024,天地出版社,https://book.douban.com/subject/36478375/
9787547746264,古代人的衣食住行,王磊,2024,北京日报出版社,https://book.douban.com/subject/36455738/
9787513945448,战争、法律与现代世界的形成,[英]琳达·科利,2024,民主与建设出版社,https://book.douban.com/subject/36818129/
9787557101176,古今之变,李礼,2024,书海出版社,https://book.douban.com/subject/36497320/
9787203133117,六至九世纪中国政治史,黄永年,2024,山西人民出版社,https://book.douban.com/subject/36866617/
9787573210227,高启：诗人的穷途,[美]牟复礼,2024,上海古籍出版社,https://book.douban.com/subject/36783096/
9787100200578,重建,[美]埃里克·方纳,2024,商务印书馆,https://book.douban.com/subject/36603873/
9787533972530,印度文明史,[美]伯顿·斯坦,2024,浙江文艺出版社,https://book.douban.com/subject/36480406/
9787552042962,史记人物五十讲,杨鹏,2024,上海社会科学院出版社,https://book.douban.com/subject/36841362/
9787520212311,三国争霸（上、中、下）,渤海小吏,2023,中国大百科全书出版社,https://book.douban.com/subject/36157153/
9787559665256,大汉帝国在巴蜀,饶胜文,2023,北京联合出版公司,https://book.douban.com/subject/36206279/
9787508653389,南京大屠杀,[美]张纯如（IrisChang）,2015,中信出版社,https://book.douban.com/subject/26545308/
9787545549447,汴京之围,郭建龙,2019,天地出版社,https://book.douban.com/subject/34433981/
9787208186323,流风回雪,李磊,2024,上海人民出版社,https://book.douban.com/subject/36631038/
9787516827864,透过地理看历史,李不白,2020,台海出版社,https://book.douban.com/subject/35325232/
9787522526027,中国龙的发明,施爱东,2024,九州出版社,https://book.douban.com/subject/36789589/
9787509776223,历史三调,[美]柯文,2015,社会科学文献出版社,https://book.douban.com/subject/26427101/
9787108034731,巨流河,齐邦媛,2010,生活·读书·新知三联书店,https://book.douban.com/subject/4842446/
9787100017664,國史大綱（上下）,錢穆,2013,商务印书馆,https://book.douban.com/subject/1046492/
9787513945202,毁灭与重生,[英]保罗·贝茨,2024,民主与建设出版社,https://book.douban.com/subject/36796898/
9787519300203,中国通史,吕思勉,2016,群言出版社,https://book.douban.com/subject/26771878/
9787510479342,东吴100年,握中悬璧,2024,新世界出版社,https://book.douban.com/subject/36864466/
9787510889981,魏晋南北朝,[日]川胜义雄,2022,九州出版社,https://book.douban.com/subject/35671921/
9787108040367,中国历代政治得失,钱穆,2012,生活·读书·新知三联书店,https://book.douban.com/subject/11229072/
9787522527383,香料之路,[英]约翰·凯伊,2024,九州出版社,https://book.douban.com/subject/36827865/
9787100230407,周制与秦制,冯天瑜,2024,商务印书馆,https://book.douban.com/subject/3473307/
9787516826997,舍不得看完的中国史,渤海小吏,2020,台海出版社,https://book.douban.com/subject/35194194/
9787542680525,凯列班与女巫,[意]西尔维娅·费代里奇,2023,上海三联书店,https://book.douban.com/subject/36374149/
9787513353397,大宋病人,韩福东,2024,新星出版社,https://book.douban.com/subject/36640421/
9787532171552,边界的诱惑,柏琳,2024,上海文艺出版社,https://book.douban.com/subject/36679041/
9787513909884,中华帝国的衰落,魏斐德(FredericWakemanJr.),2017,民主与建设出版社,https://book.douban.com/subject/26954784/
9787301204689,全球通史,(美)斯塔夫里阿诺斯,2012,北京大学出版社,https://book.douban.com/subject/10583099/
9787221182302,王安石“强辩”考,周思成,2024,贵州人民出版社,https://book.douban.com/subject/36896671/
9787218168845,来自英国的冬宫御医,[英]露丝·沃德,2024,广东人民出版社,https://book.douban.com/subject/36538874/
9787513923927,棉花帝国,[美]斯文·贝克特,2019,民主与建设出版社,https://book.douban.com/subject/30411849/
9787213111983,大变局,谌旭彬,2023,浙江人民出版社,https://book.douban.com/subject/36574408/
9787229182427,唐代玄宗肃宗之际的中枢政局,任士英,2024,重庆出版社,https://book.douban.com/subject/36707980/
9787101101621,万历十五年,黄仁宇,2014,中华书局,https://book.douban.com/subject/25893465/
9787301349212,忽如远行客,曲柄睿,2024,北京大学出版社,https://book.douban.com/subject/36808176/
9787510812675,中国历代政治得失,钱穆,2012,九州出版社,https://book.douban.com/subject/10434849/
9787513177856,两汉风云,渤海小吏,2023,开明出版社,https://book.douban.com/subject/36238805/
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787229170646,公主之死,李贞德,2023,重庆出版社,https://book.douban.com/subject/36197701/
9787020184309,奶奶的菜谱,[德]卡琳娜·乌尔巴赫,2024,人民文学出版社,https://book.douban.com/subject/36727740/
9787559602152,明朝那些事儿(增补版)(套装共9册),当年明月,2017,北京联合出版公司,https://book.douban.com/subject/27127895/
9787559602152,明朝那些事儿（增补版）,当年明月,2021,北京联合出版公司,https://book.douban.com/subject/36245010/
9787533970055,世说俗谈,刘勃,2023,浙江文艺出版社,https://book.douban.com/subject/36182683/
9787559869029,洞穴公案,秦涛,2024,广西师范大学出版社,https://book.douban.com/subject/36871374/
9787559844125,现代中国的形成（1600—1949）,李怀印,2022,广西师范大学出版社,https://book.douban.com/subject/35662692/
9787203116592,隳三都,周思成,2021,山西人民出版社,https://book.douban.com/subject/35336328/
9787208184756,官家的心事,吴铮强,2023,上海人民出版社,https://book.douban.com/subject/36584047/
9787540496715,两京十五日,马伯庸,2020,湖南文艺出版社,https://book.douban.com/subject/35080870/
9787203128830,暮日耀光,韦庆远,2023,山西人民出版社,https://book.douban.com/subject/36657004/
9787513944441,狼性时代,[德]哈拉尔德·耶纳,2024,民主与建设出版社,https://book.douban.com/subject/36692833/
9787516825976,渤海小吏的封建脉络百战系列：楚汉双雄,渤海小吏,2020,台海出版社,https://book.douban.com/subject/35260060/
9787101115123,中国近代史（彩图增订本）,蒋廷黻,2016,中华书局,https://book.douban.com/subject/26755822/
9787545580174,惠通桥之战,余戈,2024,天地出版社,https://book.douban.com/subject/36849940/
9787553819174,成为雍正,李正,2023,岳麓书社,https://book.douban.com/subject/36523838/
9787569947281,古埃及神话,【英】凯瑟琳·钱伯斯,2024,北京时代华文书局,https://book.douban.com/subject/36852978/
9787509017531,中国的奋斗,[美]徐中约,2024,当代世界出版社,https://book.douban.com/subject/36526876/
9787552043204,中国租界通史,费成康,2024,上海社会科学院出版社,https://book.douban.com/subject/36790853/
9787303183876,危机与重构,李碧妍,2015,北京师范大学出版社,https://book.douban.com/subject/26603137/
9787213113789,隋唐帝国权力结构及制度演进,雷家骥,2024,浙江人民出版社,https://book.douban.com/subject/36826791/
9787108060136,近代中国社会的新陈代谢,陈旭麓,2017,生活·读书·新知三联书店,https://book.douban.com/subject/30147582/
9787511573537,透过地理看历史：大航海时代,李不白,2022,人民日报出版社,https://book.douban.com/subject/36014314/
9787550232822,中国古代文化常识,王力主编,2014,北京联合出版公司,https://book.douban.com/subject/26021455/
9787101081121,资治通鉴,[宋]司马光编著,2011,中华书局,https://book.douban.com/subject/6790302/
9787520214292,两晋悲歌,渤海小吏,2023,中国大百科全书出版社,https://book.douban.com/subject/36580731/
9787571434502,生而无权,[特多]埃里克·威廉斯,2024,北京科学技术出版社,https://book.douban.com/subject/36778037/
9787208164833,魏晋南北朝史,王仲荦,2020,上海人民出版社,https://book.douban.com/subject/35085843/
9787547322871,南国多秀士,黄庭硕,2024,东方出版中心,https://book.douban.com/subject/36648198/
9787300325897,中国的军阀政治,[美]齐锡生,2024,中国人民大学出版社,https://book.douban.com/subject/36752583/
9787208158191,细说宋朝,虞云国,2019,上海人民出版社,https://book.douban.com/subject/33443912/
9787511380326,被统治的艺术,[加]宋怡明,2019,中国华侨出版社,https://book.douban.com/subject/34869500/
9787510886768,第三帝国的到来,[英]理查德·J.埃文斯,2020,九州出版社,https://book.douban.com/subject/34928222/
9787108045188,三案始末,温功义,2013,生活·读书·新知三联书店,https://book.douban.com/subject/25760457/
9787500878506,金钱、奇珍异品与造物术,[美]丹尼尔·马戈奇,2024,中国工人出版社,https://book.douban.com/subject/36812369/
9787203132097,再造大唐,穆渭生,2024,山西人民出版社,https://book.douban.com/subject/36809320/
9787511213273,南明史,顾诚,2011,光明日报出版社,https://book.douban.com/subject/6533042/
9787301162057,历史的观念,[英]柯林武德,2010,北京大学出版社,https://book.douban.com/subject/4241783/
9787208148314,南北战争三百年,李硕,2018,世纪文景,https://book.douban.com/subject/28135034/
9787521761528,蹒跚前行,[美]布拉德福德·德龙,2024,中信出版集团,https://book.douban.com/subject/36658885/
9787101165838,甲申前夜·大晦,刘鹤,2024,中华书局,https://book.douban.com/subject/36897341/
9787530679289,司马迁的记忆之野,刘勃,2020,百花文艺出版社,https://book.douban.com/subject/35230273/
9787208188105,回音室,[英]柯律格,2024,上海人民出版社,https://book.douban.com/subject/36799358/
9787218172699,广州历史地理,曾昭璇,2024,广东人民出版社,https://book.douban.com/subject/36704758/
9787513928960,埃及、希腊与罗马,[英]查尔斯·弗里曼,2020,民主与建设出版社,https://book.douban.com/subject/34970398/
9787203132103,杨贵妃,[日]村山吉广,2024,山西人民出版社,https://book.douban.com/subject/36744523/
9787543235571,史学导论,[英]约翰·托什,2024,格致出版社,https://book.douban.com/subject/36810836/
9787542666468,有所不为的反叛者,罗新,2019,上海三联书店,https://book.douban.com/subject/33111439/
9787522833774,称雄天下,[美]鲁大维,2024,社会科学文献出版社,https://book.douban.com/subject/36814355/
9787221180391,君子时代的争霸,何晋,2024,贵州人民出版社,https://book.douban.com/subject/36888591/
9788721304621,明朝那些事儿,当年明月,2011,浙江人民出版社,https://book.douban.com/subject/7163250/
9787513945158,现代日本的缔造,[美]马里乌斯·詹森,2024,民主与建设出版社,https://book.douban.com/subject/36788853/
9787522828572,末代士人的身份、角色与命运,潘静如,2024,社会科学文献出版社,https://book.douban.com/subject/36661148/
9787571428983,中国中古政治史论,毛汉光,2024,北京科学技术出版社,https://book.douban.com/subject/36382542/
9787108076083,佛教文化十八讲,孙英刚,2024,生活·读书·新知三联书店,https://book.douban.com/subject/36696854/
9787221182142,绥靖时代,[英]蒂姆·布弗里,2024,贵州人民出版社,https://book.douban.com/subject/36769934/
9787509745120,1453,[英]罗杰·克劳利,2014,社会科学文献出版社,https://book.douban.com/subject/25891318/
9787513350501,孤星之旅,周文翰,2023,新星出版社,https://book.douban.com/subject/36247474/
9787559867216,明清江南商业的发展,范金民,2024,广西师范大学出版社,https://book.douban.com/subject/36739605/
9787513922494,罗马元老院与人民,[英]玛丽·比尔德,2018,民主与建设出版社,https://book.douban.com/subject/30284738/
9787301347492,重构契丹早期史,苗润博,2024,北京大学出版社,https://book.douban.com/subject/36676112/
9787108056832,何以中国,许宏,2016,生活·读书·新知三联书店,https://book.douban.com/subject/26782702/
9787559853547,中文打字机,[美]墨磊宁,2023,广西师范大学出版社,https://book.douban.com/subject/36089563/
9787521762303,宽容与执拗,赵冬梅,2024,中信出版社,https://book.douban.com/subject/36683641/
9787547323571,宋神宗,迟振汉,2024,东方出版中心,https://book.douban.com/subject/36815057/
9787509752647,天国之秋,[美]裴士锋,2014,社会科学文献出版社,https://book.douban.com/subject/25938605/
9787301348420,观无量,苗子兮,2024,北京大学出版社,https://book.douban.com/subject/36789590/
9787549585489,奥斯维辛,[英]劳伦斯·里斯,2016,广西师范大学出版社,https://book.douban.com/subject/26861418/
9787516835739,门阀,南朝,2023,台海出版社,https://book.douban.com/subject/36462704/
9787522808796,无政府,[英]威廉·达尔林普尔（WillimDalrymple）,2023,社会科学文献出版社,https://book.douban.com/subject/36201377/
9787523604915,工程帝国,[英]本·马斯登,2024,中国科学技术出版社,https://book.douban.com/subject/36847147/
9787549641277,葡萄酒：一部微醺文化史,[美]约翰·瓦里亚诺,2024,文汇出版社,https://book.douban.com/subject/36831640/
9787522504988,一起去古代:历史的一天（全5册）,河南博物院编杨征辛一宋华姚星刘维/著贺国林/绘,2021,九州出版社,https://book.douban.com/subject/36832047/
9787559640666,秋园,杨本芬,2020,北京联合出版公司,https://book.douban.com/subject/34998019/
9787509783665,中苏关系史纲,沈志华,2016,社会科学文献出版社,https://book.douban.com/subject/26897412/
9787571428990,中国中古社会史论,毛汉光,2024,北京科学技术出版社,https://book.douban.com/subject/36378750/
9787108056184,巨流河,齐邦媛,2016,生活·读书·新知三联书店,https://book.douban.com/subject/26712402/
9787521764758,脉络,吴军,2024,中信出版社,https://book.douban.com/subject/36858606/
9787301269381,全球通史：从史前到21世纪（上册）,[美]L·S·斯塔夫里阿诺斯,2020,北京大学出版社,https://book.douban.com/subject/26745881/
9787559861177,革命,[英]蒂姆·哈里斯,2024,广西师范大学出版社,https://book.douban.com/subject/36447223/
9787522821221,中国基督宗教史,陶飞亚,2024,社会科学文献出版社,https://book.douban.com/subject/36515080/
9787020116133,红星照耀中国,[美]埃德加·斯诺埃,2016,人民文学出版社,https://book.douban.com/subject/26820347/
9787559862341,微生物大历史,[挪威]斯蒂格·弗勒兰,2024,广西师范大学出版社,https://book.douban.com/subject/36487099/
9787213092459,征服与革命中的阿拉伯人,[英]尤金·罗根,2019,浙江人民出版社,https://book.douban.com/subject/33408126/
9787544792745,一百年，许多人，许多事,杨苡/口述,2023,译林出版社,https://book.douban.com/subject/36162256/
9787229175092,欧洲的扩张1415-1789,[美]威尔伯·科尔特斯·阿博特,2024,重庆出版社,https://book.douban.com/subject/36294880/
9787559856692,中华帝国晚期的性、法律与社会,[美]苏成捷（MatthewH.Sommer）,2023,广西师范大学出版社,https://book.douban.com/subject/36197606/
9787552033625,欧洲中世纪史（第11版）,朱迪斯·M.本内特,2021,上海社会科学院出版社,https://book.douban.com/subject/35546520/
9787213087981,以色列,[以]丹尼尔·戈迪斯,2018,浙江人民出版社,https://book.douban.com/subject/30269311/
9787520125895,空王冠,[英]丹·琼斯,2018,社会科学文献出版社,https://book.douban.com/subject/30203779/
9787108063960,拓跋史探,田余庆,2019,生活·读书·新知三联书店,https://book.douban.com/subject/30302919/
9787513352512,太后西奔,谭木声,2023,新星出版社,https://book.douban.com/subject/36463589/
9787513347563,清代地方政府,瞿同祖,2022,新星出版社,https://book.douban.com/subject/35713871/
9787500173564,谎言与真相,[美]安迪·图赫尔,2024,中译出版社,https://book.douban.com/subject/36402185/
9787507533026,党员、党权与党争,王奇生,2010,华文出版社,https://book.douban.com/subject/5372471/
9787508651903,论中国,[美]亨利·基辛格,2015,中信出版社,https://book.douban.com/subject/26607419/
9787213106880,何以帝国,刘守刚,2022,浙江人民出版社,https://book.douban.com/subject/36110429/
9787101165722,北魏时代的名号变迁与政权转型,郭硕,2024,中华书局,https://book.douban.com/subject/36800679/
9787520167000,间谍与叛徒,[英]本·麦金泰尔,2021,社会科学文献出版社,https://book.douban.com/subject/35130747/
9787559857330,复辟,[英]蒂姆·哈里斯,2024,广西师范大学出版社,https://book.douban.com/subject/36212729/
9787108022943,天朝的崩溃,茅海建,2005,生活·读书·新知三联书店,https://book.douban.com/subject/1675478/
9787108053664,万历十五年,黄仁宇,2015,生活·读书·新知三联书店,https://book.douban.com/subject/26418524/
9787559485137,明朝270年：明朝的外交博弈和权力游戏,刘钢,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36809547/
9787521763355,黄沙下的世界,[英]托比·威尔金森,2024,中信出版社,https://book.douban.com/subject/36745868/
9787308161459,丝绸之路,[英]彼得·弗兰科潘,2016,浙江大学出版社,https://book.douban.com/subject/26853835/
9787555916857,野史未必假,王磊,2024,河南文艺出版社,https://book.douban.com/subject/36854630/
9787523603659,经济制裁,(美)尼古拉斯·穆德(NicholasMulder),2024,中国科学技术出版社,https://book.douban.com/subject/36720562/
