ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787559673848,最后一个死去的女孩,[美]哈里·多兰,2024,北京联合出版公司,https://book.douban.com/subject/36782247/
9787532175512,消失的13级台阶,[日]高野和明,2020,上海文艺出版社,https://book.douban.com/subject/34996429/
9787559641182,绝叫,[日]叶真中显,2020,北京联合出版公司,https://book.douban.com/subject/35031587/
9787544258609,白夜行,[日]东野圭吾,2013,南海出版公司,https://book.douban.com/subject/10554308/
9787122346032,克莱因壶,[日]冈岛二人,2019,化学工业出版社,https://book.douban.com/subject/33658616/
9787513311236,罗杰疑案,[英]阿加莎·克里斯蒂,2013,新星出版社,https://book.douban.com/subject/21371175/
9787541166051,六个说谎的大学生,[日]浅仓秋成,2023,四川文艺出版社,https://book.douban.com/subject/36283547/
9787513335256,圣母,[日]秋吉理香子,2019,新星出版社,https://book.douban.com/subject/30475757/
9787544285148,恶意,[日]东野圭吾,2016,南海出版公司,https://book.douban.com/subject/26877752/
9787572616099,食南之徒,马伯庸,2024,湖南文艺出版社,https://book.douban.com/subject/36710597/
9787559480187,一生悬命,陆春吾,2023,江苏凤凰文艺出版社,https://book.douban.com/subject/36584893/
9787549641901,恐怖呢喃,贵志祐介,2024,文汇出版社,https://book.douban.com/subject/36743308/
9787541169175,宋慈洗冤笔记3,巫童,2024,四川文艺出版社,https://book.douban.com/subject/36809032/
9787512515666,桥头楼上,Priest,2024,国际文化出版公司,https://book.douban.com/subject/36647809/
9787020143566,19年间谋杀小叙,那多,2018,人民文学出版社,https://book.douban.com/subject/30237176/
9787220133237,无辜者的谎言,[美]A.R.托雷,2024,四川人民出版社,https://book.douban.com/subject/36519892/
9787220134135,费可的晚宴,珞珈,2022,读客文化,https://book.douban.com/subject/36897821/
9787547747216,赎罪,[日]凑佳苗,2024,北京日报出版社,https://book.douban.com/subject/36657403/
9787541166808,有人自林中坠落,蒲熠星,2023,四川文艺出版社,https://book.douban.com/subject/36472103/
9787514521702,呼救,[美]史黛西·威林厄姆,2024,中国致公出版社,https://book.douban.com/subject/36614100/
9789573330806,1367,陳浩基,2014,陳浩基作品,https://book.douban.com/subject/25897884/
9787229153809,海葵,贝客邦,2021,重庆出版社,https://book.douban.com/subject/35272690/
9787541169946,宋慈洗冤笔记4,巫童,2024,四川文艺出版社,https://book.douban.com/subject/36909085/
9787549641864,第七重解答,[法]保罗·霍尔特,2024,文汇出版社,https://book.douban.com/subject/36665775/
9787517148111,永不结束的夏天,赛西娅,2024,中国言实出版社,https://book.douban.com/subject/36913552/
9787020114115,动物园,[日]乙一,2016,人民文学出版社,https://book.douban.com/subject/26723423/
9787541167553,宋慈洗冤笔记,巫童,2023,四川文艺出版社,https://book.douban.com/subject/36540441/
9787020186068,请记得乐园,那多,2024,人民文学出版社,https://book.douban.com/subject/36835648/
9787222143975,长夜难明,紫金陈,2017,云南人民出版社,https://book.douban.com/subject/26923390/
9787573011732,骗子家族,[日]道尾秀介,2023,海南出版社,https://book.douban.com/subject/36427040/
9787106038441,高智商犯罪2,紫金陈,2014,中国电影出版社,https://book.douban.com/subject/25827236/
9787521226805,钦探,周游,2024,作家出版社,https://book.douban.com/subject/36736875/
9787513320955,钟表馆事件,[日]绫辻行人,2016,新星出版社,https://book.douban.com/subject/26771719/
9787540473990,告白,[日]凑佳苗,2016,湖南文艺出版社,https://book.douban.com/subject/26681984/
9787559664228,未完成的手稿,[法]弗兰克·蒂利耶,2022,北京联合出版公司,https://book.douban.com/subject/36037745/
9787513355896,驽马,[英]米克·赫伦,2024,新星出版社,https://book.douban.com/subject/36808023/
9787505757301,六小时后你会死,[日]高野和明,2024,中国友谊出版公司,https://book.douban.com/subject/36628430/
9787516835616,怪屋谜案,[日]雨穴,2023,台海出版社,https://book.douban.com/subject/36407256/
9787513315104,高尔夫球场命案,[英]阿加莎·克里斯蒂,2014,新星出版社,https://book.douban.com/subject/25905706/
9787530217559,假面山庄,[日]东野圭吾,2018,北京十月文艺出版社,https://book.douban.com/subject/27200261/
9787541167744,枭起青壤,尾鱼,2024,四川文艺出版社,https://book.douban.com/subject/36584894/
9787221119575,设局,紫金陈,2014,贵州人民出版社,https://book.douban.com/subject/25924860/
9787559483300,骤雨,莫妮打,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36744070/
9787555915478,X的悲剧,[美]埃勒里·奎因,2023,河南文艺出版社,https://book.douban.com/subject/36480391/
9787513346887,华丽人生,[日]伊坂幸太郎,2021,新星出版社,https://book.douban.com/subject/35602671/
9787559482525,七叶树,东坡柚,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36809654/
9787544285025,金色梦乡,[日]伊坂幸太郎,2016,南海出版公司,https://book.douban.com/subject/26864984/
9787544296274,夏天、烟火和我的尸体,[日]乙一,2019,南海出版公司,https://book.douban.com/subject/34778574/
9787541167539,宋慈洗冤笔记2,巫童,2023,四川文艺出版社,https://book.douban.com/subject/36540442/
9787513317153,帷幕,[英]阿加莎·克里斯蒂,2015,新星出版社,https://book.douban.com/subject/26292535/
9787513353939,联愁杀,[日]西泽保彦,2024,新星出版社,https://book.douban.com/subject/36647304/
9787513312929,无人生还,(英)阿加莎·克里斯蒂,2013,新星出版社,https://book.douban.com/subject/24859822/
9787533950057,生吞,郑执,2017,浙江文艺出版社,https://book.douban.com/subject/27170951/
9787559674067,毒花束,[日]织守恭弥,2024,北京联合出版公司,https://book.douban.com/subject/36739580/
9787555910749,沉默的病人,[英]亚历克斯·麦克利兹,2020,河南文艺出版社,https://book.douban.com/subject/35249388/
9787516836156,易碎品,何袜皮,2023,台海出版社,https://book.douban.com/subject/36495365/
9787544713986,金色梦乡,[日]伊坂幸太郎,2010,译林出版社,https://book.douban.com/subject/5038409/
9787516927687,女仆,[美]弗雷达·麦克法登,2024,华龄出版社,https://book.douban.com/subject/36897640/
9787573506078,假面游戏,[日]东野圭吾,2024,南海出版公司,https://book.douban.com/subject/36561834/
9787549637270,同名同姓受害者协会,[日]下村敦史,2022,文汇出版社,https://book.douban.com/subject/35776311/
9787544276207,彷徨之刃,[日]东野圭吾,2015,南海出版公司,https://book.douban.com/subject/26298572/
9787513354356,替身计划,[日]山泽晴雄,2024,新星出版社,https://book.douban.com/subject/36669749/
9787505740570,七根凶简,尾鱼,2017,中国友谊出版公司,https://book.douban.com/subject/27035382/
9787544280662,沉默的巡游,[日]东野圭吾,2020,南海出版公司,https://book.douban.com/subject/34786086/
9787544291224,放学后,[日]东野圭吾,2017,南海出版公司,https://book.douban.com/subject/27102207/
9787544298476,白鸟坠入密林,贝客邦,2022,南海出版公司,https://book.douban.com/subject/35947034/
9787802257825,杀戮之病,[日]我孙子武丸,2010,新星出版社,https://book.douban.com/subject/4152750/
9787547747957,不能赢的辩护,[英]史蒂夫·卡瓦纳,2024,北京日报出版社,https://book.douban.com/subject/36707933/
9787544281102,新参者,[日]东野圭吾,2016,南海出版公司,https://book.douban.com/subject/26639966/
9787573012845,黑暗之家,[日]贵志祐介,2023,海南出版社,https://book.douban.com/subject/36520019/
9787513335270,东方快车谋杀案,[英]阿加莎·克里斯蒂,2019,新星出版社,https://book.douban.com/subject/30466191/
9787514233650,如首无作祟之物,[日]三津田信三,2021,文化发展出版社,https://book.douban.com/subject/35406149/
9787544270878,解忧杂货店,[日]东野圭吾,2014,南海出版公司,https://book.douban.com/subject/25862578/
9787201157412,低智商犯罪,紫金陈,2020,天津人民出版社,https://book.douban.com/subject/34996662/
9787513311229,斯泰尔斯庄园奇案,(英)阿加莎·克里斯蒂,2013,新星出版社,https://book.douban.com/subject/21692860/
9787521226669,莫莉和森克,永城,2024,作家出版社,https://book.douban.com/subject/36848164/
9787106083434,高智商犯罪3,紫金陈,2017,中国电影出版社,https://book.douban.com/subject/26895196/
9787521764123,坏家伙们,九滴水,2024,中信出版集团,https://book.douban.com/subject/36856725/
9787533972622,莫比乌斯的圈套,轩弦,2024,浙江文艺出版社,https://book.douban.com/subject/36447333/
9787522520773,名侦探的献祭,[日]白井智之,2023,九州出版社,https://book.douban.com/subject/36512989/
9787550025103,默读,Priest,2018,百花洲文艺出版社,https://book.douban.com/subject/27608412/
9787547744345,恶徒的救赎,[日]高野和明,2023,北京日报出版社,https://book.douban.com/subject/36177509/
9787572613012,长夜难明:双星,紫金陈,2024,湖南文艺出版社,https://book.douban.com/subject/36480672/
9787513351911,献给名侦探的甜美死亡,[日]方丈贵惠,2023,新星出版社,https://book.douban.com/subject/36316842/
9787521764277,重影,泽帆,2024,中信出版集团,https://book.douban.com/subject/36794672/
9787544274692,祈祷落幕时,(日)东野圭吾,2015,南海出版公司,https://book.douban.com/subject/26118072/
9787557032746,今天天气不错，我打算把上司……,[日]夕鹭叶,2024,广东旅游出版社,https://book.douban.com/subject/36808794/
9787530688137,黄粱一梦,不明眼,2024,百花文艺出版社,https://book.douban.com/subject/36874364/
9787572614620,精神病预后档案,穆戈,2024,湖南文艺出版社,https://book.douban.com/subject/36808867/
9787510881145,网内人,陈浩基,2019,九州出版社,https://book.douban.com/subject/34262174/
9787572611070,邻居,[日]雫井脩介,2023,湖南文艺出版社,https://book.douban.com/subject/36351178/
9787544716888,奇风岁月,罗伯特•麦卡蒙,2011,译林出版社,https://book.douban.com/subject/6016234/
9787802258136,第七重解答,[法]保罗·霍尔特,2010,新星出版社,https://book.douban.com/subject/4140380/
9787514522440,猎物,[美]史黛西·威林厄姆,2024,中国致公出版社,https://book.douban.com/subject/36802421/
9787544267618,嫌疑人X的献身,[日]东野圭吾,2014,南海出版公司,https://book.douban.com/subject/25924253/
9787513326469,死了七次的男人,[日]西泽保彦,2017,新星出版社,https://book.douban.com/subject/27055125/
9787572616969,伏罪,渡十鸦,2024,湖南文艺出版社,https://book.douban.com/subject/36812110/
9787559664761,两度,[法]弗兰克·蒂利耶,2023,北京联合出版公司,https://book.douban.com/subject/36156911/
9787513324717,希腊棺材之谜,[美]埃勒里·奎因,2017,新星出版社,https://book.douban.com/subject/26941500/
9787530218181,谁杀了她,(日)东野圭吾,2018,北京十月文艺出版社,https://book.douban.com/subject/30210250/
9787572614361,寒夜无声,吴忠全,2023,湖南文艺出版社,https://book.douban.com/subject/36591985/
9787540478315,长安十二时辰上,马伯庸,2017,湖南文艺出版社,https://book.douban.com/subject/26899537/
9787544294119,我杀了他,[日]东野圭吾,2019,南海出版公司,https://book.douban.com/subject/30317423/
9787572612329,要来块水果塔吗？,[日]小林泰三,2023,湖南文艺出版社,https://book.douban.com/subject/36443467/
9787547746349,追诉时效倒计时,[日]横山秀夫,2024,北京日报出版社,https://book.douban.com/subject/36462621/
9787559625212,诗人,[美]迈克尔·康奈利,2018,北京联合出版公司,https://book.douban.com/subject/30318654/
9787513344142,时空旅行者的沙漏,[日]方丈贵惠,2021,新星出版社,https://book.douban.com/subject/35430467/
9787572611964,坏小孩（修订新版）,紫金陈,2023,湖南文艺出版社,https://book.douban.com/subject/36414270/
9787505757004,很久很久以前，在某一个地方，果然......,[日]青柳碧人,2023,中国友谊出版公司,https://book.douban.com/subject/36504668/
9787572606823,鱼猎,史迈,2022,湖南文艺出版社,https://book.douban.com/subject/35923191/
9787509002780,ZOO,[日]乙一,2007,当代世界出版社,https://book.douban.com/subject/2297697/
9787550258235,清明上河图密码2,冶文彪,2015,北京联合出版公司,https://book.douban.com/subject/26576515/
9787559673718,狗村,陈曼奇,2024,北京联合出版公司,https://book.douban.com/subject/36734606/
9787559654465,玩偶,法医秦明,2021,北京联合出版公司,https://book.douban.com/subject/35563164/
9787547746479,终身验尸官,[日]横山秀夫,2024,北京日报出版社,https://book.douban.com/subject/36480673/
9787540486075,古董局中局1,马伯庸,2018,湖南文艺出版社,https://book.douban.com/subject/30197854/
9787539956930,军方的怪物,[英]肯·福莱特,2018,江苏文艺出版社,https://book.douban.com/subject/26274413/
9787540496715,两京十五日,马伯庸,2020,湖南文艺出版社,https://book.douban.com/subject/35080870/
9787545582178,出走的春天,以太,2024,天地出版社,https://book.douban.com/subject/36768628/
9787513329903,尼罗河上的惨案,[英]阿加莎·克里斯蒂,2018,新星出版社,https://book.douban.com/subject/30133213/
9787544245517,放学后,[日]东野圭吾,2010,南海出版公司,https://book.douban.com/subject/4074636/
9787540468422,坏小孩,紫金陈,2018,湖南文艺出版社,https://book.douban.com/subject/25955474/
9787541165368,玻璃塔谜案,[日]知念实希人,2023,四川文艺出版社,https://book.douban.com/subject/36170929/
9787559436399,破云,淮上,2019,江苏凤凰文艺出版社,https://book.douban.com/subject/34467283/
