ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787513344180,阿勒泰的角落,李娟,2024,新星出版社,https://book.douban.com/subject/36629769/
9787536094352,我的阿勒泰,李娟,2021,花城出版社,https://book.douban.com/subject/35552619/
9787570204946,我的阿勒泰,李娟,2018,长江文艺出版社,https://book.douban.com/subject/30259726/
9787020083442,我与地坛,史铁生,2011,人民文学出版社,https://book.douban.com/subject/5910656/
9787536084469,遥远的向日葵地,李娟,2017,花城出版社,https://book.douban.com/subject/27184303/
9787516837917,解闷儿,张辰亮,2024,台海出版社,https://book.douban.com/subject/36864467/
9787536091078,记一忘三二,李娟,2020,花城出版社,https://book.douban.com/subject/35040904/
9787536099876,冬牧场,李娟,2023,花城出版社,https://book.douban.com/subject/36456400/
9787542678652,东京八平米,[日]吉井忍,2023,上海三联书店,https://book.douban.com/subject/36096287/
9787547744086,老派少女购物路线,洪爱珠,2023,北京日报出版社,https://book.douban.com/subject/36235328/
9787222065413,我的阿勒泰,李娟,2010,云南人民出版社,https://book.douban.com/subject/4884218/
9787549641895,吃着吃着就老了,陈晓卿,2024,文汇出版社,https://book.douban.com/subject/36705913/
9787505754942,快乐就是哈哈哈哈哈,梁实秋,2022,中国友谊出版公司,https://book.douban.com/subject/36029740/
9787532188147,认识我的人慢慢忘了我,周慧著,2024,上海文艺出版社,https://book.douban.com/subject/36527078/
9787530214657,我们生活在巨大的差距里,余华,2015,北京十月文艺出版社,https://book.douban.com/subject/26291216/
9787513312530,阿勒泰的角落,李娟,2013,新星出版社,https://book.douban.com/subject/24922716/
9787544798556,大地上的家乡,刘亮程,2024,译林出版社,https://book.douban.com/subject/36778201/
9787513305662,冬牧场,李娟,2012,新星出版社,https://book.douban.com/subject/10522856/
9787559485809,我栖春山,陆苏,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36886639/
9787570235261,独自走过悲喜,梁晓声,2024,长江文艺出版社,https://book.douban.com/subject/36829467/
9787532794133,世上为什么要有图书馆,杨素秋,2024,上海译文出版社,https://book.douban.com/subject/36593622/
9787572616419,峡河西流去,陈年喜,2024,湖南文艺出版社,https://book.douban.com/subject/36790832/
9787536097117,山居杂忆,高诵芬,2022,花城出版社,https://book.douban.com/subject/36138979/
9787536096912,羊道·春牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982110/
9787536097094,羊道·深山夏牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982104/
9787513318501,走夜路请放声歌唱,李娟,2015,新星出版社,https://book.douban.com/subject/26581961/
9787559640666,秋园,杨本芬,2020,北京联合出版公司,https://book.douban.com/subject/34998019/
9787536097087,羊道·前山夏牧场,李娟,2022,花城出版社,https://book.douban.com/subject/35982107/
9787806398791,撒哈拉的故事,三毛,2003,哈尔滨出版社,https://book.douban.com/subject/1060068/
9787522521916,我所告诉你关于那座山的一切,刘宸君,2024,九州出版社,https://book.douban.com/subject/36736782/
9787521755756,我还能看到多少次满月升起,[日]坂本龙一,2023,中信出版社,https://book.douban.com/subject/36361860/
9787572616907,一蔸雨水一蔸禾,蔡皋,2024,湖南文艺出版社,https://book.douban.com/subject/36820861/
9787020171996,容易忘记的名字,[韩]金爱烂,2022,人民文学出版社,https://book.douban.com/subject/36109196/
9787508675770,羊道三部曲(套装共3册),李娟,2017,中信出版社,https://book.douban.com/subject/27116878/
9787572616174,人间至趣,蔡澜,2024,湖南文艺出版社,https://book.douban.com/subject/36792236/
9787020135639,我与地坛,史铁生,2018,人民文学出版社,https://book.douban.com/subject/30207170/
9787555037040,初老的女人,伊藤比吕美,2024,海峡文艺出版社,https://book.douban.com/subject/36818389/
9787559481665,先生，今夜圆满的不只有月亮,纪云裳,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36827636/
9787572609268,我在北京送快递,胡安焉,2023,湖南文艺出版社,https://book.douban.com/subject/36150423/
9787535481504,我的阿勒泰,李娟,2015,长江文艺出版社,https://book.douban.com/subject/26773661/
9787544398565,必有人重写爱情,北岛,2022,海南出版社,https://book.douban.com/subject/35817787/
9787100235648,陪父母老去,解玉军,2024,商务印书馆,https://book.douban.com/subject/36826876/
9787554615430,心安即是归处,季羡林,2020,古吴轩出版社,https://book.douban.com/subject/35025716/
9787020084357,我与地坛,史铁生,2008,人民文学出版社,https://book.douban.com/subject/6079389/
9787521760804,日常的深处,王小伟,2023,中信出版社,https://book.douban.com/subject/36622125/
9787547010105,阿勒泰的角落,李娟,2010,万卷出版公司,https://book.douban.com/subject/4881850/
9787544787765,一个人的村庄,刘亮程,2022,译林出版社,https://book.douban.com/subject/35724852/
9787530219102,九篇雪,李娟,2019,北京十月文艺出版社,https://book.douban.com/subject/30473840/
9787530688373,心间事，舌尖解——“食神”蔡澜美食治愈集大成之作,[新]蔡澜,2024,百花文艺出版社,https://book.douban.com/subject/36890137/
9787572615863,人间清醒,蔡澜,2024,湖南文艺出版社,https://book.douban.com/subject/36792411/
9787505757523,贫困旅行记,[日]柘植义春,2024,中国友谊出版公司,https://book.douban.com/subject/36669706/
9787201151656,一间只属于自己的房间,[英]弗吉尼亚·伍尔夫,2019,天津人民出版社,https://book.douban.com/subject/34835082/
9787572612145,我就要自由,[日]佐野洋子,2024,湖南文艺出版社,https://book.douban.com/subject/36429133/
9787531329329,一个人的村庄,刘亮程,2006,春风文艺出版社,https://book.douban.com/subject/1692648/
9787531324362,我与地坛,史铁生,2002,春风文艺出版社,https://book.douban.com/subject/1209899/
9787201199559,在菜场，在人间,陈慧,2023,天津人民出版社,https://book.douban.com/subject/36706392/
9787201088945,皮囊,蔡崇达,2014,天津人民出版社,https://book.douban.com/subject/26278687/
9787539921969,人间草木,汪曾祺,2005,江苏文艺出版社,https://book.douban.com/subject/1253310/
9787218169507,豆子芝麻茶,杨本芬,2023,广东人民出版社,https://book.douban.com/subject/36560856/
9787201181073,山水,冯至,2022,天津人民出版社,https://book.douban.com/subject/35840103/
9787541163050,幸得诸君慰平生,故园风雨前,2022,四川文艺出版社,https://book.douban.com/subject/35873142/
9787573505798,沿着季风的方向,刘子超,2023,南海出版公司,https://book.douban.com/subject/36577789/
9787514520088,岁月静好是片刻一地鸡毛是日常,史铁生,2023,中国致公出版社,https://book.douban.com/subject/36414277/
9787513330404,冬牧场,李娟,2018,新星出版社,https://book.douban.com/subject/30353124/
9787533974916,萧红：我的血液里没有屈服,萧红,2024,浙江文艺出版社,https://book.douban.com/subject/36890784/
9787572615573,在荒野,刘亮程,2024,湖南文艺出版社,https://book.douban.com/subject/36743511/
9787213069758,牛棚杂忆,季羡林,2016,浙江人民出版社,https://book.douban.com/subject/26700352/
9787222225954,在时间荒原上,[波]切斯瓦夫·米沃什,2024,云南人民出版社,https://book.douban.com/subject/36678551/
9787530214732,雨季不再来,三毛,2017,北京十月文艺出版社,https://book.douban.com/subject/26995850/
9787559665799,荔枝依旧年年红,肖复兴,2023,北京联合出版公司,https://book.douban.com/subject/36326866/
9787559666802,意识的河流,[英国]奥利弗·萨克斯,2023,北京联合出版公司,https://book.douban.com/subject/36343263/
9787514521757,我想做一个能在你的葬礼上描述你一生的人5,梁晓声等,2024,中国致公出版社,https://book.douban.com/subject/36884513/
9787210113843,呼兰河传,萧红,2019,江西人民出版社,https://book.douban.com/subject/34451656/
9787210122708,阅读是一座随身携带的避难所,[英]威廉·萨默塞特·毛姆,2020,江西人民出版社,https://book.douban.com/subject/35140008/
9787513352673,横断浪途,七堇年,2023,新星出版社,https://book.douban.com/subject/36467301/
9787552706673,我从未如此眷恋人间,史铁生汪曾祺等著,2022,文通天下,https://book.douban.com/subject/35779236/
9787540483432,病隙碎笔,史铁生,2017,湖南文艺出版社,https://book.douban.com/subject/30347958/
9787545219869,我的母亲做保洁,张小满,2023,光启书局,https://book.douban.com/subject/36623046/
9787559481108,心闲天地宽,梁衡,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36909814/
9787540478087,我与地坛,史铁生,2016,湖南文艺出版社,https://book.douban.com/subject/26932218/
9787540458287,病隙碎笔,史铁生,2013,湖南文艺出版社,https://book.douban.com/subject/20476928/
9787547740989,俗女养成记,江鹅,2021,北京日报出版社,https://book.douban.com/subject/35608319/
9787547424568,我在西南联大的日子,汪曾祺,2018,山东画报出版社,https://book.douban.com/subject/30220005/
9787519478872,只记花香不记年,麦铃,2024,光明日报出版社,https://book.douban.com/subject/36838263/
9787559480828,你只是来体验生命的,李梦霁,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36690976/
9787559672650,红尘万丈,铁鱼,2023,北京联合出版公司,https://book.douban.com/subject/36658285/
9787218173153,我走入宁静蔚蓝的日子,[德]赫尔曼·黑塞,2024,广东人民出版社,https://book.douban.com/subject/36783322/
9787569913538,人间有味,汪曾祺,2017,北京时代华文书局,https://book.douban.com/subject/27049319/
9787505745919,听听那冷雨,余光中,2019,中国友谊出版公司,https://book.douban.com/subject/33374199/
9787221173836,每一句话语都坐着别的眼睛,[德]赫塔·米勒,2023,贵州人民出版社,https://book.douban.com/subject/36249596/
9787559652614,浮木,杨本芬,2021,北京联合出版公司,https://book.douban.com/subject/35479662/
9787542669964,夜晚的潜水艇,陈春成,2020,上海三联书店,https://book.douban.com/subject/35005045/
9787505756618,上野千鹤子的午后时光,[日]上野千鹤子,2023,中国友谊出版公司,https://book.douban.com/subject/36446876/
9787519478018,听风八百遍，方知是人间,韦娜,2024,光明日报出版社,https://book.douban.com/subject/36799199/
9787521216516,沿着塞纳河到翡冷翠,黄永玉,2023,作家出版社,https://book.douban.com/subject/36209410/
9787540490423,人间好玩,蔡澜,2021,湖南文艺出版社,https://book.douban.com/subject/35349436/
9787521757958,裸泳,[日]伊藤诗织,2023,中信出版社,https://book.douban.com/subject/36447219/
9787532789290,普通读者,[英]弗吉尼亚·伍尔夫,2022,上海译文出版社,https://book.douban.com/subject/36062382/
9787521756616,写下来，痛苦就会过去,[英]弗吉尼亚·伍尔夫著,2024,中信出版社,https://book.douban.com/subject/36373952/
9787549635511,午夜降临前抵达,刘子超,2021,文汇出版社,https://book.douban.com/subject/35522033/
9787553655413,游隼,[英]J.A.贝克,2017,浙江教育出版社,https://book.douban.com/subject/27108971/
9787559666895,玫瑰从来不慌张,张丽钧,2023,时代华语国际,https://book.douban.com/subject/36358092/
9787020184392,梦十夜,[日]夏目漱石,2024,人民文学出版社,https://book.douban.com/subject/36718641/
9787572615962,洋食小川,小川糸,2024,湖南文艺出版社,https://book.douban.com/subject/36759681/
9787201142708,克林索尔的最后夏天,[德]赫尔曼·黑塞,2019,天津人民出版社,https://book.douban.com/subject/30389968/
9787108042453,我们仨,杨绛,2012,生活·读书·新知三联书店,https://book.douban.com/subject/19958089/
9787515525310,走南闯北吃东西,高文麒,2024,金城出版社,https://book.douban.com/subject/36620622/
9787100122986,走到人生边上,杨绛,2016,商务印书馆,https://book.douban.com/subject/26855800/
9787559658180,春天，我想去田野里采一朵花,戴蓉,2022,北京联合出版公司,https://book.douban.com/subject/35777120/
9787544242820,当我谈跑步时我谈些什么,[日]村上春树,2009,南海出版公司,https://book.douban.com/subject/3369600/
9787544792745,一百年，许多人，许多事,杨苡/口述,2023,译林出版社,https://book.douban.com/subject/36162256/
9787522524825,龙仔尾·猫,蒋勋,2024,九州出版社,https://book.douban.com/subject/36874985/
