ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787532793921,北欧向左，美国向右？,[芬]阿努·帕塔宁,2024,上海译文出版社,https://book.douban.com/subject/36748087/
9787559673053,服美役,[意]毛拉·甘奇塔诺,2024,北京联合出版公司,https://book.douban.com/subject/36698279/
9787572609268,我在北京送快递,胡安焉,2023,湖南文艺出版社,https://book.douban.com/subject/36150423/
9787532794133,世上为什么要有图书馆,杨素秋,2024,上海译文出版社,https://book.douban.com/subject/36593622/
9787208171336,置身事内,兰小欢,2021,上海人民出版社,https://book.douban.com/subject/35546622/
9787545219869,我的母亲做保洁,张小满,2023,光启书局,https://book.douban.com/subject/36623046/
9787572608582,长安的荔枝,马伯庸,2022,湖南文艺出版社,https://book.douban.com/subject/36104107/
9787542684738,小镇做题家,谢爱磊,2024,上海三联书店,https://book.douban.com/subject/36850973/
9787545823172,移民路上的生与死,[美]杰森·德莱昂,2024,上海书店出版社,https://book.douban.com/subject/36671138/
9787305266270,资本主义现实主义,[英]马克·费舍,2024,南京大学出版社,https://book.douban.com/subject/36615454/
9787807682158,小镇喧嚣,吴毅,2018,生活·读书·新知三联书店,https://book.douban.com/subject/30122152/
9787218173863,我在上海开出租,黑桃,2024,广东人民出版社,https://book.douban.com/subject/36759005/
9787572610912,太白金星有点烦,马伯庸,2023,湖南文艺出版社,https://book.douban.com/subject/36328704/
9787533966102,生死疲劳,莫言,2022,浙江文艺出版社,https://book.douban.com/subject/35587028/
9787532189922,可能的世界,杨潇,2024,上海文艺出版社,https://book.douban.com/subject/36815098/
9787559640666,秋园,杨本芬,2020,北京联合出版公司,https://book.douban.com/subject/34998019/
9787552036107,工作、消费主义和新穷人,[英]齐格蒙特·鲍曼,2021,上海社会科学院出版社,https://book.douban.com/subject/35593780/
9787551169639,早安，怪物,凯瑟琳·吉尔迪纳,2024,花山文艺出版社,https://book.douban.com/subject/36700758/
9787020139590,额尔古纳河右岸,迟子建,2019,人民文学出版社,https://book.douban.com/subject/34432750/
9787559863034,是我的错吗？,[韩]吴赞镐,2024,广西师范大学出版社,https://book.douban.com/subject/36522018/
9787559641182,绝叫,[日]叶真中显,2020,北京联合出版公司,https://book.douban.com/subject/35031587/
9787221178954,为何生活越来越像走钢索,[美］尼可拉斯·D.克里斯多夫,2024,贵州人民出版社,https://book.douban.com/subject/36818955/
9787542683700,嫉妒与社会,[德]赫尔穆特·舍克,2024,上海三联书店,https://book.douban.com/subject/36745923/
9787532186754,多谈谈问题,吴琦,2023,上海文艺出版社,https://book.douban.com/subject/36321036/
9787020181667,不理想的妻子,王欣,2024,人民文学出版社,https://book.douban.com/subject/36866737/
9787513349369,始于极限,[日]上野千鹤子,2022,新星出版社,https://book.douban.com/subject/35966120/
9787521731460,精英的傲慢,[美]迈克尔·桑德尔,2021,中信出版社,https://book.douban.com/subject/35586814/
9787213112201,打破社交媒体棱镜,［美］克里斯·贝尔,2024,浙江人民出版社,https://book.douban.com/subject/36665663/
9787213113345,倍速社会,稻田丰史,2024,浙江人民出版社,https://book.douban.com/subject/36739593/
9787521765175,是家人，也是凶手,日本NHK特别节目录制组,2024,中信出版社,https://book.douban.com/subject/36855252/
9787222204331,法治的细节,罗翔,2021,云南人民出版社,https://book.douban.com/subject/35635639/
9787020159611,东京贫困女子,[日]中村淳彦,2021,人民文学出版社,https://book.douban.com/subject/34933208/
9787523604304,过劳,[美]艾琳·L.凯利(ErinL.Kelly),2024,中国科学技术出版社,https://book.douban.com/subject/36899439/
9787542636492,以利为利,周飞舟,2012,上海三联书店,https://book.douban.com/subject/10587755/
9787509763247,筚路维艰,萧冬连,2014,社会科学文献出版社,https://book.douban.com/subject/26171466/
9787208187511,红药丸与厌女症,[美]多娜·扎克伯格,2024,上海人民出版社,https://book.douban.com/subject/36780607/
9787521764758,脉络,吴军,2024,中信出版社,https://book.douban.com/subject/36858606/
9787536094352,我的阿勒泰,李娟,2021,花城出版社,https://book.douban.com/subject/35552619/
9787545219753,厌女,[日]上野千鹤子,2023,光启书局,https://book.douban.com/subject/36314870/
9787208062153,乡土中国,费孝通,2006,上海人民出版社,https://book.douban.com/subject/1795079/
9787513355353,包刚升政治学讲义,包刚升,2024,新星出版社,https://book.douban.com/subject/36792134/
9787542678652,东京八平米,[日]吉井忍,2023,上海三联书店,https://book.douban.com/subject/36096287/
9787571434502,生而无权,[特多]埃里克·威廉斯,2024,北京科学技术出版社,https://book.douban.com/subject/36778037/
9787549641895,吃着吃着就老了,陈晓卿,2024,文汇出版社,https://book.douban.com/subject/36705913/
9787229167127,饥饿的盛世,张宏杰,2022,重庆出版社,https://book.douban.com/subject/35888701/
9787509785836,她身之欲,丁瑜,2016,社会科学文献出版社,https://book.douban.com/subject/26804793/
9787549637300,同意,[法]瓦内莎·斯普林格拉,2023,文汇出版社,https://book.douban.com/subject/35947066/
9787542643216,叫魂,[美]孔飞力,2014,孔飞力著作集,https://book.douban.com/subject/25912076/
9787513352734,我，厌男,[法]波利娜·阿尔芒热,2023,新星出版社,https://book.douban.com/subject/36472055/
9787542680525,凯列班与女巫,[意]西尔维娅·费代里奇,2023,上海三联书店,https://book.douban.com/subject/36374149/
9787559675583,语言恶女,[美]阿曼达·蒙特尔,2024,北京联合出版公司,https://book.douban.com/subject/36849451/
9787549637317,足利女童连续失踪事件,[日]清水洁,2022,文汇出版社,https://book.douban.com/subject/35776315/
9787208182714,县中的孩子,林小英,2023,上海人民出版社,https://book.douban.com/subject/36407364/
9787559852533,翦商,李硕,2022,广西师范大学出版社,https://book.douban.com/subject/36096304/
9787516835265,明亮的夜晚,[韩]崔恩荣,2023,台海出版社,https://book.douban.com/subject/36457094/
9787214282873,压缩现代性下的韩国,[韩]张庆燮,2024,江苏人民出版社,https://book.douban.com/subject/36547250/
9787530214657,我们生活在巨大的差距里,余华,2015,北京十月文艺出版社,https://book.douban.com/subject/26291216/
9787222221833,法律的悖论,罗翔,2023,云南人民出版社,https://book.douban.com/subject/36624253/
9787559848048,可能性的艺术,刘瑜,2022,广西师范大学出版社,https://book.douban.com/subject/35819419/
9787208187467,屏幕上的受苦者,[德]黑特·史德耶尔（HitoSteyerl）,2024,上海人民出版社,https://book.douban.com/subject/36780608/
9787513348744,第七天,余华,2023,新星出版社,https://book.douban.com/subject/36174516/
9787532175512,消失的13级台阶,[日]高野和明,2020,上海文艺出版社,https://book.douban.com/subject/34996429/
9787559860286,脏活,[美]埃亚勒·普雷斯,2023,广西师范大学出版社,https://book.douban.com/subject/36413884/
9787115470294,大学之路（第二版）,吴军,2017,人民邮电出版社,https://book.douban.com/subject/27199584/
9787521704693,倦怠社会,[德]韩炳哲,2019,见识城邦,https://book.douban.com/subject/33442259/
9787520112178,权力与特权,[美]格尔哈特·伦斯基,2018,社会科学文献出版社,https://book.douban.com/subject/27101663/
9787553520643,平面国,[英]埃德温·A.艾勃特,2020,上海文化出版社,https://book.douban.com/subject/35170896/
9787506365697,兄弟,余华,2012,作家出版社,https://book.douban.com/subject/20441957/
9787536084469,遥远的向日葵地,李娟,2017,花城出版社,https://book.douban.com/subject/27184303/
9787559672377,命悬一线我不放手,薄世宁,2023,北京联合出版公司,https://book.douban.com/subject/36654672/
9787532777914,鱼翅与花椒,[英]扶霞·邓洛普,2018,上海译文出版社,https://book.douban.com/subject/30183051/
9787553518510,回归故里,[法]迪迪埃·埃里蓬,2020,上海文化出版社,https://book.douban.com/subject/34942789/
9787305269387,将熟悉变为陌生,[英]齐格蒙·鲍曼,2023,南京大学出版社,https://book.douban.com/subject/36409321/
9787544280914,惊呆了！原来这就是社会学,［日］田中正人,2021,南海出版公司,https://book.douban.com/subject/35434553/
9787542679307,要命还是要灵魂,[美]安妮·法迪曼,2023,上海三联书店,https://book.douban.com/subject/36164018/
9787020035250,沧浪之水,阎真,2001,人民文学出版社,https://book.douban.com/subject/1054917/
9787301174821,乡土中国,费孝通,2012,北京大学出版社,https://book.douban.com/subject/20395476/
9787532188161,我们从未中产过,[以]豪道斯·魏斯,2024,上海文艺出版社,https://book.douban.com/subject/36501049/
9787532761760,局外人,(法)阿尔贝·加缪,2013,上海译文出版社,https://book.douban.com/subject/24257486/
9787547744482,疼痛部,[荷]杜布拉夫卡·乌格雷西奇,2023,北京日报出版社,https://book.douban.com/subject/36206462/
9787532185610,最后的耍猴人,马宏杰,2023,上海文艺出版社,https://book.douban.com/subject/36198597/
9787572613593,恶魔之家,[日]石井光太,2024,湖南文艺出版社,https://book.douban.com/subject/36504520/
9787513349611,看不见的女性,卡罗琳·克里亚多·佩雷斯,2022,新星出版社,https://book.douban.com/subject/35942057/
9787020171774,你的夏天还好吗？,[韩国]金爱烂,2022,人民文学出版社,https://book.douban.com/subject/36109174/
9787521754797,去他的父权制,[法]玛蒂尔德·拉雷尔,2023,中信出版社,https://book.douban.com/subject/36387845/
9787521741667,繁荣与停滞,伊藤隆敏,2022,中信出版社,https://book.douban.com/subject/36093153/
9787513345651,Blue,[日]叶真中显,2021,新星出版社,https://book.douban.com/subject/35503551/
