ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787536692930,三体,刘慈欣,2008,重庆出版社,https://book.douban.com/subject/2567698/
9787536693968,三体Ⅱ,刘慈欣,2008,重庆出版社,https://book.douban.com/subject/3066477/
9787229030933,三体Ⅲ,刘慈欣,2010,重庆出版社,https://book.douban.com/subject/5363767/
9787544782173,索拉里斯星,[波]斯坦尼斯瓦夫·莱姆,2021,译林出版社,https://book.douban.com/subject/35049755/
9787544787352,挽救计划,[美]安迪·威尔,2021,译林出版社,https://book.douban.com/subject/35494160/
9787553520643,平面国,[英]埃德温·A.艾勃特,2020,上海文化出版社,https://book.douban.com/subject/35170896/
9787544785631,未来学大会,[波]斯坦尼斯瓦夫·莱姆,2021,译林出版社,https://book.douban.com/subject/35330057/
9787539957173,永恒的终结,[美]艾萨克·阿西莫夫,2014,江苏凤凰文艺出版社,https://book.douban.com/subject/25829693/
9787508672717,人生复本,[美国]布莱克·克劳奇,2017,中信出版社,https://book.douban.com/subject/27125958/
9787549565115,献给阿尔吉侬的花束,[美]丹尼尔·凯斯,2015,广西师范大学出版社,https://book.douban.com/subject/26362836/
9787536455382,球状闪电,刘慈欣,2005,四川科学技术出版社,https://book.douban.com/subject/1192090/
9787572614675,失去的过去与未来的犯罪,[日]小林泰三,2024,湖南文艺出版社,https://book.douban.com/subject/36593833/
9787229042066,三体全集,刘慈欣,2012,重庆出版社,https://book.douban.com/subject/6518605/
9787572704864,如果我们无法以光速前行,[韩]金草叶,2022,四川科学技术出版社,https://book.douban.com/subject/35802914/
9787513355391,行星仪轨,暗号,2024,新星出版社,https://book.douban.com/subject/36759461/
9787122346032,克莱因壶,[日]冈岛二人,2019,化学工业出版社,https://book.douban.com/subject/33658616/
9787544756426,仿生人会梦见电子羊吗？,[美]菲利普·迪克,2017,译林出版社,https://book.douban.com/subject/27041533/
9787513350440,祈祷之海,[澳]格雷格·伊根,2023,新星出版社,https://book.douban.com/subject/36138906/
9787513352413,星之创造者,[日]谷甲州,2024,新星出版社,https://book.douban.com/subject/36480388/
9787569066906,赛博遗产,九伏,2024,四川大学出版社,https://book.douban.com/subject/36759691/
9787532170692,2001：太空漫游,[英]阿瑟·克拉克,2019,上海文艺出版社,https://book.douban.com/subject/30471298/
9787544752473,你一生的故事,[美]特德·姜,2015,译林出版社,https://book.douban.com/subject/26295448/
9787521757965,巴别塔,[美]匡灵秀,2023,中信出版集团,https://book.douban.com/subject/36463571/
9787544779319,呼吸,[美]特德·姜,2019,译林出版社,https://book.douban.com/subject/34672176/
