ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Douban-URL
9787208187467,屏幕上的受苦者,[德]黑特·史德耶尔（HitoSteyerl）,2024,上海人民出版社,https://book.douban.com/subject/36780608/
9787208188105,回音室,[英]柯律格,2024,上海人民出版社,https://book.douban.com/subject/36799358/
9787208186675,审美即信仰,郭婷,2024,上海人民出版社,https://book.douban.com/subject/36664234/
9787108077936,天人之际,[美]巫鸿,2024,生活·读书·新知三联书店,https://book.douban.com/subject/36784975/
9787559867766,新浪潮,[法]安托万·德巴克,2024,广西师范大学出版社,https://book.douban.com/subject/36733629/
9787542684400,伦勃朗的眼睛,[英]西蒙·沙玛,2024,上海三联书店,https://book.douban.com/subject/36832265/
9787535692313,博斯,[美]劳琳达·狄克逊,2024,湖南美术出版社,https://book.douban.com/subject/36781326/
9787574113251,不必向长安,金哲为,2024,江苏凤凰美术出版社,https://book.douban.com/subject/36801839/
9787542683083,如何打开中国艺术,[美]包华石,2024,上海三联书店,https://book.douban.com/subject/36675029/
9787532189793,古典音乐界的亚洲人,[美]吉原真里,2024,上海文艺出版社,https://book.douban.com/subject/36732200/
9787549586646,现代艺术150年,[英]威尔·贡培兹,2017,广西师范大学出版社,https://book.douban.com/subject/26854318/
9787301348420,观无量,苗子兮,2024,北京大学出版社,https://book.douban.com/subject/36789590/
9787572616662,小顾聊绘画·叁,顾爷,2024,湖南文艺出版社,https://book.douban.com/subject/36824161/
9787574009486,早春的中国,[日]久保田博二,2024,四川美术出版社,https://book.douban.com/subject/36783308/
9787521762112,创作与爱,[芬兰]图拉·卡尔亚莱宁,2024,中信出版集团,https://book.douban.com/subject/36677762/
9787305261435,艺术批评入门,[美]克尔·休斯顿,2024,南京大学出版社,https://book.douban.com/subject/36216078/
9787559481788,巴黎月色下,[法]乔治·巴比尔等绘,2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36799355/
9787574603950,意大利文艺复兴时期的宫廷,[英]艾莉森·科尔,2024,湖南美术出版社,https://book.douban.com/subject/36794603/
9787559672827,街头诗人,[美]薇薇安·迈尔/摄,2024,北京联合出版公司,https://book.douban.com/subject/36679035/
9787208184787,思考尺度,(美)巫鸿著,2024,上海人民出版社,https://book.douban.com/subject/36540470/
9787559863607,脸庞，锋芒,[墨]乌戈·韦尔塔·马林,2024,广西师范大学出版社,https://book.douban.com/subject/36557095/
9787301343623,四时之外,朱良志,2023,北京大学出版社,https://book.douban.com/subject/36567057/
9787511744456,画框中的女性,[英]凯瑟琳·麦科马克,2024,中央编译出版社,https://book.douban.com/subject/36829321/
9787221176257,图像,[意]里卡尔多·法尔奇内利,2023,贵州人民出版社,https://book.douban.com/subject/36330464/
9787558087233,意大利文艺复兴新艺术史,[美]斯蒂芬·J.坎贝尔,2024,江苏凤凰美术出版社,https://book.douban.com/subject/36609558/
9787553528687,壮游欧洲,[法]克洛德·布埃莱,2024,上海文化出版社,https://book.douban.com/subject/36680795/
9787572616389,小小小小的人间,李彬,2024,湖南文艺出版社,https://book.douban.com/subject/36790833/
9787100201155,摹神记,[英]约翰·拉斯金,2024,商务印书馆,https://book.douban.com/subject/36220088/
9787108072870,空间的敦煌,巫鸿,2022,生活·读书·新知三联书店,https://book.douban.com/subject/35694442/
9787532794874,入木三分,[美]约翰·厄普代克,2024,上海译文出版社,https://book.douban.com/subject/36809176/
9787100226530,肯尼斯·克拉克,[英]詹姆斯·斯托顿,2024,商务印书馆,https://book.douban.com/subject/36465523/
9787545219937,发现可爱,[日]原田治,2024,光启书局,https://book.douban.com/subject/36687165/
9787545219944,原田治的美术笔记,[日]原田治,2024,光启书局,https://book.douban.com/subject/36687174/
9787513352697,理解漫画,[美]斯科特·麦克劳德,2024,新星出版社,https://book.douban.com/subject/36805192/
9787521755756,我还能看到多少次满月升起,[日]坂本龙一,2023,中信出版社,https://book.douban.com/subject/36361860/
9787507236774,会讲故事的中国艺术,邱雯著者,2024,中国中福会出版社,https://book.douban.com/subject/36849863/
9787301331880,溪山清远,(美)高居翰,2022,北京大学出版社,https://book.douban.com/subject/36084932/
9787305277214,李安访谈录,[美]卡拉·雷·富勒编,2024,南京大学出版社,https://book.douban.com/subject/36791197/
9787550740198,莫娜的眼睛,托马·施莱塞,2024,深圳出版社,https://book.douban.com/subject/36895584/
9787214278692,米芾,[美]石慢,2024,江苏人民出版社,https://book.douban.com/subject/36751610/
9787571023744,昆虫的艺术,[英]列文·比斯,2024,湖南科学技术出版社,https://book.douban.com/subject/36745906/
9787301336168,艺术：让人成为人,[美]理查德·加纳罗,2023,北京大学出版社,https://book.douban.com/subject/36180874/
9787575300100,齐美尔论艺术,[德]格奥尔格·齐美尔,2024,译林出版社,https://book.douban.com/subject/36723177/
9787574601161,如何解读东方地毯,[美]沃尔特·B.丹尼,2024,湖南美术出版社,https://book.douban.com/subject/36838980/
9787552043358,艺术无处不在,[英]陈埃莉著,2024,上海社会科学院出版社,https://book.douban.com/subject/36814421/
