isbn,title,author,year,publisher,genre
9787540496715,两京十五日,马伯庸,2020,湖南文艺出版社,0
9787203128830,暮日耀光,韦庆远,2023,山西人民出版社,0
9787513944441,狼性时代,[德]哈拉尔德·耶纳,2024,民主与建设出版社,0
9787516825976,渤海小吏的封建脉络百战系列：楚汉双雄,渤海小吏,2020,台海出版社,0
9787101115123,中国近代史（彩图增订本）,蒋廷黻,2016,中华书局,0
9787545580174,惠通桥之战,余戈,2024,天地出版社,0
9787553819174,成为雍正,李正,2023,岳麓书社,0
9787569947281,古埃及神话,【英】凯瑟琳·钱伯斯,2024,北京时代华文书局,0
9787509017531,中国的奋斗,[美]徐中约,2024,当代世界出版社,0
9787552043204,中国租界通史,费成康,2024,上海社会科学院出版社,0
9787303183876,危机与重构,李碧妍,2015,北京师范大学出版社,0
9787213113789,隋唐帝国权力结构及制度演进,雷家骥,2024,浙江人民出版社,0
9787108060136,近代中国社会的新陈代谢,陈旭麓,2017,生活·读书·新知三联书店,0
9787511573537,透过地理看历史：大航海时代,李不白,2022,人民日报出版社,0
9787550232822,中国古代文化常识,王力主编,2014,北京联合出版公司,0
9787101081121,资治通鉴,[宋]司马光编著,2011,中华书局,0
9787520214292,两晋悲歌,渤海小吏,2023,中国大百科全书出版社,0
9787571434502,生而无权,[特多]埃里克·威廉斯,2024,北京科学技术出版社,0
9787208164833,魏晋南北朝史,王仲荦,2020,上海人民出版社,0
9787547322871,南国多秀士,黄庭硕,2024,东方出版中心,0
9787300325897,中国的军阀政治,[美]齐锡生,2024,中国人民大学出版社,0
9787208158191,细说宋朝,虞云国,2019,上海人民出版社,0
9787511380326,被统治的艺术,[加]宋怡明,2019,中国华侨出版社,0
9787510886768,第三帝国的到来,[英]理查德·J.埃文斯,2020,九州出版社,0
9787108045188,三案始末,温功义,2013,生活·读书·新知三联书店,0
9787500878506,金钱、奇珍异品与造物术,[美]丹尼尔·马戈奇,2024,中国工人出版社,0
9787203132097,再造大唐,穆渭生,2024,山西人民出版社,0
9787511213273,南明史,顾诚,2011,光明日报出版社,0
9787301162057,历史的观念,[英]柯林武德,2010,北京大学出版社,0
