ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787229185084,紫禁城三十作,唐炜杰,"本书是一部以清代紫禁城工匠文化为题材的悬疑小说，讲述了以大内第一高手叶昶为主角的三兄弟联手破获奇案的故事。叶昶为人正直，武功不凡，崇奉“公证法典”四字，加之常年戴半张金面遮脸，被誉为“金面判官”。秦跃龙冷静睿智、心思缜密，独掌朝廷的“大数据库”皇史宬。二人可以说是乾隆皇帝的左膀右臂。此时，洪门反清复明的信念犹在，收买清朝造办处高官伺机制造案件，安插暗桩图谋起事。一年一度的“供月大典”举办在即，造办处三十作坊却频发血案，乾隆让叶昶和秦跃龙限期查获缘由，竟然追查出三位皇子为立储之事暗中较量之事。其间，叶昶遭遇背叛心灰意冷，但随着江湖又现奇案，“五觉”逐一浮出水面，叶昶能否找回失落的初心……
全书通过考据紫禁城造办处三十作的工匠档案文献，将三十作之中每个作坊的工匠技艺与文化元素一一呈现出来。这些文化元素，不仅被镶嵌进紧凑丰富的故事情节中，而且突显出了每个作坊独具韵味的宫廷技艺特征。读者除了能看到新鲜刺激的故事外，还能感受到中国传统文化所带来的视觉震撼与艺术魅力。
1.题材的独特性：首部以故宫工匠文化为题材的悬疑小说。
2.独特的历史背景：小说聚焦乾隆年间的紫禁城，以三十作坊为舞台，融入了悬疑、推理的元素，让读者在感受历史氛围的同时，还能体验到紧张刺激的侦探过程。
3.丰富的人物刻画：小说中的人物形象丰满多样，既有皇族权贵，也有默默无闻的匠人。通过对这些人物的描绘，展现了当时的社会风貌和世间百态。
4.文化内涵深厚：作品以传统文化为底蕴，讲述了乾隆年间辉煌的皇家工艺。在阅读过程中，读者可以感受到我国古代工艺美术的博大精深。
5.强烈的现实意义：小说以历史为镜，反映了当代社会对传统文化的尊重与传承，让读者在欣赏故事的同时，思考文化传承的重要性。
6.附赠乾隆年间的北京内城图。",2024,重庆出版社,https://book.douban.com/subject/36874512/,https://img9.doubanio.com/view/subject/s/public/s34860445.jpg
9787572616099,食南之徒,马伯庸,"【内容简介】
ZUI贪吃的大汉使者唐蒙，
来到了ZUI会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位争斗、国策兴废……种种波谲云诡，竟比岭南食材的风味更加复杂。
这个懒散的大汉使者，身陷岭南的政争漩涡。他唯一能信赖的伙伴，只有食物；唯一的破局之法，只有追求极致美食的心。
谁都没想到，那一缕微妙滋味，竟关乎大汉与南越国运，乃至于整个中华版图……
【编辑推荐】
《食南之徒》是马伯庸2024年全新长篇历史小说。贪吃的汉使唐蒙来到饕餮圣地南越，没想到卷入南越宫廷的政争之中，南北对峙、族群隔阂、权位争斗、国策兴废……时局波谲云密，他能信赖的只有美食，能够破局的也只有那颗追求极致美食的心。更没人想到，唐蒙敏感的味觉竟然拓展了大汉对中华版图的认知……
美食不会骗人，每个人在它面前，都会露出本性。
1.马伯庸2024年全新长篇历史小说。
2.西汉“吃货”唐蒙出使南越，从“躺平”到“趟平”的故事。
3.一味不知原料的酱料，一枚原生北土的枣核，勾连出中华版图变迁的一段隐秘传奇，西南丝绸之路开拓史竟也由此展开。
4.知名画家施晓颉绘制封面，随书附赠五折六联全彩明信片插图。",2024,湖南文艺出版社,https://book.douban.com/subject/36710597/,https://img3.doubanio.com/view/subject/s/public/s34823157.jpg
9787559852533,翦商,李硕,"一部夏商周启示录
许宏作序；罗新+许纪霖+刘苏里+杨斌一致推荐
许宏：“这书读起来就让你放不下，最后，我要用‘震撼’二字来形容自己的感觉和心情了。”
★界碑：从这本书开启中国史的阅读！
本书带有界碑性质，作者攀爬到了该研究领域的顶端，还将是同类研究和写作绕不过去的作 品。
同时，它还设立了一个出发点：凡对古典中国思想、信仰、伦理、风俗，以及政治、制度有兴趣的研究者或普通读者，可以先从这本书开始你的探索。
该部作品还是过往几十年社会承平和财富积累的结晶，让我们在再次进入幽暗的历史通道前，一窥我们这群人何以如此，何以至今。它将予我们鼓励，认识自己，直面未来。
——刘苏里 万圣书园创办人
★数学家的逻辑，文学家的想象
一部好的历史著作，不仅要数学家的逻辑，还要文学家的想象。由此观之，李硕的《翦商》，宏大处堂堂正正，细微处绵绵实实：详述了人祭现象在早期华夏文明的出现和消失，以及为什么“武王克商”不仅仅是一场简单的政权更替，更是华夏文明形成史上的里程碑式的革命。
因此，我愿意以“商周变革”来归纳李硕的洞见：对于华夏文明而言，这场变革比两千年后的唐宋变革的意义更深、更远！
——杨斌 澳门大学历史系教授，西泠印社社员，《海贝与贝币：鲜为人知的全球史》作者
★用考古成果读懂玄奥文献，重构武王伐纣的历史认知
在传统的上古历史叙述中，商周易代的面目是模糊的。对于背后的细节，我们知之甚少。纣王“无道”的表现有哪些？商朝王室的贵族生活是怎样的？商朝人究竟是什么人？他们的日常生活与祭祀之间有何秘密？本书运用大量现代考古发掘的成果，对应甲骨文卜辞及《易经》卦象，将费解的言辞重新释义，为读者揭开了华夏上古历史中重要的一页。
王国维之后，商周革命在中国历史上的重要性已深入人心；而李硕则把这一重要性，形象生动地描画了出来。
——罗新 北京大学历史系教授
★再现人祭与华夏早期文明从伴生到分离的伟大转折
第一王朝夏朝（二里头）沿袭了新石器时代以来的杀人献祭的风俗，并在商朝登峰造极。周文王因受商纣王怀疑而被作为人牲拘禁在殷都，长子伯邑考也被纣王献祭。此后，文王发展出《易经》的卦、爻辞体系，并记录了周文王亲历和认知的诸多事件，最终目的是推算“翦商”的战略。
武王灭商后，曾模仿商人的人祭行为；武王死后，由周公辅政，彻底禁绝了人祭宗教，销毁了有关商代人祭的文献记录，并制造出一套没有人祭的理想化历史叙事，以及基于“德”的世俗政治与道德体系。
国之大事，在祀与戎。本书从人祭开始，讲述了商朝的祭祀与战争为何有如此紧密的联系，以及殷周之变是如何发生的。
——许纪霖 华东师范大学历史系教授
★发掘上古时代的人文精神，追忆华夏文明的启蒙熹光
向起源回溯，商周易代正是华夏新生的起点。这并非一次简单的朝代更迭。周朝所开启的礼乐文明，取代了商朝的鬼神文化；周公和孔子的人本主义，战胜了武丁与纣王的“宗教神秘主义”，为中国人的信仰奠定了基石。
★青年历史学家、《南北战争三百年》作者李硕重磅新作
李硕著有《南北战争三百年》《孔子大历史》等有影响力的历史著作；本书则深入上古史，用鲜活的叙述，深入探索了商人与周人的民族起源、信仰习俗、战争军事与日常生活，将故纸堆与遗址变成了生动的情节故事，用史料赋神话中的人物（姜太公、周文王、商纣王……）以血肉。
【内容简介】
“李硕中国史”开篇之作，从这本书开启中国史的阅读！
本书主要讲述华夏文明的萌生与转型。从距今四千年前夏朝（二里头文化）的出现，到三千年前商朝的灭亡、西周建立，时间跨度一千余年。
从新石器时代以来，华北地区形成了杀人献祭的原始宗教。第一王朝夏朝（二里头）也沿袭了这种人祭文化，并在随后的商朝登峰造极。周族僻处西部，本没有人祭传统，但他们曾投靠商朝，为商朝捕猎用于献祭的羌人。周文王因受到商纣王怀疑，被作为人牲拘禁在殷都，最后，文王的长子伯邑考被纣王献祭。文王学习了商人的易卦占算技术，发展出《易经》的卦、爻辞体系——记录周文王亲历和认知的诸多事件，最终目的是推算“翦商”的战略。
武王灭商后，曾模仿商人的人祭行为；武王死后，由周公辅政，彻底禁绝了人祭宗教，销毁了有关商代人祭的文献记录，并制造出一套没有人祭的理想化历史叙事，以及基于“德”的世俗政治与道德体系。
周公的这些举措，开创了新的华夏文明。五百年后，孔子编辑儒家“六经”，系统整理周公的理论成果。周公和孔子塑造了儒家学派，其影响一直持续到现代。
概而言之，本书借助考古材料和传世文献，梳理了上古人祭风俗产生、繁荣和消亡的全过程，以及人祭与华夏早期文明从伴生到分离的伟大转折，再现了古人（周人）为终结商朝和人祭风俗付出的巨大努力，使我们对华夏文明的起源有了全新的认知。",2022,广西师范大学出版社,https://book.douban.com/subject/36096304/,https://img1.doubanio.com/view/subject/s/public/s34385069.jpg
9787572608582,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲",2022,湖南文艺出版社,https://book.douban.com/subject/36104107/,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
9787222224933,从中国出发的全球史,葛兆光主编,"资深学者葛兆光教授主编
由中国人自己撰写的首部全球史
凝聚二十几位学者的“激情·野心·才华”
讲述三百万年“全球·人类·文明”的故事
◎内容简介
本书由“看理想”深受关注和有影响力的节目“从中国出发的全球史”转化而来，历经主编葛兆光教授和各位作者多次用心打磨而成。本书讲 述的是一种超越国家的，笼括全球的，联系的、互动的、交往的历史，采用了国际化的视野，前沿的理论成果和历史观念，以及好听的故事和鲜活的人物。本书讲述的也是一种没有中心的历史，它与来自西方的各种全球史都不同，摒弃了历史学的任何中心主义，真正呈现了中国历史学者眼中的全球史观。
近些年来，关于全球史的著作陆续出版了不少，但是没有一部是属于我们中国学者自己所叙述的从中国出发的全球史。而本书的出版，弥补了这一遗憾和缺陷，在全球史的学术领域，显现了中国学者的抱负和水准。
◎编辑推荐（作品看点）
★二十余位资深学者，带你打开历史的“任意门”
本套丛书由资深历史学者葛兆光教授主编，除此之外更是邀请到了二十余位堪称一时之选的、对各个领域有着深刻研究的中青年学者参与撰稿。如此强大阵容，可谓是前所未有。
★打破国别史的单一视角，既讲述人的历史，同时也观照“物”的历史
《从中国出发的全球史》以故事为原点，同时也观照“物”的历史，探讨人类与文明的起源与彼此之间的联系，讲述全球史中的帝国、战争与移民，商品、贸易与物质交换，宗教与信仰，疾病、气候与环境，大航海之后交错的历史进程。
★改变“欧洲中心”的立场，从中国视角出发看待全球历史
我们不能把不同文明、不同族群和不同国家区隔为互不通融的、在历史上相互之间没关系的若干块。国+国≠世界，欧洲史≠全球史。只有在我们破除了国家本位的束缚、改变了欧洲中心的立场之后，更为丰盛的全球史全景图才得以呈现在我们眼前。
★新增大事年表与参考书目，精选并收录大量配图，内容较音频课程更丰富
语言精炼简洁、通俗易懂。除此之外，本书还为读者提供了大事年表，在每季的最后也增补了每一季相对应的参考书目，精选了百来幅相关图片作为插图，不仅提高了可读性，也营造了强大的历史画面感。
◎推荐语
这本书的目的是要促进大家了解中国是世界的一部分。我们不仅是拿中国对照外面，也是把中国放在世界里面。我希望这能够蔚成风气，使中国的历史教学研究有更宏阔的眼光，更能思考未来，找到过去跟未来有关的事情。
——许倬云
一般来说，历史学总是有两个崇高理想，其中一个，就是通过国别史追溯民族和国家的来龙去脉，让人们意识到，我们是谁？然而出现在“现代之后”也就是全球化时代的全球史，却希望达成的是历史学的另一个崇高理想，即培养世界公民。
——葛兆光",2024,云南人民出版社,https://book.douban.com/subject/36669709/,https://img9.doubanio.com/view/subject/s/public/s34821906.jpg
9787559869012,制造亚洲,宋念申,"🗺️一部亚洲的诞生史，就是一部现代世界形成史。
🗺️一部书写在古地图上的全球史。让沉默的地图开口说话，揭开百余幅珍贵古地图背后的故事。
🗺️“文景历史写作奖”十强、清华大学教授宋念申，写给历史爱好者和地图爱好者的必读之书。
🗺️国内历史学、地理学权威学者李孝聪、孙歌、唐晓峰鼎力推荐！
——【内容简介】——
我们生活在这片名为“亚洲”的地域上，你是否有过这样的疑问：
亚欧大陆明明是一体的，为什么分成亚、欧两大洲？分界的依据又是什么？从欧洲人命名“亚细亚”，到这片土地上的人们成为“亚洲人”，中间又经历了哪些曲折？
清华大学教授宋念申告诉我们：古地图是探索亚洲形成史和反思现代性的关键一环。
在新作《制造亚洲：一部地图上的历史》中，他借由百余幅珍贵的古地图材料，描摹了亚洲（及中国）在地图上出现、发展、变化、定型的过程，同时观察了这一过程中的各种权力结构——资本主义、殖民主义、帝国主义、领土国家——在地图上的呈现与表达。
地图的演进，是否真的朝向科学？
殖民主义语境下的“发现”，究竟是 “发展”还是掠夺？
研究和思考“亚洲反题”，能为现代带来何种新的可能？
以古代地图为视觉材料，本书通过看图、说图，走近真实的历史，以直白生动的文字，向大众读者介绍前沿、有趣的学术思考。
——【名家推荐】——
从众多相关古地图中提取历史线索，展开对特定问题的深入讨论，这是不多见的。因而本书具有多方面的学术价值。
——北京大学城市与环境学院教授 唐晓峰
亚洲一词，来自亚述语的亚苏（asu），意思是太阳升起的地方，以后欧洲人将所有地中海以东的地区都称作asu，并将其读成Asia。人类早期对地球大陆认识的逐步深化是靠不断的地理考察达到的。这种地理考察无论是航海还是陆路跋涉；无论是为了远程贸易，或是殖民者的军事征服，都推动了人类对未知大陆地理视野的逐步深入。人类或靠文字记述认知历史，或绘制地图表达对地理空间的理解。本书的看点在于作者通过解析各个时代地图绘制的历史叙事，告诉读者不要以为地图上的亚洲只是一个自然的产物，而是有着被制造的过程。
——北京大学历史学系教授 李孝聪
地图凝聚了三维时空，却不动声色地伪装成平面。线条下隐藏的故事，时空中流动的色彩，定格在一张张指示地理位置的地图中，等待着有识者的发掘。在这个读图时代里，最有含量也因而最难解读的图像就是地图。本书作者在地图中寻路，在平面中发掘，为我们激活了那些已然定格的动态历史，揭示了地图如何说话的秘密，并且，在“世界”这个整体的人类空间想象中，为我们呈现了亚洲饱经沧桑而充满能量的生命历程。
——中国社会科学院文学研究所研究员、北京第二外国语学院特聘教授 孙歌",2024,广西师范大学出版社,https://book.douban.com/subject/36858419/,https://img3.doubanio.com/view/subject/s/public/s34844377.jpg
9787553820385,中国历代政治得失,钱穆,"史学大家钱穆经典常销名著。
十万字讲透两千年中国政治制度因革演变与利害得失。
新增北大国发院院长姚洋，人大、华东师大等高校历史系教授联袂撰写之导读手册。
本书为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政治组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要钩玄的概观与比照，叙述因革演变，指陈利害得失。既高屋建瓴的总括了中国历史与政治的精要大义，又点名了近现代国人对传统文化和精神的种种误解。言简 意赅，语重心长，实不失为一部简明的中国政治制度史",2024,岳麓书社,https://book.douban.com/subject/36792415/,https://img3.doubanio.com/view/subject/s/public/s34815277.jpg
9787801656087,明朝那些事儿（1-9）,当年明月,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人物的命运进行全景展示，尤其对官场政治、战争、帝王心术着墨最多。作品也是一部明朝政治经济制度、人伦道德的演义。,2009,中国海关出版社,https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg
9787540488475,显微镜下的大明,马伯庸,"★ 马伯庸全新历史纪实作品，一本值得收藏的明朝历史书
★ 六件罕为人知的明代档案，六个尘封已久的民生往事
★ 生动的基层治政手册，于细微处读懂真正的古代中国
★ 这本书娓娓道来，用笔绵密细致。读者读来也可以从一个又一个细节当中，编织起一个复杂的大明帝国。——张宏杰
----------------------------- ----------------------------------------------------
本书讲述的，是六个深藏于故纸堆中的明代基层政治事件。
作者从明代的一系列罕见民间档案文书里，挖掘出这些尘封已久的故事。这些档案是中国历史中绝无仅有的奇迹，它们着眼于平民的政治生活，而且记录极为详尽。在这里，我们能看到朴实的百姓诉求、狡黠的民间智慧、肮脏的胥吏手段、微妙的官场均衡之术，从无数个真实的细节里，展现出一幅极其鲜活的政治生态图景。
这六个事件聚焦于一府一县乃至一村之内，记录的是最底层平民的真实政治生活：当遭遇税收不公时，他们如何愤起抗争；当家族权益受到损害时，他们如何兴起诉讼；当政治利益与商业利益发生矛盾，他们如何与官府周旋博弈；当朝廷要求整顿户籍，他们又是如何从中造假牟利……
《学霸必须死——徽州丝绢案始末》：万历年间，一项不公正的税收政策在徽州府引发了旷日持久的混乱。乱民、县官、州府、户部、首辅、皇帝等诸多利益集团的博弈之局。
《笔与灰的抉择——婺源龙脉保卫战》：婺源县一场持续了六十四年的经济争端，反映了一个县级官员，是如何在重大议题上平衡一县之利害的。
《谁动了我的祖庙——杨干院律政风云》：歙县一桩民间庙产争夺案。诉讼双方在这场绵延八年的官司中各展所长，用尽心思，上演了一场精彩绝伦的嘉靖法律大戏。
《天下透明——大明第一档案库的前世今生》：一个坐落于后湖（玄武湖）中的冷门机构——大明黄册库从建立到衰败的全过程。了解明代的基层统治，是如何一步步垮掉的。
《胥吏的盛宴——彭县小吏舞弊案》：一件小到不能再小的官司，却引来了无数贪婪蚊虫的叮咬。胥吏之恶，被刻画得淋漓尽致。
《正统年间的四条冤魂》：四个无辜的清白老百姓，是如何裹挟入朝廷斗争的。
作者力图以冷静克制的零度叙事，替那些生于尘埃、死于无闻的蝼蚁之辈作传，转述他们湮没于宏大历史中的声音。想要读懂大明，想要读懂中国古代政治，不可只注目于朝堂，亦要听到最底层的呐喊。在一个个普通人的遭遇中，才蕴藏着最真实的规律。",2019,湖南文艺出版社,https://book.douban.com/subject/30414743/,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg
9787542643216,叫魂,[美]孔飞力,《叫魂:1768年中国妖术大恐慌》讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是空前绝后的一人。他建立并巩固起来的大清帝国达到了权力与威望的顶端。然而整个大清的政治与社会生活却被一股名为“叫魂”的妖术搅得天昏地暗。在1768年由春天到秋天的那几个月里，这股妖风竟然冲击了半个中国，百性为之惶恐，官员为之奔命，连乾隆也为之寝食难安。作者孔飞力细致入微的描写令人颤栗，他生动地再现了各省的恐慌是如何演变成一场全国性的除妖运动。《叫魂:1768年中国妖术大恐慌》也表现出了一种更为宏大的学术视野，在构建以“叫魂”案为中心的“大叙事”的过程中，在方法论的层次上将社会史、文化史、政治史、经济史、区域分析、官僚科层制度分析以及心理分析等研究方法结合在一起。,2014,孔飞力著作集,https://book.douban.com/subject/25912076/,https://img3.doubanio.com/view/subject/s/public/s28118682.jpg
