ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787559863324,从数学到哲学,[美]王浩,"近代著名数理逻辑学家王浩哲学代表作，正面集中阐释其哲学思想，循着从柏拉图到哥德尔的“数学-哲学家”传统，展开一场从数学到哲学的智慧之旅。
叶峰、郝兆宽、杨跃联袂推荐！中译本首次出版，专业译者精心翻译！
【本书看点】
1.还原一个更真实、更全面的华裔天才哲学家王浩。
王浩是近代著名数理逻辑学家，早年就读于西南联大数学系，后在哈佛大学完成博士学位，又先后任教于哈佛大学、牛津大学。
他是“人工智能之父”明斯基崇拜的天才、“图灵奖”获得者库克的导师、蒯因的得意门生、库尔特•哥德尔的忘年挚友……
他在数学、逻辑学、计算机科学领域有着超高天赋和开拓性成果，是人工智能重要研究领域“机器定理证明”的奠基人，是“王浩机”模型、“王氏悖论”命题的提出者。1952年他当选美国科学与艺术学院院士，1983年获得国际人工智能联合会与美国数学会共同授予的“定理证明里程碑奖”。
他一生都痴迷于哲学研究，是对世界哲学作出过深刻贡献的华裔学者，《从数学到哲学》循着从柏拉图到哥德尔的“数学-哲学家”传统，是作为哲学家的王浩留在世界的宝贵精神遗产。
2.王浩哲学代表作，一部正面集中阐释其哲学思想的作品，囊括王浩思想的精华。
首次对实质事实主义一般立场进行长篇阐发；
广泛、深入地讨论数学哲学的诸议题；
探索心灵与机器、数学与计算机、知识与生活等话题；
考察逻辑和数学领域的一些基本概念，如自然数、连续统、机械程序、集合和逻辑真等。
3.中译本首次出版，专业译者精心翻译，忠于原文，精准流畅。
本书的翻译历时数载，由山西大学科学技术哲学研究中心高坤、北京大学哲学系邢滔滔教授精心翻译，斟字酌句，以助读者更好地理解王浩的数学哲学思想。
4.叶峰、郝兆宽、杨跃联袂推荐，一场从数学到哲学的智慧之旅。
权威深刻、富有启发、精湛翻译。这既是一本很权威的数理逻辑与数学基础方面的普及性读物，又是分析哲学研究者的必读专著，值得每一位想要深入理解王浩数学哲学思想的读者阅读。
5.装帧精美，版式舒朗，便于阅读。
封面的“楼梯”元素代表书名“从数学到哲学”的动态寓意；“王浩机”元素作为王浩的代表性成果也被巧妙使用；局部烫银、质感细腻、牢固耐翻、便于阅读。
【内容简介】
近代著名数理逻辑学家王浩在数学、逻辑学、计算机科学领域有着超高天赋和开拓性成果，他一生痴迷于哲学研究，是对世界哲学作出过深刻贡献的华裔学者。
本书是王浩的代表作，是其正面集中阐释自己哲学思想的作品。循着从柏拉图到哥德尔的“数学-哲学家”传统，王浩在书中首次对实质事实主义一般立场进行了长篇阐发；广泛、深入地讨论了数学哲学的诸议题；探索了心灵与机器、数学与计算机、知识与生活等话题；还重点考察了逻辑和数学领域的一些基本概念。此次中译本首次出版，由专业译者精心翻译，以助读者更好地理解王浩的数学哲学思想。
【名家推荐】
王浩无疑是在国际哲学与逻辑学界最知名、最有成就的华裔学者。他在数理逻辑、数学基础的技术领域有许多开创性的贡献，同时他也在哲学方面对分析哲学提出了深刻的批评。他的这部著作，一边深入浅出地介绍数理逻辑与数学基础的基本概念与成果，一边借此阐述他自己的哲学思想。因此，这既是一本很权威的，数理逻辑与数学基础方面的普及性读物，又是分析哲学研究者的必读专著。
——叶峰（首都师范大学政法学院哲学系教授）
王浩是哥德尔之后最能善待数学自主性的哲学家，这使本书具有了超乎寻常的深刻性，这种深刻性如美酒般清澈而醇厚，在今天显得尤为珍贵。
——郝兆宽（复旦大学哲学学院教授）
王浩先生的著作既深刻又富有启发性，值得向每一位关心数学哲学的读者推荐。
——杨跃（新加坡国立大学数学系教授）
我们的人生道路迥然不同，王浩是对我思想影响最大的一个人。
——何兆武（历史学家、翻译家、清华大学教授）
王浩在《从数学到哲学》第6章探讨了关于集合的直观迭代概念，以及这种直观概念如何启发并核证了集合论公理。所有寻求对于这个问题的成熟的哲学理解的人，都应该把这篇文字当作第一读本。
——查尔斯•帕森斯（Charles Parsons，哈佛大学哲学家）
【编辑推荐】
王浩是近代享誉国际的数学家、哲学家、逻辑学家、计算机科学家，是人工智能重要研究领域“机器定理证明”的奠基人，是“王浩瓷砖”模型、“王氏悖论”命题的提出者，是“定理证明里程碑奖”获得者。
王浩早年就读于西南联大数学系，师从金岳霖、沈有鼎、王宪钧、杨武之等明师，与杨振宁是室友，与汪曾祺、何兆武交好。后在哈佛大学哲学系完成博士学位，又先后任教于哈佛大学、牛津大学。他是“人工智能之父”明斯基崇拜的天才、“图灵奖”获得者库克的导师、蒯因的得意门生、库尔特•哥德尔的忘年挚友……天才王浩轻松拥有在旁人看来“一路开挂”的人生。
尽管在数学、逻辑学、计算机科学领域有着开拓性成果和突出贡献，王浩却痴迷于哲学，立志成为哲学家，他将自己的大部分精力投入数学哲学的研究和写作，是对世界哲学作出过深刻贡献的华裔学者。《从数学到哲学》是王浩的首本“大部头”，是一部循着从柏拉图到哥德尔“数学-哲学家”传统不断探索的哲学思想专著，是其代表作，也是正面集中阐释自己哲学思想的作品。
《从数学到哲学》于1974年在美国出版，是王浩的首部哲学著作，也是其重要代表作，却由于种种原因一直未有中译本出版。近年人工智能的飞速发展使学界对“机器定理证明”开山鼻祖王浩的怀念和研究的文章增多，学界对本书的出版呼声也日益增高。此次中译本首次出版，由专业译者精心翻译，斟字酌句，以助读者更好地理解华裔学者王浩的数学哲学思想，了解他对世界的贡献。",2024,广西师范大学出版社,https://book.douban.com/subject/36532721/,https://img1.doubanio.com/view/subject/s/public/s34841058.jpg
9787532188048,海德格尔导论,[美]理查德·波尔特,"这是一部在英语世界中比较著名的研究海德格尔的入门著作，中译本诞生于每天要工作12个小时的流水线工人之手。这一事件深具意味：面对技术统治的世界，陈直证明了选择的自由始终存在；思考即抵抗，而海德格尔一直让我们思考如何思考。陈嘉映、孙周兴、王俊推荐。
2021年11月，“腾讯新闻·谷雨实验室” 微信公众号发了一篇题为《一个农民工思考海德格尔是再正常不过的事》的文章，让当时还是农民工的陈直受到广泛关注。如今他翻译的理查德·波尔特所著的《海德格尔导论》终于出版。
齐泽克在他的新书《自由：一种无法治愈的疾病》提到陈直翻译《海德格尔导论》这件事，并写道：“我们应该庆祝像陈直这样的奇迹——他们证明了哲学不仅仅是一门学科，哲学可以突然中断我们日常生活的进程，让我们产生困惑。……今天，我们应该说：让一百个陈直研究哲学——只有这样，我们才能找到摆脱我们不幸困境的出路。”
理查德·波尔特的这部《海德格尔导论》，被认为是英语世界的海德格尔研究名著，波尔特先生为中译本写了序言，还根据海德格尔研究的最新发现，增补了内容，并更新了参考文献。
本书译文参考了之前中文世界对海德格尔著作的各种翻译，并通过大量译注予以细致的说明，方便普通读者更深入地理解海德格尔哲学的各种概念。
————
坊间有不少篇幅长短不一的文著介绍海德格尔的哲学，而这一本仍然值得推荐。一则，海德格尔哲学重要而难读，不同的解读者会帮助我们从不同进路来通达他的思想。二则，这本小书一方面直面哲学问题的玄奥，另一方面尽可能少用专门术语来梳理问题的脉络。它为《存在与时间》贡献了较多篇幅，对后期海德格尔思想则更多择要阐释。总体上，作者不是全面铺开来介绍海德格尔的主要论题，而是引导读者进入海德格尔的问题意识。本书的译者也很认真，对译文反复推敲修订，并写了不少译者注来辅助读者阅读。
——陈嘉映 [首都师范大学教授，浙江大学城市学院教授]
陈直在翻译这本《海德格尔导论》时是一位农民工，被发现后引起网络热议。现在他的处境巳获改善，但问题依然：中国农民与哲学家海德格尔。我只想说：海氏自己就是德国黑森林农民，有十足的农夫习性，但他寄生于大学和学术体制，日常生活过得蛮不错的。
——孙周兴 [浙江大学哲学学院教授]
作为英语世界的海德格尔研究名著，理查德·波尔特的《海德格尔导论》毫无疑问是值得被翻译成汉语的。而使得本书在此刻出版更具意义的则是它的译者陈直。2021年他以“翻译海德格尔的农民工”这一身份红遍网络，甚至得到齐泽克的关注和赞誉。就译著本身而言，译文基本严谨可靠，更难能可贵的是，波尔特还为汉译本作了扩充。这一译本无论在学术意义上还是在社会意义上，都是这个时代的一个独特事件，它赋予“哲学”一个更为宽广的想象空间。
——王俊 [浙江大学哲学学院教授]",2024,上海文艺出版社,https://book.douban.com/subject/36515706/,https://img1.doubanio.com/view/subject/s/public/s34850618.jpg
9787201112695,悉达多,[德]赫尔曼·黑塞,"《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。
意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找寻心中的声音，追逐名利，经历友情，品尝爱情。不同的是，悉达多一生追求的是生命的圆融统一，看似宏大，确是每个人无法回 避的问题。
黑塞的语言是充满诗性的，正如本书副题“一首印度的诗”，因不得而知的原因，此副题在前人所出版本中都被回避了。为了尽可能表现黑塞的诗意，我们选择从德文直译，尽管我们的译文不能完全实现这种诗意，但其诗的本性与精神显而易见。
本书地位在前人的版本中已被反复强调——亨利·米勒的最爱；影响了包括电台司令在内的许多名人雅士；在六十年代美国掀起过阅读黑塞的热潮，大学生们人手一册等等。
但如书中成为摆渡人的悉达多所述，智慧无法分享，它可以被发现，被体验。
所以倘若你碰巧遇到了这本小书，请细细品味其中的文字。
愿你在读了悉达多的故事后，也能有所感悟，并开始体验属于自己的人生。",2017,天津人民出版社,https://book.douban.com/subject/26980487/,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg
9787513342919,刘擎西方现代思想讲义,刘擎,人生的意义，人们向往的自由和公平的价值，人类文明的复杂冲突与未来趋势……这些让你困惑的大小问题，过去也困扰过韦伯、尼采、萨特等杰出的头脑。他们尽最大努力做出阐释，为后人提供了宝贵的思想标识。在这部讲义里，刘擎介绍了现代视域下的19位思想大家，广泛而系统地讨论工具理性的利弊，如何面对虚无主义，消费主义对人的异化，财富分配的公平正义和全球化等议题。思想不惑，精神明亮。你将在这19位大家的生平故事中，理解他们建构思想大厦的地基与框架。你还会在思想大厦之上，直面个人生活和社会公共领域的诸多难题，收获审慎而真诚的回答。,2021,新星出版社,https://book.douban.com/subject/35313227/,https://img2.doubanio.com/view/subject/s/public/s33802981.jpg
9787547323786,黑格尔入门,[德]蒂娜·埃蒙茨,"《黑格尔入门》一书由两位德国古典哲学领域的权威学者蒂娜·埃蒙茨和罗尔夫-彼得·霍斯特曼联袂撰写，旨在为读者提供对黑格尔哲学的快速概览。
黑格尔是德国唯心论哲学的集大成者，他的思想体系极为复杂且深刻，强调理性并非抽象概念，而是现实世界本身的内在逻辑。他通过辩证法阐述了现实的动态发展及其背后的规律，主张自我意识经历从最初的自我与非我分离到最终的绝对精神统一的过程。黑格尔认为，哲学可以揭示现实的总体性，并提供理解世界及其发展方向的框架。
本书系统介绍了黑格尔哲学的核心理念，涵盖了其辩证法、自我意识、绝对精神等关键概念。两位作者以严谨的学术态度和丰富的专业知识，深入剖析黑格尔的理论，帮助读者克服理解上的障碍。通过简明而透彻的讲解，本书为学术研究者和对哲学有浓厚兴趣的读者提供了一条通向黑格尔思想的清晰路径。",2024,东方出版中心,https://book.douban.com/subject/36848120/,https://img9.doubanio.com/view/subject/s/public/s34871804.jpg
9787572616471,赞美闲散,[英]伯特兰·罗素,"“拼命工作是奴隶的道德，现代社会不需要奴隶制”
诺贝尔文学奖得主、哲学大师罗素写给大众的“躺平”哲学
教育、爱情、犬儒主义、社会同质化……一份处理个人和社会问题的急救包
-----------------
本书是哲学家、诺贝尔文学奖得主罗素的一部随笔集，分为工作、教育、爱情、社会、文明五个部分，展现了罗素对个人和社会问题的广泛关注及其广博的学识。罗素强烈反对现代社会人们的超负荷工作，他认为，人类要过上幸福生活并实现全部潜能，不是通过更努力或更聪明地工作来实现的，而是通过利用闲暇的非凡力量。在本书中，他还为“无用的”知识作激烈的辩护，他推崇冷静思考和自由探究的美德，认为传统的财富积累是一种文化和道德贫困。这些文章虽然写于20世纪30年代，距今已快一百年，但对当今的读者仍然具有深刻的启迪价值。",2024,湖南文艺出版社,https://book.douban.com/subject/36794809/,https://img3.doubanio.com/view/subject/s/public/s34802697.jpg
9787305266256,法国哲学的历险,[法]阿兰·巴迪欧,本书是法国当代著名哲学家阿兰•巴迪欧的批评文集，汇集了作者对萨特、阿尔都塞、德勒兹、利科、利奥塔、朗西埃等法国当代哲学家的评论文章，这些人中既有他的师长、友人，亦有其“敌手”。在巴迪欧看来，书中谈及的哲学家所各自代表的“奇点”构成了法国当代哲学一个非凡的历险时刻，其规模和创新性足以与希腊古典哲学和德国唯心主义哲学相媲美。这一时刻的法国哲学充分关注主体、现代性、政治和德国哲学遗产等问题，并与文学和精神分析展开竞争，表现出当代哲学家摆脱贤者身份而独树一帜，成为热衷战斗的作家、描绘主体的艺术家和专注创造的爱慕者的热切渴望。作为这一哲学时刻的见证者与在场者，巴迪欧向哲学家同行致以诚挚敬意的同时，也毫不掩饰地表达了质疑与批判。在充满激情与哲思的观点碰撞中，巴迪欧引导我们踏上一条通往未知，也通往真理的哲学历险之路。,2024,南京大学出版社,https://book.douban.com/subject/36614083/,https://img9.doubanio.com/view/subject/s/public/s34841324.jpg
9787532189700,亲密关系的核心是友谊,汪民安,"- 编辑推荐 -
···学者汪民安思想访谈与随笔集
···将哲学放回生活的坐标系，让思想具体地着陆于日常
···身体·爱欲·空间·友谊·劳动·技术·艺术
···一部生命之思的交响乐：既饱含着理论的激情，又展现了批判的锋锐
- 内容简介 -
此书是学者汪民安的思想访谈与随笔集，从2006年到访巴黎寻踪法国理论，到2023年的当下对社会与技术的一系列思考，时间跨度正好是21世纪的这二十多年，综合呈现汪民安在知识与经验、理论与现实之间所进行的探索。",2024,上海文艺出版社,https://book.douban.com/subject/36712198/,https://img9.doubanio.com/view/subject/s/public/s34819796.jpg
9787208187450,我不想保持正确,[法]米歇尔·塞尔,"“从一切已知中摆脱出来，投入创新。”
“哲学的作用在于为创造创造条件。”
“面对总体的危机，必须有一种总体的哲学。”
“我的目的不在于想方设法保持正确，而是要制造某种总体、深层和合理的直觉。”
“我们这个时代最美好的问题之一就是重新审视知识的混沌。”
--------------
1991年，布鲁诺 ·拉图尔说服米歇尔·塞尔进行了五场访谈，主题分别为“成长”“方法”“证明”“批评的终结”“智慧”，讲述塞尔的成长经历和学术思考。塞尔以特立独行的思维方式著称，他的思想总是穿梭于不同时空、学科，在看似不相干的事物之间建立联系，这让许多读者在得到启发之余不免感到困惑。此书的一大目的即理清这些困惑，让读者更便捷地了解塞尔的思想。
作为塞尔的入门读物，读者可以在这本书中了解战争对他（以及二战后法国思想界）的影响、原子弹如何改变了他的学术方向、他结合科学和人文学的思想主张和实践，以及他对卢克莱修、莱布尼茨、薇依、巴什拉等人的看法。
拉图尔的读者则可以在这本书中看到其思想的众多师承线索，例如“拟客体”等重要概念的来源、塞尔对科技与社会（STS）研究的影响等等。",2024,上海人民出版社,https://book.douban.com/subject/36780601/,https://img3.doubanio.com/view/subject/s/public/s34791777.jpg
9787559632432,西方哲学史（第9版）,(美)撒穆尔·伊诺克·斯通普夫,"畅销五十余载而不衰，备受好评的西哲史教材全新再版
通俗易懂的历史梳理，从古典文籍到当代前沿一应俱全
◎ 编辑推荐
☆自1966年初版至今最新修订版
☆西方哲学史课程大学入门教材
☆邓晓芒、匡宏翻译，何兆武作序
☆以“大视野”的眼光领略西方哲学史的纵深
◎ 内容简介
本书为哲学思想提供了一个通俗易懂的历史梳理，并附有大量具有极高价值的一手文本。本文是一本全面的、以历史为线索编排的哲学入门书籍，传达出了本学科的丰富性，并为学生提供了西方哲学发展的专业知识。它以生动、平易近人的风格涵盖了西方文明中最具影响力的哲学家的主要贡献。
新版在保留了使原书风靡数版的思想性和写作理念的同时，在编年和文体上进行了与时俱进的修订，并在第20章最后补充了“政治哲学”一节，用克制的篇幅展示了罗尔斯和诺齐克的思想精要。本书附有重要词汇、延伸阅读等部分，便于读者使用。
◎ 译者简介
邓晓芒：华中科技大学哲学系教授。
匡宏：衡阳师范学院法学院讲师。
◎ 名人推荐
“对于任何概览式的课程，以及以历史为专题，或围绕问题的课程，这本书都是一本出色的一手和二手材料的来源。我将这本教材或其中的部分用于导论及其他课程已逾十年。没有那本书是一码通吃的教材，但这本几乎做到了！”
——菲利普·福捷（Philip Fortier），底特律大学
“这是我在作为哲学史讲师的工作中遇到的最好的一站式资料的教材。”
——乔尔·佩德尔（Joel Peddle），莫尔豪斯学院
“这是一本包含了阐释和一手材料的写作上乘、毛举缕析的教材，对西方哲学史提供了包罗万象的阐述。”
——迈克尔·图恩（Michael Tune），乔利埃特初级学院
“这是市面上最好的一卷本哲学史著作。”
——瓦尔特·奥特（Walter Ott），弗吉尼亚理工",2019,北京联合出版公司,https://book.douban.com/subject/34447865/,https://img1.doubanio.com/view/subject/s/public/s33438650.jpg
