ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787521757965,巴别塔,[美]匡灵秀,"❤️‍🔥我渴望被世界理解，哪怕徒劳无功
🧙‍♀️27岁华裔女作家匡灵秀斩获科幻界诺奖星云奖，轨迹奖，英国国家图书奖
🪄语言即魔法，翻译即背叛
🎆设定新颖的银条奥秘，小人物撼动帝国根基
🧚‍♂殖民主义、身份认同、语言翻译、暗黑学院……堪称“工业革命时期的《哈利·波特》”
【内容简介】
19世纪20年代，瘟疫席卷广州，男孩罗宾全家惨死，而他死里逃生，神秘的洛弗尔教授出手相救，把他带往大洋彼岸的英国伦敦培养成人，只为使他有资格进入巴别塔内学习。
巴别塔是这个世界的翻译中心，也是魔法的中心。塔中精通多门语言的学者借助翻译使魔法生效。翻译不可能完美，所以在翻译过程中丢失或扭曲的含义就被银条捕捉并展现。刻字的银条是帝国力量的源泉，它使英国的舰队所向披靡，促使白银工业革命诞生，还帮助英国把全世界的白银卷入囊中。
随着学习的深入，罗宾沉醉于翻译魔法，却不知道自己和同伴即将卷入一场酝酿已久的阴谋当中……消失的学生，诡秘的社团，当恶意、嫉妒、贪婪和暴力充斥这座理想之塔，是忠于自己母语与故土，还是在异国他乡继续苟活，他们必须做出抉择。
【编辑推荐】
一、语言即魔法。设定新颖的魔法奥秘，它来源于翻译时丢失的语义，只要一个词翻译出来与原意有所差异，魔法就会在银条上生效。
🪄咒语：囫囵吞枣/To accept without thinking。
效果：甜腻滋味充斥着他的口腔。他快要被蜜枣噎死了。喉咙堵得严严实实，他无法呼吸——
🪄咒语：无形/invisible。
效果：他们没有了形态，飘荡着，扩张着。他们是空气，是砖墙，是鹅卵石地面。
二、史诗般的恢宏叙事，真实还原的牛津古老校园，渺小的人物如何撼动帝国的根基，孤独无助的时刻只有依靠友谊。
电报的发明、照相机的诞生，人们的衣食住行都与白银魔法息息相关。它是英国工业革命的背后推手，是协助帝国殖民扩张的帮凶。当人物的选择与历史的走向相互重叠，小说的厚重由此显现。作者参照牛津史与过往学习经历，还原了古老的牛津校园。《巴别塔》的另一大特色是它的人物塑造，尤其是对主角罗宾的塑造。在小说结束时，试着回顾一下小说的开头，你会发现罗宾的变化有多大。他的悲伤、愤怒、进退两难、挣扎、善良以及相对短暂的幸福时刻都让人感觉如此真实。他要战胜的嫉妒、贪婪、人物的善良一次次遭受着考验。幸运的是，罗宾还有陪伴他的三个小伙伴。
三、翻译即背叛。语言不是涵盖一整套普世概念的术语表，翻译也不存在一一对应的关系，它是戴着镣铐舞蹈，是遗憾的艺术，是巴别塔的诅咒。
翻译意味着对原意的损毁，还意味着对母语的欺骗。当罗宾发觉自己所钟爱的翻译魔法，成为帝国侵略的帮凶，他陷入迟疑与犹豫。是遵循内心的道德指引投身反抗，还是苟且偷生享受荣华富贵？
四、封面沿用美版封面，主视觉巴别塔气势恢宏。书名采用烫金工艺，内封专色印金工艺，封面魔法能量线往塔尖汇聚象征着巴别塔在这个世界魔法中心的地位。
【获奖情况】
第十五届华语科幻星云奖2023年度翻译作品金奖
新周刊刀锋图书奖2023年度好书
豆瓣2023年度科幻·奇幻图书
探照灯书评人好书榜2023年度十大中外类型小说
界面新闻2023年度荐书
多抓鱼2023年鲜鱼榜
大象新闻-阳光少年报年度书单推荐
【名人推荐】
韩松、姚海军、何平、苗炜、陈楸帆、肖鼠击掌推荐
《巴别塔》的作者是出生在广州的匡灵秀，敏锐捕捉到了语言学习和帝国贸易及战争的关系，她安排男主角罗宾前往牛津学语言，然后安排另一位主角来劝诫罗宾——你要认识到殖民者与帝国的不公正与非正义，你要反抗。罗宾陷入两难境地，他不想破坏平静的学习生活，也不愿违背良心。小说前两百页可能有太多关于语言学习的内容了，读者期待看到更多魔法，可作者偏偏不停地讲语言学习和翻译理论。但如果你有耐心，会发现这个故事的迷人之处，语言不就是魔法吗？这本以牛津大学为背景的小说，会激起你对语言学习的兴趣。
——作家 苗炜
《巴别塔》如同一件自我指涉的精巧艺术品，展现了一个以翻译为魔法的架空世界，同时又无比犀利地借助充满代入感的角色与扣人心弦的剧情，揭露了语言作为一种强大的权力武器，如何被帝国主义用于殖民、操控、混淆并创造新的现实。匡灵秀完美地平衡了现实与虚构，学术与通俗，野心勃勃地打破类型界限，堪称杰出。
——科幻作家 陈楸帆
匡灵秀笔下奇妙的魔法设定，开启一段关于贸易和殖民、文化和技术的另类历史。跟随主人公在学术体制中的成长之路，读者也被那些经典问题不断敲打：知识生产和权力运作拥有怎样纠缠不清的关系？巴别塔为拥有边缘身份和语言天赋的年轻人提供的学术舞台，也正是逐渐觉醒的主人公和他的伙伴们不得不痛苦正视的庇护所。无疑，这庇护是由暴力的砖瓦严丝合缝地构筑而成。从何反抗？正如所有“弑父”的动作一样，主人公必然从他所处的巨大结构的内部找到缝隙，进而引爆——而人内心最本真的愤怒和屈辱，则是这结构中早已暗藏的引信。
——科幻播客“惊奇”主播 肖鼠",2023,中信出版集团,https://book.douban.com/subject/36463571/,https://img1.doubanio.com/view/subject/s/public/s34640760.jpg
9787020096695,哈利·波特,J.K.罗琳(J.K.Rowling),"《哈利·波特(共7册)(精)》编著者J.K.罗琳。
《哈利·波特(共7册)(精)》内容提要：2000年的一个深夜，在美国书店的烛光中，穿着黑斗篷，戴着小眼镜的店员开始销售“哈利o波特4”英文版，从此哈利·波特系列图书席卷全球，也是在这一年，简体中文版“哈利o波特”系列图书通过人民文学出版社引进版权登陆中国，作者J.K.罗琳用一种简单的魔法游戏将魔幻的故事传递给了中国乃至全球的青少年读者，与此同时商业电影的改编更是将这部魔幻题材的小说推向了巅峰。
截止到2013年，哈利·波特系列图书累计销量达到200多万套。
此次，人民文学出版社隆重推出《哈利o波特（精装本）》（全七册），此套精装珍藏版《哈利·波特》听取广大资深哈迷的心声，恢复选用陪伴广大哈迷十年之久深入人心的原有封面，并在此基础上提高工艺、完善装帧，配有独具匠心的精美函套，使哈利波特系列7本浑然一体，必将成为每一个喜欢哈利·波特读者爱不释手的珍藏！
《哈利·波特与魔法石》
一岁的哈利·波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力--一个肥胖、娇惯、欺负人的大块头，更是经济对哈利拳脚相加。哈利的“房间”是位于楼梯口的一个又暗又小的碗橱。十年来，从来没有人为他过过生日。
但是在他十一岁生日那天，一切都发生了变化，信使猫头鹰带来了一封神秘的信：邀请哈利去一个他--以及所有读到哈利故事的人--会觉得望远难忘的、不可思议的地方--霍格沃茨魔法学校。
在魔法学校，哈利不仅找着了朋友，学会了空中飞行，骑着一把型号为光轮2000的飞天扫帚打魁地奇球，还得到了一件隐形衣。他发现那里的一切--从上课到吃饭到睡觉都充满了魔力，但是一块魔石出现，它与哈利的命运息息相关……
《哈利·波特与密室》
哈利·波特在霍格沃茨魔法学校学习一年之后，暑假开始了。他在姨父姨妈家熬过痛苦的假期。正当他准备打点行装去学校时，小精灵多比前来发出警告：如果哈利返回霍格沃茨，灾难将会临头。
但哈利义无返顾地回到了霍格沃茨，新来的吉罗德·洛哈特教授装腔作势，让他作呕；游荡在女生舆洗室里的幽灵“哭泣的桃金娘”搅得他不得安宁；低年级的小女生金妮对他投来关切目光常令他尴尬不已；小男生科林·克里维“追星”式的跟踪又经常使他落荒而逃。
但是，这一切仅仅是灾难的序曲。正如多比所预言的，哈利遭受了重重磨难，经历了种种危险，难解之谜又使他煞费苦心：霍格沃茨的学生接二连三地变成了石头。这一切是品德败坏的学生德拉科·马尔福精心策划的杰作？还是忠厚善良的海格无心铸成的大错？或者另有人将在霍格沃茨制造更大的阴谋？这一切又是否与传说中的密室有关？哈利决心揭开谜底……
《哈利·波特与阿兹卡班的囚徒》
哈利·波特在霍格沃茨魔法学校已经度过了不平凡的两年，而且早已听说魔法世界中有一座守备森严的阿兹卡班监狱，里面关押着一个臭名昭著的囚徒，名字叫小天狼星布莱克。传言布莱克是“黑魔法”高手伏地魔--杀害哈利父母的凶手--的忠实信徒，曾经用一句魔咒接连结束了十三条性命。不幸的是，布莱克逃出了阿兹卡班，一心追寻哈利。布莱克在睡梦中仍然呓语不休：“他在霍格沃茨……他在霍格沃茨。”
哈利·波特虽然身在魔法学校的城堡内，既有朋友的赤诚帮助，也有老师的悉心呵护，但校园内危机四伏，哈利的生命时时受到威胁。一天，布莱克终于站到了哈利的面前……
《哈利·波特与火焰杯》
哈利·波特在霍格沃茨魔法学校经过三年的学习和磨炼，逐渐成长为一个出色的巫师。新学年开始前，哈利和好朋友罗恩，赫敏一起去观看精彩的魁地奇世界杯赛，无意间发现了消失十三年的黑魔标记。哈利的心头笼上了一团浓重的阴云，但三个少年依然拥有他们自己的伊甸园。然而，少男少女的心思是那样难以捉摸，三人之间的美好友情竟是那样一波三折，忽晴忽雨……哈利渴望与美丽的秋·张共同走进一个美丽的故事，但这个朦朦胧胧的憧憬却遭受了小小的失意。他要做一个普普通通的四年级魔法学生，可不幸的是，哈利注定永远都不可能平平常常--即使拿魔法界的标准来衡量。黑魔的阴影始终挥之不去，种种暗藏杀机的神秘事件将哈利一步步推向了伏地魔的魔爪。哈利渴望在百年不遇的三强争霸赛中战胜自我，完成三个惊险艰巨的魔法项目，谁知整个竞赛竟是一个天大的黑魔法阴谋……
《哈利·波特与凤凰社》
漫长的暑假，哈利·波特被困在女贞路4号，意外地遭到摄魂怪的袭击……逃过一劫的哈利被护送到伦敦一个秘密的地方，在那里他见了自己的教父小天狼星布莱克、前任黑魔法防御术课教师卢平、疯眼汉穆迪以及他的朋友赫敏和罗恩。他只是知道邓布利多与凤凰社成员正在加紧秘密活动，以对抗日益强大的伏地魔。但是，所有的人都不愿向他透露更多的情况……
哈利在茫然与愤怒中来到霍格沃茨，然而令他不解的是，邓布利多不愿见他，海格不知去向。更糟糕的是，哈利越来越频繁地在梦中看见一道长长的走廊，每当他快要走进长廊尽头的一扇门时，他都会头痛欲裂地从梦中惊醒，觉得自己身体里蠕动着一条大蛇……
魔法部派来了一位专横跋扈的高级调查官，对学校各项事务横加干涉，并最终赶走了邓布利多校长，打伤了麦格教授，整个学校笼罩在一片混乱和压抑之中……
大蛇的影子在哈利的脑海里越来越清晰，伏地魔走近了哈利……这时，邓布利多告诉他一个天大的秘密……
《哈利·波特与“混血王子”》
仲夏的一个夜晚，反常的浓雾笼罩在窗户玻璃上，哈利·波特在女贞路4号德思礼家自己的卧室里紧张地等待着邓布利多教授的来访。
哈利不太确定邓布利多是否真的会来德思礼家。邓布利多为什么现在要来看他呢？几个星期之后，他就要返校，邓布利多为什么不能等一等呢？哈利六年级的学习似乎就这样出人意料地提前开始了……
而更加出人意料的事情还在接踵而至：邓布利多终于让斯内普教授如愿以偿，任命其担任黑魔法防御术课教师……哈利从教室的储藏柜里翻到一本魔药课本，它的前任主人是“混血王子”，从此哈利在神秘“王子”的帮助下成为“魔药奇才”……邓布利多开始了给哈利的单独授课，但奇怪的是，邓布利多却经常离开学校外出……在邓布利多的课上，哈利经历了几段关于少年伏地魔的惊心动魄的记忆，揭示了伏地魔不同寻常的身世之谜……
哈利隐隐觉得这一学期期内普教授和马尔福的关系发生了微妙变化，其中似乎别有一番隐情，而马尔福更是行踪诡秘……哈利试图揭穿马尔福的阴谋，但始终没有成功，直到马尔福把食死徒引进学校，斯内普对邓布利多校长举起了魔杖……
《哈利·波特与死亡圣器》
还有四天，哈利就要迎来自己十七岁的生日，成为一名真正的魔法师。然而，他不得不提前离开女贞路4号，永远离开这个他曾经生活过十六年的地方。
凤凰社的成员精心谋划了秘密转移哈利的计划，以防哈利遭到伏地魔及其追随者食死徒的袭击。然而，可怕的意外还是发生了……
与此同时，卷土重来的伏地魔已经染指霍格沃茨魔法学校，占领了魔法部，控制了半个魔法界，形势急转直下……
哈利在罗恩、赫敏的陪伴下，不得不逃亡在外，隐形遁迹。为了完成校长邓布利多的遗命，一直在暗中寻机销毁伏地魔魂器的哈利，意外地获悉如果他们能够拥有传说中的三件死亡圣器，伏地魔将必死无疑。但是，伏地魔也早已开始了寻找死亡圣器的行动，并派出众多食死徒，布下天罗地网追捕哈利……
哈利与伏地魔在魔法学校的禁林中遭遇了，哈利倒在伏地魔抢先到手的一件致命的圣器之下……
然而，伏地魔未能如愿以偿，死亡圣器不可能战胜纯正的灵魂。哈利赢得了这场殊死较量的最终胜利……",2008,人民文学出版社,https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg
9788016014976,迷宮飯(01),九井諒子,"在迷宮中冒險肚子餓了又沒帶糧食怎麼辦？
很簡單，只要把魔物拿來料理就好了！
萊歐斯一行人終於進到迷宮深處，卻遭到巨龍襲擊，失去了金錢與糧食。
決心再次挑戰的他們若不解決糧食問題，半路便會餓死。
此時，萊歐斯提出「吃魔物」的想法。
不止史萊姆、寶箱怪，甚至連龍都打算吃下肚!?
於是，一行人便展開了一邊冒險一邊料理魔物的……美食探險!?
冒險家們是否能平安抵達終點，還是半路就會吃壞肚子呢？
九井諒子首次長篇連載，「冒險×美食」的新奇幻風格，在此開幕！
本書特色：
1.人氣新銳漫畫家久井諒子「冒險×美食」新奇幻長篇故事！
2.日本銷量已突破60萬本！
3.AMAZON近300名讀者滿分五顆星高評價，長時間占據銷售第一名寶座！
4.首刷附贈青文獨家特製貼紙!!
5.第２集預定年底出版，九井諒子老師的其他作品也將於近日出版，敬請期待！",2015,迷宮飯,https://book.douban.com/subject/26634871/,https://img9.doubanio.com/view/subject/s/public/s28309786.jpg
9787572710841,城防十六计,[英]K.J.帕克,从奴隶到工匠，从工匠到兵团上校，奥尔罕怎么也想不到，他的步步高升，只是因为命运要让他以一人之力挽救整个帝国。大厦将倾，扶是扶不住的。单薄的力量需要一个支点，以小博大更要靠一颗工程师的头脑。,2023,四川科学技术出版社,https://book.douban.com/subject/36504188/,https://img1.doubanio.com/view/subject/s/public/s34705749.jpg
9787229179533,巨龙的颂歌,屈畅,"想象伴随着人类从远古走向未来，而我们这趟现代奇幻之旅，意在阐述建筑在想象基础上的“现代奇幻文学”的诞生和发展历程，刻画那一个个文学意义上轮番登台的英雄儿女，描绘那一部又一部名垂青史的奇幻巨著。
此典藏版，除补充和完善初版九大章节勾勒出的西方奇幻发展盛况之外，作者大书特书，增加八万字新章节，将规模庞大、自成格局的中式奇幻文学和文化娓娓道来。
奇幻文学里程碑式作品《冰与火之歌》译者屈畅，以剑为笔，以魔法为墨，在巨龙的背脊上写歌，全新修订版本，十年诚心之作，蛰龙已惊眠，一啸动千山。",2024,重庆出版社,https://book.douban.com/subject/36552794/,https://img3.doubanio.com/view/subject/s/public/s34771347.jpg
9787539964812,地海传奇2：地海古墓,(美)厄休拉·勒古恩,"编辑推荐
◆奇幻迷心里永恒的经典，全系列首度引进！
◆奇幻三大经典巨作之一，与《魔戒》《纳尼亚传奇》齐名。
◆写的是魔法奇幻，讲的是心灵成长。
◆村上春树最爱女作家的代表作
◆宫崎骏所有动画的灵感来源
◆吉卜力工作室动画《地海战记》原著。
◆纽伯瑞银牌奖得奖作品
媒体评论
厄休拉•勒古恩的文字非常优美丰富，是我最喜欢的女作家之一。
——村上春树
书一直放在枕头旁边，没有一刻把它放下来。烦恼的时候，困的时候，不断地重复读着。坦白讲，自己做的作品从《风之谷》到《哈尔的移动城堡》都一直受到《地海传奇》的影响。
——宫崎骏
她的人物复杂，令人难忘；文笔以坚韧优雅著称。
——《时代周刊》
勒古恩在这部优异的三部曲中创造了充满龙与魔法的“地海世界”。已然取代托尔金的“中土世界”，成为异世界冒险的最佳场所。
——《伦敦周日时报》
内容简介
“地海传奇”系列是人类历史上最伟大的奇幻小说之一，自1968年出版以来，被译成20多种语言， 深受全世界读者的喜爱。本书是系列的第二本，曾获得1971年纽伯瑞银牌奖等多个奖项。
这里是死寂静默的古墓，
这里有亘古不变的黑暗，
这里长眠着“累世无名者”，
这里是一个十五岁少女所知的唯一世界。
这里是她的家、她的王国，
更是她终生的牢笼！
直到有一天：一团微光，出现在这绝对黑暗的地底禁区……
即使身处黑暗的地底古墓，也绝不放弃追求自由的微光！",2013,江苏文艺出版社,https://book.douban.com/subject/24882313/,https://img9.doubanio.com/view/subject/s/public/s27062245.jpg
9787572610912,太白金星有点烦,马伯庸,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始：费用报销、工作汇报、人事安排、各路大仙塞来的条子、各地妖怪暗藏的心思，捋不出的千头万缕，做不完的琐碎繁杂……当大闹天宫的真相重新浮出水面，牵扯出无数因果，李长庚发觉自己成就金仙的道路越加渺茫。
【编辑推荐】
这是每一个成年人应该重读的西游故事。
太白金星李长庚最近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说，“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
【媒体推荐】
地下取经队伍降妖除魔百般威武，天上神界仙界各怀心思斗智斗勇。现代视角另类演绎西游故事，就算成仙也得讲究职场智慧。
——《收获》杂志",2023,湖南文艺出版社,https://book.douban.com/subject/36328704/,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg
9787544253994,百年孤独,[哥伦比亚]加西亚·马尔克斯,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。,2011,南海出版公司,https://book.douban.com/subject/6082808/,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg
9787223361835,冰与火之歌,[美]乔治·R.R.马丁,"《冰与火之歌》（A Song of Ice and Fire）是由美国著名科幻奇幻小说家乔治·R·R·马丁（George R.R. Martin）所著的史诗奇幻小说，是当代奇幻文学一部影响深远的里程碑式的作品。于1996年初问世时，便以别具一格的结构、浩瀚辽阔的视野、错落有致的情节和生动活泼的语言，迅速征服了欧美文坛。迄今，本作已被译为三十多种文字，并在各个国家迭获大奖。作品主要描述了在一片虚构的中世纪大陆上所发生的一系列相互联系的宫廷斗争、疆场厮杀、游历冒险和魔法抗衡的故事，全书七卷（已出版到第五卷）浑然一体，共同组成了一幅壮丽而完整的画卷。
从1995年至今，《权力的游戏》、《列王的纷争》、《冰雨的风暴》、《群鸦的盛宴》和《魔龙的狂舞》陆续出版，引发了全球性的追捧热潮。
2008年底，该系列图书销量接近一千万册，在全球以三十多种语言翻译出版。由于HBO同名电视剧的推动，该系列图书仅今年二季度，在美国一地就卖出了400万册之多，长时间霸占了《纽约时报》畅销书排行榜前十位的多个位置。",2013,重庆出版社,https://book.douban.com/subject/25826936/,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg
9787572615085,龙与地下铁,马伯庸,"长安城的地下生活着几百条龙，居民们喜欢攀在龙背上，在四通八达的地道里呼啸而过。
每年大唐天子都会派官员去黄河壶口，招来刚刚跃过龙门的锦鲤，许诺他们有一份体面的工作。
一条老龙疲惫地抱怨道：“我花了十几年跃过龙门，带着梦想来到首都，可现在呢？每天还是要当地铁。”",2024,湖南文艺出版社,https://book.douban.com/subject/36657407/,https://img9.doubanio.com/view/subject/s/public/s34720704.jpg
