ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787572616099,食南之徒,马伯庸,"【内容简介】
ZUI贪吃的大汉使者唐蒙，
来到了ZUI会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位争斗、国策兴废……种种波谲云诡，竟比岭南食材的风味更加复杂。
这个懒散的大汉使者，身陷岭南的政争漩涡。他唯一能信赖的伙伴，只有食物；唯一的破局之法，只有追求极致美食的心。
谁都没想到，那一缕微妙滋味，竟关乎大汉与南越国运，乃至于整个中华版图……
【编辑推荐】
《食南之徒》是马伯庸2024年全新长篇历史小说。贪吃的汉使唐蒙来到饕餮圣地南越，没想到卷入南越宫廷的政争之中，南北对峙、族群隔阂、权位争斗、国策兴废……时局波谲云密，他能信赖的只有美食，能够破局的也只有那颗追求极致美食的心。更没人想到，唐蒙敏感的味觉竟然拓展了大汉对中华版图的认知……
美食不会骗人，每个人在它面前，都会露出本性。
1.马伯庸2024年全新长篇历史小说。
2.西汉“吃货”唐蒙出使南越，从“躺平”到“趟平”的故事。
3.一味不知原料的酱料，一枚原生北土的枣核，勾连出中华版图变迁的一段隐秘传奇，西南丝绸之路开拓史竟也由此展开。
4.知名画家施晓颉绘制封面，随书附赠五折六联全彩明信片插图。",2024,湖南文艺出版社,https://book.douban.com/subject/36710597/,https://img3.doubanio.com/view/subject/s/public/s34823157.jpg
9787572610912,太白金星有点烦,马伯庸,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始：费用报销、工作汇报、人事安排、各路大仙塞来的条子、各地妖怪暗藏的心思，捋不出的千头万缕，做不完的琐碎繁杂……当大闹天宫的真相重新浮出水面，牵扯出无数因果，李长庚发觉自己成就金仙的道路越加渺茫。
【编辑推荐】
这是每一个成年人应该重读的西游故事。
太白金星李长庚最近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说，“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
【媒体推荐】
地下取经队伍降妖除魔百般威武，天上神界仙界各怀心思斗智斗勇。现代视角另类演绎西游故事，就算成仙也得讲究职场智慧。
——《收获》杂志",2023,湖南文艺出版社,https://book.douban.com/subject/36328704/,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg
9787572608582,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲",2022,湖南文艺出版社,https://book.douban.com/subject/36104107/,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
9787506365437,活着,余华,"《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵前去求药，却在途中被国民党抓去当壮丁。经过几番波折回到家里，才知道母亲早已去世，妻子家珍含辛茹苦地养大两个儿女。此后更加悲惨的命运一次又一次降临到福贵身上，他的妻子、儿女和孙子相继死去，最后只剩福贵和一头老牛相依为命，但老人依旧活着，仿佛比往日更加洒脱与坚强。
《活着(新版)》荣获意大利格林扎纳•卡佛文学奖最高奖项（1998年）、台湾《中国时报》10本好书奖（1994年）、香港“博益”15本好书奖（1994年）、第三届世界华文“冰心文学奖”（2002年），入选香港《亚洲周刊》评选的“20世纪中文小说百年百强”、中国百位批评家和文学编辑评选的“20世纪90年代最有影响的10部作品”。",2012,作家出版社,https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s29869926.jpg
9787020139590,额尔古纳河右岸,迟子建,《额尔古纳河右岸》是一部描写鄂温克人生存现状及百年沧桑的长篇小说，展示了弱小民族在严酷的自然环境和现代文明的挤压下的顽强生命力和不屈不挠的民族精神，以及丰富多彩的民族性格和风情。本书获得第七届茅盾文学奖。,2019,人民文学出版社,https://book.douban.com/subject/34432750/,https://img1.doubanio.com/view/subject/s/public/s34734949.jpg
9787516835265,明亮的夜晚,[韩]崔恩荣,"我有一个愿望，想写一写妈妈或祖母，很久以前生活在这片土地上的女性的故事。
一部女性版的《活着》，四代女性的友谊、抗争、泪水与欢笑
韩国最大网络书店22万读者票选“2021年度之书”
第29届大山文学奖获奖作，天才作家崔恩荣首部长篇小说！
女人们不再是仅供同情、怜悯的角色，也不再是装饰男人壮丽生活的配角。
她们是自己，生如草芥，彼此搀扶，尽全身之力对抗荒诞的时代。
-------------------
和丈夫离婚后，三十一岁的我独自来到海边小城熙岭，却在那里邂逅多年未见的祖母。尴尬和沉默之后，孤独的心一点点靠近，我和祖母成为相互倾吐心声的朋友。在祖母家老屋的旧相册里，我发现一位和我长相非常相似的女子，依偎在少女时代的祖母身旁。
一个个鲜活的面孔逐渐从一张张黑白相片中，从一封封感人至深的书信中，从久远的回忆里，穿过女人生如飘萍、命如草芥的时代，走到我面前。
经过曾祖母、祖母和母亲，来到我身边的故事，
她们的人生在我的眼前重现。
现在的我能够触及她们吗?
正如过去无数的我组成了现在的我，
现在的我也能见到过去的无数个我吗？",2023,台海出版社,https://book.douban.com/subject/36457094/,https://img3.doubanio.com/view/subject/s/public/s34577743.jpg
9787559484550,十八岁出门远行,余华,"一定要出去闯闯，哪怕鼻青脸肿！
◆余华成名作！
◆一战成名！一发表就震惊文坛，让27岁的余华开始载入中国当代文学史。
◆《十八岁出门远行》预告着余华“现象”到来。——哈佛大学教授王德威
◆我刚刚写下《十八岁出门远行》时，以为找到了自己一生的叙述方式。——余华
◆ 看到余华当年鼻青脸肿的样子，我觉得我又行了！
◆特别收录两篇创作谈，余华谈自己写作态度的全新确立！
◆11张精心设计篇章页，凝聚每篇精彩意象。
◆首批附赠原创精美“远行车票”！
【内容简介】
“我感到这汽车虽然遍体鳞伤，可它心窝还是健全的，还是暖和的。我知道自己的心窝也是暖和的。我一直在寻找旅店，没想到旅店你竟在这里。”
——本书第11页
全书收录《十八岁出门远行》《鲜血梅花》《往事与刑罚》《此文献给少女杨柳》等十篇余华极具代表性的短篇小说佳作，全面呈现余华年轻时的写作风貌。《十八岁出门远行》写的是每个年轻人的理想、困惑、幻灭与成长。
【名人推荐】
◆余华是中国当代文坛上的第一个清醒的说梦者。
—— 莫言评《十八岁出门远行》
◆《十八岁出门远行》预告着余华“现象”到来。
——哈佛大学教授王德威
◆《十八岁出门远行》堪称杰作。
——格非（茅盾文学奖得主）
◆余华已经走在中国文学的前列了。
——李陀评《十八岁出门远行》",2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36727285/,https://img1.doubanio.com/view/subject/s/public/s34804300.jpg
9787559641182,绝叫,[日]叶真中显,"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天鹅的挽歌， 平庸者的崩坏是野兽的绝叫。
-
★同名日剧位居豆瓣“2019评分最高日本剧集”榜单Top10
★日本现象级社会派推理小说
★长达四十年的恶女编年史
★绝对现实，却超乎想象！
-
【内容简介】
铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳 子几个月前死了。因为发现她时，不但遗体遭到屋内的十一只猫啃食，连猫也全数饿死了。铃木阳子显然是「孤独死」的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是如何？
-
【编辑推荐】
《绝叫》是日本新锐社会派推理作家叶真中显创作的推理小说，讲述了女主人公阳子在平庸懦弱的表象之下，隐密的跌宕、罪恶人生。该书揭露常被人们忽视的社会问题，深刻而引人深思，刻画人物思想的变化细腻而一针见血，以阳子的离奇经历，连缀了日本四十年来社会变迁的各种缩影，是日本近年来具有代表性的优秀推理小说。
该书在日本一经出版就引起极大反响，入围第68回日本推理作家协会奖、第36回吉川英治文学新人奖、第27回“这本推理小说了不起”大奖 、第12回书店大奖、第11回启文堂大奖、周刊文春年度推理小说榜。
后《绝叫》繁体版问世，使国内推理小说爱好者得以一探究竟。《绝叫》繁体版在豆瓣获得8.6的高评分，是少有的在有简体中文版之前就广受好评的外国小说。
2019年，根据《绝叫》改编的同名日剧播出，又获得了豆瓣逾万人点评、8.4分的好成绩，并入围豆瓣“2019评分最高日本剧集”榜单Top10。
2020年7月，《绝叫》简体中文版正式上市，以飨读者。",2020,北京联合出版公司,https://book.douban.com/subject/35031587/,https://img3.doubanio.com/view/subject/s/public/s33685372.jpg
9787573508775,我们八月见,[哥伦比亚]加西亚·马尔克斯,"★加西亚·马尔克斯逝世十周年，遗作小说全球同步首发
★献给命运，献给欲望，献给未被岁月摧磨的欢愉
★作家晚年改稿五版，与记忆力和死亡角逐、顶风破浪的最后之作
★同步西班牙语首版封面
---
每年八月十六日同一时刻，她都要重复这趟旅程，乘坐同一班渡轮，抵达同一座岛上，光顾同一家花摊，顶着同样的似 火烈日，来到同一处破败的墓地，将一束新鲜的剑兰放到母亲的坟前。
在岛上孤独而自由的人，这一晚用尽全身力气紧紧握住命运的手，就好像自己身处悬崖的边缘。
---
创作《霍乱时期的爱情》时，我有了一个想法：爱情是否会随着岁月流逝、年龄增长而改变？我开始创作一系列新故事，不断改进。我显然比从前着急多了，从前我总是说“接下来的二三十年可以完成”，但现在我知道自己或许没有下一个二三十年了。我努力克服这份急躁，因为仓促而成的作品一眼就会被识穿。对死亡的恐惧支撑我一直不停地创作，没有什么能阻止我继续写下去。——加西亚·马尔克斯
这是加西亚·马尔克斯创作生涯最完美的句号。——玛利贝尔·卢克（卡门集团文学总监）
我们就享受它吧，来自伟大艺术家的最后作品。没有理由不感到愉悦。——胡安·加夫列尔·巴斯克斯（哥伦比亚当代作家）
我希望加西亚·马尔克斯的读者能够分享我在数十次阅读这个故事时所感受到的敬意和震惊。最深沉的谢意献给加博，感谢他的人性光辉，他的真诚和亲切。每当有人带着敬神般的心态来到他身边时，他都会报以微笑，那是属于凡人的笑容。——西语原版编辑
收到离世十年的加西亚·马尔克斯留给世人的这份礼物是一件如此幸运又幸福的事。他描写女性生活与欲望的笔触如此细腻优雅，即便存在焦灼与狼狈的时刻，也毫无颓败的意味。一股柔且韧的力量贯穿其中，他赢过了死亡，也赢过了时间。——中文版编辑",2024,南海出版公司,https://book.douban.com/subject/36754770/,https://img1.doubanio.com/view/subject/s/public/s34797230.jpg
9787559640666,秋园,杨本芬,"听八旬奶奶讲述她和妈妈的故事。
1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的女儿，把普普通通的她，讲给世界听。
“我写了一位普通中国女性一生的故事，写了我们一家人如何像水中的浮木般挣扎求生，写了中南腹地那些乡间人物的生生死死。我知道自己写出的故事如同一滴水，最终将汇入人类历史的长河。”",2020,北京联合出版公司,https://book.douban.com/subject/34998019/,https://img1.doubanio.com/view/subject/s/public/s33640730.jpg
