ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787201161693,蛤蟆先生去看心理医生,[英]罗伯特·戴博德,"蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢，他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨询师苍鹭的带领下，勇敢地探索了自己的内心世界，也逐渐找回了信心与希望……
这并不是一本写给孩子看的书，而是一本非常有深度的心理疗愈读物。出版20多年来，已成为英国国民级心理咨询入门书。它基于TA沟通分析心理学的理论，讲述了一个抑郁症病人通过十次心理咨询，终于找回快乐和自信的全过程。在书中，可以看到心理咨询的倾听、共情、沟通技巧，也可以看到一个标准的心理咨询流程的模板。读者犹如亲临现场，体验心理咨询的每一个细节，见证疗愈和改变的发生。
在这本书里，作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，让读者看到童年经历对人格的深刻影响，以及如何才能在心理上真正长大成人，独立、自信、充满希望地生活。",2020,天津人民出版社,https://book.douban.com/subject/35143790/,https://img1.doubanio.com/view/subject/s/public/s33941998.jpg
9787551169639,早安，怪物,凯瑟琳·吉尔迪纳,"这是一位心理治疗师的回忆录，在书中，她回忆了自己二十多年的职业生涯中最难忘的五位来访者。这五个人在童年时都曾经遭遇过严重的心理创伤。他们像是一个谜，一个要经过好几年才能解开的谜。他们前来寻求心理治疗师的帮助，希望解决生活中迫在眉睫的问题，但其实他们的痛苦早在许多年前就埋下了种子。 本书讲述了这五个来访者在心理层面的“英雄之旅”：如何面对难以言说的伤痛，如何发现内心潜藏的勇气，如何用令人敬佩的力量战胜创伤，重新建立健康的人际边界，拥有爱与被爱的能力。作者以小说般的笔法写下了诊室中发生的故事，读来令人心碎，却也鼓舞人心。
——
诺贝尔文学奖得主J.M.库切推荐：“这本书让我们有幸将医患关系视为本质上的人际互动。”
《也许你该找个人聊聊》作者洛莉·戈特利布推荐：“凯瑟琳·吉尔迪纳敏锐地捕捉到了进入人们内心生活的途径，见证了他们寻找自我的过程。这些故事令人心碎，也令人惊喜。这本书鼓舞人心、意义深远，归根到底，它讲述了人际联系的力量和人类精神的胜利。”
心理学家李松蔚推荐：“可能是今年上半年最值得看的一本心理疗愈书。五星推荐。”
——
本书荣获：
美国亚马逊网站“编辑之选”：最佳自传与回忆录
《早安美国》2020年最佳图书
《新闻周刊》《柯克斯书评》《出版人周刊》共同推荐",2024,花山文艺出版社,https://book.douban.com/subject/36700758/,https://img3.doubanio.com/view/subject/s/public/s34798823.jpg
9787553522838,也许你该找个人聊聊,[美]洛莉·戈特利布,"这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝贵的觉察、成长与改变。
在书中，我们会看到四个来访者的故事，他们是：
一个四十多岁、事业成功、自以为是，认为身边所有人都是蠢货的好莱坞制片人；
一个三十多岁、刚刚新婚就被诊断出患有绝症，时日不多的大学女教师；
一个六十九岁、离过三次婚，感觉孤独绝望，声称生活再不好转就要在七十岁生日当天自杀的老太太；
一个二十多岁、有原生家庭创伤和酗酒问题，在爱情中频频受挫的姑娘。
同时，书中还有第五个寻求帮助的人，那就是治疗师自己。她是一个单身的职场妈妈，四十多岁时遭遇失恋，几乎崩溃。有朋友对她说“或许你该找个人聊聊”，于是她也给自己找了一位心理治疗师。当她切换到来访者的位置，坐到另一位心理治疗师的沙发上诉说自己内心的脆弱与悲伤，就更能感受到心理治疗为何具有治愈和改变的力量。
这本书从治疗师和来访者的双重视角展现了心理治疗的过程，让我们发现：无论身份背景有多相异，人类面对的烦恼其实都相通——爱与被爱、遗憾、选择、控制、不确定、死亡，这些都是我们身而为人必须共同学习面对的议题。我们在现实生活中所遭遇的切肤之痛和生命困境，都能在这本书中得到共鸣、找到希望。
本书是2019年美国众多媒体推荐的心理自助书——它荣登《纽约时报》《时代》《人物》《综艺》等媒体年度必读书榜单，是美国亚马逊当年度销售TOP10图书、哈佛商学院年度推荐图书，它的有声书版本也是当年Audible非虚构类有声书第一名。刚上市一个月，这本书就冲上了美国亚马逊图书总榜TOP100和《纽约时报》畅销榜；出版两年来，已经在全球授权了四十多个语言版本，总销量超过七十万册，并且正在拍摄电视连续剧，由曾出演《绝望主妇》的知名演员伊娃·朗格利亚担纲主演。
享誉全球的心理学泰斗、美国斯坦福大学精神病学终身荣誉教授欧文·亚隆为这本书写下推荐语：“我读心理治疗的书超过半个世纪了，但从来没见过这样的书：这么大胆、这么直白、这么多好故事，又这么深刻而引人入胜。”
国内知名心理学家李松蔚为这本书担任专业审校，并写下推荐序：“读这本书的过程，就是在灵魂的方寸之地一寸寸探索。越往下，越是晦暗幽深，于无声处听惊雷。”",2021,上海文化出版社,https://book.douban.com/subject/35481512/,https://img3.doubanio.com/view/subject/s/public/s33944153.jpg
9787571425517,不原谅也没关系,[美]皮特•沃克,"★第一本针对复杂性创伤后压力综合征的自我疗愈完全指南
★全球数十万读者推崇的心理疗愈经典
★全面的分类与说解，直接点破易被忽略的心理创伤
★提供有效、可行的焦虑与压力缓解方案
★值得反复研读的教科书级别的作品
创伤事件不仅仅包括偶发的、严重的刺激性事件（如战争、天灾、恐怖事件），还包括在成长过程中遭受的羞辱、贬低、欺凌、背叛、情感忽视、过度控制等伤害。这些伤害或许你难以诉说，但带来的创伤却可能远甚于单一事件。
有太多的人因为忽略了这样成长过程中的创伤，“莫名”地产生了人际关系障碍、情绪上的痛苦，甚至被误诊为边缘型人格障碍、自恋型人格障碍、焦虑症、抑郁症、强迫症……
本书作者皮特•沃克是享誉国际的创伤疗愈大师。他曾患有严重的复杂性创伤后压力综合征（CPTSD），根据自身的疗愈经历和三十多年作为心理治疗师的从业经验，他写下了这本经典之作。在书中，他深度剖析了CPTSD的起因、症状和类型，并提供了有效的自我疗愈工具，以帮助读者打破在情绪、思维与身体层面的恶性循环。这种完整、系统的多元化疗法，让读者更容易看清自己的状况，突破盲点，取得疗愈进展。
本书受到了创伤患者极高的评价，同时也作为宝贵的工具为心理工作者所采用。
不是所有的伤害，都应该得到原谅。
摆脱束缚，治愈创伤，
你受过伤，但你不必继续痛。",2023,北京科学技术出版社,https://book.douban.com/subject/36132802/,https://img2.doubanio.com/view/subject/s/public/s34343531.jpg
9787111495482,被讨厌的勇气,岸见一郎,"岸见一郎，哲学家。1956年生于京都，现居京都。京都大学研究生院文学研究系博士课程满期退学。1989年起致力于研究阿德勒心理学。日本阿德勒心理学会认定心理咨询师、顾问。在畅销世界各国的阿德勒心理学新古典巨作《被讨厌的勇气》出版后，像阿德勒生前一样，为了让世界更加美好，在国内外针对众多“青年”大力进行演讲和心理咨询活动。译著有阿德勒的《人生意义心理学》《个体心理学讲义》，著作有《被讨厌的勇气》《幸福的勇气》《不完美的父母》《接受幸福的勇气》等。
古贺史健，自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的 现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理...
(展开全部)",2021,机械工业出版社,https://book.douban.com/subject/36150914/,https://img9.doubanio.com/view/subject/s/public/s34348664.jpg
9787572025129,我能帮上什么忙？,[加]戴维·戈德布卢姆,"★精神科医生能做什么？三十多年临床经验写成的希望与慰藉之书，真诚、坦率、感人
★上海市精神卫生中心院长、国家精神疾病医学中心主任赵敏诚挚推荐
【内容介绍】
现代社会精神疾病的患病率居高不下，但多数患者却没有接受过治疗。这背后既有精神疾病污名化的问题，也有精神科医生常被误 解、不受信任的问题。
当一个人想要寻求精神科的帮助时，他/她 能得到怎样的支持？精神科医生可以帮上什么忙？资深精神科医生戴维·戈德布卢姆和皮尔·布莱登在这本书中讲述了真实的精神科故事，试图回答这些问题，以及人们想要了解的更多问题。
在精神科，戈德布卢姆医生为精神分裂症、抑郁症、双相情感障碍、焦虑症、妄想性障碍、进食障碍、创伤后应激障碍、边缘型人格障碍等各类精神障碍患者看诊、治疗，书中描绘了真实的诊疗过程。
同时，作者向我们分享了工作中的思考与感悟：精神疾病患者的困境、精神医学的局限、治疗方案背后的权衡、人身限制与强制治疗等伦理问题、社会支持的重要性、医患关系……这些极具现实意义的观点，将给读者带来深刻的启发。
作为一本面向大众读者的医学人文作品，本书通俗易读，既有知识深度，又充满人文关怀。
【专业推荐】
⚪心理健康是事业成功与幸福人生的基石，心理疾病可能影响你我中每个人，但人们对心理疾病知之甚少，甚至存在诸多认知误区，精神科医生的工作对公众更是神秘而好奇，从近年来“600号”网红现象可见一斑。正值与上海广播电台策划“600号心医录”之际，我有幸阅读了《我能帮上什么忙？一位资深精神科医生的现场医疗记录》，此书真实记录了加拿大精神科医生日常临床工作，他们用更深沉的医者仁心，运用各种当代医学与心理学治疗手段，拼尽全力帮助患者康复或与疾病共舞，这分明也是一本鲜活的600号医生的心医录。作为600号的管理者及一名资深精神科医生，我推荐您阅读此书，帮助我们共同构筑心理健康社会支撑网络。
——赵敏（上海市精神卫生中心院长、国家精神疾病医学中心主任）
【编注：因上海市精神卫生中心院址位于宛平南路600号，上海市民习惯用“600号”代称。】
⚪作者通过回溯精神医学的发展史、公众对行业的传统认知和批判，来反思道德之于精神医学从业者的重要性。本书揭示了大众对精神科医生的刻板印象，以及社会对精神疾病患者的传统偏见。作者列举了许多影响精神医学可信度的因素，其中最主要的是来自主流媒体的误导行为。而本书的最终目标是消除这种误导带来的恐惧，并很好地回答了什么是正确的精神科照护，即能够提供“理解、信任、支持和希望”。
——丛亚丽（北京大学医学人文学院教授）
⚪迄今为止，依然有不少民众，对精神医学的认知还停留在上个世纪五六十年代的水平，对精神科医生更是避而远之。究竟精神科医生能给公众提供怎样的服务，或者说，精神科医生如何给出现精神困扰的个体提供帮助？针对这个问题，加拿大的两位资深精神医学专家戴维·戈德卢布姆和皮尔·布莱登从医生的视角，通过讲故事的形式在《我能帮上什么忙？》这本书中详细地予以解读。在这本书中，作者不仅展现了精神科医生在职业活动中提供服务的内容以及形式，也提及了精神医学服务所涉及的文化、法律以及伦理问题。通过这本书，公众不仅可以了解到精神科医生的工作日常，而且可以获悉当自己出现精神困扰时能从精神科医生那里得到什么样的帮助，同时也可以对精神医学服务中的一些特殊、敏感课题（包括强制治疗、电击、隐私保护等）有更深入的思考。
——甘照宇（中山大学附属第三医院精神科情感障碍亚专科副主任，中华医学会精神医学分会双相障碍研究协作组委员）
⚪全书题材新颖、视角独特，借由娓娓的描述、细腻的笔触和真挚的情感，带领读者触感神秘的精神科学，随着时间和场景的转换，身临其境、酣畅淋漓！！凡此种种，读一书，而窥斑见豹。
——郑宏（上海市长宁区精神卫生中心主任医师）
⚪我拜读过很多出自于心理咨询师的科普作品，形式丰富，日记体、寓言体、小说体、书信体，不一而足，而出自精神科医生之手的科普作品实在是凤毛麟角，屈指可数（上一本这样的书应该就是《躁郁之心》了）；因此，当我收到这本书的时候，的确是有些惊喜——被科研和临床挤占了生活的精神科医生，怎么能腾得出时间来写科普作品（而且作者在书里也确实提到，每年40多场社区演讲，光这个工作就有够要命的）？
作为一名精神科医生，翻开这本书的时候，能看到很多引起共鸣的地方 —— 不愧自称”一位资深精神科医生的现场医疗记录“，作为加拿大的顶级精神科医师，戈德布卢姆教授的行文温润、富有讲述感，却又不失专业性和写实性；书中有许多精辟的论断和觉察，在我这个年资看过去，实在是有种“被击中”的感觉。但正如书名《how can I help》所传达的，作者希望说明的不仅是我们（精神科医生）能帮到你什么，也希望说明哪些方面我们是无能为力的（至少是目前） —— 而比起前者，后者更需要超人的勇气和见地。这些话在我选择精神科到现在，体会确实不断在加深：我们并非无所不能。感谢戈德布卢姆教授，他的作品和他落落大方的态度，为我们行业卸下了一些不必要的自负。
——Alex的精神小窝（B站up主，精神科医师）
⚪患者为本，精神医学更是如此，但这当中充满了价值张力。要安全，还是要利益？要自由权，还是要健康权？本书揭示了许多这一行业的深刻“秘密”，引人入胜又发人深省。但不变的是，无论如何，精神科医生的“职责是不放弃他”，作者的责任感令人叹服。正如一位努力反抗强制入院的患者说“医生，如果我知道你这么担心我，我会留下来的。”
——梁辰（北京大学医学人文学院博士生）
⚪ 精彩！真的太精彩了！关于精神科工作中的同情与科学、局限与天赋、医学与人文根源，这本书给出了极好的观点。写得非常好，阅读体验很棒！
——凯·雷德菲尔德·贾米森（Kay Redfield Jamison）《躁郁之心》作者，约翰·霍普金斯大学医学院精神病学教授
⚪ 在21世纪初，戈德布卢姆和布莱登向我们展示了为什么心灵仍然重要——精神医学也很重要。这本书内容很丰富，讲述了一位精神科医生在用学识和智慧去照护病人时，他是如何思考和感受的。对于那些生活或家庭在某种程度上受到精神障碍影响的人来说，这是一本了不起的书，或者说，对于我们所有人来说都是。
——威廉·G. 霍纳（William G. Honer）医学博士，不列颠哥伦比亚大学精神病学系主任、教授
⚪ 如果你想知道如今的精神科是怎样工作的，这本书里有答案。这本书在精神医学的成功与局限之间找得了平衡，由此成为一副完美的解药，可以祛除精神疾病带来的病耻感，也可以消除对精神疾患照护者的误解。
——乔尔·帕里斯（Joel Paris）医学博士，《DSM-5临床医生指南》作者，麦吉尔大学精神病学教授
⚪ 戈德布卢姆和布莱登联手描绘了一位英雄般的医生一周的生活，他优雅而有尊严地坦承了自己的局限。作者清楚地传达了戈德布卢姆的同情心、智慧和对病人实际护理的重视，以及他对当前治疗方法局限性的沮丧。关于电痉挛疗法的那一章可能是这一主题写得最好的。
——保罗·加芬克尔（Paul Garfinkel）医学博士，多伦多大学精神病学教授，成瘾与精神健康中心精神科医生，加拿大勋章获得者
⚪ 在《我能帮上什么忙？》这本书中，戈德布卢姆和布莱登两位医生特别描述了临床精神医学的世界是多么丰富多彩和具有吸引力。通过个人经历的视角，作者为现在和未来的医生们生动地展示了临床工作的诸多挑战和收获。一本真正深思熟虑、引人入胜的书。
——L. 特雷弗·扬（L. Trevor Young）医学博士，多伦多大学医学院院长
⚪ 这本书提供了我们社会所需要的教育，让我们了解什么是精神疾病，以及精神科所扮演的重要角色。戈德布卢姆和布莱登两位医生用幽默和人性的笔法，打破了那些阻碍人们接受治疗和信任医生的错误观念。这是一部引人入胜的作品。
——克拉拉·休斯（Clara Hughes）奥运会冠军，精神健康倡导者
⚪ 精神疾病被笼罩在秘密、羞耻与恐惧之中。戈德布卢姆和布莱登两位医生在消除精神科及其患者的污名化方面做得非常出色。精神疾病看起来像什么，听起来像什么？人们真的能得到帮助吗？能治愈吗？我们对精神疾病的病因到底了解多少？两位作者的回答诚实、感人、充满希望。
——瓦莱丽·普林格尔（Valerie Pringle）播音员，精神健康倡导者
⚪ 戈德布卢姆对待病人那真诚而又善解人意的态度令人感动。
——《环球邮报》（The Globe and Mail）
⚪ 这本书传达了……塑造精神科实践的人类戏剧。
——《加拿大精神病学杂志》（Canadian Journal of Psychiatry）
【编辑推荐】
世界上每八人中就有一人患有精神障碍；在加拿大，每五人中就有一人正在经历某种形式的精神疾病。这个数据往往使人惊讶，但这恰恰说明精神疾病遭到了隐藏。人们并不会像谈论其他疾病那样去谈论精神疾病，而这让人误以为精神疾病比较少见。挣扎于精神疾病之中的人，既要承受疾病本身带来的痛苦，还要承受社会加诸其身的歧视与压力；而精神科工作也常常饱受误解，使许多患者怯于接受正常的治疗。《我能帮上什么忙？》是一本恰逢其时的书，它从一个资深精神科医生的视角出发，以案例和故事的形式，用通俗易懂的语言，帮助大众读者了解什么是精神疾病、精神科的作用等，对于大家普遍关心和容易误解的议题，本书也给出了真诚和中肯的观点。",2024,上海教育出版社,https://book.douban.com/subject/36808336/,https://img3.doubanio.com/view/subject/s/public/s34808097.jpg
9787521763157,真想让我爱的人读读这本书,[英]菲利帕·佩里,"用成年的力量，重新养育童年的自己。
既温柔又犀利的心理治疗师、百万畅销书《真希望我父母读过这本书》作者菲利帕·佩里写给成年人的心理疗愈问答书。
如果你人生中有未完成的事件——来不及告别的人，得不到的回应，未被满足的需求，内心没有解决的冲突——试试在房间中放两把椅子，你坐其中一把，另一把留给未完成事件中的人（或者是你的一部分自我）。想象那个人坐在空椅子上，把你的感受、情绪和想法都告诉他。然后，你再坐在他的椅子上，想象你现在变成了他，用你想象他会对你说的话，来回应你刚才坐的那把椅子（也就是你自己）。
童年时的我们为了保护自己，发展出了相应的适应能力和防御机制，比如乖巧、懂事、警觉、讨好。然而，当我们长大成人后，儿童式的生存机制不再适用于成年人的生活，甚至会带来创伤和阻碍，留下一桩桩“未完成的事件”。
在这本温暖人心的书中，心理治疗师菲利帕·佩里用温柔又犀利的回答，帮助读者看见自己，觉察自己，给未完成的事件逐一画上句号。
感谢童年时代拼力保护我们的自己，现在，让我们用成年的力量，再重新养育一次童年的自己。",2024,中信出版集团,https://book.douban.com/subject/36811501/,https://img9.doubanio.com/view/subject/s/public/s34809914.jpg
9787111495482,被讨厌的勇气,岸见一郎,"岸见一郎
哲学家。1956年生于京都，现居京都。高中时便以哲学为志向，进入大学后屡次到老师府上进行辩论。京都大学研究生院文学研究系博士课程满期退学。1989年起致力于研究专业哲学和阿德勒心理学。主要活动领域是阿德勒心理学及古代哲学的执笔与演讲，同时还在精神科医院为许多青年做心理辅导。日本阿德勒心理学会认定顾问。译著有阿尔弗雷德?阿德勒的《个人心理学讲义》和《人为什么会患神经病》，著作有《阿德勒心理学入门》等多部作品。本书由其负责原案。
古贺史健
自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的极具现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理学的本...
(展开全部)",2015,机械工业出版社,https://book.douban.com/subject/26369699/,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg
9787111735779,何以为父,迈克尔·J.戴蒙德（MichaelJ.Diamond）,"本书对父子关系进行了深刻而有力的描述。在养育孩子的过程中，父亲扮演着重要角色。父亲并不单单是帮母亲打打下手、做个替补那么简单。他是一个男人这个简单的事实和他所怀揣的父爱，将影响孩子一生。
美国杰出精神分析师迈克尔·J.戴蒙德超30年父子关系研究总结，真实而有爱的父子联结赋予彼此超越生命的力量。作者坚定地认为，父亲身份对儿子和父亲彼此的发展都至关重要。父亲会深刻地影响儿子，儿子也会影响父亲。父子关系的发展会跨越某些特定的发展里程碑。他提出了“足够好的父亲”这一概念——一个能够培养自己的情感、全身心投入孩子的内心世界、促进孩子成长的人。他写作本书的目的是希望帮助男性好好抚育自己的儿子。
本书贯穿整个生命周期的父子关系，描绘了父亲的成长阶段（从妻子怀孕开始）；追溯了父子关系，从儿子幼年时期的“监护人”阶段，到父亲允许儿子独立和成熟，引导儿子进入成年。而随着父亲的年老，父子相互再次走得更近。本书将为读者理解父子关系打下坚实的基础。
*美国加州研究型精神分析师孙平 倾情翻译；中国著名精神科医师曾奇峰 亲笔作序；何川 吴知力 谢大林 诚挚推荐。",2024,机械工业出版社,https://book.douban.com/subject/36725588/,https://img9.doubanio.com/view/subject/s/public/s34753705.jpg
9787557699833,你的敏感，就是你的天赋,[英]伊米·洛,这本书是为那些情绪敏感、强烈，有共情力的人写的。社交中细微的情绪变化，他人感受不到，你却可以；你是集体中揭开真相的人，也是识破伪善者的人；你是一个独立思考的人，不能接受毫无意义的指令，更会挑战专制的权威……  然而，天赋非凡的你却常被别人指责、嫉妒，这让你陷入自责，甚至抑郁。  昆士兰大学精神健康硕士、心理治疗师伊米&amp;middot;洛结合一线临床经验与当下研究成果，为性格敏感的你提供操作性十足的建议——如何找到自己在工作中的位置，并让自己成长得比别人更快。如何与有害的家庭关系保持距离，让自我顺利成长。愿你在生活、工作、感情中如鱼得水，无往不利！,2022,天津科学技术出版社,https://book.douban.com/subject/36096028/,https://img1.doubanio.com/view/subject/s/public/s34312368.jpg
