ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787559673848,最后一个死去的女孩,[美]哈里·多兰,"☆ 《华尔街日报》年度悬疑佳作
☆ 斯蒂芬·金盛赞其作品：我完全被迷住了！
☆ 阿加莎式疯狂反转，钱德勒式凌厉文风
☆ 读到凌晨三点都放不下！
————————
“有时候，我觉得生活就是一长串的意外。”
·
四月的一个雨夜，在一条无人的公路上，大卫与年轻美丽的法律系学生 嘉娜一见钟情。
·
嘉娜住在破败的公寓里，脸上带着谜一样的伤痕。大卫好奇嘉娜的秘密，但一切都太迟了——仅仅十天后，大卫发现嘉娜惨死于公寓，而自己则成了头号嫌犯。
·
大卫决定找出真相，他很快就发现嘉娜——这个理想主义的法律系学生——竟然在生命的最后时刻，全身心地追寻着一起谋杀案的真相！
·
大卫循着她的脚步深入案件，而与此同时，谋杀嘉娜的凶手正紧盯着他的每一步行动……
————————
☆ 曲折的情节毫不费力地展开……多兰的写作非常出色。
——《福布斯杂志》
·
☆ 引人入胜、紧张刺激……节奏畅快、惊奇连连……多兰先生笔下的角色充满人性，完全出乎你的意料，就连毛骨悚然的情节也如此细腻逼真。
——《华尔街日报》
·
☆ 多兰擅长构思巧妙、曲折的情节……多兰是一位富有创意、与众不同的作家，他成功写出了一部富有娱乐性的悬疑小说……他的大卫·马龙系列小说值得一切赞扬。
——《华盛顿邮报》
·
☆ 《最后一个死去的女孩》展示了多兰作为小说家的才华……你将体验到一场扣人心弦的悬疑之旅。
——《出版周刊》
·
☆ 作者哈里·多兰给读者恰到好处地呈现了潜在嫌疑人、情节的转折和急转弯，这个快节奏的故事会像春天洪水中的急流一样席卷你。不要指望能够弄清楚谁才是真正的坏人，因为哈里·多兰根本不会让你得逞。他擅长制造悬念，并且总是让粉丝们体验到一场巨大的过山车之旅。
——《图书报道》
·
☆ 嘉娜的一生如此悲惨，其个性却又如此鲜明……故事以非线性方式讲述，穿插着时间跳跃和插曲；这种风格是有效的，因为它使得多兰能够将令人震惊的真相隐藏起来，直到最后一刻才将他们揭示。
——《书架意识》
·
☆ 经历过失去，才能知道自己必须成为怎样的人。
——亚马逊评论，Shannon Peterson",2024,北京联合出版公司,https://book.douban.com/subject/36782247/,https://img1.doubanio.com/view/subject/s/public/s34802149.jpg
9787559641182,绝叫,[日]叶真中显,"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天鹅的挽歌， 平庸者的崩坏是野兽的绝叫。
-
★同名日剧位居豆瓣“2019评分最高日本剧集”榜单Top10
★日本现象级社会派推理小说
★长达四十年的恶女编年史
★绝对现实，却超乎想象！
-
【内容简介】
铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳 子几个月前死了。因为发现她时，不但遗体遭到屋内的十一只猫啃食，连猫也全数饿死了。铃木阳子显然是「孤独死」的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是如何？
-
【编辑推荐】
《绝叫》是日本新锐社会派推理作家叶真中显创作的推理小说，讲述了女主人公阳子在平庸懦弱的表象之下，隐密的跌宕、罪恶人生。该书揭露常被人们忽视的社会问题，深刻而引人深思，刻画人物思想的变化细腻而一针见血，以阳子的离奇经历，连缀了日本四十年来社会变迁的各种缩影，是日本近年来具有代表性的优秀推理小说。
该书在日本一经出版就引起极大反响，入围第68回日本推理作家协会奖、第36回吉川英治文学新人奖、第27回“这本推理小说了不起”大奖 、第12回书店大奖、第11回启文堂大奖、周刊文春年度推理小说榜。
后《绝叫》繁体版问世，使国内推理小说爱好者得以一探究竟。《绝叫》繁体版在豆瓣获得8.6的高评分，是少有的在有简体中文版之前就广受好评的外国小说。
2019年，根据《绝叫》改编的同名日剧播出，又获得了豆瓣逾万人点评、8.4分的好成绩，并入围豆瓣“2019评分最高日本剧集”榜单Top10。
2020年7月，《绝叫》简体中文版正式上市，以飨读者。",2020,北京联合出版公司,https://book.douban.com/subject/35031587/,https://img3.doubanio.com/view/subject/s/public/s33685372.jpg
9787532175512,消失的13级台阶,[日]高野和明,"【内容简介】
一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……
死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧失记忆的死刑犯洗清冤屈。但他们查到的唯一线索，就是树原亮记得自己曾“走在台阶上”。
距离树原亮被执行死刑的时间所剩无几，但这起案 件始终疑云重重，仅有的线索“台阶”仿佛也凭空消失了……
【编辑推荐】
🔹荣获日本推理小说至高荣誉江户川乱步奖！
🔸荣获周刊文春“推理小说BEST10”第2名。
🔹入围“这本推理小说了不起”榜单。
🔸作者高野和明曾获日本推理作家协会奖，作品入围各大榜单。
🔹日本推理小说家宫部美雪好评盛赞，曾为本书写解说。
🔸曾改拍成电影，反町隆史、山崎努领衔主演！
🔹扑朔迷离的案件背后 ，是一次对死刑制度鞭辟入里的探讨。
🔸是否值得为一场痛快的复仇，陪葬掉自己的人生？
【名家评论】
这是一次很有勇气的尝试，文中处处能感受到作者的热忱。我一口气读完了这本书，非常推荐！——宫部美雪
直到故事最后才呈现出错综复杂的真相，故事的情节设想得天衣无缝！——北村薰
虽然内容有些沉重，但是这本书具备让人一鼓作气读完的磅礴气势。——北方谦三
所有优秀推理小说应具备的条件，这本书里都发挥得恰到好处，无可挑剔。——逢坂刚",2020,上海文艺出版社,https://book.douban.com/subject/34996429/,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg
9787544258609,白夜行,[日]东野圭吾,"东野圭吾万千书迷心中的无冕之王
周刊文春推理小说年度BEST10第1名
本格推理小说年度BEST10第2名
《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备经典名著的一切要素：
一宗离奇命案牵出跨度近20年步步惊心的故事：悲凉的爱情、吊诡的命运、令人发指的犯罪、复杂人性的对决与救赎……
-------------------------------------------------------------------
1973年，大阪的一栋废弃建筑中发现一名遭利器刺死的男子。案件扑朔迷离，悬而未决。
此后20年间，案件滋生出的恶逐渐萌芽生长，绽放出恶之花。案件相关者的人生逐渐被越来越重的阴影笼罩……
“我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。虽然没有太阳那么明亮，但对我来说已经足够。
凭借着这份光，我便能把黑夜当成白天。
我从来就没有太阳，所以不怕失去。”
“只希望能手牵手在太阳下散步”，这句象征本书故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的事件片段如纪录片一样一一还原，最后一丝温情也被完全抛弃，万千读者在一曲救赎罪恶的爱情之中悲切动容。",2013,南海出版公司,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg
9787122346032,克莱因壶,[日]冈岛二人,"什么时候你开始怀疑这个世界是假的？
.
日本虚拟现实VR题材开山杰作，
超前《盗梦空间》20年！
传奇推理作家组合冈岛二人预言之书，以超强的技术预见力，30年前就已完美构想出虚拟现实游戏体验装置！
.
这是一部拥有“噩梦特质”的小说，是一次鲜有的、堪比3D观影、脑洞大开的、深陷其中难以自拔的独特体验。——资深推理人天蝎小猪
.
.
上杉彰彦从未如此兴奋——他写的故事被伊普西隆研发公司买下，即将制作成颠覆时代的全新游戏《克莱因2》（Klein 2），并受邀与少女梨纱一同担任游戏测试员。
上杉彻底陷入了由K2造就的完美虚拟世界，为它的逼真、超前赞叹不已。然而随着测试过程的深入，伊普西隆公司行事神秘得令他生疑，游戏中更不断听到有人警告他：“快逃！”
与此同时，一个自称是梨纱好友的女孩找到上杉，她说梨纱已失踪多日，音信全无。然而在寻人的过程中，两人都开始怀疑对方在撒谎，因为他们的记忆完全对不上……",2019,化学工业出版社,https://book.douban.com/subject/33658616/,https://img3.doubanio.com/view/subject/s/public/s33317677.jpg
9787513311236,罗杰疑案,[英]阿加莎·克里斯蒂,"无可争议的侦探小说女王，侦探文学史上最伟大的作家之一。
阿加莎·克里斯蒂原名为阿加莎·玛丽·克拉丽莎·米勒，一八九○年九月十五日生于英国德文郡托基的阿什菲尔德宅邸。她几乎没有接受过正规的教育，但酷爱阅读，尤其痴迷于歇洛克·福尔摩斯的故事。
第一次世界大战期间，阿加莎·克里斯蒂成了一名志愿者。战争结束后，她创作了自己的第一部侦探小说《斯泰尔斯庄园奇案》。几经周折，作品于一九二○正式出版，由此开启了克里斯蒂辉煌的创作生涯。一九二六年，《罗杰疑案》由哈珀柯林斯出版公司出版。这部作品一举奠定了阿加莎·克里斯蒂在侦探文学领域不可撼动的地位。之后，她又陆续出版了《东方快车谋杀案》、《ABC 谋杀案》、《尼罗河上的惨案》、《无人生还》、《阳光下的罪恶》等脍炙人口的作品。时至今日，这些作品依然是世界侦探文学宝库里最宝贵的财富。根据她的小说改编而成的舞台剧《捕鼠器》，...
(展开全部)",2013,新星出版社,https://book.douban.com/subject/21371175/,https://img3.doubanio.com/view/subject/s/public/s25814002.jpg
9787541166051,六个说谎的大学生,[日]浅仓秋成,"★豆瓣2023年度推理·悬疑图书TOP1。主持人/演员杨迪五星推荐。
★大学生求职前必看小说。
★《金色梦乡》作者伊坂幸太郎公开表示：“2021年看过的最好的悬疑推理小说，就是浅仓秋成的《六个说谎的大学生》。”
★日本著名游戏制作人小岛秀夫多次在社交平台推荐，并将《六个说谎的大学生》列为个人读过 的年度最佳推理小说之一。
★职场悬疑游戏——6人密室心理战×沉浸式职场 狼人杀×华丽的叙述性诡计。最后还有温情与纯爱。
----------------
八年前，日本著名IT企业首次开启校招，六名大学生从五千人中脱颖而出。原以为六人团队可以全部拿到内定，但最终却是六人争夺唯一一个入职名额。伴随紧张气氛而来的，还有六封神秘“告发信”，揭发六人面具之下的“谎言”与“罪恶”。完美光鲜的名校生人设一夕崩塌，谁又能成为最终赢家……
八年后，当年告发信“策划者”生病离世，给入职者留下新的线索，重新走访其他当事人之后，又是否能够找出隐藏多年的另一重真相……",2023,四川文艺出版社,https://book.douban.com/subject/36283547/,https://img9.doubanio.com/view/subject/s/public/s34497205.jpg
9787513335256,圣母,[日]秋吉理香子,"一起男童被害案搅得蓝出市人心惶惶。
好不容易怀孕生产的保奈美抱紧年幼的孩子，立誓要不惜任何代价保护她。
男人是在孩子出生后才成为父亲的，但女人，是从小生命来到体内的那一瞬间起，就是母亲了。患有不孕症的保奈美是经历过艰辛的治疗过程才终于有了孩子的，她不允许这起命案威胁到宝贵的孩子！
母亲，就是要消除所有对子女的威胁，每一位母亲都应肩负这样的使命，这是神圣的天职！",2019,新星出版社,https://book.douban.com/subject/30475757/,https://img2.doubanio.com/view/subject/s/public/s30021261.jpg
9787572616099,食南之徒,马伯庸,"【内容简介】
ZUI贪吃的大汉使者唐蒙，
来到了ZUI会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位争斗、国策兴废……种种波谲云诡，竟比岭南食材的风味更加复杂。
这个懒散的大汉使者，身陷岭南的政争漩涡。他唯一能信赖的伙伴，只有食物；唯一的破局之法，只有追求极致美食的心。
谁都没想到，那一缕微妙滋味，竟关乎大汉与南越国运，乃至于整个中华版图……
【编辑推荐】
《食南之徒》是马伯庸2024年全新长篇历史小说。贪吃的汉使唐蒙来到饕餮圣地南越，没想到卷入南越宫廷的政争之中，南北对峙、族群隔阂、权位争斗、国策兴废……时局波谲云密，他能信赖的只有美食，能够破局的也只有那颗追求极致美食的心。更没人想到，唐蒙敏感的味觉竟然拓展了大汉对中华版图的认知……
美食不会骗人，每个人在它面前，都会露出本性。
1.马伯庸2024年全新长篇历史小说。
2.西汉“吃货”唐蒙出使南越，从“躺平”到“趟平”的故事。
3.一味不知原料的酱料，一枚原生北土的枣核，勾连出中华版图变迁的一段隐秘传奇，西南丝绸之路开拓史竟也由此展开。
4.知名画家施晓颉绘制封面，随书附赠五折六联全彩明信片插图。",2024,湖南文艺出版社,https://book.douban.com/subject/36710597/,https://img3.doubanio.com/view/subject/s/public/s34823157.jpg
9787544285148,恶意,[日]东野圭吾,"《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，有如万丈深渊，让人不寒而栗。从未遇到这样的案子：杀人不是目的，而是手段；死亡不是结束，而是开始。 读完《恶意》，才算真正认识东野圭吾。
============================ ================================
畅销作家在出国前一晚被杀，警方很快锁定了凶手。此人供认自己是一时冲动犯下了罪行。案子到此已经可以了结。可办案的加贺警官并不这么认为，因为他找不到凶手作案的动机，凶手也一直对动机避而不谈。加贺不愿草草结案，大量走访。渐渐显露的真相让他感到冰冷的寒意——
“你心里藏着对他的恶意，这仇恨深不见底，深得连你自己都无法解释。正是它导致了这起案件。这股恶意到底从何而起呢？我非常仔细地调查过，却实在找不出任何合乎逻辑的理由。这是怎样的一种心态啊！就算被捕也不怕，即使赌上自己的人生，也要达成目的。这真是惊人的想法，简直前所未闻。”
============================ ================================
东野圭吾在《恶意》中巧妙地设置了一个又一个反转，从阴谋实施到真相大白间的精巧设计，令读者赞叹不已。——《出版家周刊》（美国）
在《恶意》中，东野圭吾将陀思妥耶夫斯基式的心理现实主义和阿加莎·克里斯蒂式的经典侦探解谜故事结合得炉火纯青。——《华尔街日报》（美国）
当你以为东野圭吾已经穷尽了诡计的所有可能性时，他就祭出一个新的来让你大吃一惊。——《科克斯书评》（美国）
《恶意》作为一部推理小说，极尽曲折复杂周密；同时又深刻揭示了人性，达到很多纯文学作品未能达到的深度。《恶意》可与同一作者的《红手指》对照着读。在《恶意》中，恶是没有底线的；在《红手指》中，善残存于恶的底线之下。——止庵
潜伏在《恶意》故事底下的，是一条黑色的河流，名为人的“恶意”。虽然可以听到流淌的微弱水声，却无法轻易看到它的流动。——桐野夏生",2016,南海出版公司,https://book.douban.com/subject/26877752/,https://img9.doubanio.com/view/subject/s/public/s29827014.jpg
