ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787513353939,联愁杀,[日]西泽保彦,"◎新本格推理巨匠 西泽保彦
逻辑创作宇宙的元点
◎推理论战，多重解答，连续反转
◎真相在头脑风暴中渐行渐远
凶手究竟藏身何处？
◎独家收录西泽保彦创作感想《第三十三年的后记》
------------------------------------------------
★内容介绍
差点被陌生男子杀死的梢绘好不容易死里逃生，却完全不知凶手为何要对自己痛下杀手。经过调查，警方从男子遗留的笔记中发现他极可能是随机连环杀人案的凶手，唯独作为最后一个目标的梢绘逃过一劫。自此，凶手下落不明。
梢绘为探明男子袭击自己的原因，委托“恋谜会”进行调查。恋谜会的成员根据拼凑起来的线索及证据，展开了各式各样的推理，然而案情却越发扑朔迷离……",2024,新星出版社,https://book.douban.com/subject/36647304/,https://img1.doubanio.com/view/subject/s/public/s34836679.jpg
9787559673848,最后一个死去的女孩,[美]哈里·多兰,"☆ 《华尔街日报》年度悬疑佳作
☆ 斯蒂芬·金盛赞其作品：我完全被迷住了！
☆ 阿加莎式疯狂反转，钱德勒式凌厉文风
☆ 读到凌晨三点都放不下！
————————
“有时候，我觉得生活就是一长串的意外。”
·
四月的一个雨夜，在一条无人的公路上，大卫与年轻美丽的法律系学生 嘉娜一见钟情。
·
嘉娜住在破败的公寓里，脸上带着谜一样的伤痕。大卫好奇嘉娜的秘密，但一切都太迟了——仅仅十天后，大卫发现嘉娜惨死于公寓，而自己则成了头号嫌犯。
·
大卫决定找出真相，他很快就发现嘉娜——这个理想主义的法律系学生——竟然在生命的最后时刻，全身心地追寻着一起谋杀案的真相！
·
大卫循着她的脚步深入案件，而与此同时，谋杀嘉娜的凶手正紧盯着他的每一步行动……
————————
☆ 曲折的情节毫不费力地展开……多兰的写作非常出色。
——《福布斯杂志》
·
☆ 引人入胜、紧张刺激……节奏畅快、惊奇连连……多兰先生笔下的角色充满人性，完全出乎你的意料，就连毛骨悚然的情节也如此细腻逼真。
——《华尔街日报》
·
☆ 多兰擅长构思巧妙、曲折的情节……多兰是一位富有创意、与众不同的作家，他成功写出了一部富有娱乐性的悬疑小说……他的大卫·马龙系列小说值得一切赞扬。
——《华盛顿邮报》
·
☆ 《最后一个死去的女孩》展示了多兰作为小说家的才华……你将体验到一场扣人心弦的悬疑之旅。
——《出版周刊》
·
☆ 作者哈里·多兰给读者恰到好处地呈现了潜在嫌疑人、情节的转折和急转弯，这个快节奏的故事会像春天洪水中的急流一样席卷你。不要指望能够弄清楚谁才是真正的坏人，因为哈里·多兰根本不会让你得逞。他擅长制造悬念，并且总是让粉丝们体验到一场巨大的过山车之旅。
——《图书报道》
·
☆ 嘉娜的一生如此悲惨，其个性却又如此鲜明……故事以非线性方式讲述，穿插着时间跳跃和插曲；这种风格是有效的，因为它使得多兰能够将令人震惊的真相隐藏起来，直到最后一刻才将他们揭示。
——《书架意识》
·
☆ 经历过失去，才能知道自己必须成为怎样的人。
——亚马逊评论，Shannon Peterson",2024,北京联合出版公司,https://book.douban.com/subject/36782247/,https://img1.doubanio.com/view/subject/s/public/s34802149.jpg
9787547746349,追诉时效倒计时,[日]横山秀夫,"◆刑警的直觉有多可怕？只一眼就能看出猫腻！
【作品介绍】
日本刑侦小说泰斗横山秀夫生涯代表作品，横扫推理榜单！
横山秀夫是日本推理作家协会奖、德国犯罪小说奖（国际奖）得主，是日本首个入围国际匕首奖的作家。
如果推理小说有诺贝尔奖，横山秀夫的作品将当之无愧。——德国《时代周报》
运钞车抢劫杀人案、白骨抛尸案、灭门惨案……6个短篇掀起9场绝命追凶！
作者亲笔签名印签版。
翻开本书，看直觉敏锐的刑警如何识破真凶！
【故事简介】
F县警本部有3名声名赫赫的“恶鬼刑警”——擅长逻辑推演的“青面修罗”朽木、擅施谋略的“冷血动物”楠见，还有有野兽般第六感的“探案天才”村濑。他们视案子如命，绝不放过任何一个狡猾的凶手。
当已招认的凶手突然全盘翻供，拿出不在场证明时，朽木敏锐地嗅出了此举真正的动机……
当嫌疑人逃亡15年，即将因追诉时效到期而脱罪时，楠见从多年前的一则报道中察觉出了异样……
当警方彻夜蹲守公寓出入口，嫌疑人还是人间蒸发时，村濑从看不见的漏洞里窥到了事情的根源……
运钞车抢劫杀人案、白骨抛尸案、灭门惨案、投毒案……6个短篇掀起9场绝命追凶！在经验老到、直觉敏锐的“恶鬼刑警”面前，所有的伪装都将露出原形！
/第三时效/  简介
一桩15年未破的强奸谋杀案，一场利用追诉时效的生死博弈！
15年前，雪绘被人强奸，丈夫也惨遭杀害，凶手却从此下落不明。不久，雪绘生下一个女儿。凶手认定自己就是孩子的父亲。
警方认为凶手会在追诉时效到期、成功脱罪后联系雪绘，于是在她家布下监控。他们想利用凶手对追诉时效的误判抓住他，因为此案的追诉时效比常规的晚7天。
然而7天过去，凶手却迟迟没有现身。
午夜11:58……11:59……追诉时效即将到期。就在警方要放弃时，电话铃声突然响起……",2024,北京日报出版社,https://book.douban.com/subject/36462621/,https://img9.doubanio.com/view/subject/s/public/s34792134.jpg
9787549641864,第七重解答,[法]保罗·霍尔特,"反转反转反转，再反转再反转，再神级反转的绝世推理经典!
-----------------------------------------------------------------------------------
📖编辑推荐
◎ 不可能犯罪之王保罗·霍尔特绝版名作
◎ 入选“豆瓣推理小说Top 100”，豆瓣评分8.6！
◎ 教科书级反转神作，旧版价格炒到10倍+
◎ 鸟嘴医生之谜×垃圾桶藏尸之谜×人体瞬移之谜×谋杀决斗之谜
◎ 融推理三巨头之长，诡计与逻辑的惊艳结合
◎ 让岛田庄司、绫辻行人推崇备至的推理大师
◎ 翻开本书，共赴一场反转反转再反转的推理盛宴
-----------------------------------------------------------------------------------
📖内容简介
午夜时分，中世纪的鸟嘴医生游荡在现代街头。
幽暗小巷，无名男尸凭空消失又凭空出现。
密闭走廊，染病房客在众目睽睽之下人间蒸发。
诡异书房，昔日好友发起致命的杀人对决。
…………
1938年的伦敦城内，怪事一桩接着一桩发生。
侦探二人组穷举所有可能性，却始终不得其解。
案件或许要历经六重反转，
才能迎来揭露真相的第七重解答！
-----------------------------------------------------------------------------------
📖内文金句
1. 在绝对诚实的人和长期撒谎的人之间，存在着不同程度的撒谎者。
2. 在我们面前的是一张拼图，其中显然没有任何一块碎片能拼得起来，而且随着事件的发酵，碎片的数量还在不断增加。
3. 我们太过沉迷于这种组合罪犯的把戏，反而忽略了最重要的因素一一人的因素。
-----------------------------------------------------------------------------------
📖媒体评价
1.“传统”“反潮流”是对霍尔特作品的常用定义。他积累了近40本小说的疯狂谜题和不可能犯罪，成为了约翰·迪克森·卡尔的唯一继承人。——霍尔特官方主页
2. 保罗·霍尔特的小说融合了灵异的艺术氛围和高超的经典情节，这些特质让他的小说充满令人难以抗拒的魅力。——《埃勒里·奎因推理杂志》
3. 当您进入霍尔特笔下的故事时，千万当心！他会让您接受难以置信的传说和离奇的故事，让您相信不可能的事物和疯狂的解释。——罗兰·拉库布（法国知名作家、编辑）",2024,文汇出版社,https://book.douban.com/subject/36665775/,https://img1.doubanio.com/view/subject/s/public/s34837839.jpg
9787522520773,名侦探的献祭,[日]白井智之,"—————————编辑推荐————————————————
1.改编自震惊世界的“人民圣殿教”惨案，900多人集体自杀背后的真相细思极恐！
以1978年人民圣殿教事件为背景，对震惊世界的惨案给予新的诠释；
疾病和伤痛都不存在，连失去的四肢都可以复苏，欢迎来到奇迹的乐园——乔丹镇。乔丹镇里的每个人，都不太正常。
2.日本推理鬼才白井智之高口碑神作，带你感受颅内高潮！
你，相信奇迹吗？活在“现实”里的侦探vs活在“奇迹”中的信徒，当童话故事结束之时，正是现实世界露出獠牙之刻，为了守护“美好”的信仰，每个人的发疯时刻终于到来。
3.极致烧脑，层层反转，最后20页直接逆转整个真相！
4.口碑炸裂，横扫日本四大推理榜单，拿奖拿到手软！
★2023年横扫日本四大推理榜单
2023年本格推理BEST10 第1位
2023年这本推理小说了不起！第2位
2022年周刊文春BEST10 第2位
2023年这本推理小说好想读！第4位
★荣获第23届本格推理大奖
力压大山诚一郎、方丈贵惠，刷新本格推理大奖最高获奖票数
5.话题沸腾，未引进前超2500人打出豆瓣8.6分，B站解说视频播放量超100w
豆瓣读者：看得我大脑一度缺氧，推理过程仿佛台风席卷脑细胞
B站读者：一口气读完的本格推理神作，白井智之上岸封神！
微博读者：逻辑鬼才，白井智之，永远的神！
6.独家收录简体中文版专属自序，解锁故事背后的神秘趣事！
更有“欢迎来到乔丹镇”作者印签，随书附赠：双主角大海报x2+乔丹镇地图导览x1 +追凶异形线索卡x1
7.大山诚一郎、阿津川辰海 千晶街之 激赞推荐！
长达150页的解决篇，不管是资历多深的推理迷，看到这本书大概都会吓一跳吧。这是史无前例的作品。独一无二的舞台和缜密大胆的结构，枯燥的彼岸浮现出的诗情。一本杰作。——大山诚一郎
赋予白井作品特征的重要元素——“多重解答”以不可思议的形式呈现出来的杰作。我为逻辑的杂技鼓掌喝彩。即使抑制住残忍的因素，白井本格还是白井本格。  ——阿津川辰海
虽然这部作品淡化了作者的怪诞趣味，成为了可以向所有人推荐的作品。但从推理浓度上来看，这一本超过了作者以往所有的作品。这是推理迷必读的杰作。        ——千晶街之
—————————内容简介————————————
奇迹真的存在。
不要害怕，不要哭喊。
疾病和伤痛都不存在，连失去的四肢都复苏了，这里是奇迹的乐园——乔丹镇。
因为担心迟迟未归的助手而进入乔丹镇调查的侦探大塒，接连遭遇了可疑的死亡。对于相信奇迹的人们，以逻辑为武器的名侦探能否战胜狂热信徒的集体妄想？",2023,九州出版社,https://book.douban.com/subject/36512989/,https://img9.doubanio.com/view/subject/s/public/s34681654.jpg
9787532175512,消失的13级台阶,[日]高野和明,"【内容简介】
一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……
死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧失记忆的死刑犯洗清冤屈。但他们查到的唯一线索，就是树原亮记得自己曾“走在台阶上”。
距离树原亮被执行死刑的时间所剩无几，但这起案 件始终疑云重重，仅有的线索“台阶”仿佛也凭空消失了……
【编辑推荐】
🔹荣获日本推理小说至高荣誉江户川乱步奖！
🔸荣获周刊文春“推理小说BEST10”第2名。
🔹入围“这本推理小说了不起”榜单。
🔸作者高野和明曾获日本推理作家协会奖，作品入围各大榜单。
🔹日本推理小说家宫部美雪好评盛赞，曾为本书写解说。
🔸曾改拍成电影，反町隆史、山崎努领衔主演！
🔹扑朔迷离的案件背后 ，是一次对死刑制度鞭辟入里的探讨。
🔸是否值得为一场痛快的复仇，陪葬掉自己的人生？
【名家评论】
这是一次很有勇气的尝试，文中处处能感受到作者的热忱。我一口气读完了这本书，非常推荐！——宫部美雪
直到故事最后才呈现出错综复杂的真相，故事的情节设想得天衣无缝！——北村薰
虽然内容有些沉重，但是这本书具备让人一鼓作气读完的磅礴气势。——北方谦三
所有优秀推理小说应具备的条件，这本书里都发挥得恰到好处，无可挑剔。——逢坂刚",2020,上海文艺出版社,https://book.douban.com/subject/34996429/,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg
9787541166051,六个说谎的大学生,[日]浅仓秋成,"★豆瓣2023年度推理·悬疑图书TOP1。主持人/演员杨迪五星推荐。
★大学生求职前必看小说。
★《金色梦乡》作者伊坂幸太郎公开表示：“2021年看过的最好的悬疑推理小说，就是浅仓秋成的《六个说谎的大学生》。”
★日本著名游戏制作人小岛秀夫多次在社交平台推荐，并将《六个说谎的大学生》列为个人读过 的年度最佳推理小说之一。
★职场悬疑游戏——6人密室心理战×沉浸式职场 狼人杀×华丽的叙述性诡计。最后还有温情与纯爱。
----------------
八年前，日本著名IT企业首次开启校招，六名大学生从五千人中脱颖而出。原以为六人团队可以全部拿到内定，但最终却是六人争夺唯一一个入职名额。伴随紧张气氛而来的，还有六封神秘“告发信”，揭发六人面具之下的“谎言”与“罪恶”。完美光鲜的名校生人设一夕崩塌，谁又能成为最终赢家……
八年后，当年告发信“策划者”生病离世，给入职者留下新的线索，重新走访其他当事人之后，又是否能够找出隐藏多年的另一重真相……",2023,四川文艺出版社,https://book.douban.com/subject/36283547/,https://img9.doubanio.com/view/subject/s/public/s34497205.jpg
9787541169946,宋慈洗冤笔记4,巫童,"跟随世界法医鼻祖宋慈破奇案、洗冤情、寻真相！
-
★即使你没读过《宋慈洗冤笔记》系列前三部，依然不影响你阅读《宋慈洗冤笔记4·大结局》，《宋慈洗冤笔记4·大结局》的故事独立又精彩！
★国产年度悬疑，古风悬疑推理神作！
★每10个读者就有9个推荐本书！微信读书上架11个月，超25万人阅读，11000多人点评，点评人中推荐比例超过90%！
★口碑爆棚，好评如潮，火爆微博、小红书、朋友圈、悬疑圈，无数读者熬夜看完。
★影视由知名影视公司火热改编中！
★环环相扣，层层递进，零废话，快节奏，反转反转再反转，不读到最后永远不知道真相。
★特别收录全新未曝光番外2篇！
★《唐朝诡事录》编剧兼原著作者魏风华、《长夜难明》作者紫金陈、《暗黑者》作者周浩晖力荐。
-
世界法医鼻祖宋慈， 生平为何不见史书记载？今天我们能了解宋慈，多亏宋慈挚友刘克庄。本书讲述的正是宋慈和好友刘克庄携手探案的生死友谊。
南宋开禧元年，时年二十岁的宋慈，正在太学读书，却无意中卷入一起案件。自小跟随父亲学习验尸推案的宋慈，被责令限期破案。随着走访勘查的深入，他发现案件背后还有案件，冤情背后还有冤情，真相背后还有真相。所有线索最后都指向了多年前的一起案件，而这起旧案不仅埋藏着宋慈家族的秘密，还关系着整个大宋的安危。
翻开本书，跟随宋慈和刘克庄一起勘查现场，破奇案、洗冤情、寻真相。
-
※编辑推荐：
太学岳祠案、西湖沉尸案、骷髅爬坡案等十多起案件；烧死、勒死、服毒、溺水等二十多种死法；验伤、验尸、验骨等五十多项检验手段……跟随世界法医鼻祖宋慈回到南宋临安，一起洗冤禁暴、追查真相。
书中看似不经意的一句话，可能埋藏着重要线索；看似无关紧要的人物，可能是破案的关键一环；看似毫无干系的案件，最后才发现只是冰山一角。小说情节曲折，逻辑严密，层层递进，环环相扣，反转反转再反转，烧脑、刺激、过瘾。不看到最后一页，你永远不知道真相！",2024,四川文艺出版社,https://book.douban.com/subject/36909085/,https://img3.doubanio.com/view/subject/s/public/s34897802.jpg
9787559641182,绝叫,[日]叶真中显,"罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。”
豆瓣「2020年度读书榜单」推理·悬疑类top1！
怀才者的自怜是天鹅的挽歌， 平庸者的崩坏是野兽的绝叫。
-
★同名日剧位居豆瓣“2019评分最高日本剧集”榜单Top10
★日本现象级社会派推理小说
★长达四十年的恶女编年史
★绝对现实，却超乎想象！
-
【内容简介】
铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳 子几个月前死了。因为发现她时，不但遗体遭到屋内的十一只猫啃食，连猫也全数饿死了。铃木阳子显然是「孤独死」的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是如何？
-
【编辑推荐】
《绝叫》是日本新锐社会派推理作家叶真中显创作的推理小说，讲述了女主人公阳子在平庸懦弱的表象之下，隐密的跌宕、罪恶人生。该书揭露常被人们忽视的社会问题，深刻而引人深思，刻画人物思想的变化细腻而一针见血，以阳子的离奇经历，连缀了日本四十年来社会变迁的各种缩影，是日本近年来具有代表性的优秀推理小说。
该书在日本一经出版就引起极大反响，入围第68回日本推理作家协会奖、第36回吉川英治文学新人奖、第27回“这本推理小说了不起”大奖 、第12回书店大奖、第11回启文堂大奖、周刊文春年度推理小说榜。
后《绝叫》繁体版问世，使国内推理小说爱好者得以一探究竟。《绝叫》繁体版在豆瓣获得8.6的高评分，是少有的在有简体中文版之前就广受好评的外国小说。
2019年，根据《绝叫》改编的同名日剧播出，又获得了豆瓣逾万人点评、8.4分的好成绩，并入围豆瓣“2019评分最高日本剧集”榜单Top10。
2020年7月，《绝叫》简体中文版正式上市，以飨读者。",2020,北京联合出版公司,https://book.douban.com/subject/35031587/,https://img3.doubanio.com/view/subject/s/public/s33685372.jpg
9787572616099,食南之徒,马伯庸,"【内容简介】
ZUI贪吃的大汉使者唐蒙，
来到了ZUI会吃的南越之国。
这里食材丰富，简直就是饕餮之徒的梦想之地。然而，在美食背后，却涌动着南北对峙、族群隔阂、权位争斗、国策兴废……种种波谲云诡，竟比岭南食材的风味更加复杂。
这个懒散的大汉使者，身陷岭南的政争漩涡。他唯一能信赖的伙伴，只有食物；唯一的破局之法，只有追求极致美食的心。
谁都没想到，那一缕微妙滋味，竟关乎大汉与南越国运，乃至于整个中华版图……
【编辑推荐】
《食南之徒》是马伯庸2024年全新长篇历史小说。贪吃的汉使唐蒙来到饕餮圣地南越，没想到卷入南越宫廷的政争之中，南北对峙、族群隔阂、权位争斗、国策兴废……时局波谲云密，他能信赖的只有美食，能够破局的也只有那颗追求极致美食的心。更没人想到，唐蒙敏感的味觉竟然拓展了大汉对中华版图的认知……
美食不会骗人，每个人在它面前，都会露出本性。
1.马伯庸2024年全新长篇历史小说。
2.西汉“吃货”唐蒙出使南越，从“躺平”到“趟平”的故事。
3.一味不知原料的酱料，一枚原生北土的枣核，勾连出中华版图变迁的一段隐秘传奇，西南丝绸之路开拓史竟也由此展开。
4.知名画家施晓颉绘制封面，随书附赠五折六联全彩明信片插图。",2024,湖南文艺出版社,https://book.douban.com/subject/36710597/,https://img3.doubanio.com/view/subject/s/public/s34823157.jpg
