ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787542684738,小镇做题家,谢爱磊,"🏫他们拼尽所有，只为换得普通的剧本
🏫教育社会学学者10年追踪研究2000人，深度呈现寒门学子的挣扎与求索
🏫俞敏洪、刘云杉、许知远、严飞诚挚推荐！
——【内容简介】——
在今天，我们还可以相信“知识改变命运”吗？
在主流话语中，励志故事是唯一的答案，而本书要讲述的，则是另一个。
自2013年起，学者谢爱磊对中国四所精英大学的近2000名学生开展追踪研究，其中近28%的学生来自农村和小镇。他们从千万人的分数搏杀中脱颖而出，成为人们口中的“小镇做题家”。
迈入校门的刹那，出身的差异一并涌现。城市与乡村、贫穷与富有、丰饶与贫瘠……在陌生的文化世界里，他们进退维谷，饱受匮乏、隔阂、分裂、迷茫与孤独的煎熬。想要摆脱过往的烙印，要经历撕裂般的成长与重塑。而这，不过是漫长的社会阶梯攀爬的第一步。
作者结合问卷调查与深度访谈，对“小镇做题家”的家庭背景、学业表现、社会适应、就业出路等情况作出客观全面的分析。本书以通俗的语言、翔实的数据、生动的案例，结合受访者口述，呈现农村与小镇青年社会流动征程中的内心世界，并力求揭示在精英大学中，个人的生命历程如何与宏观的社会进程相缠绕。
——【编辑推荐】——
★	教育社会学学者10年追踪研究2000人，深度呈现“小镇做题家”的挣扎与求索；
俞敏洪、刘云杉、许知远、严飞诚挚推荐！
学者谢爱磊通过问卷调查与深度访谈，对高校农村籍学子的家庭背景、学业表现、社会适应与就业出路等情况作出全面分析。用丰富的数据与事实，客观呈现农村与小镇学生在精英大学的身心适应情况，还原“小镇做题家”在社会舆论偏见遮蔽下的真实境遇。
★	通过高校农村学生的真实自述，揭示寒门学子面对的残酷现实：
文化的天堑比经济更难逾越；改造自己，是一项宏大而痛苦的人生工程
作者深度访谈100余位高校农村籍学生，积累了丰富的案例与口述，还原“小镇做题家”的内心世界。一个个鲜活的声音切片，讲述真实得几近残忍的生命故事——农村和小镇青年的社会流动，不仅意味着人生坐标的几何移动，更意味着生存心态的艰难调适；融入新的文化世界，意味着一次“忘却过去的自我的再教育” 。
★	给农村与小镇青年的“大学避坑指南”——摆脱无效内卷，度过一段不后悔的大学生活
大学，也许是人一生中最迷茫的阶段，要经历从学校到社会的艰难适应：
——高中和大学有哪些本质性的不同？
——面对“神仙打架”的同辈，如何与自己的平凡和解？
——专业课之外，还要有意识地学习哪些技能？
——如何规划职业路线，避免做无用功？
这本书，承载了上百位平凡学子的故事，他们的人生轨迹相似也不同，有希望也有挫败；许多人拼尽所有，只为换得普通的剧本。
如果你也在匮乏中长大、对未来不知所措，或许可以从这些真实的生命经历上获得共鸣、启发，以及面对真实生活的勇气。
★	关注底层青年社会流动困境，看见 “我们的孩子”
社会融入困难、身份认同摇摆 、内心饱受挣扎……“小镇做题家”在精英大学的适应困境，喻示着社会流动性的减弱，也是当下众多阶层攀登者的无奈、痛苦与彷徨的缩影。
在今天，我们还可以相信“知识改变命运”吗？普通人要怎样努力，才可以突破出身的限制？家长、教师、学校、企业、政策制定者，能够做些什么、应该做些什么？
关心青年学子的处境，就是关心一代人的未来。",2024,上海三联书店,https://book.douban.com/subject/36850973/,https://img1.doubanio.com/view/subject/s/public/s34834010.jpg
9787544276986,你当像鸟飞往你的山,塔拉·韦斯特弗,人们只看到我的与众不同：一个十七岁前从未踏入教室的大山女孩，却戴上一顶学历的高帽，熠熠生辉。只有我知道自己的真面目：我来自一个极少有人能想象的家庭。我的童年由垃圾场的废铜烂铁铸成，那里没有读书声，只有起重机的轰鸣。不上学，不就医，是父亲要我们坚持的忠诚与真理。父亲不允许我们拥有自己的声音，我们的意志是他眼中的恶魔。哈佛大学，剑桥大学，哲学硕士，历史博士……我知道，像我这样从垃圾堆里爬出来的无知女孩，能取得如今的成就，应当感激涕零才对。但我丝毫提不起热情。我曾怯懦、崩溃、自我怀疑，内心里有什么东西腐烂了，恶臭熏天。直到我逃离大山，打开另一个世界。那是教育给我的新世界，那是我生命的无限可能。,2019,南海出版公司,https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg
9787111735779,何以为父,迈克尔·J.戴蒙德（MichaelJ.Diamond）,"本书对父子关系进行了深刻而有力的描述。在养育孩子的过程中，父亲扮演着重要角色。父亲并不单单是帮母亲打打下手、做个替补那么简单。他是一个男人这个简单的事实和他所怀揣的父爱，将影响孩子一生。
美国杰出精神分析师迈克尔·J.戴蒙德超30年父子关系研究总结，真实而有爱的父子联结赋予彼此超越生命的力量。作者坚定地认为，父亲身份对儿子和父亲彼此的发展都至关重要。父亲会深刻地影响儿子，儿子也会影响父亲。父子关系的发展会跨越某些特定的发展里程碑。他提出了“足够好的父亲”这一概念——一个能够培养自己的情感、全身心投入孩子的内心世界、促进孩子成长的人。他写作本书的目的是希望帮助男性好好抚育自己的儿子。
本书贯穿整个生命周期的父子关系，描绘了父亲的成长阶段（从妻子怀孕开始）；追溯了父子关系，从儿子幼年时期的“监护人”阶段，到父亲允许儿子独立和成熟，引导儿子进入成年。而随着父亲的年老，父子相互再次走得更近。本书将为读者理解父子关系打下坚实的基础。
*美国加州研究型精神分析师孙平 倾情翻译；中国著名精神科医师曾奇峰 亲笔作序；何川 吴知力 谢大林 诚挚推荐。",2024,机械工业出版社,https://book.douban.com/subject/36725588/,https://img9.doubanio.com/view/subject/s/public/s34753705.jpg
9787208182714,县中的孩子,林小英,"中国50%以上的学生在全国2000多个县接受教育，县中应该采用精英教育，还是普惠式教育的模式?
解决县域教育难题，应加大对口扶贫还是强化自我造血功能?
县中的孩子是只争朝夕、拼命学习模式的牺牲品吗?
县中能走出优质生源与师资流失的困局重新振兴吗?
教育不该是适者生存的模 式，经济越落后的地方教育越应该给人以希望。
——————————
本书描述了中国东、中、西部不同县域内乏力或奋进的学校、种瓜或得豆的课堂、踏实或游移的教师、在幻想或现实中长大的学生、对孩子教育过度操心或无能为力的家长、在正事和杂事中疲于奔命的校长、紧密交织的政校关系、国家教化权力和市场选择驱动之间的城乡关系……作者用纪录片式的分镜头细 致呈现了县域教育的生态，深度剖析了中国“以县为主”基础教育管理体制所面临困境的根源及其后果，详解县域教育何以在今天这个时代成为一个问题式的存在。
——————————
【评论】
《县中的孩子》将对教育选拔制度的透视及时地回落到人的身上，使我们看到统一高考制度和潜藏之下城乡分治、乡村分级的学校制度，正在联合形成一种精巧的制度，客观上造成了社会差距的代际传递。林小英博士强调了教育评价机制改革，探求县域教育改革的解决之道，使得县域学校从整体教育改革中的“他者”转移到应有的主体地位，从而回答了“县中的孩子”同样也是“我们的孩子”的终极问题。——杨东平 北京理工大学教育研究院教授，21世纪教育研究院名誉院长
林小英致力于探索“县域教育”，这是关乎中国半数以上孩子的成长却未被足够重视的问题。她以细致缜密的考察与敏锐深入的思考，揭示了县中的教育生态及其复杂脉络。这是一部严谨、冷静又饱含深情的人类学研究杰作。——刘擎 华东师范大学教授
阅读林小英老师关于县域教育的论说，感到震撼，也十分感动。她以普通读者也能读懂的文字，描绘了县域教育的复杂生态，分析了县域教育的诸多议题，为理解县域教育提供了新颖独特的认识视角。——贺雪峰 武汉大学社会学院院长、教授，武汉大学中国乡村治理研究中心主任
县域聚集着中国一多半的未来国民，学校塑造着未来中国的性情与品格。林小英在对当下县域教育具体的解析中，关切深远:“县中的孩子”积蓄着越来越多的能量和愿望，这些愿望与能量该在哪里找到释放和实现的途径？——如果他们成功，将是伟大的建设；如果他们失败，将是巨大的破坏。“助少壮求位育，促民族达成年。”潘光旦先生1932年写下的这句话，今天既迫切，又别有意涵。——刘云杉 北京大学教育学院副院长、教授",2023,上海人民出版社,https://book.douban.com/subject/36407364/,https://img2.doubanio.com/view/subject/s/public/s34571241.jpg
9787542677815,金榜题名之后,郑雅君,"重点大学寄托了万千家庭改变命运的梦想，如今一系列专项招生计划也为更多学子打开了机会之门。然而，金榜题名之后，学子是否如想象那般顺遂？不同社会经济背景的学生在毕业出路和职业前景上的差距是如何拉开的？通过对位于京沪的两所重点高校毕业班学生的深度访谈，本书揭示了大学生在上大学 过程中遭遇的一种隐性的挑战：是否洞察大学场域的“游戏规则”，掌握其中“默认”为常规的一系列认知和实践模式。本书指出，家庭背景优势不仅带来了雄厚的物质支持，更意味一整套关于“上大学”的文化技艺的传承，这使得出身优渥的大学生得以在白热化的出路竞争中抢占先机，而家境平平者却更容易与机会失之交臂。本书也关注了意义感在出路获得中的重要作用，指出了在当前的制度背景下，内化主流价值信念、扩充“文化工具箱”有助于帮助大学生走出生涯目标迷失的困境，从而更高效地利用大学资源，获得生涯出彩机会。
自中国教育社会学重建与高校扩招以来，探究大学入学公平问题的研究在不断增长。郑雅君往前迈了一步，将重点从入学转到了学生经历大学生活与“探寻出路”的过程。她从国际知名的社会学家那里汲取了有力的概念工具，深入到中国的具体情境中去理解农村贫困学生的大学经历，探究了价值话语、机会结构与个人动力如何在家庭主义传统与市场经济交织着的社会转型期塑造他们的观念和决策。这本书是对中国教育社会学的重要贡献。
—Gerard A. Postiglione（香港大学教育学院荣誉教授）
从文化社会学视角切入受教育者的分类，是书作者提供给学界的一个知识亮点；无论人们是否同意它的结论，它将给教育学和社会学提供更多有用的思考。
—周怡（复旦大学社会学系教授）
很多人把考上大学作为衡量教育公平的结果变量，雅君则打开了高等教育过程的黑箱，指出“上大学”是一种“技艺”，经过层层选拔而胜出的相对弱势家庭孩子，可能因为文化障碍而经受更深刻的困扰。这本书不仅能让大家更好地理解大学中这些困难学生的迷茫与苦痛，更促使我们去反思大学教育，以寻求更加包容与公平的大学社区。
—余秀兰（南京大学教育研究院教授）
当社会舆论还在争辩不同背景的青年如何才能公平地走向社会的时候，雅君的这份教育与文化社会学专著已经深化了这场争论，不仅打开了高等教育过程的“黑匣子”，而且呈现了其中的异质性。相信这本书的文化关怀和深刻意义，不仅适合学术工作者阅读，更适合广大的学生、教师和家长一起思考。
—孙宇凡（爱丁堡大学社会学系博士生、微信公众号“社会学理论大缸”创办人）
我在上大学之后，长久地困惑于两个问题：我与其他同学高考分数都差不多，为什么我们之间的差异如此巨大？是不是有某种东西是高考试卷分数所反映不出来的？直到我读完本书，我才恍然大悟—“‘上大学’如今已经不再是一个无差别的传送带，而是高等教育阶段的又一重隐秘的筛选过程，一种与家庭背景紧密相连的、难以在课堂上学到的技艺”。本书直接洞穿了大学生所面临的窘境。所幸的是，雅君学姐提出了应对之法，这对于读者来说无疑是避免走弯路的金玉良言。
—陈建建（华中师范大学历史学系硕士生）
阅读完这本书，我之所以感到慰藉并受到鼓舞，是因为我终于明白，学生生活中出现文化障碍的现象是个有规律可循的社会事实，我们每个人无论是经历过哪种文化障碍的状态，都不是孤单、羞耻的。我真诚地推荐和希望更多的人去阅读这本书。
—孙露（兰州大学公共管理系硕士生）",2023,上海三联书店,https://book.douban.com/subject/36190074/,https://img3.doubanio.com/view/subject/s/public/s34538702.jpg
9787521755459,看见孩子,贝姬·肯尼迪,"1、从外网火到国内。一本现象级新书、多榜单畅销书，2022年《纽约时报》畅销书No.1，长踞美亚家教类图书榜/首。被小红书上的许多原版阅读妈妈推荐为“2023年超期待”“值得翻烂的育儿书”。理念上也得到国内教育大咖（詹大年、黄静洁、刘称莲、李小萌、朱芳宜等）的一致推荐！
2、用一种赋权、宽容和有效的育儿方法，掀起一场颠覆性的育儿革命。书中通过10大育儿准则、40+案例分享，帮助家长解决19个教养难题。这本书将帮助现在的家长增进亲子关系、改善亲子沟通、化解亲子冲突、甚至改变整个家庭的运作方式。
3、给父母和孩子无差别的支持，缓解当下的育儿焦虑。不仅是一本培养情绪健康、有心理韧性的孩子的实用指南，也是一本给在育儿重压下挣扎的父母的安慰之书。
这是一本可以奠定美好亲子关系基础、改变家庭运作方式的全新教养力作。无论你是想让蹒跚学步的孩子平静下来，还是让十几岁的孩子敞开心扉，孩子各个年龄段让你头疼的养育问题书里都有答案。推荐给新手妈妈、二胎妈妈，还有每一位间歇性育儿崩溃的家长。
又是被孩子搞砸的一天，如果你正在经受育儿焦虑，在育儿的重压下挣扎，如果你曾经无数次想要停止向孩子发火，重拾养育的信心，成为更有力量的父母，那么你都应该看看这本书。本书的核心理念是看见孩子的内在美好，看见我们自己的好，只要理解了孩子的内心需求，改善的就不仅仅是孩子的行为，还有整个家庭的运转和彼此的感情。书中不仅分享了贝姬博士的10个育儿准则，还通过40多个案例，教会家长应对一系列的教养难题，包括：孩子乱发脾气、二胎矛盾、撒谎、缺乏自信、畏难、害羞等等。",2023,中信出版社,https://book.douban.com/subject/36427596/,https://img1.doubanio.com/view/subject/s/public/s34724649.jpg
9787807246176,正面管教,[美]简·尼尔森(JaneNelsen),"《正面管教》中告诉21世纪的父母和老师们：正面管教是一种既不惩罚也不娇纵的管教孩子的方法……孩子只有在一种和善而坚定的气氛中，才能培养出自律、责任感、合作以及自己解决问题的能力，才能学会使他们受益终身的社会技能和生活技能，才能取得良好的学业成绩……如何运用正面管教方法使孩子获得这种能力。
惩罚和娇纵为什么对孩子都不好，并且不管用？
怎样用既不惩罚又不娇纵的正面管教方法培养孩子受益终身的良好品质？
如何用正面管教方法自动消除孩子的不良行为？
如何赢得孩子与父母和老师的合作？
如何消解大人与孩子之间的权力之争？
“超级父母”对孩子会有什么危害？
各种性格的父母会对孩子有什么正反两方面的影响？父母如何发挥自己性格中的优点，避免缺点给孩子造成的不良影响？
老师们如何避免对学生造成管教问题？
从3岁到青春期的十几岁的孩子以及孩子的父母和老师，都将因为《正面管教》而彻底改变家里和学校的气氛，改变自己的人生。",2009,京华出版社,https://book.douban.com/subject/3420606/,https://img3.doubanio.com/view/subject/s/public/s3565997.jpg
9787552039962,屏幕时代，重塑孩子的自控力,[加]希米·康,"你可能已经注意到了一些警示信号，你9岁的儿子玩电子游戏越多，就越容易分心和烦躁。你十几岁的女儿不断在社交媒体上将自己的生活与他人作比较，然后感到无比沮丧。我们是否应该限制孩子们的屏幕时间？
本书作者希米·康是一位加拿大儿童精神科医生，她运用最前沿的神经科学知识，解释了无处不在的电子产品和网络如何影响着青少年的大脑和行为习惯。在此基础上，她为父母提供了解决具体问题的有效方法，无论是对抗科技成瘾、焦虑、网络欺凌，还是孤独感。
本书还给出了一个完整的6周6步骤计划，帮助孩子乃至整个家庭养成健康的科技产品使用习惯，让孩子们在面对科技产品时可以做出明智的选择，最大限度地享受科技带来的好处。
不偏激，不矫枉过正，辩证地看待信息时代的利弊是我们要传递给孩子的态度。按照本书中列出的解决方案去实践，你的孩子将学会以健康积极的方式去使用电子产品，这将有助于他们学会应对未来多变的生活。
编辑推荐：
★充分把握孩子性格形成期，培养健康的屏幕使用习惯
不良的屏幕使用习惯给孩子带来的影响超乎想象：
精神紧张、性情乖戾、不可自拔、焦虑不安、沮丧抑郁……
不仅如此，最新医学研究报道，屏幕时间过长会降低孩子的语言能力和读写能力！（美国医学会《儿科》, 2019.11.4）
请抓住还可以对孩子产生影响的关键时期，用科学有效的方法保护最重要的资源：下一代的大脑！
★哈佛妈妈揭开电子屏幕让人上瘾的秘密，对症下药轻而易举
各种应用软件是如何吸引孩子们注意力的，是如何像胶水一样将孩子们死死粘在屏幕上的？
作者希米·康是哈佛大学专门研究儿童青少年成瘾问题的专家，她用最简洁的语言解释了屏幕如何精确影响孩子的大脑，如何辨别孩子的各种反应，以及如何引导孩子掌握积极地应对技能？
全面帮助父母保护孩子免受上瘾之苦，从源头上扭转与电子产品不健康的关系。
★既有大原则，又有小方法，为当今父母解决重大养育难题
如何决定孩子是否可以接触电子屏幕了？三个判断标准让答案瞬间清晰！
已经开始使用电子产品的孩子如何引导？针对每种问题都有完整的解决方案！
即学即用的实用工具，外加完整的6周6步骤好习惯培养计划，扭转现状，重塑孩子的自控力。
当代父母的必修课，让孩子学会把屏幕当工具而不是玩具！
媒体推荐：
如果你是一位家长，想知道如何指导孩子使用电子产品，这本书会为你提供全面而深入的科学依据，书中揭示了电子产品如何改变并塑造我们的大脑。利用这些知识，作者给出了很多实用的建议，帮助你以健康的方式引导孩子使用电子设备，从而改善孩子与家人之间的关系，促进他们幸福成长。
——丹尼尔·J.西格尔，医学博士，
《纽约时报》畅销书《全脑教养法》作者
最新研究表明，屏幕使用时间与大脑的变化相关，儿童和青少年尤其容易受到影响。目前，青少年和年轻的成年人自杀、缺乏内在动力和社交孤立的情况接近流行病水平，实在令人震惊。幸运的是，《屏幕时代，重塑孩子的自控力》一书为我们提供了希望和直接、实用的指导，帮助我们保护最重要的资源：下一代的大脑。
——丹尼尔·列维廷博士
《纽约时报》畅销书《成功地老去》作者
随着我们越来越多地了解新技术对孩子的健康和幸福产生的巨大影响，父母们从来没有像现在这样重视教导孩子如何负责任地使用这些工具。康博士为实现这一紧迫目标提供了切实可行的蓝图。
——卡尔·纽波特
《纽约时报》畅销书《数字极简主义》作者
在不盲目崇拜或妖魔化科技的情况下，康博士为家长和老师提供了一份科学指南，让我们知道如何使科技在孩子的生活中处于恰当而积极的位置，书中充满了实用的建议和源自内心的智慧。
——加博·马泰，医学博士
畅销书《在饥饿幽灵的领域：与成瘾亲密接触》作者
这正是当下父母们最需要的书，因为他们正试图在孩子接触科技产品的问题上做出明智的决定。康博士利用神经科学的最新发现，来推动我们理解科技对发育中的大脑的影响，帮助我们最大限度地利用科技带来的好处，避免社交媒体、互联网和游戏带来的危险。
——斯图尔特·尚克博士
《自我调节：如何帮助你和孩子打破压力循环，成功地融入生活》作者
金句：
1.变革之风吹起时，有人砌围墙，有人造风车。
2.我们的生活不过是一大堆习惯。昨天你的孩子解锁手机150次，这并不是出于150个理性决策产生的结果。它们都源于习惯——这是一种绝大多数人都不了解的冲动。
3.每一个屏幕的那头都有一个工作团队，他们的工作就是瓦解人们的意志力和责任感。在这样的情况下，别说是一个12岁的孩子，就是大人也很难保持一种健康平衡的状态。何况孩子们更容易对电子屏幕和电子游戏上瘾。因为他们的大脑额叶还没有发育完全；还不具备面对状况时，及时收手，自我反省，采取不同做法的能力。
4.那些一心多用的人启动的是大脑中与手边任务无关的部分。久而久之，他们就变得注意力容易分散，记忆力受损。尽管人们觉得当需要他们全力以赴、认真做事的时候，他们就能心无旁骛、全神贯注，但事实上他们做不到，因为他们已经失去了一门心思做一件事的能力。
5.教孩子将科技产品作为工具而非玩具来使用。",2023,上海社会科学院出版社,https://book.douban.com/subject/36197119/,https://img9.doubanio.com/view/subject/s/public/s34841206.jpg
9787521719253,真希望我父母读过这本书,[英]菲利帕·佩里,"父母与孩子之间的关系，对孩子一生有着深远的影响。然而，在很多家庭中，这种关系经常出问题，令人痛苦，甚至很难再回归正常。
这是一个从业20年的资深心理治疗师的畅销儿童心理学巨著，在英国掀起巨大轰动，全英家长热烈讨论，甚至没有孩子的人都迫不及待地买来，用于改善自己的人际关系。
这到底是一本什么样的书呢？简单一句话：它用育儿理论讲透了亲子关系，以及围绕着我们的家庭成员关系，所有人际关系，让我们更自在地活在关系里。这是一本关于“关系”的书——我们与孩子的关系，与自身的关系，与过去的关系，与周围世界的关系。
也许你是一位工作忙碌的父母，你的孩子仿佛从不入睡，总是在哭闹或尖叫，敲打平底锅，戳插座，喊着要更多的糖，看更多的电视。这些让你感到疲倦和绝望，很难保持冷静和理智。你是一位好家长，但还可以变得更好：菲利帕·佩里的这本畅销书，将帮你打开育儿的新视野。
与一般的“亲子教养书”不同，这本书并没有把养育孩子当作令人生畏的杂事。孩子不是一堆有待处理的麻烦，也不是一个需要精益求精的项目。育儿是一种关系，孩子是要被理解和支持的个体。归根结底，在孩子身上的投入，不仅会使他们以后成为更优秀的人，而且也会使你自己变得更好。
它的阅读体验并不轻松，正如作者所说，书里的内容会让你觉得很难受，很不舒服，甚至很生气，要牺牲你的自尊来阅读。因为它会让你直面自己在陪伴孩子的过程所犯下的种种错误。
任何父母都会为了孩子奉献自己，但美好的愿望也许不会带来理想的结果。父母的心愿就是让孩子幸福快乐，让他们过上美好的生活，但我们往往意识不到，自己是如何在无心之中伤害了孩子。
这本书会剖析我们在亲子教养方面犯下的错误，尤其是那些我们从来不想犯的错，这些错误的深层心理根源，以及有了过错之后我们如何弥补，修复裂痕。
这本书将帮你：
了解自己的成长经历如何影响了你的亲子教养方式。
看清亲子关系是如何变质的，以及如何让它恢复正常。
与孩子建立真正的联结，学会用心倾听，培养情绪稳定的孩子。
打破恶性循环，及时补救与修复裂痕，避免把你以前吃过的苦复制到孩子身上。
学会处理自己与孩子的感受，让孩子在和谐的关系中成长。
学习如何与婴儿、儿童、青少年和长大成人的孩子相处，让亲子关系变成孩子一生的力量之源。
这本书充满了睿智和明智的建议，是每个父母都想读的书，也是每个孩子都希望自己的父母拥有的书。",2020,中信出版集团,https://book.douban.com/subject/35173329/,https://img3.doubanio.com/view/subject/s/public/s34046232.jpg
9787572279010,笑得出来的养育,李一诺,"●亲历中、美、日多元教育，全球教育探索者李一诺重磅首发
●解决三个养育痛点：给父母真实的情绪支持——“做父母”的难，李一诺说到人心坎里；
对新育儿理念的探索——养育优秀的孩子，不需要苦大仇深；
随取随用的养育招法——给孩子支持一生的7个能力。
●写作手法轻松，好读又好用，一诺育儿中的各种崩溃场景贯穿全书
●杨东平、俞敏洪、樊登、周轶君、蔡朝阳5位专家推荐
我们上一次和孩子大笑，是什么时候？
我要如何培养自己的孩子？
什么才是最好的教育？
我们如何在每一次的养育崩溃中峰回路转？
每一个家庭的背景，父母、孩子特点都不一样。所谓的“成功”，背后也有无数看不见、复制不了的机缘与特色。所以最好的养育，不来自于任何专家、道理、方法，而是来自于作为父母的我们，根据自己的状态，孩子的特点，关系的此时此刻，以及所处的环境与条件，来做的每个当下的“刚刚好，也是最好”的选择。
如何做出这个“最合适”的选择？来自于我们的内心丰盈自然的状态，对内心障碍、过往伤痛的疗愈，与原生家庭的链接与和解，对真实自我的接纳与释放。只有当我们能真正看见自己，才能真正懂得孩子。只有我们能够真正爱自己，才能给孩子真实自然的爱。
所以这不是一本教你如何养孩子的书，而是一趟邀请父母们与我共渡的自我关爱、觉察、疗愈之旅。在这里，你能看到我的父母养育、觉察反观、自我成长的经历，既有正向的激励和传承，也有卡点的反思与突破。以及我后来做高管、做教育、做妈妈过程中，看到的父母辈的成长经历，以及同龄朋友、年轻人群，父母孩子、教育体系背后等等养育方式的不同，带来的人生变化与影响，再回过头来思考：到底什么才是最好的养育？我要如何培养自己的孩子？最希望给当下的父母们什么样的分享与启发？
以上所有汇成了本书，从自我觉察出发的，启迪父母觉醒之书。",2024,浙江教育出版社,https://book.douban.com/subject/36899777/,https://img1.doubanio.com/view/subject/s/public/s34867678.jpg
