ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787536094352,我的阿勒泰,李娟,"2017年度“中国好书”奖
2018第七届“鲁迅文学奖”
2019第七届“中华优秀出版物”得主
李娟“阿勒泰”系列代表作  面世11年全新修订版
————————————————————
偏远寂静的阿克哈拉村，缓慢而永恒的喀吾图，沙依横布拉克的夏牧场……
“阿勒泰的精灵”李娟以细腻明亮的笔触全景式记录北疆边地美好闪光的时刻
全书分为两辑。第一辑记忆之中（2007-2009），记录了在喀吾图和阿克哈拉村细碎坚忍的生活画面；第二辑角落之中（2002-2006），原生态书写了李娟和母亲及高龄的外婆随牧民迁徙、流动的日常：开杂货铺，当小裁缝，帮往来的牧民车衣裙，去大山深处采野生木耳；春天沙依恒布拉克草原上鼓胀的帐篷，夏季牧场上喧嚣盛大的阿肯弹唱会，入冬后瓷实的迢迢雪路……戈壁、草原、森林、雪山、骏马和牧人，细腻明亮的文字展现了游牧民族在边地深远丰富的生存景观。
——————————————————
土地会像长出麦子和苞谷一样长出自己的言说者。李娟，就是这样一个言说者。
——刘亮程
有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
——王安忆
秋天的早晨，在小树林里看到一只松鼠。蓬松的尾巴和饰毛，灵活地在树上飞来跳去找吃的东西。它太灵了，让人望着出神，就像是在看表演。它的蓬松的尾巴原来不是为了好看，而是降落伞！高树尖稍上它轻松来去，地上的野猫拿它毫无办法，它是一个精灵，动作太快了！我看着它就想，大概李娟就是这样一个野生的松鼠。
—— 周 涛
她是阿勒泰的清少纳言。她让我们这些弄文字的家伙觉得绝望，让人想起《呼兰河传》……就像黑龙江呼兰河冰天雪地的小镇里，奇迹般地生长出萧红这样的大师一样，由新疆阿勒泰山区的荒野里，忽然出现了这样一个作家。
——舒飞廉",2021,花城出版社,https://book.douban.com/subject/35552619/,https://img3.doubanio.com/view/subject/s/public/s34877932.jpg
9787513344180,阿勒泰的角落,李娟,"◎【内容简介】
十九岁，她随家人初入阿尔泰深山牧场，在荒野中经营起半流动的裁缝店和杂货铺。
牧民自古逐水草而居，为了生活，她与家人也不断随之迁徙——从草场到沙漠、戈壁，甚至是凋敝的废墟。
踏入新的土地，空空荡荡，而自然丰泽。人有手有脚、感官明晰，就是自由。
什么都可以从无到有，一点点被创造出来。这样的土地容不下虚伪和矫情，一切都那么直接、真实——世界是未驯服的，感观是纯·天然的。
哪怕生活永远在一边抛弃，一边继续，只要感受力还在，永远可以发现新的、值得记忆的美好。
◎【编辑推荐】
-- 旷野中乘风高唱，闪闪发光的游牧岁时记🌄 --
★ 人民文学奖、鲁迅文学奖、朱自清散文奖得主李娟成名作
★ 豆瓣9.0分，阿勒泰系列开篇
★ 毛不易、CCTV《读书》栏目等一致推荐，于适、蒋奇明主演系列改编剧集
★ 热销10年，焕新上市！作者悉心修订，新增自序
——“无论多么否定那样的自己，还是羡慕她。又年轻又弱的那个她。出于弱而滋长强大的渴望；出于弱而表现得反复无常、死性不改；出于弱，对世间万物似懂非懂似信非信——最后，在弱的荒野耕种出烂漫迷离的无尽花海。这是弱的魅力，也是年轻的魅力。”
★ 在不确切的生活里，找到安放自己的角落
——“世界就在手边，躺倒就是睡眠，在这里，我不知道还能有什么遗憾。”
坦荡明亮的文字，献给每一个弱小但无惧的灵魂，愿你抵达心中旷野，乘风高唱！
★精美典藏：收录17幅全彩阿勒泰摄影大片，全景呈现大美北疆风貌。外封采用覆膜工艺，呈现防水皮面质感，长久陪伴在文字里流浪的日夜。内封铺陈从昼到夜的悠长转场，广阔明亮。
★首刷赠送：李娟【小山寄语卡】🏔️——“我们都向往广阔的世界，我们都栖身小小的角落。”
--
◎梁文道：这是本世纪最后的散文。惊为天人。
◎王安忆：她的文字一眼就能认出来，她的文字世界里，世界很大，时间很长，人变得很小。有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
◎刘亮程：我为读到这样的散文感到幸福。在李娟那些居无定所的漂泊文字里，我读到了一种心灵的安顿，那种简陋生活中的内心丰饶。
◎毛不易：我很喜欢书里对自然风貌、大人孩子淳朴可爱的个性的描写。李娟老师纯真的笔调，使得笔下的风景令读者身临其境。",2024,新星出版社,https://book.douban.com/subject/36629769/,https://img3.doubanio.com/view/subject/s/public/s34735442.jpg
9787570204946,我的阿勒泰,李娟,李娟的散文成名作和代表作之一。原生态记录了作者在疆北阿勒泰地区生活的点点滴滴，包括人与事的记忆和感悟。全书文字明净，质地纯粹，原生态地再现了疆北风物人情，充满了朴野清新的气息。十年前，作者在到处收集来的纸片上用密密麻麻的文字写下她的生活和感悟，投稿到新疆的文艺期刊。一些资深的编辑认为一个二十岁左右的女孩不可能写出如此清新而有才华的作品。但新疆著名作家刘亮程将她挖掘出来，她的*部作品以《九篇雪》为名结集出版，人们才开始知道有个新疆女孩叫李娟。此后，她的散文在《南方周末》、《文汇报》陆续刊登，完全是天才的笔触，引起了文坛的震惊。人们很难想象：一个没有受过完整高等教育、阅读范围主要限于金庸、琼瑶、一直生活在疆北荒野之地的女孩，能够写出如此清新、活泼、充满灵性和生命力的文字。她的作品和图书相继荣获年度华文*散文奖，入评年度十大好书，很有可能将成为这个时代的散文经典之一。在本次全新插图修订版上市前，作者亲自对本书做了篇目和文字的修订润色工作，题写了新的序言，并将全书分为“上篇：记忆之中”和“下篇：角落之中”两个部分，使内容更为纯净和集中。同时，本书还插入了作者的好友——在北疆生活多年、对阿勒泰有着深厚感情的作家、摄影师康剑老师的精美的摄影作品，以飨读者。,2018,长江文艺出版社,https://book.douban.com/subject/30259726/,https://img1.doubanio.com/view/subject/s/public/s33678980.jpg
9787020083442,我与地坛,史铁生,"《我与地坛》收入《我与地坛》、《记忆与印象》等以记事为主的散文，配少量图片。《我与地坛》由中国当代著名作家史铁生著。是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前第一段和第二段被纳入人民教育出版社的高一教材中。前两部分注重讲地坛和他与母亲的后悔，对于中学生来说，这是一篇令人反思的优秀文章。
史铁生是当代中国最令人敬佩的作家之一。他的写作与他的生命完全同构在了一起，在自己的“写作之夜”，史铁生用残缺的身体，说出了最为健全而丰满的思想。他体验到的是生命的苦难，表达出的却是存在的明朗和欢乐，他睿智的言辞，照亮的反而是我们日益幽暗的内心。
地坛只是一个载体，而文章的本质却是一个绝望的人寻求希望的过程，以及对母亲的思念。",2011,人民文学出版社,https://book.douban.com/subject/5910656/,https://img1.doubanio.com/view/subject/s/public/s4594868.jpg
9787536084469,遥远的向日葵地,李娟,"此书为李娟近两年开始写作并发表在《文汇报》笔会的专栏——“遥远的向日葵地”的最新文字结集。
“向日葵地”在阿勒泰戈壁草原的乌伦古河南岸，是李娟母亲多年前承包耕种的一片贫瘠土地。李娟一如既往用她细腻、明亮的笔调，记录了劳作在这里的人和他们朴素而迥异的生活细节：她勤劳乐观的母亲、高龄多病的外婆，大狗丑丑小狗赛虎，鸡鸭鹅，以及日渐华盛，却被鹅喉羚毁了再种，种了又毁的九十亩葵花地……刻画的不只是母亲和边地人民的坚韧辛劳，更是他们内心的期翼与执着，也表达了对环境的担忧和对生存的疑虑。呈现出一种完全暴露在大自然中脆弱微渺的，同时又富于乐趣和尊严的生存体验。",2017,花城出版社,https://book.douban.com/subject/27184303/,https://img1.doubanio.com/view/subject/s/public/s29878650.jpg
9787516837917,解闷儿,张辰亮,"《解闷儿》是作家张辰亮的首部散文集。
作为一名科普工作者，张辰亮的知名度堪称业内翘楚。他为《博物》杂志撰稿，在网络平台“鉴定网络热门生物”、带领团队远赴深山密林拍摄自然纪录片……他的博学与幽默为他吸粉无数，读者喜欢他简洁又风趣的文字。
小亮写散文，秉承自己做科普时要“讲人话”、讲得好玩的风格，文字俏皮，笔下的人、物、事活灵活现，字里行间总埋伏着几个词让你扑哧一乐。
这也是小亮一直追求的行文风格。他喜欢读汪曾祺的散文，自己写文章时也浸润着闲适、自在、慧眼独具的神韵。
在小亮的散文里，有他经历的各种乐呵事，生活中的有趣瞬间。原来，看起来挺严肃、偶尔“发疯”的狐主任竟有那么多可爱的侧面：
《寻找李建国》一波三折的故事里，那个耍小聪明、好奇心强的少年小亮；
《双节棍习练史》里，那个曾经身负弘扬武学重任的棍协掌门小亮；
《31岁男人的翻斗乐》里，那个被卡在儿童乐园迷宫里，思考人生的中年父亲小亮；
《中轴线桃花源记》里，那个误入歌舞大广场，一没留神也跟着节奏动次打次摇摆起来的下班的小亮……",2024,台海出版社,https://book.douban.com/subject/36864467/,https://img1.doubanio.com/view/subject/s/public/s34844139.jpg
9787536091078,记一忘三二,李娟,"“鲁迅文学奖”“中国好书”奖得主，李娟《记一忘三二》2020年全新修订版。作者替换增改几万字篇幅，并增加新序。
《记一忘三二》是作家李娟十余年来的随笔结集。三十余篇以“记”为题的文字轻松随性，从亲情、友情、爱情，工作、生活、兴趣乃至梦境等诸多侧面，记录了李娟的心路日常——与母亲相依为命也闹过“分居”，定居于荒野中的大院子而生活不再颠沛流离，少年时曾遭受的暴力与得到的关爱，等等，随着成长反而愈益清晰。种种文字率性而作，平实诙谐，同时又有掩盖不住的温暖和诗意，组成一幕幕“含泪的微笑”，连缀起时间流逝中的琐碎日常。",2020,花城出版社,https://book.douban.com/subject/35040904/,https://img1.doubanio.com/view/subject/s/public/s34657640.jpg
9787513312530,阿勒泰的角落,李娟,"若无意指认那在伤感中徘徊、欲望中沉浮的生命就是我们本来的生命，那么，总还有别样干净明亮的生命，等着人去认领。
这个时代，如果还有一个地方有传说，就是阿勒泰；《阿勒泰的角落》是阿勒泰的一次绝唱。
风里来雨里去的边疆牧人、随家庭不断迁徙的动荡生涯、离春天只有二十公分的雪兔、 风沙肆掠的荒漠里喂养的金鱼……本应厚重、贫瘠、苍凉的生活，在李娟独树 一帜、灵光闪闪的笔触下，却焕发出别样的温暖、丰盈与喜悦。
全新推出典藏版《阿勒泰的角落》： 手绘双封，全景展开，全书纯质纸精致印刷，收录李娟创作的新版自序，新增16幅全面展示阿勒泰之美的摄影作品，并随书附赠四季主题手绘精装书签一套。
每次重读《阿勒泰的角落》，总能真切地看到独自站在荒野中，努力而耐心地体会着种种美感的过去的自己……漫长过程中，一点一滴贯穿其间的那种逐渐成长、逐渐宁静、逐渐睁开眼睛的平衡感，也许正是此时全部希望生活的根基与凭持吧。——李娟",2013,新星出版社,https://book.douban.com/subject/24922716/,https://img3.doubanio.com/view/subject/s/public/s26935643.jpg
9787536099876,冬牧场,李娟,"2010年末，李娟跟随哈萨克牧民居麻一家深入北疆阿勒泰地区沙漠深处的冬牧场，度过了一整个冬天。在漫长的寒冷世界里，李娟详实地记录下这块古老、贫瘠又广阔的土地上的所见所闻：牧民们迁徙、放牧、背雪、绣花毡、整地窝子清理畜圈，隆重豪华地串门拜访……艰辛繁重的劳动是日常也是阔大 寂寞生活的乐趣与尊严。这是哈萨克族逐水草而居的游牧生活中最动荡艰难的一个季节，随着时光流转与外部世界物质的丰富，这种生活方式行将逐渐消失。所幸李娟的文字真实还原了这个场景——牧人们的冬天和牲畜们的冬天，“羊的一生是牧人的一年”。
-
编辑推荐：
贫瘠寒冷的沙漠深处，李娟身体力行与哈萨克牧人生活了一整个冬天。
在逐水草而居的动荡生活中，冬季转场是其中最艰辛的一段，李娟深情克制地讲述哈萨克牧人冬季游牧文化，全景式记录北疆大地的游牧景观。
人类的命运与荒野的命运丝丝相扣，互相依存。在巨大的寒冷中，李娟写下渺小人类用双手撑开的一小团温暖与安宁——虽然微弱，足以与艰难的现实抗衡。
-
🌟50余幅作者亲自拍摄的冬牧场珍贵照片，部分系首次面世
🌟李娟zui偏爱的一部非虚构长篇力作
🌟花城出版社“李娟”作品系列之一种，与《羊道》三部曲构成“游牧文化四部曲”（俞敏洪 语）。花城李娟作品还有《遥远的向日葵地》《我的阿勒泰》《记一忘三二》《火车快开》等7部",2023,花城出版社,https://book.douban.com/subject/36456400/,https://img9.doubanio.com/view/subject/s/public/s34570336.jpg
9787222065413,我的阿勒泰,李娟,"李娟，一直在疆北阿勒泰地区陪伴母亲，随牧民在穷荒辽阔之地辗转迁徙，家庭以裁缝和小杂货店为生。后曾在阿勒泰和乌鲁木齐做过各种临时性的文字工作，现返回阿勒泰。在孤寂中迸发天才的力量，以浑然天成的笔触抒写生之爱恋。十年前，李娟在到处收集来的纸片上用密密麻麻的字写下她的生活、感想和领悟，投稿到新疆的文艺单位。一些资深的编辑认为一个二十岁左右的女孩不可能写出如此清新有才华的作品。但新疆著名作家刘亮程将她挖掘出来，她的第一部作品以《九篇雪》的名字结集出版，在文化界开始产生反响，人们开始知道有个新疆女孩叫李娟。此后，她的散文在《南方周末》和上海《文汇报》陆续刊登，完全是天才的笔触，陈村在他的菜园里曾着重讨论并推荐，知道并喜爱她的作品的人越来越多。所写的内容也让人耳目一新，很难想象一个没有受过很像样的教育、阅读范围主要是金庸、琼瑶、一直生活在漠北极荒之地的女孩能够写...
(展开全部)",2010,云南人民出版社,https://book.douban.com/subject/4884218/,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg
