ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787108006639,笑傲江湖（全四册）,金庸,"金庸本名查良镛，浙江海宁人，1924年生。上海东吴法学院毕业，知名学者、文学家、社会活动家，也是华人世界有成就的老报人。于一1959年在香港亲手创办明报机构，出版报纸、杂志和图书，一九九三年退休。先后创作了十五部长篇及短篇小说，广受当代读者欢迎，至今已蔚为全球华人的共同语言，堪称中国武侠文学的经典之作，其中若干部小说已译成英文、日文、法文、泰文、越文、马来文及朝鲜文等在海外出版发行。曾获颂众多荣衔，包括2000年获香港特别行政区颁授最高荣誉大紫荆勋章，先后获香港大学、香港理工大学、香港公开大学、加拿大英属哥伦比亚大学和日本创价大学授以博士学位，并获得香港大学、加拿大英属哥伦比亚大学、北京大学、浙江大学、苏州大学、南开大学、台北清华大学聘任为名誉教授，以及英国牛津大学圣安东尼学院、慕莲学院，英国剑桥大学鲁宾森学院及李约瑟研究院，澳洲墨尔本大学和新加坡东...
(展开全部)",1994,生活·读书·新知三联书店,https://book.douban.com/subject/1002299/,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg
9787108012586,射雕英雄传,金庸,《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这是中国传统小说和戏剧的特征，但不免缺乏人物内心世界的复杂性。由于人物性格单纯而情节热闹，所以《射雕》比较得到欢迎，被拍成各种语种的电影和电视剧在全球众多国家和地区热播。,1999,生活·读书·新知三联书店,https://book.douban.com/subject/1044547/,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg
9787108006660,神雕侠侣,金庸,"金庸（1924年2月6日—），香港“大紫荆勋贤”。原名查良镛(zhā liáng yōng，英：Louis Cha)，浙江海宁人，当代著名作家、新闻学家、企业家、社会活动家，《香港基本法》主要起草人之一。金庸是新派武侠小说最杰出的代表作家，被普遍誉为武侠小说作家的“泰山北斗”，更有金迷们尊称其为“金大侠”或“查大侠”。
金庸生于1924年，祖籍为安徽省桐城，出生在浙江海宁，查家为当地望族，历史上最鼎盛期为清康熙年间，以查慎行为首叔侄七人同任翰林。现代查氏家族还有两位知名人物，南开大学教授查良铮（穆旦）（四十年代九叶派代表诗人，翻译家），台湾学术界风云人物、司法部长查良钊。出自海宁的著名人物还有王国维和徐志摩。徐志摩是金庸的表兄。金庸祖父查沧珊是“丹阳教案”的当事人。
1937年，金庸考入浙江一流的杭州高中，离开家乡海宁。1939年金庸15岁时曾经和同...
(展开全部)",1994,生活·读书·新知三联书店,https://book.douban.com/subject/1255624/,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg
9787108012692,倚天屠龙记,金庸,"金庸（1924 年 2 月 6 日 — 2018 年 10 月 30 日），香港 “大紫荆勋贤”。原名查良镛 (zhā liáng yōng，英：Louis Cha)，浙江海宁人，当代著名作家、新闻学家、企业家、社会活动家，《香港基本法》主要起草人之一。金庸是新派武侠小说最杰出的代表作家，被普遍誉为武侠小说作家的 “泰山 北斗”，更有金迷们尊称其为 “金大侠” 或 “查大侠”。
金庸生于 1924 年，祖籍为安徽省桐城，出生在浙江海宁，查家为当地望族，历史上最鼎盛期为清康熙年间，以查慎行为首叔侄七人同任翰林。现代查氏家族还有两位知名人物，南开大学教授查良铮（穆旦）（四十年代九叶派代表诗人，翻译家），台湾学术界风云人物、司法部长查良钊。出自海宁的著名人物还有王国维和徐志摩。徐志摩是金庸的表兄。金庸祖父查沧珊是 “丹阳教案” 的当事人。
1937 年，金...
(展开全部)",1999,生活·读书·新知三联书店,https://book.douban.com/subject/1070851/,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg
9787108006691,鹿鼎记,金庸,这是金庸先生最後一部小说，也是登峰造极之作，是金大侠自言最喜欢之大作。          这部小说讲的是一个从小在扬州妓院长大的小孩韦小宝，他不会任何武功，却因机缘巧合闯入了江湖，并凭其绝伦机智周旋于江湖各大帮会、皇帝、朝臣之间并奉旨远征云南、俄罗斯之故事，书中充满精彩绝倒的对白及逆思考的事件，令人于捧腹之余更进一步深思其口才与机敏。,1994,生活·读书·新知三联书店,https://book.douban.com/subject/1559310/,https://img1.doubanio.com/view/subject/s/public/s1879839.jpg
9787108006721,天龙八部,金庸,"金庸（1924年2月6日—），香港“大紫荆勋贤”。原名查良镛(zhā liáng yōng，英：Louis Cha)，浙江海宁人，当代著名作家、新闻学家、企业家、社会活动家，《香港基本法》主要起草人之一。金庸是新派武侠小说最杰出的代表作家，被普遍誉为武侠小说作家的“泰山北斗”，更有金迷们尊称其为“金大侠”或“查大侠”。
金庸生于1924年，祖籍为安徽省桐城，出生在浙江海宁，查家为当地望族，历史上最鼎盛期为清康熙年间，以查慎行为首叔侄七人同任翰林。现代查氏家族还有两位知名人物，南开大学教授查良铮（穆旦）（四十年代九叶派代表诗人，翻译家），台湾学术界风云人物、司法部长查良钊。出自海宁的著名人物还有王国维和徐志摩。徐志摩是金庸的表兄。金庸祖父查沧珊是“丹阳教案”的当事人。
1937年，金庸考入浙江一流的杭州高中，离开家乡海宁。1939年金庸15岁时曾经和同...
(展开全部)",1994,生活·读书·新知三联书店,https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg
9787546205618,射雕英雄传,金庸,"金庸，本名查良镛，浙江海宁人，一九二四年生。曾任报社记者、翻译、编辑，电影公司编剧、导演等。一九五九年在香港创办《明报》机构，出版报纸、杂志及书籍，一九九三年退休。先后撰写武侠小说十五部，开创了中国当代文学新领域，广受当代读者欢迎，至今已蔚为全球华人的共同语言，并兴起海内外金学研究风气。
曾获颁众多荣衔，包括香港特别行政区最高荣誉大紫荆勋章、英国政府O.B.E勋衔及法国最高荣誉“艺术与文学高级骑士”勋章和“骑士勋位”荣誉勋章，香港艺术发展奖终身成就奖，剑桥大学、香港大学名誉博士，加拿大英属哥伦比亚大学名誉文学博士，2010年获剑桥大学哲学博士学位，英国牛津大学、剑桥大学、澳大利亚墨尔本大学、新加坡东亚研究所等校荣誉院士，北京大学、日本创价大学、台北清华大学、南开大学、苏州大学、华东师范大学等校名誉教授，并任英国牛津大学中国学术研究所高级研究员，加拿大...
(展开全部)",2013,广州出版社,https://book.douban.com/subject/10466059/,https://img2.doubanio.com/view/subject/s/public/s7062091.jpg
9787546213347,射雕英雄传（新修版）,金庸,南宋年间，随丈夫杨铁心流落江南牛家村的包惜弱救了金国王子完颜洪烈，却害得丈夫和义兄郭啸天两家家破人亡。郭啸天的妻子逃到蒙古大漠，生下遗腹子郭靖。傻小子郭靖得到丐帮帮主洪七公传授绝技“降龙十八掌”，更赢得心上人蓉儿芳心。坚毅淳朴的傻小子终成一代大侠。包惜弱和杨铁心之子杨康认贼作父，成了金国的小王子，最终害人害己，惨死在牛家村。本书阐释了侠义精神的真谛——侠之大者、为国为民。,2013,广州出版社,https://book.douban.com/subject/26592708/,https://img1.doubanio.com/view/subject/s/public/s28304959.jpg
9787546206134,天龙八部,金庸,"金庸简介
金庸，本名查良镛，浙江海宁人，一九二四年生。曾任报社记者、翻译、编辑，电影公司编剧、导演等。一九五九年在香港创办《明报》机构，出版报纸、杂志及书籍，一九九三年退休。先后撰写武侠小说十五部，开创了中国当代文学新领域，广受当代读者欢迎，至今已蔚为全球华人的共同语言，并兴起海内外金学研究风气。
曾获颁众多荣衔，包括香港特别行政区最高荣誉大紫荆勋章、英国政府O.B.E勋衔及法国最高荣誉“艺术与文学高级骑士”勋章和“骑士勋位”荣誉勋章，香港艺术发展奖终身成就奖，剑桥大学、香港大学名誉博士，加拿大英属哥伦比亚大学名誉文学博士，2010年获剑桥大学哲学博士学位，英国牛津大学、剑桥大学、澳大利亚墨尔本大学、新加坡东亚研究所等校荣誉院士，北京大学、日本创价大学、台北清华大学、南开大学、苏州大学、华东师范大学等校名誉教授，并任英国牛津大学中国学术研究所高级研究...
(展开全部)",2011,广州出版社,https://book.douban.com/subject/6969074/,https://img2.doubanio.com/view/subject/s/public/s7062701.jpg
9787807658085,萧十一郎,古龙,"《古龙文集:萧十一郎》是古龙经典代表作，也是古龙唯一先有剧本、后改为小说的一部奇书。台湾武侠小说评论家叶洪生甚至将《萧十一郎》抬高到古龙作品第一的位置，称赞《萧十一郎》的人物和故事为双绝，甚至连“小公子”这样令人印象深刻的配角，在艺术成就上也达到巅峰。被多次改变同名电视剧、电影，以独特的狼的生存哲学，哀婉动人的爱情故事，以及奇特的故事设定中包含的哲学意味影响了几代中国人。
《萧十一郎》是古龙诸多作品中唯一的悲剧，看透红尘极度悲观的古龙大概也对他自己塑造的这个悲剧人物很心疼，三年后又续作《火并萧十一郎》让结局变得稍好一点。
萧十一郎是各来去无踪、潇洒浪荡的“大盗”，为人侠义、忠诚。风四娘告诉他，武林中人人窥伺的神秘宝物割鹿刀进入中原，一时江湖上烽烟四起，萧十一郎屡屡被人嫁祸，深深卷入这场风波，但也由此结识了武林第一美女、世家公子连城璧的妻子沈璧君，从此萧，沈，连三人开始了恩怨纠缠的一生……",2013,河南文艺出版社,https://book.douban.com/subject/21778489/,https://img3.doubanio.com/view/subject/s/public/s34556933.jpg
