ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787573908896,控糖革命,[法]杰西·安佐斯佩（JessieInchauspé）,"对于现代人来说，忙着减肥、忙着美肤、忙着健身，但同时失眠、焦虑、痤疮、糖尿病等亚健康问题又如影随形。法国“葡萄糖女神”、生物化学家杰西·安佐斯佩告诉你，这些亚健康问题往往都是由我们体内的血糖水平变化引起的，只是我们不自知而已。若置之不理，皮肤问题、情绪问题往往就会接踵而至，情况严重的话，更会引发2型糖尿病、多囊卵巢综合征等身体问题。
杰西·安佐斯佩在《控糖革命》一书中，提出了三个关键性的、颠覆常识的观点：
1.不是只有糖尿病人才需要关心血糖，80%的现代人都有血糖方面的问题；
2.我们不只要控制血糖，更重要的是要控制血糖峰值的变化；
3.比节食更有效的控糖方法是改变吃的顺序。
全书分为三大部分——为什么要控糖、出现葡萄糖峰值有哪些危害、轻松控糖的10个小窍门，通过8个章节，系统阐释了如何在不节食、不放弃我们喜爱的食物的情况下，用10个简单而令人惊讶的方法平衡我们的血糖水平，提升和改善我们的健康状况，包括睡眠、情绪、健康、皮肤、体重，甚至减缓衰老。",2024,浙江科学技术出版社,https://book.douban.com/subject/36707112/,https://img2.doubanio.com/view/subject/s/public/s34791181.jpg
9787542678652,东京八平米,[日]吉井忍,"身居八平米，坐拥全世界
《东京八平米》是日籍华语作家吉井忍的全新散文集。八平米在日本被称为“四畳半”，即只有四个半榻榻米大小的房间，租金便宜。
因为八平米房间没有厨房和冰箱，也没有洗澡间和洗衣机，她兴致勃勃地写起如何饮食起居，以及亲历的日本庶民生活日常。居住空间逼仄，她 把生活延伸到城市的街头和公共空间，写东京的洗衣店、钱汤、咖啡馆、24小时漫咖店、独立电影院、小餐厅等等，同时写下她遇见的东京平民的故事，这些人物是“看不见的、真正的东京人”，他们的故事为我们铺陈日本的世情百态，亦照见自身。
孤独的城市里，人如何找到属于自己的地方和存在意义？吉井忍的“八平米”经济学让人看到一种充满新鲜活力的生活的可能：省下昂贵房租，物质诉求简单，在都市中享受丰富的精神文化生活。城市也可以是一个流动的家，一个人也可以快乐自足。
*
【特别推荐】
*
孤独的城市里，人如何找到属于自己的地方和存在意义？吉井忍的“八平米”经济学让人看到一种充满新鲜活力的生活的可能：省下昂贵房租，物质诉求简单，在都市中享受丰富的精神文化生活，用自己的方式找到舒适感和归属感。城市也可以是一个流动的家，一个人也可以快乐自足。
东京曾经是“全球物价最贵城市”排名前列的常客，但这只不过是学到东京一些皮毛的外国记者们的偏见。东京其实是个适合居住的地方呢，我在心中长年抱有这样的不平，这也成为了我过去写了不少文章、做了好几本与东京相关的书的基本动力。
东京、京都、上海、北京……不管是在什么城市，吉井很擅长找出价格合理的房子。有时候她的居所只够睡觉，但在房子的外面，无论什么时候都有便捷的城市设施。你心爱的餐厅可以当作自家的餐室，喫茶店成为你的客厅，书店和图书馆是书房，健身房则是带有三温暖的浴室。
把城市当作自己的房间的延伸，并将其运用自如。吉井非常明白这个“城市生存技巧”的秘诀。这就像动物可以本能地找到最舒适的地方筑巢，也又像它们时机一到，干脆离巢飞走。
——都筑响一（独立编辑、摄影师）
*
【编辑推荐】
*
★	身居八平米，坐拥全世界。吉井忍“八平米”经济学，展现都市生活的另一种可能。日籍华语作家吉井忍的全新散文集，献给将要创建新生活的人。——离开日本二十年后，吉井忍回到东京，租住东京中心地带的八平米房间，重建在地的生活。八平米是生活的原点，东京整个城市则是生活的延长线。物质与精神的断舍离，带来经济空间和身心自由。吉井忍的“八平米”经济学，为每一个身心俱疲的现代人提供生活的另一种可能：珍惜此时此刻，用自己的方式，找到你所需要的舒适感和归属感，赋予明天继续生活的活力。
★	没有厨房、冰箱、洗澡间、洗衣机，如何在八平米房间自在过活？都市新型“蜗居”生活，东京深度探索指南。城市也可以是一个流动的家，一个人也可以快乐自足。——因为八平米房间空间局促，日常生活延伸到东京的街头和公共空间：洗衣店、钱汤、漫咖、小餐厅、咖啡馆，此外还有每周的独立电影院巡礼、听落语、学三味线、看展览等。便捷舒适的公共空间、生机勃勃的多元文化、热情活力的市井生活，你的“小”不成问题，因为外面的世界足够大。
★	每个人都有自己的“八平米”。深入城市细部拜访“附近”，讲述东京平民故事，看见真正的普通人。孤独的城市里，人如何找到属于自己的地方和存在意义？——人来人往的都市中，偶尔的相遇带来宝石一般的回忆：被称为“活字典”的金星堂咖啡馆主人大泽先生、快九十岁的犀利幽默的Mako咖啡老铺女主人、热情善良勤劳的荞麦面店女店主……朴实真诚的东京人，流动隽永的东京风景，呈现生活的本真面貌。“我相信，每个人都有自己的八平米，以及对其的定义，它不指实际面积，而是指心中的某一块地方。也许八平米在别人眼里是畸形状态，但它能够让你活在自己的世界里。它也许是某个地方或某个人，在那里你不用伪装，可以好好地面对自我，尽可能地去享受当下。”
★	著名书装设计师陆智昌操刀设计，清新典雅，质感舒适，巧妙呼应“四畳半”的布局。——著名摄影师都筑响一和作家吉井忍摄影，百余幅彩色图片呈现“八平米”和东京这座城市流动的风景。全书使用雅致书纸印刷，触感柔软，轻盈便携，适于在日常与旅途中阅读。",2023,上海三联书店,https://book.douban.com/subject/36096287/,https://img1.doubanio.com/view/subject/s/public/s34361490.jpg
9787536094352,我的阿勒泰,李娟,"2017年度“中国好书”奖
2018第七届“鲁迅文学奖”
2019第七届“中华优秀出版物”得主
李娟“阿勒泰”系列代表作  面世11年全新修订版
————————————————————
偏远寂静的阿克哈拉村，缓慢而永恒的喀吾图，沙依横布拉克的夏牧场……
“阿勒泰的精灵”李娟以细腻明亮的笔触全景式记录北疆边地美好闪光的时刻
全书分为两辑。第一辑记忆之中（2007-2009），记录了在喀吾图和阿克哈拉村细碎坚忍的生活画面；第二辑角落之中（2002-2006），原生态书写了李娟和母亲及高龄的外婆随牧民迁徙、流动的日常：开杂货铺，当小裁缝，帮往来的牧民车衣裙，去大山深处采野生木耳；春天沙依恒布拉克草原上鼓胀的帐篷，夏季牧场上喧嚣盛大的阿肯弹唱会，入冬后瓷实的迢迢雪路……戈壁、草原、森林、雪山、骏马和牧人，细腻明亮的文字展现了游牧民族在边地深远丰富的生存景观。
——————————————————
土地会像长出麦子和苞谷一样长出自己的言说者。李娟，就是这样一个言说者。
——刘亮程
有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
——王安忆
秋天的早晨，在小树林里看到一只松鼠。蓬松的尾巴和饰毛，灵活地在树上飞来跳去找吃的东西。它太灵了，让人望着出神，就像是在看表演。它的蓬松的尾巴原来不是为了好看，而是降落伞！高树尖稍上它轻松来去，地上的野猫拿它毫无办法，它是一个精灵，动作太快了！我看着它就想，大概李娟就是这样一个野生的松鼠。
—— 周 涛
她是阿勒泰的清少纳言。她让我们这些弄文字的家伙觉得绝望，让人想起《呼兰河传》……就像黑龙江呼兰河冰天雪地的小镇里，奇迹般地生长出萧红这样的大师一样，由新疆阿勒泰山区的荒野里，忽然出现了这样一个作家。
——舒飞廉",2021,花城出版社,https://book.douban.com/subject/35552619/,https://img3.doubanio.com/view/subject/s/public/s34877932.jpg
9787572609268,我在北京送快递,胡安焉,"进入社会工作至今的二十年间，胡安焉走南闯北，辗转于广东、广西、云南、上海、北京等地，做过快递员、夜班拣货工人、便利店店员、保安、自行车店销售、服装店导购、加油站加油工……他将日常的点滴和工作的甘苦化作真诚的自述，记录了一个平凡人在生活中的辛劳、私心、温情、正气。
在物流公司夜间拣货的一年，给他留下了深刻的生理印记：“这份工作还会令人脾气变坏，因为长期熬夜以及过度劳累，人的情绪控制力会明显下降……我已经感到脑子不好使了，主要是反应变得迟钝，记忆力开始衰退。”在北京送快递的两年，他“把自己看作一个时薪30元的送货机器，达不到额定产出值就恼羞成怒、气急败坏”……
但他最终认识到，怀着怨恨的人生是不值得过的。这些在事后追忆中写成的工作经历，渗透着他看待生活和世界的态度与反思，旨在表达个人在有限的选择和局促的现实中，对生活意义的直面和肯定：生活中许多平凡隽永的时刻，要比现实困扰的方方面面对人生更具有决定意义。
————
✨2023年豆瓣年度图书No.1
✨第二届三联行读图书奖文学类中文原创年度图书、QQ阅读2023年度十大非虚构好书
✨上市以来，南方周末、澎湃新闻、人物、南方人物周刊、新周刊、新京报、界面文化、GQ、看理想、单读等多家主流媒体或平台持续热议
·
《我在北京送快递》应该加入市民生活必读书，让更多人了解社会运转背后各行各业的力量。
——《人民日报》",2023,湖南文艺出版社,https://book.douban.com/subject/36150423/,https://img1.doubanio.com/view/subject/s/public/s34522268.jpg
9787572608582,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲",2022,湖南文艺出版社,https://book.douban.com/subject/36104107/,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
9787513344180,阿勒泰的角落,李娟,"◎【内容简介】
十九岁，她随家人初入阿尔泰深山牧场，在荒野中经营起半流动的裁缝店和杂货铺。
牧民自古逐水草而居，为了生活，她与家人也不断随之迁徙——从草场到沙漠、戈壁，甚至是凋敝的废墟。
踏入新的土地，空空荡荡，而自然丰泽。人有手有脚、感官明晰，就是自由。
什么都可以从无到有，一点点被创造出来。这样的土地容不下虚伪和矫情，一切都那么直接、真实——世界是未驯服的，感观是纯·天然的。
哪怕生活永远在一边抛弃，一边继续，只要感受力还在，永远可以发现新的、值得记忆的美好。
◎【编辑推荐】
-- 旷野中乘风高唱，闪闪发光的游牧岁时记🌄 --
★ 人民文学奖、鲁迅文学奖、朱自清散文奖得主李娟成名作
★ 豆瓣9.0分，阿勒泰系列开篇
★ 毛不易、CCTV《读书》栏目等一致推荐，于适、蒋奇明主演系列改编剧集
★ 热销10年，焕新上市！作者悉心修订，新增自序
——“无论多么否定那样的自己，还是羡慕她。又年轻又弱的那个她。出于弱而滋长强大的渴望；出于弱而表现得反复无常、死性不改；出于弱，对世间万物似懂非懂似信非信——最后，在弱的荒野耕种出烂漫迷离的无尽花海。这是弱的魅力，也是年轻的魅力。”
★ 在不确切的生活里，找到安放自己的角落
——“世界就在手边，躺倒就是睡眠，在这里，我不知道还能有什么遗憾。”
坦荡明亮的文字，献给每一个弱小但无惧的灵魂，愿你抵达心中旷野，乘风高唱！
★精美典藏：收录17幅全彩阿勒泰摄影大片，全景呈现大美北疆风貌。外封采用覆膜工艺，呈现防水皮面质感，长久陪伴在文字里流浪的日夜。内封铺陈从昼到夜的悠长转场，广阔明亮。
★首刷赠送：李娟【小山寄语卡】🏔️——“我们都向往广阔的世界，我们都栖身小小的角落。”
--
◎梁文道：这是本世纪最后的散文。惊为天人。
◎王安忆：她的文字一眼就能认出来，她的文字世界里，世界很大，时间很长，人变得很小。有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
◎刘亮程：我为读到这样的散文感到幸福。在李娟那些居无定所的漂泊文字里，我读到了一种心灵的安顿，那种简陋生活中的内心丰饶。
◎毛不易：我很喜欢书里对自然风貌、大人孩子淳朴可爱的个性的描写。李娟老师纯真的笔调，使得笔下的风景令读者身临其境。",2024,新星出版社,https://book.douban.com/subject/36629769/,https://img3.doubanio.com/view/subject/s/public/s34735442.jpg
9787532794133,世上为什么要有图书馆,杨素秋,"我是陕西科技大学的一名文学老师，有时会想：除了教书，我能不能走出校园，为社会做点什么？一次机会，我到西安市碑林区文化和旅游体育局挂职，任副局长。碑林区是西安市的中心城区，却没有一家图书馆，让我错愕。更让我错愕的是，我即将接手的这个“西安市碑林区图书馆建设项目” 要建在地 下！墙皮破损，电线裸露，没个好模样，人手就我和馆长小宁两个人。
小宁说买书的事情全听我的。书商纷纷发来书目，但我发现得自己动手编一个更适合本区读者的书目出来。我们的馆小，书少，这恰恰困难——稍微买偏了，就会大量被闲置。
碑林区是市中心商业繁华区，周末常有家长带小孩子来附近逛街，应该加大文学书和少儿书的占比。附近有全国最大的石碑博物馆，展出的不是绘画或者器皿珠宝，而是“字”。这个地方离我们图书馆步行只有几分钟，应该设立一个碑帖专区，大量地买，做成特色。要设立一个单独的外文童书区，在碑林区工作的外国人不少，如果他们的孩子在这里看见母语故事，一定很激动吧。还应该有一个漫画专区，把这个区域做好了，这几个书架也可能会成为漫粉聚集地， 也许周末会被读者挤满吧……
我求助各方朋友，要选出1万种图书来。不曾想，一个小小的书目触动了各方利益，一场“书目保卫战”就此拉开帷幕……
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
【编辑推荐】
★这是一个真实的事件。陕西科技大学副教授杨素秋到西安碑林区挂职一年，主持西安碑林区图书馆的建设。图书馆的灵魂是书目，在确定图书馆书目的过程中，她遇到了各种潜规则和来自各方的阻力，关关难过关关过，最终，理想与现实得到了最大的平衡。
★本次事件获得央视新闻周刊、腾讯谷雨工作室、爱奇艺的关注和报道，杨素秋被誉为“公共选书人”",2024,上海译文出版社,https://book.douban.com/subject/36593622/,https://img9.doubanio.com/view/subject/s/public/s34705784.jpg
9787572616389,小小小小的人间,李彬,"知名插画师「李彬BinLee」高人气#人间日常#纪实手绘作品集火热出炉。
7年持续创作曝光，2000万浏览量，这座小小小小的人间人气满满。
《人民日报》和新华社选用他的画，《读库》和《亚洲插画师图鉴》重推他的画。
·
《小小小小的人间》是由李彬BinLee创作的“人间日常”图文故事集。他以“第一视角”观察正在个体身上发生的小确幸和小烦恼、小欢喜和小哀愁，并以简单温馨的笔触描绘出诸多“陌生朋友”的闪光时刻。七年蕴藉，一朝集结，全书精选140余幅“人间日常”系列中的画作，特别收录他100余篇诗意般的随笔，这座“小小小小的人间”就此建成。
·
“小小的快乐和小小的烦恼，相加的总和就是我的人间。”——李彬",2024,湖南文艺出版社,https://book.douban.com/subject/36790833/,https://img1.doubanio.com/view/subject/s/public/s34799730.jpg
9787545219869,我的母亲做保洁,张小满,"★★《我的母亲做保洁》荣获2023年深圳读书月“十大劳动者文学好书·非虚构榜”年度十大好书、“南都2023年度十大好书”、《晶报·深港书评》2023年年度十大好书、搜狐文化2023年好书之选“年度好书”；刀锋图书奖·2023年度非虚构作者张小满。
【编辑推荐】：
★城市巨轮运转下，保洁员群体被遮蔽的日常
是谁在维系超级城市的“体面”与“洁净”？这是一群用体力劳作填满超长工作时间的外来务工者，他们在深圳这座包容万象的城市中寻找自己的生存空间，与污渍、垃圾为伴，支撑起城市文明对整洁细节的无限追求。作者张小满的母亲就是 城市保洁群体中的一员。他们落脚城市的初衷是如此相似，一路走来的人生又与时代发展的轨迹紧紧捆绑。他们在深圳寻找自己的生存缝隙，有自己的生活圈子，知道如何寻找机会，很清楚自己在整个阶层划分中的地位，用一种贬低自己的语气谈论着他们所做的工作。他们是一个庞大的群体，却总是处在城市生活的边缘，城市的“整洁”“舒适”“便利”几乎与他们无缘。而他们身上所承载的命运本质，其实也映照着绝大多数的我们。
★母与女，“蓝”与“白”，两代人的隔阂与交融
当母亲成为一名城市保洁员后，“我”与母亲重新生活在一起。母亲用批判的眼光观察“我”的生活，而“我”也激烈地回应。但“我”爱母亲，更想理解母亲。“我”试着从了解母亲在超级商场的保洁工作开始去理解她，母亲又为“我”带回非常具体而生动的保洁员群体日常素描，母女二人一起拼贴出这一群体的生存境况。母亲一辈子都是付出体力劳动的蓝领，而“我”则是看似跃入“体面阶层”的白领，母亲向来以此为荣。随着母女二人在记录保洁员群体故事的过程中，“我”得以重新回望自己的来处，越来越感到，自己很多看似努力的行为，看似接触到的圈子，其实不堪一击，“我”与母亲、与保洁员们，一样是无法豁出去的人，我们有共同的来处。而母亲也在这一过程中，颇感悲伤地意识到，苦读成材的子女，最终也不过是在城市生活中勉力维系一份螺丝钉般的工作，稍有不慎，同样会滑至“主流生活”之外。通过保洁员群体的故事，或许我们也能关照自身的处境，对自身的生活有所省视。至于“我”与母亲，两代人之间的真正理解也许永远无法抵达，但记录、书写母亲生活的这一过程，令“我”与母亲比从前任何时候都要信任对方、支持对方。
★梁鸿、陈年喜、黄灯联袂推荐！
【内容简介】：2020年，52岁的母亲从陕南农村来到深圳务工。独立生活十几年后，“我”与母亲在深圳相聚，重新住在一个屋檐下。我们在狭小的房间中争吵，母亲看不惯“我”的花钱方式，“我”难以忍受母亲的生活习惯。我们深陷彼此纠缠、负担和依赖的关系。然而我们彼此相爱，“我”深知母亲的软肋便是对我毫无保留的爱。于是，“我”想理解她。“我”的母亲在矿场、在建筑工地挥洒了年轻的汗水，如今在城市写字楼的几格空间中做保洁员。“我”想记录下母亲的打工史，努力穿梭过她记忆中的生命。母亲的人生为做着螺丝钉般工作的“我”建立起一块生活的“飞地”，让“我”得以喘息、回顾，珍重自己的来处。这是我们母女共同完成的一场写作。",2023,光启书局,https://book.douban.com/subject/36623046/,https://img3.doubanio.com/view/subject/s/public/s34681227.jpg
9787549641895,吃着吃着就老了,陈晓卿,"【编辑推荐】
美食的终极意义在于获得生理和心理的幸福感。这种幸福感是非常主观的，有时候和食物本身相关，有时候和生活经历相关，吃家常菜得到的满足感，吃燕鲍翅并不一定能得到。——陈晓卿
★《风味人间》总导演陈晓卿的舌尖寻味故事，一本掏心掏肺掏胎记的诚意之作。
-凭借现象级纪录片《舌尖上的中国》《风味人间》，陈晓卿开创了美食纪录片这个新品类，他也被亲切地称为“国民饿爸”。一个看到食物就两眼放光、在大街小巷遍寻人间至味的人，永远可以让你吃得更香。
★人生百味，以余味定输赢。一部吃透人生的随笔集。
-围绕食物的人生故事集，以人生经历为经线，以对食物的认识和态度为纬线，跨越一个吃货的一生。“食物承载着记忆，见证着岁月，我们探索食物，其实都是在寻找自己。”
-饭桌旁“快乐的饲养员”、小脏馆子里的人间烟火味、只有至亲才懂得的私密饮食偏好，吃什么、怎么吃都不及和谁吃来得重要，最好吃的永远是人。
★“保卫食欲，就是保卫我们的生活。”每个人都可以在“吃”里找到归属。
- “夜幕深处，高楼背后，总有一家不知疲倦的小饭馆在等待着我们。这种侥幸心理，有时竟有些信念的意味。”
-“晚上加班，在夜色里回家，总在这里打一转，跟江Sir聊两句天，听他骂骂人。小店非常简陋，但每到此刻，我觉得生活无比真实。”
★一次故乡和世界间的寻味之旅，“国民饭搭子”陈晓卿带你一起吃点好的。
-在菜市场感受城市的呼吸，泡一个笑靥如花的馍，去“每位十元”的粉店和老板辩论柳州米粉的粗细，纠结豌杂面的完美吃法。对日常食物了解得越多，越能自信地当个扫街嘴，在弥漫着酸笋味道的空气里，传递至味在人间的美食哲学——“美食不是小众的，它藏在大多数人的一日三餐里。”
★罗永浩作序推荐！
-“这本书以一贯的高水准，讲述了陈晓卿老师最擅长，我们也永远看不够的主题：好饭好菜，吾土吾民。爱吃的人，永远是最好的人”
-“如果你和我一样是陈晓卿老师的粉丝，一定不要错过这本掏心掏肺掏胎记的诚意之作。”——罗永浩
【名人推荐】
政治学家和经济学家都在说，人类社会下一个大的下行周期就要来了。如果他们错了（毕竟他们确实常常出错），我们就看完这本书到处去找好吃的，继续火热地生活；如果他们是对的，那就让这些暖乎乎、香喷喷的文字，抚慰着我们渡过这段艰难的岁月吧。——罗永浩
我一直觉得陈晓卿的美食文章比他导演的美食纪录片更好看，因为一个纪录片由于各种原因很难让他完全按自己的意愿来，但文章却可以由他任性地掌控，虽然信马由缰，却原汁原味原生态。原来陈晓卿可以更有才！——白岩松

陈晓卿是我相信得过的美食家。——蔡澜

是的，最好吃的是人。晓卿既是喜好吃的人，又是能让任何一个饭局变得好吃起来的人。从这个角度讲，晓卿是最好吃的人。——冯唐

吃喝有道，写字有气。各人笔下有各人的气，这个不服不行。论写吃，有人霸气侧漏，有人镬气狂喷，有人傻气直冒，有人酸气逼人，陈晓卿的气，是地气。陈晓卿的地气，不是从地里冒出来然后被他一弯腰接住，而是酝酿于丹田，厚积于舌根，薄发于舌尖，逆向地深入泥土，深入地表，深入人心。——沈宏非
【内容简介】
《风味人间》总导演陈晓卿的舌尖寻味故事。
一部吃透人生的随笔集，一本掏心掏肺掏胎记的诚意之作。
从十七岁出门远行，进京上学，到误打误撞成为一个美食纪录片导演，再到后来成为全国闻名的吃货，漫漫人生路，每个阶段都有与食物相关的记忆。
年少时候，好吃是六毛钱的缸贴子，邻居家的西瓜酱，第一次下馆子时把嘴巴烫出泡的萧县羊肉汤，这些是刻在基因里的叫乡愁的东西。一个外地务工人员的北京记忆，是难过时府右街的延吉冷面，寒夜里24小时的马华，以及人手一把肉串，喝着工业啤酒，聊着维特根斯坦的岁月。
食物，连接着故乡与世界。每个人都可以在“吃”里找到归属。美食并不小众，它藏在大多数人的一日三餐里。说到底，于勒叔叔的生蚝和父亲病榻前的萝卜丝汆丸子并没有本质区别——你吃到的，就是最好的。",2024,文汇出版社,https://book.douban.com/subject/36705913/,https://img3.doubanio.com/view/subject/s/public/s34745433.jpg
