ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787532793921,北欧向左，美国向右？,[芬]阿努·帕塔宁,"◆当“佛系”维京人遭遇“内卷”美国
◆北欧不是神话，如何打造永续幸福国度
芬兰记者阿努•帕塔宁2008年搬到美国，她本来是充满自信的人，有成功的事业和充实的社交生活，可是来美国后不久就变得谨小慎微，充满自我怀疑。她发现，这里的日常生活中的一切——从购买一部手机到为教育和儿童保育进行税务申报——和自己的北欧老家相比都更复杂和充满压力。起初，她把自己严重的焦虑归因于自己难以适应自由的新环境。但是随着越来越了解更多的美国人，她发现他们也和她一样倍感压力。为了理解美国和芬兰为什么会有这么大的差异，她开始仔细观察这两个国家的日常生活，从政经文化、育儿教育、社会福利、医疗健保、两性关系、工作税制等政策差异优劣，在清晰详实的调查研究基础上给出具体建议。她澄清了那些说北欧国家是“大政府”“高税收”“福利国家养懒人”的常见误解，指出美国社会的金钱至上原则造成公民生活更大的风险性和更强的依赖性，普通人维持基本生计的成本也远比北欧国家更高。北欧生活方式让人的生活更加舒适，自由，这也说明了人类追求卓越的愿望并不像美国人对利润动机的信念所暗示的那样脆弱和软弱。也许生活比金钱更重要，这在全球各地都是一致的。
媒体推荐
◆《纽约时报书评》（New York Times Book Review）
阿努‧帕特宁擅长把朋友的实例融入扎实的国家统计数据中，下笔审慎，论述明断。
◆《出版者周刊》（Publishers Weekly）
热情洋溢，见解精辟的论述。
◆《奥普拉杂志》（O, the Oprah Magazine）
融合了纪实文学及回忆录的精彩作品。
◆《书单》（Booklist）
阿努‧帕特宁对家乡的自信，以及对美国中产阶级辛苦生活的真挚关怀，让全书充满引人入胜的坦率叙述，精准地反映美国生活大不易的现况。
◆《西雅图时报》（Seattle Times）
研究细腻，阿努‧帕特宁为美国和北欧的育儿、医疗、教育、税制的差异做了清晰翔实的调查。这本书可能彻底改变舆论对政府角色的观感。
◆《Bustle》杂志
2016年夏天最佳非小说类书籍。
◆《Gizmodo》网站
今年夏天亟需加入必读清单的好书。
◆《图书馆学刊》（LibraryJournal）
这本精彩好读的作品来得正是时候，美国有关贫富不均及社会福利的讨论从未如此热络过。",2024,上海译文出版社,https://book.douban.com/subject/36748087/,https://img9.doubanio.com/view/subject/s/public/s34792764.jpg
9787559673053,服美役,[意]毛拉·甘奇塔诺,"本书主要讲述“女性之美”是如何被定义的以及现代审美观形成的过程。
制定“美丽”标准的阶层是如何利用摄影、广告、时尚杂志、电影等传媒手段去宣传标准统一的美。又怎么样利用服装尺码、消费主义对女性实施隐性的“美役”压迫。在制定规则之后，他们又怎么利用女性的消费去完成资本和权利收割。
最终作者提出关于什么是真正的美，美是否存在共识的论证，并试图寻找现代女性如何在“必须美”的社会规则下找到立身之策。
编辑推荐
1.【追求美到底是不是女性的自由？】我们经常在社交媒体上看到关于女性追求美是出于自愿还是被迫服美役的讨论，本书作者从现代对“美的定义”出发，讲述所谓现代女性之美是被控制和制造的。
2.【购买是女性的自由还是消费主义的引导】在女性拥有一定的经济能力之后，消费主义将女性的自由限制于购买。将消费主义包装成女性自由的主要部分，实在是在引导女性掉入无数的消费陷阱，追求被男权社会认可的“美”，进而即满足了男性观看女性的需求，又让资本赚得盆满钵满。女性从中得到的只要焦虑和虚无。
3.【女性之美由谁定义？这种定义为什么对男人无效？】女性之美实际上是一种权利的倾轧，男性拥有大量资本以及话语权，讲女性定义为被观看的他者。从而对女性进行塑造，利用媒体、电影、电视、杂志等多种渠道宣传所谓“女性之美”。而作为观看者的男性，是标准的制造者，不受其约束。
4. 【女性能否重新夺回对美的定义权。】在女性认识到所谓标准之美是虚无的之后，我们能否重新夺回对美的定义至关重要。美从来不应该是束缚女性的，它应该是一种更广大的，更自由和灵动的感受。",2024,北京联合出版公司,https://book.douban.com/subject/36698279/,https://img2.doubanio.com/view/subject/s/public/s34766281.jpg
9787572609268,我在北京送快递,胡安焉,"进入社会工作至今的二十年间，胡安焉走南闯北，辗转于广东、广西、云南、上海、北京等地，做过快递员、夜班拣货工人、便利店店员、保安、自行车店销售、服装店导购、加油站加油工……他将日常的点滴和工作的甘苦化作真诚的自述，记录了一个平凡人在生活中的辛劳、私心、温情、正气。
在物流公司夜间拣货的一年，给他留下了深刻的生理印记：“这份工作还会令人脾气变坏，因为长期熬夜以及过度劳累，人的情绪控制力会明显下降……我已经感到脑子不好使了，主要是反应变得迟钝，记忆力开始衰退。”在北京送快递的两年，他“把自己看作一个时薪30元的送货机器，达不到额定产出值就恼羞成怒、气急败坏”……
但他最终认识到，怀着怨恨的人生是不值得过的。这些在事后追忆中写成的工作经历，渗透着他看待生活和世界的态度与反思，旨在表达个人在有限的选择和局促的现实中，对生活意义的直面和肯定：生活中许多平凡隽永的时刻，要比现实困扰的方方面面对人生更具有决定意义。
————
✨2023年豆瓣年度图书No.1
✨第二届三联行读图书奖文学类中文原创年度图书、QQ阅读2023年度十大非虚构好书
✨上市以来，南方周末、澎湃新闻、人物、南方人物周刊、新周刊、新京报、界面文化、GQ、看理想、单读等多家主流媒体或平台持续热议
·
《我在北京送快递》应该加入市民生活必读书，让更多人了解社会运转背后各行各业的力量。
——《人民日报》",2023,湖南文艺出版社,https://book.douban.com/subject/36150423/,https://img1.doubanio.com/view/subject/s/public/s34522268.jpg
9787208171336,置身事内,兰小欢,"“在成功的经济体中，经济政策一定是务实的，不是意识形态化的。是具体的，不是抽象的。”
直面真问题、深究真逻辑的复旦大学经济学“毕业课”
☆ 连接抽象经济学理论与中国发展实际
在市场机制不完善的情况下，如何实现可行的动员与资源调配，推动经济增长？
在确保增长的过程中，如 何获得更多资源和时间去建设和完善市场经济？
☆ 结合学界前沿研究与一线调研经历
扼要论述+延伸阅读指引，满足弹性认知需求
生动解说光伏、面板等行业案例，清晰复盘宽窄巷子、华夏幸福等建设经验
☆ 微观机制+宏观现象 双重维度串联中国经济生活中中知识与现象的碎片
理解地方政府经济治理的决策与行动逻辑
解读城市化、房价、贫富差距、债务、国内外贸易生态等现象背后各种要素的联动
☆ 从热闹的政经新闻中看出门道，从枯燥的政府文件中觉察到机会。
“了解政府认为应该怎么办，比了解‘我’认为应该怎么办，重要得多。”
------------------------------------------------------------------------------------------------------
本书是是兰小欢多年教学、调研与研究内容的凝练，将经济学原理与中国经济发展的实践有机融合，以地方政府投融资为主线，深入浅出地论述了中国经济的发展，笔触简练客观，并广泛采纳了各领域学者的最新研究成果。全书分上下两篇。上篇解释微观机制，包括地方政府的基本事务、收支、土地融资和开发、投资和债务等；下篇解释这些微观行为与宏观现象的联系，包括城市化和工业化、房价、地区差异、债务风险、国内经济结构失衡、国际贸易冲突等。最后一章提炼和总结全书内容。

通过对中国政治经济体系的论述，作者简明地刻画了地方政府进行经济治理的基本方式，并指出，中国政府通过深度介入工业化和城市化的进程，在发展经济的同时逐步推动了市场机制的建立和完善，以一种有别于所谓发达国家经验的方式实现了经济奇迹。基于对改革历程与社会矛盾的回顾与分析，作者也在书中对当前推进的市场化改革与政府转型进行了解读，帮助读者增进对中国发展现实的把握。",2021,上海人民出版社,https://book.douban.com/subject/35546622/,https://img3.doubanio.com/view/subject/s/public/s33956867.jpg
9787572608582,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲",2022,湖南文艺出版社,https://book.douban.com/subject/36104107/,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
9787807682158,小镇喧嚣,吴毅,"基层迎检、开发纷争、征收税费、产业调整、征地“种房”、维权争利……“喧嚣”一词，释尽乡镇日常政治种种人事与结构交织碰撞的众声嘈杂。本书以后现代叙事策略，围绕基层政权、村级组织和农民在复杂的乡村权力场域中博弈共生的过程和状况，深度阐释了21世纪初中国中部地区某乡镇“乡域政治”的运作实践与支配逻辑。
本书出版十年来，获得学术界内外的广泛好评，被权威专家和普通读者誉为数十年来少见的以“抵近现场”“深度描写”的方式、以“比小说还精彩”的叙述来“复杂化理解”中国基层社会的作品。重读此书，不难发现，虽然它研究的是十多年前的乡镇，但是，对于“故事”背后种种复杂因素的颇有见地的理论探讨，让它在今天仍然极具启示。",2018,生活·读书·新知三联书店,https://book.douban.com/subject/30122152/,https://img1.doubanio.com/view/subject/s/public/s29673788.jpg
9787542684738,小镇做题家,谢爱磊,"🏫他们拼尽所有，只为换得普通的剧本
🏫教育社会学学者10年追踪研究2000人，深度呈现寒门学子的挣扎与求索
🏫俞敏洪、刘云杉、许知远、严飞诚挚推荐！
——【内容简介】——
在今天，我们还可以相信“知识改变命运”吗？
在主流话语中，励志故事是唯一的答案，而本书要讲述的，则是另一个。
自2013年起，学者谢爱磊对中国四所精英大学的近2000名学生开展追踪研究，其中近28%的学生来自农村和小镇。他们从千万人的分数搏杀中脱颖而出，成为人们口中的“小镇做题家”。
迈入校门的刹那，出身的差异一并涌现。城市与乡村、贫穷与富有、丰饶与贫瘠……在陌生的文化世界里，他们进退维谷，饱受匮乏、隔阂、分裂、迷茫与孤独的煎熬。想要摆脱过往的烙印，要经历撕裂般的成长与重塑。而这，不过是漫长的社会阶梯攀爬的第一步。
作者结合问卷调查与深度访谈，对“小镇做题家”的家庭背景、学业表现、社会适应、就业出路等情况作出客观全面的分析。本书以通俗的语言、翔实的数据、生动的案例，结合受访者口述，呈现农村与小镇青年社会流动征程中的内心世界，并力求揭示在精英大学中，个人的生命历程如何与宏观的社会进程相缠绕。
——【编辑推荐】——
★	教育社会学学者10年追踪研究2000人，深度呈现“小镇做题家”的挣扎与求索；
俞敏洪、刘云杉、许知远、严飞诚挚推荐！
学者谢爱磊通过问卷调查与深度访谈，对高校农村籍学子的家庭背景、学业表现、社会适应与就业出路等情况作出全面分析。用丰富的数据与事实，客观呈现农村与小镇学生在精英大学的身心适应情况，还原“小镇做题家”在社会舆论偏见遮蔽下的真实境遇。
★	通过高校农村学生的真实自述，揭示寒门学子面对的残酷现实：
文化的天堑比经济更难逾越；改造自己，是一项宏大而痛苦的人生工程
作者深度访谈100余位高校农村籍学生，积累了丰富的案例与口述，还原“小镇做题家”的内心世界。一个个鲜活的声音切片，讲述真实得几近残忍的生命故事——农村和小镇青年的社会流动，不仅意味着人生坐标的几何移动，更意味着生存心态的艰难调适；融入新的文化世界，意味着一次“忘却过去的自我的再教育” 。
★	给农村与小镇青年的“大学避坑指南”——摆脱无效内卷，度过一段不后悔的大学生活
大学，也许是人一生中最迷茫的阶段，要经历从学校到社会的艰难适应：
——高中和大学有哪些本质性的不同？
——面对“神仙打架”的同辈，如何与自己的平凡和解？
——专业课之外，还要有意识地学习哪些技能？
——如何规划职业路线，避免做无用功？
这本书，承载了上百位平凡学子的故事，他们的人生轨迹相似也不同，有希望也有挫败；许多人拼尽所有，只为换得普通的剧本。
如果你也在匮乏中长大、对未来不知所措，或许可以从这些真实的生命经历上获得共鸣、启发，以及面对真实生活的勇气。
★	关注底层青年社会流动困境，看见 “我们的孩子”
社会融入困难、身份认同摇摆 、内心饱受挣扎……“小镇做题家”在精英大学的适应困境，喻示着社会流动性的减弱，也是当下众多阶层攀登者的无奈、痛苦与彷徨的缩影。
在今天，我们还可以相信“知识改变命运”吗？普通人要怎样努力，才可以突破出身的限制？家长、教师、学校、企业、政策制定者，能够做些什么、应该做些什么？
关心青年学子的处境，就是关心一代人的未来。",2024,上海三联书店,https://book.douban.com/subject/36850973/,https://img1.doubanio.com/view/subject/s/public/s34834010.jpg
9787545823172,移民路上的生与死,[美]杰森·德莱昂,"美墨边境移民政策 = 以沙漠为帮凶的杀人计划？
以血肉之躯 冲撞 结构性暴力&畸形全球化
🚫
🔔美墨边境的天然杀戮场，移民的生死民族志！麦克阿瑟奖得主、加州大学人类学教授杰森·德莱昂，重走迁移线路，追踪采访越境者，揭露美国政府以险恶沙漠为掩护的杀人计划。
🧭民族志+考古学+ 法医学，生命权力（福柯）+例外状态（阿甘本）+死亡政治（姆本贝），借多重人类学手段还原沙漠暴力，用经典理论检视移民无足轻重的政治存在，直击主权者漠然、虚伪及残酷的本质。“入境者死亡人数是策略的效力指标……暴力升高，效果才出得来。”
📷越境者第一人称叙述+60余张纪实摄影照片，让亲历者发声，借影像作证，在沿途痕迹消解、苦难被遗忘、罪证被抹除前，保留对非人道移民政策、畸形全球化进程血淋淋的控诉。
🗽人类学学者范可X国际关系学者吕晓宇X社会学学者游天龙等专家诚挚推荐：一本令人动容的啼血之作，美国政治、经济和社会整体性溃败的缩影，一部当代奥德赛式的磅礴史诗！
===
【内容简介】
美墨绵延的边境线西部，是有着“不毛之地”之称的索诺拉沙漠，这里长期充当拉美无证移民的“走线”通道。高耸的隔离墙在此终结，闯过沙漠里一道道死亡关口，移民就能如愿成为美国非法劳动大军的一员。只不过，无数人命丧途中。人类学家杰森·德莱昂亲历沙漠移民路线、采访越境者，收集衣物和骸骨等物质遗留，沿途救助伤者，亲眼见证死亡。在他看来，沙漠是美国政府精心打造的异质集合体：诱导移民铤而走险，把脏活外包，借自然环境“洗白”自身。这片死寂大地充满着生命消逝的苦痛，而背后是两个世界巨大的经济鸿沟与难除的政治顽疾。
===
【著译者简介】
杰森·德莱昂(Jason De León, 1977— )，美国加州大学洛杉矶分校人类学教授、奇卡诺和中美洲研究中心教授、科特森考古研究所主任。研究领域包括拉丁美洲移民、暴力理论、当代考古学等，是“无证迁移项目”的负责人。2017年凭借其在移民研究领域的突出成就获得美国麦克阿瑟奖。
赖盈满，译者，伦敦政治经济学院科学哲学硕士，译有《山中最后一季》《天才的责任：维根斯坦传》《成功的反思》和《博学者与他们的时代》等作品。
===
【相关评论】
德莱昂向我们呈现了对美墨边境杀戮场的鲜活控诉，在血淋淋的景象和切身苦难中揭示了全球不平等的残酷。德莱昂自称是考古学“难民”，事实上，他正通过打破人类学传统的学科分界来振兴这个领域。他毫无保留地为理论、方法和公共人类学提供了新的路径。
——加州大学洛杉矶分校人类学教授、《生命的尊严》作者 菲利普·布儒瓦(Philippe Bourgois)
这是一本令人动容的啼血之作，叙述了无证移民经由亚利桑那沙漠奔向美国的艰难过程。作者亲身体验了这条生死路，对行动者网络、多物种民族志和本体论转向等加以审视，并在死亡政治中检视福柯的生命权力。作者力图告诉读者，为什么在沙漠中死去的移民大都尸首无存——不同的能动性力量导致了这样的结果。
——南京大学社会学院荣休教授、社会文化人类学研究所所长 范可
人类学家德莱昂以近乎小说家的笔触与无限近的亲密距离，揭开了美国边境沙漠上“走线”的重重困境。那些踏上未知旅途的人，无异于接受来自死亡的公开邀请，而他们要去穿越“发达国家和发展中国家”之间的人为边界，又何尝不是向着全球化扭曲和畸形之处发起冲击，从而汇成的当代奥德赛式的磅礴史诗。
——北京大学国际关系学院助理教授、青年作家 吕晓宇
德莱昂将看似简单的“用脚投票”的行为以一种繁复精巧却环环相扣的方式呈现出来，把边境危机凝练为美国政治、经济和社会整体性溃败的缩影。这些追寻“美国梦”的难民，不知等待自己的是冷酷的移民官、僵化的移民法、极化的两党制、失调的联邦制、瘫痪的三权制和贪婪的全球化所编织的噩梦。这个制度噩梦搭配恶劣环境，则构建了他们的“敞坟之地”。
——云南大学社会学系副教授、国际移民研究学者 游天龙",2024,上海书店出版社,https://book.douban.com/subject/36671138/,https://img1.doubanio.com/view/subject/s/public/s34804908.jpg
9787545219869,我的母亲做保洁,张小满,"★★《我的母亲做保洁》荣获2023年深圳读书月“十大劳动者文学好书·非虚构榜”年度十大好书、“南都2023年度十大好书”、《晶报·深港书评》2023年年度十大好书、搜狐文化2023年好书之选“年度好书”；刀锋图书奖·2023年度非虚构作者张小满。
【编辑推荐】：
★城市巨轮运转下，保洁员群体被遮蔽的日常
是谁在维系超级城市的“体面”与“洁净”？这是一群用体力劳作填满超长工作时间的外来务工者，他们在深圳这座包容万象的城市中寻找自己的生存空间，与污渍、垃圾为伴，支撑起城市文明对整洁细节的无限追求。作者张小满的母亲就是 城市保洁群体中的一员。他们落脚城市的初衷是如此相似，一路走来的人生又与时代发展的轨迹紧紧捆绑。他们在深圳寻找自己的生存缝隙，有自己的生活圈子，知道如何寻找机会，很清楚自己在整个阶层划分中的地位，用一种贬低自己的语气谈论着他们所做的工作。他们是一个庞大的群体，却总是处在城市生活的边缘，城市的“整洁”“舒适”“便利”几乎与他们无缘。而他们身上所承载的命运本质，其实也映照着绝大多数的我们。
★母与女，“蓝”与“白”，两代人的隔阂与交融
当母亲成为一名城市保洁员后，“我”与母亲重新生活在一起。母亲用批判的眼光观察“我”的生活，而“我”也激烈地回应。但“我”爱母亲，更想理解母亲。“我”试着从了解母亲在超级商场的保洁工作开始去理解她，母亲又为“我”带回非常具体而生动的保洁员群体日常素描，母女二人一起拼贴出这一群体的生存境况。母亲一辈子都是付出体力劳动的蓝领，而“我”则是看似跃入“体面阶层”的白领，母亲向来以此为荣。随着母女二人在记录保洁员群体故事的过程中，“我”得以重新回望自己的来处，越来越感到，自己很多看似努力的行为，看似接触到的圈子，其实不堪一击，“我”与母亲、与保洁员们，一样是无法豁出去的人，我们有共同的来处。而母亲也在这一过程中，颇感悲伤地意识到，苦读成材的子女，最终也不过是在城市生活中勉力维系一份螺丝钉般的工作，稍有不慎，同样会滑至“主流生活”之外。通过保洁员群体的故事，或许我们也能关照自身的处境，对自身的生活有所省视。至于“我”与母亲，两代人之间的真正理解也许永远无法抵达，但记录、书写母亲生活的这一过程，令“我”与母亲比从前任何时候都要信任对方、支持对方。
★梁鸿、陈年喜、黄灯联袂推荐！
【内容简介】：2020年，52岁的母亲从陕南农村来到深圳务工。独立生活十几年后，“我”与母亲在深圳相聚，重新住在一个屋檐下。我们在狭小的房间中争吵，母亲看不惯“我”的花钱方式，“我”难以忍受母亲的生活习惯。我们深陷彼此纠缠、负担和依赖的关系。然而我们彼此相爱，“我”深知母亲的软肋便是对我毫无保留的爱。于是，“我”想理解她。“我”的母亲在矿场、在建筑工地挥洒了年轻的汗水，如今在城市写字楼的几格空间中做保洁员。“我”想记录下母亲的打工史，努力穿梭过她记忆中的生命。母亲的人生为做着螺丝钉般工作的“我”建立起一块生活的“飞地”，让“我”得以喘息、回顾，珍重自己的来处。这是我们母女共同完成的一场写作。",2023,光启书局,https://book.douban.com/subject/36623046/,https://img3.doubanio.com/view/subject/s/public/s34681227.jpg
9787532794133,世上为什么要有图书馆,杨素秋,"我是陕西科技大学的一名文学老师，有时会想：除了教书，我能不能走出校园，为社会做点什么？一次机会，我到西安市碑林区文化和旅游体育局挂职，任副局长。碑林区是西安市的中心城区，却没有一家图书馆，让我错愕。更让我错愕的是，我即将接手的这个“西安市碑林区图书馆建设项目” 要建在地 下！墙皮破损，电线裸露，没个好模样，人手就我和馆长小宁两个人。
小宁说买书的事情全听我的。书商纷纷发来书目，但我发现得自己动手编一个更适合本区读者的书目出来。我们的馆小，书少，这恰恰困难——稍微买偏了，就会大量被闲置。
碑林区是市中心商业繁华区，周末常有家长带小孩子来附近逛街，应该加大文学书和少儿书的占比。附近有全国最大的石碑博物馆，展出的不是绘画或者器皿珠宝，而是“字”。这个地方离我们图书馆步行只有几分钟，应该设立一个碑帖专区，大量地买，做成特色。要设立一个单独的外文童书区，在碑林区工作的外国人不少，如果他们的孩子在这里看见母语故事，一定很激动吧。还应该有一个漫画专区，把这个区域做好了，这几个书架也可能会成为漫粉聚集地， 也许周末会被读者挤满吧……
我求助各方朋友，要选出1万种图书来。不曾想，一个小小的书目触动了各方利益，一场“书目保卫战”就此拉开帷幕……
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
【编辑推荐】
★这是一个真实的事件。陕西科技大学副教授杨素秋到西安碑林区挂职一年，主持西安碑林区图书馆的建设。图书馆的灵魂是书目，在确定图书馆书目的过程中，她遇到了各种潜规则和来自各方的阻力，关关难过关关过，最终，理想与现实得到了最大的平衡。
★本次事件获得央视新闻周刊、腾讯谷雨工作室、爱奇艺的关注和报道，杨素秋被誉为“公共选书人”",2024,上海译文出版社,https://book.douban.com/subject/36593622/,https://img9.doubanio.com/view/subject/s/public/s34705784.jpg
