ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787536692930,三体,刘慈欣,"文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……
四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发……
人类的末日悄然来临。",2008,重庆出版社,https://book.douban.com/subject/2567698/,https://img1.doubanio.com/view/subject/s/public/s2768378.jpg
9787536693968,三体Ⅱ,刘慈欣,"三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。
面对前所未有的危局，经历过无数磨难的地球人组建起同样庞大的太空舰队，同时，利用三体人思维透明的致命缺陷，制订了神秘莫测的“面壁计划”，精选出四位“面壁者”。秘密展开对三体人的反击。
三体人自身虽然无法识破人类的诡谲计谋，却依靠由地球人中的背叛者挑选出的“破壁人”，与“面壁者”展开智慧博弈……
“面壁计划”究竟能否成功？地球人究竟能否在这场你死我活的文明生存竞争中战而胜之？神秘的
“黑暗森林”究竟意味着什么？",2008,重庆出版社,https://book.douban.com/subject/3066477/,https://img3.doubanio.com/view/subject/s/public/s3078482.jpg
9787229030933,三体Ⅲ,刘慈欣,"与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生存竞争的秘密，其实还远没有竞争的资格。
使两个文明命悬一线的黑暗森林打击，不过是宇宙战场上一个微不足道的插曲。真正的星际战争没人见过，也不可能见到，因为战争的方式和武器已经远远超出人类的想象，目睹战场之日，即是灭亡之时。
宇宙的田园时代已经远去，昙花一现的终极之美最终变成任何智慧体都无法做出的梦，变成游吟诗人缥缈的残歌；宇宙的物竞天择已到了最惨烈的时刻，在亿万光年暗无天日的战场上，深渊最底层的毁灭力量被唤醒，太空变成了死神广阔的披风。
太阳系中的人们永远不会知道这一切，最后直面真相的，只有两双眼睛。",2010,重庆出版社,https://book.douban.com/subject/5363767/,https://img9.doubanio.com/view/subject/s/public/s26012674.jpg
9787508672717,人生复本,[美国]布莱克·克劳奇,"这是一个关于平行宇宙的故事。
做出不同的选择，人生会不会变得不一样？
如果再给自己一次选择的机会，你会抛弃现在的生活嘛？
“你过得开心吗？”
这是杰森在失去意识前听到的最后一句话。再次醒来时，他发现自己躺在医院的轮床上，一位陌生人微笑着对他说，“我的朋友，欢迎你回来。”
然而他面对的世界与之前完全不同。
他没有了妻子，原来的孩子也不存在了。他的身份不再是大学里的普通教授，而是人人皆知的科研天才。
杰森无法分清眼前的世界是梦还是现实，也不知该如何回到以前的生活。但毫无疑问的是，在新的世界里，他将面对自己内心深处最黑暗的部分。",2017,中信出版社,https://book.douban.com/subject/27125958/,https://img9.doubanio.com/view/subject/s/public/s29608606.jpg
9787544782173,索拉里斯星,[波]斯坦尼斯瓦夫·莱姆,"🌌这颗星球，知道你内心深处的秘密。
🌌波兰科幻大师莱姆代表作，塔可夫斯基《飞向太空》原著小说。
🌌刘慈欣、梁文道、戴锦华、吴岩、江晓原诚意推荐
【编辑推荐】
🌟波兰科幻大师斯坦尼斯瓦夫•莱姆代表作，以诗意笔触和深邃哲思触探人类认知边界。人类追寻着地外文明的蛛丝马迹，遇见了索拉里斯星的蓝色大洋。它像一面镜子，反映出人类的忧伤与迷惘，恐惧与执念。而它本身是什么，人类却永远也无法知道。
🌟安德烈•塔可夫斯基据此改编《 飞向太空》，铸就电影史上的经典。
🌟被无数人誉为无法超越的科幻神作，设立太空想象天花板，刘慈欣、梁文道、戴锦华、吴岩、江晓原诚意推荐。
🌟莱姆是波兰科幻作家、哲学家，被译成52种语言，全球畅销4000余万册，以一己之力将波兰科幻提升到世界水平。早在70年前就预言了互联网、搜索引擎、虚拟现实和3D打印的出现，直言人类将遭遇人工智能和信息爆炸的挑战。
🌟莱姆100周年诞辰纪念版，波兰驻华大使亲自撰写序言。
【内容简介】
索拉里斯星是一颗围绕双星运转的星球，表面被胶质海洋覆盖。根据人类既有的认知，这样的星球的运转轨道应该是不稳定的。但仅仅过了十几年，人们就发现，索拉里斯星的轨道并没有显示出预期的变化。这激发了人类对这颗星球无限的兴趣。
心理学家凯尔文降落到索拉里斯星，迎接他的不是同伴们的热烈欢迎，而是杂乱的太空站、疯癫的科研人员和凝重的暗黑气氛，他试图弄清楚到底发生了什么，直到在一片扑朔迷离中撞见自己已经过世十年的妻子……
【媒体推荐】
莱姆有非常了不起的想象力，是真正独一无二的。莱姆的作品对人和宇宙的关系有着更深刻的描述，与美国的科幻小说相比，在文学上也更为精致，有着更为深远的意境，也给人带来更多的回味和思考。
——刘慈欣
如果我们找不到外星人，可能是因为我们对外星生命的理解，都以为他们是人。
——梁文道
《索拉里斯星》不仅是一部重要的科幻作品，也是一部伟大的文学作品，甚至是一部现代哲学读本。
——戴锦华
莱姆总是能从核心处嘲弄我们的生活，他能把科技论文、民间故事、寓言、神话传说等都烹调在一起，并用幽默而力透纸背的荒诞语言和荒诞情节，返照我们的世界。
——吴岩
他是当今活跃的作家中最智慧、最博学、最幽默的一位。
——安东尼•伯吉斯
无论是语言的驾驭、想象力还是塑造悲剧角色的手法，都非常优秀，无人能出其右。
——库尔特•冯内古特
相比之下，我们疲惫的宇宙显得苍白无力。
——《华盛顿邮报》
与阿瑟•克拉克、艾萨克•阿西莫夫和菲利普•迪克比肩的科幻小说巨人。
——《纽约时报》",2021,译林出版社,https://book.douban.com/subject/35049755/,https://img1.doubanio.com/view/subject/s/public/s33925108.jpg
9787559674272,宇宙无事发生,[美]弗雷德里克·布朗,"🪐菲利普·K.迪克、尼尔·盖曼、翁贝托·艾柯、斯蒂芬·金、道格拉斯·亚当斯、安·兰德、罗伯特·海因莱因、广濑正、筒井康隆、汤浅政明、星新一……一致推崇——
科幻鬼才、小小说大师 弗雷德里克·布朗
🪐50+篇短篇杰作，一站式购齐：黑色幽默、辛辣讽刺、意外反转、脱力谐音梗……
👽宇宙无敌脑洞大全，又疯又怪，谁能不爱！
——————
☀
地球小伙与外星生物赌上各自种族的未来，进行一场不为人知的对决；时间机器被发明出来，用途和功效却是五花八门，甚至令人大跌眼镜；睁眼发现自己成了火星上最后一个人，还穿越到了地球人身上……看似静悄悄的宇宙，也许正发生着你料想不到的疯狂故事……
☀
弗雷德里克·布朗是享誉科幻界的鬼才，亦被认为是微型小说大师。他是类型小说中最早进行叙事实验的作者之一，其作品深受罗伯特·海因莱因、道格拉斯·亚当斯、尼尔·盖曼等一众科幻大师的热爱。《宇宙无事发生》精选51篇布朗的代表作品，包括《电兽》《前哨》《角斗场》《敲门声》等科幻史上的名作。这些故事最长不过三十来页，最短的仅有半页，却能在极其有限的篇幅之内展现无尽的巧思，让人在忍俊不禁的同时也惊叹于作者的想象力。
——————
【编辑推荐】
☀ 无处不在的科幻鬼才作家弗雷德里克·布朗
📖广濑正在《负零》中完整收录了布朗的《第一台时间机器》，用以说明什么是祖父悖论；翁贝托·艾柯在《丑的历史》中引用了布朗的《前哨》，用以说明美与丑观念的相对性；布朗的《角斗场》《最后的火星人》等作品被《星际迷航》《希区柯克剧场》等知名影视剧改编；菲利普·K.迪克、尼尔·盖曼、斯蒂芬·金、道格拉斯·亚当斯、安·兰德、罗伯特·海因莱因、汤浅政明、星新一等一众大师都对布朗的作品赞不绝口！
☀ 精选篇目，一书收录布朗擅长的多种类型
📖弗雷德里克·布朗被认为是微型小说大师，本书着眼于布朗的优质短篇和超短篇，由译者姚人杰精选51篇佳作，篇篇精彩。布朗不仅擅长科幻题材，他写作的侦探小说也很出彩，获得过埃德加·爱伦·坡奖。本书不仅收录了《电兽》《敲门声》《镜之厅》等科幻史上的名作，更是涵盖了侦探、悬疑、推想等类型，最大程度展现布朗写作风格的多样性，为读者带来更加丰富的阅读体验。
☀ 脑洞无限大，又疯又怪，一读就停不下来
📖布朗的创作以黑色幽默、辛辣讽刺等风格见长，还会出现叫人会心一笑的谐音梗，作品结尾常有精彩反转，或是让人哈哈大笑，或是让人陷入沉思。本书收录的故事最长不过三十来页，最短的仅有半页，各种脑洞目不暇接，也让人惊叹小说居然能写得这么短！比如这篇叫人见之难忘的两句话小说：
地球上的最后一个人独自坐在房内。门外响起敲门声……
——————
【名家推荐】
“也许是科幻类型里产出的最意味深长——令人惊讶，但确实如此——的小说。”
——菲利普·K. 迪克评《电兽》
“当代科幻小说的短篇杰作。”
——翁贝托·艾柯评《前哨》",2024,北京联合出版公司,https://book.douban.com/subject/36759462/,https://img3.doubanio.com/view/subject/s/public/s34861867.jpg
9787539957173,永恒的终结,[美]艾萨克·阿西莫夫,"24世纪，人类发明了时间力场。27世纪，人类在掌握时间旅行技术后，成立了一个叫做永恒时空（Eternity）的组织，在每个时代的背后，默默地守护着人类社会的发展。永恒时空以一个世纪为单位，并视每个世纪的发展需要而加以微调，以避免社会全体受到更大伤害。通过纠正过去的错误，将所有灾难扼杀在萌芽中，人类终于获得安宁的未来。然而，这种“绝对安全”的未来却在某一天迎来了终结。不知不觉中形成的因果链，仿佛从四面八方涌来的黑暗，即将吞噬全人类。
安德鲁•哈伦，生于95世纪，他是永恒时空的时空技师、人类未来社会的精英。他的天职是靠操纵时空壶，进行时间旅行来守护500亿人类，而在一次时空任务中，他邂逅了令他一见倾心的姑娘，而突然来到的爱情却让他开始质疑整个世界。
同时，人类最后的希望，也落在了时间旅行者安德鲁•哈伦最后的时空任务上……
◆《永恒的终结》是最伟大的科幻作家阿西莫夫被公认的最高杰作。
◆《永恒的终结》厘清了关于时间旅行的一切构想！
◆1955年原作出版，科幻迷们翘首以盼60年来，唯一中文版全译本首次登陆中国。",2014,江苏凤凰文艺出版社,https://book.douban.com/subject/25829693/,https://img2.doubanio.com/view/subject/s/public/s27409671.jpg
9787544785631,未来学大会,[波]斯坦尼斯瓦夫·莱姆,"👾如果可以选择，是直面悲惨的现实，还是用致幻剂营造虚假幻象？
👾波兰科幻大师莱姆代表作之一，以科学幽默和辛辣讽刺勾画人类未来。
【编辑推荐】
🌟波兰科幻大师斯坦尼斯瓦夫•莱姆代表作，以科学幽默和辛辣讽刺勾画人类未来：如果可以选择，是直面悲惨的现实，还是用致幻剂营造虚假幻象？
🌟莱姆是波兰科幻作家、哲学家，被译成52种语言，全球畅销4000余万册，以一己之力将波兰科幻提升到世界水平。早在70年前就预言了互联网、搜索引擎、虚拟现实和3D打印的出现，直言人类将遭遇人工智能和信息爆炸的挑战。
🌟莱姆100周年诞辰纪念版，波兰驻华大使亲自撰写序言。
【内容简介】
伊扬•蒂赫去参加第八届未来学大会，讨论如何解决人类面临的种种难题，不料却误服致幻药物，穿越到一个未来幻象中。那里的人们消灭了贫穷与疾病，平安喜乐地生活着，可蒂赫却始终觉得有什么地方不对劲……
【媒体推荐】
莱姆有非常了不起的想象力，是真正独一无二的。莱姆的作品对人和宇宙的关系有着更深刻的描述，与美国的科幻小说相比，在文学上也更为精致，有着更为深远的意境，也给人带来更多的回味和思考。
——刘慈欣
莱姆总是能从核心处嘲弄我们的生活，他能把科技论文、民间故事、寓言、神话传说等都烹调在一起，并用幽默而力透纸背的荒诞语言和荒诞情节，返照我们的世界。
——吴岩
他是当今活跃的作家中最智慧、最博学、最幽默的一位。
——安东尼•伯吉斯
无论是语言的驾驭、想象力还是塑造悲剧角色的手法，都非常优秀，无人能出其右。
——库尔特•冯内古特
相比之下，我们疲惫的宇宙显得苍白无力。
——《华盛顿邮报》
与阿瑟•克拉克、艾萨克•阿西莫夫和菲利普•迪克比肩的科幻小说巨人。
——《纽约时报》",2021,译林出版社,https://book.douban.com/subject/35330057/,https://img9.doubanio.com/view/subject/s/public/s33925034.jpg
9787544787352,挽救计划,[美]安迪·威尔,"科技宅男+跨星系好（基）友联袂上演太空大救援
硬核工程风+幽默碎碎念打造年度科幻
奥巴马、乔治•R. R. 马丁力荐
高司令主演同名电影即将上映
👾出版后连续16周雄踞亚马逊科幻畅销榜
《挽救计划》英文版于2021年5月4日正式出版，迅疾登陆《纽约时报》《华尔街日报》《洛杉矶时报》等各大畅销书排行榜，至今仍盘踞高位。
👾万人五星好评，读者直呼比《火星救援》更燃、更爆；
译者坦言阅读体验像是在大脑里进行了“一场烟花表演”
👾入选奥巴马2021夏日书单；
《冰与火之歌》作者乔治•R. R. 马丁力荐
两个世界处于危险之中，一个有能力但有缺陷的人类，一个有能力的外星人，无休止的科学谜题有待解开，人类自身处于危险之中，这本书拥有老科幻迷所喜爱的一切。如果你喜欢满是科学的科幻小说，安迪•威尔就是最适合你的作家。
——乔治•R. R. 马丁，《冰与火之歌》作者
👾小说正式出版前，电影版权已高价售出；
同名电影正在拍摄中，瑞恩•高斯林担纲男主
【内容简介】
一趟孤注一掷的太空远征
一座没有尽头的科学迷宫
一次争分夺秒的冒险营救
一段跨越星际的真挚友谊
浩瀚宇宙中，瑞恩•格雷斯是整个人类文明仅存的希望。但在醒来的那一刻，他连自己的名字都不记得。他在未知的恐惧中寻找身份，从记忆的碎片中获取线索。这个肩负拯救地球重任的关键人物，现已命悬一线！人类文明究竟能否存续？在这场“挽救计划”里，一切都充满了挑战……
【媒体与读者评论】
读者可能会坐上一个通宵，双眼充血地看完这部情感强烈、主题深刻的小说。这是一个有关生存的故事，一部关乎友谊力量的科幻杰作！
——《科克斯书评》
年度最佳预定！让人手不释卷的科幻小说。
——豆瓣读者
细节硬核、剧情紧凑、节奏完美，而且《火星救援》曾经带来的趣味与感动全都回来了。
——豆瓣读者",2021,译林出版社,https://book.douban.com/subject/35494160/,https://img9.doubanio.com/view/subject/s/public/s33958826.jpg
9787549565115,献给阿尔吉侬的花束,[美]丹尼尔·凯斯,"丹尼尔·凯斯（Daniel Keyes，1927—2014）出生于纽约，拥有布鲁克林大学心理学学位。1950年代早期进入《漫威科幻故事杂志》（Marvel Science Stories）工作，随后转换跑道，成为时装摄影师与中学教师。后获得布鲁克林大学英美文学学位。
1959年，凯斯在《奇幻与科幻杂志》首度发表短篇处女作《献给阿尔吉侬的花束》，赢得雨果奖的肯定，1966年扩展成长篇后又再荣获该年度星云奖，一举囊括了科幻小说最重要的两项大奖。这部探讨心智障碍主角查理·高登与白老鼠阿尔吉侬在医疗介入后，身体与心理变化的作品，曾三次改编为电影，首部改编电影《查理》（Charley）男主角克里夫·罗伯逊拿下奥斯卡最佳男主角奖的殊荣。日本NHK电视台也在2003年改编成电视剧《献花给仓鼠》，法国、波兰与英国则先后改编成舞台剧。第二次改编的最新日剧由野岛伸司编剧...
(展开全部)",2015,广西师范大学出版社,https://book.douban.com/subject/26362836/,https://img1.doubanio.com/view/subject/s/public/s28050760.jpg
