ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787572610912,太白金星有点烦,马伯庸,"太白金星李长庚最近有点烦。
天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始：费用报销、工作汇报、人事安排、各路大仙塞来的条子、各地妖怪暗藏的心思，捋不出的千头万缕，做不完的琐碎繁杂……当大闹天宫的真相重新浮出水面，牵扯出无数因果，李长庚发觉自己成就金仙的道路越加渺茫。
【编辑推荐】
这是每一个成年人应该重读的西游故事。
太白金星李长庚最近有点烦。天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保项目无虞。老神仙本以为一切尽在掌控中，谁知天大的麻烦才刚刚开始。
项目过程中，如何报销活动费用？如何写工作汇报？如何平衡不同上级的诉求？如何应对突发状况？如何解决人事纠纷？一系列问题在不改变经典著作《西游记》结局的基础上展开了丰富有趣的职场生态，即便李长庚锦囊无数，也不免常常陷入焦虑。
都说神仙要“超脱因果，太上忘情”，都说不要在职场里动感情，太白金星却说，“很多人间执念我们无法理解，但不代表那些痛苦就不存在。”即使得了“仙”“佛”之号，依旧抛不下一个人字，有人，就有抛不下的牵挂、因果与苦乐得失。
打碎无意义的追逐，才是真的得道。
延续《长安的荔枝》小开本双封设计，随书附10张著名画家施晓颉所绘创意插图。
【媒体推荐】
地下取经队伍降妖除魔百般威武，天上神界仙界各怀心思斗智斗勇。现代视角另类演绎西游故事，就算成仙也得讲究职场智慧。
——《收获》杂志",2023,湖南文艺出版社,https://book.douban.com/subject/36328704/,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg
9787572618529,别把我当朋友,常条,"大龄产品经理掏肺巨作，打烂同事“面具”，扒掉客户“底裤”，带你领教职场人性大观园。
将日常写得有趣，把欢乐写得泪目，幕后英雄的故事再成功也很悲壮。
超浓职场情绪价值，工具人印象、漂泊感、孤独感、职场政治纷纷来袭，好比“职场嘉年华”。
·
《别把我当朋友》是由新锐作家常条创作的非虚构职场故事集，也是访谈类节目「壹次访谈录」“参透”系列图书起跑之作。这本书写下了一个普通人在北京打拼的20年经历，也写尽了身为一名产品经理幕后工作的酸甜苦辣咸：跟客户如何相处，跟老板如何相伴，跟同事如何相交，一言难尽。作者与50多位真实职场人，上演一出出职场对手戏，带你领略“职场人性大观园”。",2024,湖南文艺出版社,https://book.douban.com/subject/36903971/,https://img3.doubanio.com/view/subject/s/public/s34870182.jpg
9787513353724,干得漂亮,脱不花,"怎么工作，是脱不花在《沟通的方法》之后发起的第二个研究计划。在新书《干得漂亮》里，她再次毫无保留地分享了自己的工作方法。
领导经常临时起意给我派活儿，怎么办？会议上突然被点名，怎么回应？汇报方案总是被推翻，怎么办？……都说二十四五岁到四十岁是职场攀登期，也是一个职场人能否从一线员工成长为中高层管理者的关键阶段。这过程当中的挑战，完全不必是黑箱。脱不花说，我们可以打个灯，照亮它。
本书脱胎自脱不花为得到App新员工培训所准备的教案，包含10套行动方案和45条办事攻略。你在书中所见，都是真实的工作场景，真实能用上的一句句话，真实能帮到你的一个个模板。而这本书游戏化的编排设计，会让你的阅读体验像玩通关游戏那样，从一个小胜利迈向下一个小胜利。
如脱不花所说：
这本书最重要的使命，就是带你刷一遍职场上的常见题型，让你可以远离内耗与纠结，减少无效加班和低水平重复，省出更多精力去做自己喜欢的事情。
你一定要明白，很多人看起来肯干、苦干，但往往也容易傻干，而你要学会巧干、能干，还能把活儿“干得漂亮”。
明明是一样的努力，有的人总能创造出更好的成绩。我希望，这个人是你。",2024,新星出版社,https://book.douban.com/subject/36798889/,https://img1.doubanio.com/view/subject/s/public/s34804128.jpg
9787572608582,长安的荔枝,马伯庸,"大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”
《长安的荔枝》是马伯庸备受好评的历史小说。
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。
沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。
★ 编辑推荐
唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”惹得世人艳羡杨贵妃上千年，但其中的荔枝是如何从五千余里外的岭南运送到长安城的，却鲜有史书详细记载，脑洞大开的马伯庸以此为蓝本构建了一个大唐社畜李善德拼尽全力做项目的故事，虽是历史小说，读者却能从中看到自己的生活影子，大城市买房落脚、职场情商博弈、不得已的违规逾矩等，小人物的挣扎是那么相似。一项将鲜荔枝运逾千里之距的艰难差事，以微观人事折射大唐宏观社会。
这部口碑非常好的历史小说只花了11天写就，小说刚一连载就获得了广大读者的好评，被数万人点评为神作，推荐值高达96%。微博、抖音、小红书和今日头条，海量读者自发评论和衍生二创。
本书小开本双封设计，随书附赠“荔枝鲜转运舆图”折页插图一张。
★ 媒体推荐
马伯庸把他对历史的熟稔与现实关怀结合在一起，使得文笔能直击人的内心。写的是古人，却经常让我们看到自己。这部《长安的荔枝》就是如此。
——陕西师范大学历史文化学院教授 于赓哲",2022,湖南文艺出版社,https://book.douban.com/subject/36104107/,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
9787115638786,人人都要学点劳动法,任康磊,"作为劳动者，怎能不懂劳动法?
如何用法律智慧周旋博弈?
如何用法律武器维护自身权益?
本书是一本面向广大劳动者的、贴近实际又通俗易懂的劳动法读物。本书解析了108个职场人普遍关心和可能遇到的劳动法问题，从求职面试、办理入职、在职工作、裁员离职、争议维权5大维度全面解读职场人常见的劳动法问题并提供了合法有效的解决方案。",2024,人民邮电出版社,https://book.douban.com/subject/36906262/,https://img3.doubanio.com/view/subject/s/public/s34871973.jpg
9787121475016,工作的心智,阳志平,"《工作的心智：如何促进你的职业发展》是阳志平老师关于工作方法论的专著。这是一本立意高远的图书。
阳老师在书中将职业生涯发展总结为三个关键理念：“用作品说话”、“在行动中成长”以及“看见更大的世界”，并针对工作中的八大难题提出系统而又创新的解法。
* 英才：如何成为顶尖人才？
* 作品：如何用作品牵引学习与工作？
* 思想：如何辨别好思想，避免坏思想？
* 学习：如何高效学习，持续成长？
* 人性：如何更深入地理解自己与他人？
* 人际：如何建立人脉，理性助人？
* 竞争：如何在社会竞争中脱颖而出？
* 世界：如何认识世界、解释世界与改造世界？
全书思想深刻，文笔优美，金句迭出，无论你是职场新人，还是经验丰富的职场骨干，都能从中获益。",2024,电子工业出版社,https://book.douban.com/subject/36814311/,https://img3.doubanio.com/view/subject/s/public/s34810542.jpg
9787115642417,团队复盘法,李婧怡,"本书通过作者个人经历，特别是在美团的工作实践，展示了团队复盘法如何帮助团队在不确定性与混沌中找到方向和成长点。
本书分为 3 个部分：概念篇、方法篇和实操篇。概念篇介绍了复盘的概念和价值，以及判断复盘好坏的评判标准。方法篇详细阐述了团队复盘法的 4 个步骤，引导读者了解整个复盘流程和可能遇到的问题及解法。实操篇则侧重于复盘前的准备工作和复盘过程中的关键引导技巧，并详细介绍了如何进行线上复盘。
全书旨在通过具体案例和操作指南，帮助读者学习如何有效地进行复盘，从而在实际工作中沉淀知识，加快成长速度，形成面向未来的能力。
本书适合所有想通过复盘达成团队共识、实现团队成长、提升团队绩效的创业者、企业管理者和职场人士。",2024,人民邮电出版社,https://book.douban.com/subject/36889879/,https://img1.doubanio.com/view/subject/s/public/s34860850.jpg
9787010091006,办公厅工作常见的160个问题与114个失误事例,杨殿钟,《办公厅工作常见的160个问题与114个失误事例》不同于一般的办公工具书，其收录的主要内容是中共西安市委办公厅在市委秘书长领导主持下开展总结工作规律活动和开展查找工作失误活动的主要成果。其中的部分内容先后被中共中央办公厅《秘书工作》选载后，在全国省、地、市党政机关办公部门引起了一定的反响。尤其办公厅室工作中容易发生的114个失误事例，不仅再现了每起工作失误发生的经过、原因以及产生或可能产生的后果，而且从中可以汲取很多感悟和教训，篇篇读来，既亲切自然，如临其境；又引人深思，给人启迪。,2010,人民出版社,https://book.douban.com/subject/4919383/,https://img1.doubanio.com/view/subject/s/public/s6194559.jpg
9787559485007,咖啡哪有上班苦,机灵囧囧,"本书是一部聚焦职场话题的原创漫画。内卷时代，打工人难以平衡工作和生活，愈发陷入迷茫。在一篇篇诙谐幽默的漫画中，主人公机灵囧囧说出职场人心声，生动演绎上班族的真实状态，呈现了工作中的不顺心、难以避免的职场倦怠、临近下班迫不及待……这些平凡又熟悉的日常情节。生硬地说教已经不能打动当代打工人，犀利吐槽、幽默搞笑才能排解焦虑，治愈所有的不快乐。
拒绝内耗，轻松收获成长和快乐。人生就要趁热拿铁！",2024,江苏凤凰文艺出版社,https://book.douban.com/subject/36774159/,https://img3.doubanio.com/view/subject/s/public/s34786213.jpg
9787111745341,结构化汇报：如何呈现工作成果、产品与自我能力,黄漫宇,全书聚焦用结构化汇报破解职场中汇报难题这一主题，围绕商务活动中的具体情境和案例，主要介绍结构化汇报的基本要求、特点和方法，分析如何在口头汇报工作、书面汇报工作、向客户汇报产品（方案）、求职与面试、竞聘演讲等具体汇报情境中用好结构化汇报的技巧与工具，在有限时间内精彩展现工作成果和自我能力。原理篇按照Why-What-How 的框架系统介绍了结构化汇报的底层逻辑。情境篇详细说明了如何将结构化汇报应用于各种汇报情境中。工具篇通过实例介绍了如何借助GPT助力职场人士提升汇报效率、改进汇报质量。,2024,机械工业出版社,https://book.douban.com/subject/36782685/,https://img1.doubanio.com/view/subject/s/public/s34791789.jpg
