ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787208188105,回音室,[英]柯律格,"▶著名艺术史学者、牛津大学荣休教授柯律格全新中国艺术专著
以考古发掘般的严谨打捞史料中的细节，结合前沿研究方法与成果，呈现艺术史学者多年的思考结晶
▶跨国界、跨时代、跨语言、跨学科，打破艺术史研究的藩篱，重新认识20世纪初的中国艺术
谢赫在加尔各答，康有为在罗马？摒弃泛泛的传统东西二元论叙事，以全球化的眼光颠覆关于东西方艺术的固有认知
以“气韵生动”一词的翻译与流转为线索，揭露思想传播中的“回音室”现象，连通古今与中西，细致入微地讲述“中国艺术”在20世纪的形成
▶中英双语完整呈现，特别制作阅读折页，追踪“回音室”中的每个声音！
完整收录作者英文文稿，方便对照阅读、研究
随书附赠折页，辅助理解“气韵生动”与“韵律”的传播路径
▶巫鸿、包华石、郭伟其、阮圆 知名学者联袂推荐！
·
20世纪初，随着中国艺术品流入海外，西方掀起了中国艺术的热潮。以“气韵生动”为代表的中国古代画论与彼时的西方思想潮流不谋而合，经历冈仓天心、劳伦斯·宾扬、喜龙仁等多位汉学家的转译，在多种语言的回音室中流动、循环。而留学海外的陈师曾、滕固、刘海粟等人又将其从日语、德语、英文等语言译回中文，并应用在学术研究和艺术实践中，进一步奠定了谢赫“六法”在20世纪中国艺术理论中的核心地位。
在这部创新之作中，著名艺术史学者柯律格运用多元材料，突破固有的观念和既定的边界，以世界主义的视角重新思考艺术史的边缘和被形塑的“中国画”。
·
通过发现和重构中国美术进入国际语境的若干关键历史时刻，柯律格教授引导我们思考“中国艺术”和“西方艺术”二元观念如何通过理解和误解而逐渐形成，又如何成为人们思考中国艺术的基础框架。这是一本叩问深层问题的书，灵活的叙述也非常引人入胜。
——巫鸿
·
柯律格针对晚清民国时期中国艺术史的世界主义思想基础提出了新颖的见解。这部历史佳作考察了其中关键性的“遭遇”和翻译上的细微差距，引导读者重新思考东西二元论，并欣赏艺术世界中丰富的跨国融合。
——阮圆
·
柯律格教授的演讲力图打破“东西相遇”的泛泛之谈。从“六法”翻译入手展现“跨国”语境中的观念纠缠，在北京年度讲座结束之后的写作中，柯律格进一步将这一语言循环流动的跨国空间概括为“回音室”，既形象地描绘出跨越欧亚大陆的艺术观念世界，也勾起我们对讲座现场的回忆，仿佛精彩的演讲与问答至今余音绕梁。面对不断突破边界的对象，柯律格的研究同样很难简单界定为“中国艺术史”，这一充满创意的著作本身，也必定将如“回音室”一般。引起国内外学者对这个重要话题做出强度不一的种种回响。
——郭伟其",2024,上海人民出版社,https://book.douban.com/subject/36799358/,https://img3.doubanio.com/view/subject/s/public/s34837902.jpg
9787542684400,伦勃朗的眼睛,[英]西蒙·沙玛,"◎艺术史家贡布里希、诺奖得主多丽丝·莱辛推荐！
◎BBC纪录片撰稿人、艺术史家西蒙·沙玛力作
◎半生荣华、半生凄凉，荷兰黄金时代艺术巨匠伦勃朗
◎近400幅原版高清名画，精装珍藏佳品
——————————————————————
【编辑推荐】
★ 凡·高挚爱的偶像，荷兰首屈一指的艺术巨匠，艺术史上特立独行的探索者。
伦勃朗是美术史上不可跨越的一座高峰。他一生痴迷于绘画，也是技艺精湛的蚀刻版画家，持续探索艺术语言、介质及题材的无限可能。他不拘泥于古典主义传统。在推崇光滑、明亮和流畅的年代，他固执地使用“粗糙”的笔法和极具未完成感的画面，深深影响了后世的画家。他也是凡·高等众多大师追随的艺术楷模。
★ 用图像为时代作注，让画笔为普通人立传；透过大师之眼，观览17世纪尼德兰熙熙攘攘的风俗画卷。
在西蒙·沙玛看来，伦勃朗是一位像莎士比亚那样洞悉人性、囊括众生的绘画界剧作家。他是讲故事的高手，也是眼光毒辣的人性探索者。他一生只留下了极少的文字，但却创作了近80幅自画像，将自己打扮成历史人物、商人、东方来客、画家、酒馆浪子、小丑，甚至乞丐……我们从这些图像日记中看到他的千变万化、可爱可亲，也透过他的眼睛一窥当时的众生百态。天才画家的眼睛能洞悉世界的本质，他的魔法之手赋予了颜料以人性深度。
★ 艺术史名家耗时二十余年浩瀚力作，首次汉译引进；像历史小说一样流畅好读，一部酣畅淋漓的另类传记。
作为艺术史和历史兼修的著名学者，西蒙·沙玛综合大量历史文献和图像学资料，以波澜壮阔的时代视角探讨大师伦勃朗的一生。西蒙·沙玛也是一位善于修辞的文艺评论家、富有激情的艺术解说员。从浩瀚的尼德兰革命，到英荷海上争霸；从欧洲王室的八卦，到艺术界的掌故；从荷兰城镇的兴起，到阿姆斯特丹市民的一日三餐；从圣像破环运动，到尼德兰艺术风潮的流变……本书如同一幅巴洛克风格的历史画，用浓稠华丽的细节与戏剧性的表达，铺陈出艺术、历史与信仰之间的交相辉映，令人目不暇接。
★ 在画作中解答大师之谜，用文献打破刻板印象，勾画一个立体的伦勃朗。
关于伦勃朗生平的记载如此之少，而他存世的艺术作品又如此之多。通过200余幅伦勃朗的画作，一窥大师的人生与创作理念。西蒙·沙玛通过梳理各方资料，从更加宏观的角度追溯了大师的一生：荷兰的经济发展与政治环境，他接受的文化熏陶，他的恩师与赞助人，他与情妇的纠葛，他失去亲人的痛楚，他的挥霍无度，他的风光无两与败落……这些纷繁复杂的背景资料与伦勃朗的画作形成互文，讲述了画家通往自己独特风格的漫长旅程，映照出一个与时代对话、更加多面的伦勃朗——一个作为天才，而远非圣人的伦勃朗。
★ 精彩纷呈的画作解析，调动五感品味艺术，解锁名画观看之道。
《夜巡》等传世名画究竟好在哪里？伦勃朗为什么被视为无与伦比的肖像画大师？他的画为什么具有穿透灵魂、深邃动人的力量？他的色彩与笔触有哪些特征？他的画作中藏着哪些典故与现实？……作者在历史的洪流中娓娓道来，像细读文学作品一样“细读”一幅画。从创作背景、艺术技法到哲思内涵，深入剖析绘画中的视觉语言与技术创新。
★ 近400幅原版高清名画，来自100多家艺术机构的珍贵藏品，装帧典雅大气，适于收藏。
16开圆脊锁线精装，护封采用进口纸，细腻还原自画像中的光影层次与笔触肌理。内文采用收藏级画册涂布纸，柔软易摊开，全彩印刷，高品质呈现名画细节。排版有呼吸感，图片充分放大，图文紧随，带来舒适的观画体验。
——————————————————————
【 内容简介】
《伦勃朗的眼睛》是一部融合了历史、艺术与人物传记的宏大作品。
西蒙·沙玛以16至17世纪尼德兰波澜壮阔的历史为背景，通过解读荷兰艺术巨匠伦勃朗各阶段的重要作品，向我们呈现了这位绘画大师的天赋之才与起伏生涯：他如何从一个青涩却有着惊人天赋的模仿者，迅速成长为以无语伦比的独创性傲视群英、备受上流社会追捧的博学画师？又如何因特立独行、画风粗野而遭到冷落，以致晚年落寂？他在艺术风格上的持续探索、对自身境遇的淡然，揭示了怎样的艺术理念与追求？他令人唏嘘的人生结局，又折射出怎样的人性弱点与社会势态？
作为历史学家，西蒙·沙玛以大量史料为基础，用重要的历史节点勾勒出16至17世纪尼德兰乃至欧洲的社会变迁，并填充生动的风俗起居细节，铺陈出一幅熙熙攘攘、随时代沉浮的市民生活图景。
作为艺术史家，沙玛将视角对准活跃于那个时代的众多艺术家，他们之间的交集与擦肩而过、传承与超越、惺惺相惜与相轻相竞，一展尼德兰艺术界百花齐放的盛况。
作为一名有人文精神的艺术鉴赏家，沙玛冷静而富有同理心，不仅全方位解读绘画作品的意蕴内涵，也由画及人，带领我们探知一代大师的内心世界与复杂人格。
本书文史并进，历史部分鲜活好看，如小说般跌宕起伏；画作解读娓娓道来，从创作背景、艺术技法到哲思内涵，无不精彩。
——————————————————————
【名家推荐】
伦勃朗对神秘的探索是如此深邃，他表达着用任何语言都无法表达的内容。人们称伦勃朗为魔术师是有道理的，这可不是件简单的事。
——凡·高写给弟弟提奥的信，1885年
一幅作为矛盾体的艺术家肖像。
——贡布里希（艺术史家）
一本包罗万千的大部头，充满新颖的观点与信息。它着眼的不仅是伦勃朗，还有他的生活、时代以及同代人。西蒙·沙玛让你以前所未有的方式来观看一幅画。
——多丽丝·莱辛（诺贝尔文学奖得主）
动人而富有启迪……一个与我们的时代十分契合的伦勃朗。
——阿兰·德波顿（英伦才子）
伦勃朗之谜终于被西蒙·沙玛这位才华横溢的历史学家解开了……沙玛以专家的口吻娓娓道来，但他传递知识的方式十分轻盈；很少有人能比他更精辟、更流畅地传达如此广博的学识……这本书能牢牢抓住你的注意力，激发想象……一幅巴洛克风格的艺术家肖像。
——罗伊·波特（历史学家、《剑桥医学史》主编）
一场令人眼花缭乱的历史文字绘画盛宴……一台宏伟的巴洛克式戏剧机器，充满了鲁本斯式的丰满、华丽的细节以及如诗如画的角落和罅隙……沙玛是纹理、色彩、色调、气味、声音、空间和动作的生动记录者，不羁地唤醒观察过往游行队伍的人眼底的情感风景。
——马丁·肯普（艺术史家、牛津大学艺术史系荣休教授）
一场华丽的表演……沙玛是一位杰出的历史学家……他对伦勃朗的见解不仅体现在对17世纪的深刻了解上，还体现在他对生活中每一个角落的文化物质表现的贪婪迷恋上……沙玛加深并丰富了我们对伦勃朗的了解，让我们更加明白为什么伦勃朗被誉为史上最伟大的画家之一。
——弗朗西斯·斯伯丁（艺术史家）
西蒙·沙玛关于伦勃朗的这本精彩传记颠覆了传统的画家传记，就像《项狄传》和《白鲸》革新了传统的小说那样。《伦勃朗的眼睛》慷慨激昂、博学多识、视野开阔、论述精辟，不仅让我们对这位艺术家的作品产生强烈的欣赏，而且让我们不可自拔地沉浸在他的世界中。
——角谷美智子（文学评论家，普利策评论奖得主）",2024,上海三联书店,https://book.douban.com/subject/36832265/,https://img3.doubanio.com/view/subject/s/public/s34848832.jpg
9787208186675,审美即信仰,郭婷,"◎宗教改革、工业革命、两次世界大战、巴以冲突，影像艺术、流行文化、全球化、身份政治崛起……身处旋涡中的艺术家如何回应时代与生活？
◎从威廉·布莱克到翠西·艾敏，以审美之眼体察英国社会二百年变迁
《审美即信仰》为我们了解英国艺术乃至文化提供了一个平易近人的视角。这些艺术杰作不仅可以和英国人在科学、技术、经济等领域的成就相媲美，更是构成我们如今认知中的“英国”的关键因素。
——翁昕 艺术顾问
审美不仅是艺术创作的产物，更反映了一个时代的精神风貌和文化脉络。英国的地缘特殊性孕育出一幅独特的艺术画卷，十位（组）看似不关联的艺术家像是这幅画卷上十块迷人的拼图，共同勾勒出英国艺术发展的独特脉络。
——祝羽捷 作家、策展人
------------------------------------------------
※编辑推荐
十组英国艺术缔造者小传，捕捉自我与社会碰撞迸发的摄人心魄之美
十帧英国艺术速写，勾勒“英伦风”的独特土壤与传承脉络
威廉·布莱克为何从不以艺术家自居？
拉斐尔前派经久不衰的魅力是什么？
“草莓小偷”的设计师威廉·莫里斯如何成为坚定的社会主义者？
玛格丽特·麦克唐纳的作品与克里姆特异曲同工，为何一度被大众遗忘？
弗朗西斯·培根画笔下尖叫的怪异面孔源于何处？
翠西·艾敏的霓虹灯语令观者感动落泪的秘密是什么？
……
全彩插图、纪录片式讲解，变革时代中的审美反叛与创造
-------------------------- ----------------------
※内容介绍
审美可以改变世界吗？
资产阶级革命浪潮中的威廉·布莱克，维多利亚时代的约翰·罗斯金、拉斐尔前派、威廉·莫里斯、麦金托什夫妇，亲历“二战”和嬉皮士运动的弗朗西斯·培根、卢西安·弗洛伊德，全球化、性别与族裔政治话语中的班克斯、翠西·艾敏和卢贝娜·希米德。
十组不同背景的英国代表性艺术家，立足自己的时代，或通过创作，或通过著述，对审美成规与旧有秩序发起了挑战，开创了新的审美风潮。
追溯这些艺术家的人生经历与创作背景，青年学者、作家郭婷勾勒出英国艺术发展的脉络，探讨了政治、宗教、社会文化与艺术间的互动，以及“审美”如何记录、改变和超越时代。",2024,上海人民出版社,https://book.douban.com/subject/36664234/,https://img1.doubanio.com/view/subject/s/public/s34835678.jpg
9787208187467,屏幕上的受苦者,[德]黑特·史德耶尔（HitoSteyerl）,"🖥 数字时代的领军艺术家，登顶艺术权力榜的女性艺术家代表作首次中译
🖥 以犀利洞察力直刺当代碎片化影像的黑洞
“弱影像是当代的屏幕上的受苦者,是音像制品的残渣,是冲上数字经济海岸的垃圾。其存在证明了影像剧烈的错位、转移和置换——在视听资本主义的恶性循环中影像加速产生和流通。弱影像作为商品或其拙劣的拟像、作为礼物或作为赏金被拖拽到全球各地。它们传播快乐或死亡威胁，阴谋论或走私品，反抗或镇压。弱影像可以展示难得一见的、显而易见的、不可思议的事物——前提是我们还能够破译影像内容。”
在21世纪的第二个十年,后资产阶级的衰败最终以经济黑洞的方式成为现实。一台排水泵开始吞噬并毁灭两百年来勤劳与集体智慧的产物,将社会文明的具体现实转化为抽象的事物——数字、算法、精确的暴行和虚无的积累。历史已经被无尽的、流动的碎片化影像的重新组合取代。然而,一种新的研究形式正在出现,艺术家正在寻找理解这些变化的共同出发点。

黑特·史德耶尔无疑是这一潮流中最具代表性的艺术家和写作者之一。本书是史德耶尔的一部代表性研究文集，围绕作者在艺术创作和写作里稳步推进的一种强力影像政治，收录了其近年来发表的多篇里程碑式的文章，包括名作《自由落体:关于垂直视角的思想实验》《为弱影像辩护》《博物馆是工厂吗？》等。这些独树一帜、洞察力犀利的文字反映了作者对数字影像、博物馆、电影院甚至垃圾邮件等现象的思考，以及对社会问题和人类困境的探索和拷问，不断突破传统艺术批评的界限。
----------
史德耶尔的艺术极为丰富、缜密，令人受益匪浅……在史德耶尔的作品中，你总是分不清事实和虚构，分不清哪里是玩笑的终点，哪里是严肃的起点，分不清什么是真实，什么是谎言。
——《卫报》
理论和艺术的最高职责就是把握和阐明自己的时代。在我们这个时代，史德耶尔无人能及。她对图像和文字在全球流通时代的命运的探究总是专注而精确，但也充满冒险精神，出人意料，引人入胜。
——鲍里斯·格罗伊斯（哲学家、艺术评论家）
史德耶尔拒绝固守单一理念，也不坚持自己的观点。相反，我们看到的艺术——她的视频——是一种正在进行的道德思考行为。
——《纽约时报》",2024,上海人民出版社,https://book.douban.com/subject/36780608/,https://img1.doubanio.com/view/subject/s/public/s34798169.jpg
9787559863607,脸庞，锋芒,[墨]乌戈·韦尔塔·马林,"横扫艺术、时尚、电影、艺术界，
对话25位传奇先锋女性，
我们时代的女神、女巫和女魔头
的自我言说之书。
历时7年，阿布拉莫维奇工作室艺术总监心血之作，
无法复制的女性偶像追光之旅。
——————————
【内容简介】
阿布拉莫维奇工作室的艺术总监马 林向25位先锋女性 提出了同一个问题：能否为您创作肖像？
为了更透彻地了解她们，他开展了一系列访谈，以理解她们毕生的创作。
她们谈论艺术、美、欲望、痛苦、成功、名声、羞耻、死亡、性、反叛、灵性、种族、遗产、宗教……
她们是导演、设计师、演员、歌手、画家、摄影师、雕塑家……她们是行动者。她们是艺术家。
打破边界的艺术家。改变规则的艺术家。为其他艺术家开辟道路的艺术家。将与未来几代人产生共鸣的艺术家。
她们在塑造我们今日所见世界的过程中功不可没。
——————————
【编辑推荐】
🎨 历时7年，遇见25位传奇女性：难以超越的“她力量”群像，无法复制的女性偶像追光之旅
遇见玛丽娜·阿布拉莫维奇、小野洋子、特蕾西·艾敏：看透当代艺术家们狂野表象下的真实意图；
聆听安妮·蓝尼克丝、FKA Twigs、黛比·哈利：了解流行音乐人的成长之路与创作方式；
观赏缪西亚·普拉达、川久保玲、安·迪穆拉米斯特：揭示时尚界“女魔头”们的华丽表达法；
对话凯特·布兰切特、伊莎贝尔·于佩尔、朱莉安·摩尔、夏洛特·甘斯布：学习一个影后的自我修养；
收录“法国新浪潮祖母”阿涅斯·瓦尔达生前未公开对谈。
横跨电影界、时尚界、艺术界、音乐界，以对话，为我们时代的传奇艺术家刻画肖像。
🎨 锋芒四射的脸庞，无法抑止的创作：所有女性创作者，都是那些烧不死的女巫后代！
她们是行动者。她们是艺术家。
这25位女性的脸庞，代表着当代艺术的前卫锋芒。
她们用挑衅、破坏与反叛的话语，冲破阻止女性表达的石墙——
“女性会在最愤怒的时候感觉自己最强大。”（安杰莉卡·休斯顿，演员）
“女性艺术家在创作中使用自己的身体是现代艺术萌发的主要因素之一。”（奇奇·史密斯，雕塑家）
“女性是生活的艺术家。”（黛安·冯·弗斯滕伯格，时尚设计师）
🎨 “女性搞事业”终极指南，给女孩们的人生解法参考书
“你的恐惧是什么？”“你的痛苦是什么？”“你怎么挑战现状，怎么定义美？”
她们是导演、设计师、演员、歌手、画家、摄影师、雕塑家……
她们谈论了艺术、美、欲望、身体、暴露、名声、羞耻、死亡，
性、厌恶、吸引、反叛、灵性、种族、性别。
她们创造了她们自己，也塑造了我们今日所见之世界，
理解她们的事业、冒险与创作，是重新观看和理解女性力量的过程。
🎨 难以复制的艺术“小蓝书”！
阿布拉莫维奇工作室艺术总监心血之作，知名译者于是精译精注，新锐设计师汐和操刀整体装帧
上百条详细注解，当代艺术的跨界全书！
一蓝到底！三边书口喷蓝，内文专色蓝+黑印刷；
半透明电化烫印工艺，泛出象征灵感、女性、创造的彩虹光晕；
多幅拍立得相片，亲密捕捉艺术家们的自然瞬间；
玉龙雅光纯质纸，丝滑质地，全彩呈现。
——————————
【名人推荐】
本书是对世界各地重要女艺术家的一组引人入胜的访谈，以一种亲切而瞩目的方式探讨了每位艺术家的创作实践，以及她们对权力、名人、性别和艺术的看法……从激进的女权运动者到概念主义者，从雕塑家到装置和行为艺术家，这些先锋女性的作品和思想代表了当代艺术的全貌。《脸庞，锋芒》证明了女性实践在当今视觉文化中的绝对中心地位。
——阿梅利亚·琼斯（Amelia Jones），美国艺术史学家、艺术评论家、策展人
这本书中的访谈对象都是那些真正引发我兴趣并让我渴望深入了解的女性：阿布拉莫维奇正在研究能量；小野洋子利用艺术作为表达和平和社会变革的工具；瓦尔达谈到自己1957年曾来中国做项目……她们都谈到了自己的世界观、美学观、创作、成长、名声、痛苦，也有性别、政治、死亡、恐惧以及不为人知的的东西，扩展了我们智识的维度。
——祝羽捷，写作者、文化学者、艺术策展人",2024,广西师范大学出版社,https://book.douban.com/subject/36557095/,https://img9.doubanio.com/view/subject/s/public/s34862035.jpg
9787535692313,博斯,[美]劳琳达·狄克逊,"🪐费顿出版社经典的艺术史丛书，知名学者写给普通读者的艺术家评传
结合历史文化语境，详解北方文艺复兴大师博斯的神秘生活与奇异创作
🪐编辑推荐
☆以主题为线索，将艺术、宗教、科学结合起来思考博斯的作品
全书分章探讨了影响过博斯及其观众、赞助人的诸多现象，找寻博斯创作的灵感来源和文化因素。博斯的时代是一个变动不居、文明重组的时代，化学、药剂学、炼金术占星术、体液学说、面相学等文艺复兴时期流行的科学概念和文化观念，充斥着博斯笔下那绚烂、神秘的艺术世界，也是读者分析博斯画作的有效支点。
☆200多幅彩色插图，细致审视博斯的艺术世界
全书随文附图，不仅收录了博斯知名的《七宗罪》《愚人船》《结石手术》《魔术师》《人间乐园》《圣安东尼》等代表作，而且重点分析了《圣安东尼》三联画和神秘费解的《人间乐园》，让读者得以近距离地观察这些作品中的细节，理解作品背后的文化意蕴。
雅昌承印，进口特制纸四色印刷，采用耐久性好、不易变形的特种软胶胶装，简约平整，力求提高读者阅读的愉悦度与舒适度。
🪐内容简介
希罗尼穆斯·博斯（约1450—1516年）是北方文艺复兴艺术时期的重要艺术家，他用惊世骇俗的想象力和令人赞叹的艺术语言，创作了艺术史上尤其神秘、怪异、奇诡的一批艺术作品。有关博斯生平的信息少之又少，他的画作也谜团重重，有人认为它们是疯子的幻象，也有人认为其中隐藏着异教徒的秘密语言。
艺术史学家劳琳达·狄克逊带领读者回到博斯的时代，以当时的视角解读这位画风独特的艺术家。书中分析了博斯所处时代的文化环境，探究了博斯的家庭及其所受的艺术教育，将他的画作置于当时社会的整体语境中，并从炼金术、占星学、医学、化学和宗教思想的层面深入解读了博斯作品中表达的多层次信息。作者并未以常见的时间为序，而是按照主题分别讨论博斯作品的内涵，同时还通过现代画作和流行文化，探讨了博斯的作品在现代与当代社会中的影响。",2024,湖南美术出版社,https://book.douban.com/subject/36781326/,https://img1.doubanio.com/view/subject/s/public/s34791920.jpg
9787542683083,如何打开中国艺术,[美]包华石,"--汇聚全球25位中国艺术史大家，一书在手，全方位“打开”中国艺术
北大+复旦+浙大+牛津+斯坦福+普林斯顿等等名校名家，《如何打开中国艺术》重磅汇集25位艺术史领域权威学者，巫鸿×白谦慎×卜寿珊×伊沛霞×杰西卡·罗森……聚成一部“中国艺术史指南”。
--包华石主编，“打开”比较文化视角，刷新关于中国及其历史的古老成见
以比较文化视角，形成一面镜鉴，从带有偏见的术语，到国家官员的选拔、宫廷赞助机制的差异，再到艺术生产的具体表现，最终打破诸般中心主义与本位思想，用“一剂事实的药方”，打破“古老的成见”。
--中文版更新设计+ 全书彩插 + 更重磅、更耐看、更好看的“打开”方式
全彩插图，新增20幅高清文物配图，以雅质纸印刷，采用32开精装打造小开本。作为理想国“大家的艺术史丛书”的最新一册，这是一本艺术史研究的常备参考书，也是适合更多人的中国艺术史进阶读物，随时翻读，常读常新，开阔我们的艺术视野。
【内容简介】
当全球艺术史遇上东方历史文化——
更广阔的视角，更多元的方法，更丰富的议题！
从古代的绘画传统，到百年前的商业广告……
囊括考古、收藏、书法、礼器、建筑、园林等领域——
25位全球一线学者共读中国艺术！
《如何打开中国艺术》是“布莱克维尔艺术史指南系列”中国卷，重磅汇集25位艺术史领域全球一线学者，由包华石、蒋人和主编，巫鸿、白谦慎、杨晓能、伊沛霞、杰西卡·罗森、文以诚、卜寿珊……在此书中各以一章篇幅，梳理中国艺术不同面向的基本问题，以及有关研究的最新思考。
活字印刷为何没有满足中国的技术需求？荷兰印刷的黄金时代，与文震亨《长物志》反映的艺术收藏市场是否有所共鸣？欧洲“明暗法”传入后，中国肖像画的形似与神似又如何转变？铜镜的历史衰落与玻璃镜的时尚改易如何发生交叉？
尼采说：“从大洋深处眺望海岸，你也许能第一次看到海岸的全貌；再度靠近海岸时，你就强于那些从未离开过海岸的人，你能更全面地了解海岸……”",2024,上海三联书店,https://book.douban.com/subject/36675029/,https://img3.doubanio.com/view/subject/s/public/s34840322.jpg
9787108077936,天人之际,[美]巫鸿,"“究天人之际，通古今之变、成一家之言”，这是做历史学者一个至高无上的理想。巫鸿教授在他的新著《天人之际：考古美术视野中的山水》中，试图为中国艺术中最具特色的山水画传统找到其最初的起源与发展脉络。西方也有自然山水，但他们叫风景，不同国家和民族有着自己对于自然世界的理解，中国的山水传统究竟是什么？最初是被如何表现的？当表现中国人对于自然理解的山水图像出现后，这些图像又如何进而发展成为一个持续演进的系统？山水在中国从来不限于真实的山和水，而是有很强的哲学、精神、宇宙观的意义，它往往是连接天地、沟通神人、涵括不同万物的媒介。所以，这本书在面上是想要把山水艺术产生和早期发展状况根据考古资料整理一下，骨子里则是希望往深处挖掘中国山水艺术传统的根源，是巫鸿教授一部颇具雄心的作品。
--
“山水”是中国文化中的一个植根极深、范围极广、极具特色的范畴，在文学、艺术、哲学、宗教、地理、建筑等多个领域都处于相当核心的位置。尤其宋元以来的山水画，被公认为真正的艺术典范，代表了中国人对自然的理解与表达。但是，随着考古工作在中国的长足发展，更多有关早期山水艺术的实例呈现在人们面前，器物纹饰、石刻壁画图像等等，都被纳入学者的研究视野。
巫鸿教授在三联书店出版的新书《天人之际：考古美术视野中的山水》，聚焦以视觉形式表现的“山水”，以年代为序，藉由考古新发现，重新思索中国山水画的起源和早期发展，勾勒“山水”作为一个艺术传统从无到有的形成过程。",2024,生活·读书·新知三联书店,https://book.douban.com/subject/36784975/,https://img3.doubanio.com/view/subject/s/public/s34798197.jpg
9787572616662,小顾聊绘画·叁,顾爷,"《小顾聊绘画·叁》是顾爷“小顾聊绘画”系列，时隔十年重磅新作。
在这本书中，顾爷精选8位画家，继续以诙谐幽默的语言风格，带领读者领略西方绘画艺术的魅力。
与前作相比，这本书选择的画家更为多样：有保罗·高更这样的后印象派大师，也有离经叛道的街头艺术家班克西；有擅长画“鬼”的荷兰画家耶罗尼米斯·博斯，也有擅长绘画、雕塑、冶金的多面手——本韦努托·切利尼；有终身未娶，委身艺术的约翰·辛格·萨金特，也有艺术先锋图卢兹·劳特雷克，以及被称为20世纪了不起的女人之一弗里达·卡洛……
艺术不止一面，画家不止一种，让我们跟随作者一起解密西方艺术，欣赏别样的人生风景。",2024,湖南文艺出版社,https://book.douban.com/subject/36824161/,https://img1.doubanio.com/view/subject/s/public/s34819879.jpg
9787549586646,现代艺术150年,[英]威尔·贡培兹,"要掌握现代艺术的游戏规则，你需要知道些什么？——涵括近百位艺术家及其代表作，梳理二十多个现代艺术流派的渊源流变，勾勒现代艺术的发展历程。这一百五十年来艺术究竟发生了什么？为什么到了今天，一件看似五岁小孩也能捣鼓出来的东西，居然会是艺术史上的旷世之作？
这是艺术吗 ？这必须是艺术！——马列维奇的黑色正方形，蒙德里安的彩色格子，杜尚的小便池… 艺术不再必须与美有关，它更多地关乎理念。那些光怪陆离、五花八门的艺术流派，在揭开了其中的奥秘之后，实际上简单得惊人，但又绝妙乃至伟大。
如果我们还能从一百五十多年前莫奈的《日出》、梵高的《星空》中，依稀辨认出艺术“原来”的模样，那么，一百五十年后安迪·沃霍尔的金汤宝罐头、达米恩·赫斯特的腌制鲨鱼，还有翠西·艾敏乱糟糟的床，足以让我们看到艺术的其他可能。回顾现代艺术一个半世纪的反叛之路，我们见证了一代又一代人如何变得愈发反叛、大胆、混乱。这背后，是艺术家对“何为艺术”的无尽追问，是他们对周遭世界的回应与抵抗。现代艺术的故事仍在继续，也许永远不会完成。",2017,广西师范大学出版社,https://book.douban.com/subject/26854318/,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg
