ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787559673817,试探黑夜,[阿根廷]胡安·赫尔曼,"◆“如果痛苦好像一个国
那就像我的国”◇
◆希望点燃的地方诞生了诗歌，
希望熄灭的地方诞生了胡安·赫尔曼的诗歌◇
科塔萨尔作序推荐
萨拉马戈、加莱亚诺等名家一致推崇
西语文学最高荣誉“塞万提斯奖”得主
20世纪西语诗坛传奇 胡安·赫尔曼 诗歌精选集
《百年孤独》译者 范 晔 精心编译
————
胡安·赫尔曼是 20 世纪最重要的阿根廷诗人之一，也是继博尔赫斯、聂鲁达、巴列霍、帕斯之后，西语文坛涌现的又一头诗歌巨兽。赫尔曼复杂动荡的一生堪称 20 世纪历史的缩影：流散在南美的犹太人身份、对左翼理想的认同、军政府的迫害、漫长的流亡生涯。尽管见证了如此多的苦难，赫尔曼的诗却没有对苦难的浅薄哀嚎。他深入探索黑暗的根源，将最深处的绝望凝缩成诗句，用诗歌捍卫人的尊严，储存人的希望。
本书以《胡安·赫尔曼诗全集》为底本，由知名西语文学译者范晔精心编选，收录诗人一生最具代表性的诗作，横跨诗人半个世纪的创作生涯，是中文读者全面了解这位伟大诗人创作的绝佳选择。
————
【编辑推荐】
1、胡安·赫尔曼被认为是20世纪西语诗歌的又一个高峰，他的作品在继承西语美洲先锋诗歌的传统上，又融合了独具个人特色的抒情性和社会批判性。他在赞颂生命与爱的同时，又直面死亡与绝望，将20世纪动荡的历史记忆化为诗句，存储于作品之中。
2、本书以《胡安·赫尔曼诗全集》为底本，综合其他已出版的权威选本，进行精心编选和翻译。横跨胡安·赫尔曼一生的创作历程，呈现出其独特的生命与文学轨迹。中文版此次另收录科塔萨尔的推荐序言和胡续冬先生的推荐文章，为中文读者进入赫尔曼的诗歌世界提供了详细的背景与语境。
3、中译本由知名西语译者范晔精心编译，开本小巧，设计精美，方便随身携带阅读。
【名人推荐】
“胡安的词语充满力量是因为没有停留于痛苦与愤怒的表层，而是进到深处，内心与生命的领域，从那里反思与行动可以重启，不至于再次没入喧哗与骚动。”
——胡里奥·科塔萨尔
“死亡宣称胡安·赫尔曼已经永不存在了，它在说谎。他依然存在于我们所有深爱他的人心中，存在于所有读过他作品的人心中，存在于所有曾在他的声音里听到自己内心最深处声音的人心中。”
——爱德华多·加莱亚诺
“当今世界最伟大的诗人之一。”
——若泽·萨拉马戈",2024,北京联合出版公司,https://book.douban.com/subject/36781327/,https://img3.doubanio.com/view/subject/s/public/s34809087.jpg
9787559848727,后山开花,余秀华,"★  暌违八年，“国民诗人”余秀华携新诗集质朴回归。
余秀华曾用真诚炙热的文字震撼诗坛，《月光落在左手上》《摇摇晃晃的人间》《我们爱过又忘记》收获众多读者青睐，累计销量突破百万册。《后山开花》是其第四部诗集，经历这些年的坎坷和历练，余秀华诗句中的故乡、爱情、欲望、生活，更显厚重，余味绵长，但依然充盈着热烈坦诚、触击心弦的生命力量。
★  在余秀华的诗歌中，看见乡土，遇见爱情，直面欲望，体味生活。
余秀华自谦“这一本诗集依旧写的是小情小爱”，在人人都在找寻价值感的当下，这些本真、极具野生力量的“小情小爱”，尤显珍贵。渐渐逝去的故乡、离经叛道的爱情、纯粹坦诚的欲望、破碎而仍怀抱希望的生活……余秀华用诗歌梳理着她的得失，找寻她“在尘世里的一处位置”。在她的诗歌中，我们每个人都将感同身受。
★  成功破圈，余秀华诗歌的真挚感染力，打动无数人，引发各圈层共鸣。
学者罗新、周国平、喻国明，主持人陈鲁豫、骆新、张丹丹，艺术家郭培、严明、韩湛宁、李玉刚，音乐人李健、周云蓬、小河、钟立风、马頔、许飞、程璧，自媒体人黎贝卡、六神磊磊；演艺界陈冲、李宇春、李雪琴、任素汐、黄觉、詹青云……
他们都爱余秀华的诗。
在余秀华的诗里，肉体与灵魂，小我与世界，瞬间与永恒，哲思与情绪，以爆炸般的烈度混合在一起，让你放弃分辨，不管不顾地浮沉在她诗句的洪流中。
——历史学家  罗新
我喜欢余秀华的诗，她的诗是从土地里长出来的有机的诗歌。“云里写诗，泥里生活”，这也是我自我借鉴的一句话。
——歌手  李健
她的诗远比她和她的生活更惊心动魄、更明亮、更残酷。
余秀华和她的诗歌曾在国内诗坛掀起浪潮，成名后，她并未停下脚步，继续在诗歌的世界里寻求更多的个人表达，继续用忠诚于自己的文字，抒发她对乡土、对世间的炽热的爱。本书是余秀华的第四部诗集，收录其近年来新创作的诗歌150余首，她的诗歌具有大胆绮丽的想象力，而她对生活苦痛的描述，力透纸背，光明坦荡，给人以生命的鲜活力量。
在这本充盈着爱的新诗集里，对故乡的深情，对亲情、爱情细腻的坦诚，对日复一日生活的敏锐感悟，一如既往地呈现在余秀华充满个性的诗意语言里；与此同时，加入了对生活本质更深层面的思考，整体更趋成熟。暌违八年，再度回归诗坛，余秀华自称完成了写作的使命，因为“我所有的爱里面，对文字的钟情经久不衰”，而在最忠诚的文字面前，“一切的苦厄都成了配菜”。",2024,广西师范大学出版社,https://book.douban.com/subject/36857680/,https://img1.doubanio.com/view/subject/s/public/s34838458.jpg
9787573506153,穿过一无所有的空气,[加拿大]玛格丽特·阿特伍德,"🕊️ 🕊️ 🕊️
《使女的故事》作者玛格丽特·阿特伍德携全新诗集动人返场：
这一次，她以诗行刺！
.
“你听起来像只鸟。/你不叫了，但悲伤还在呼喊。/它离开了你然后飞去/穿过寒冷夜晚的田野，/不停地寻找，/穿过河流，/穿过一无所有的空气。”
.
这些诗写于二〇〇八年到二 〇一九年间。这十一年间，世界变得更黑暗了。我也更老了。与我亲近的人们离世了。
让我们一起保持希望。
——玛格丽特·阿特伍德
·
【内容简介】
一堂年少时的语言课、一抽屉的旧护照、一只偶然撞到窗玻璃上死去的鸟……这些极为日常的生活细节都是阿特伍德起笔写诗的灵感锚点。
《穿过一无所有的空气》完整收录玛格丽特·阿特伍德2008年到2019年间写下的57首诗。诗中的每一粒语词、每一处节奏和每一场想象，都随着诗人对逝去之人与消逝之物的哀悼一齐，向每一个人发出危险邀约——请奋力扇动你记忆的羽翼，朝着时间、自然、爱欲与死亡的艰深秘境俯冲而去吧。
🚀《使女的故事》作者阿特伍德携全新诗集动人返场：这一次，她以诗行刺！
◆ 揽获140多项重要文学奖的“加拿大文学女王”，敢写敢言的全球女性代言人！
◆ 被小说“耽误”的诗歌精灵：在“使女”之外，想象另一种阿特伍德！
-当代英语文坛最重要的诗人之一，上世纪60年代即凭借诗集《圆圈游戏》获加拿大最高文学奖——总督文学奖，至今已出版诗集近20部。
🚀 阿特伍德回望一生的诚挚诗集，叙写在沉落年代守卫希望的11年：在诗的飞行中，与所有发光的日子重逢！
◆ “当我们逝去/我们用刀雕出的东西将比我们活得更久”
◆ “有些黑莓在日光之下出现，/ 但个头更小。/ 正如我一直对你说的：/ 最好的果子总在阴影中长成。”
🚀 诗歌不在远处，平凡日常里藏着诗的一切！
◆ 诗的主题多种多样：牡丹，一九五六年匈牙利事件，冬日，砍下的头颅。一切常见的事物。 ——玛格丽特·阿特伍德
◆ 日常生活中的平凡事物入诗，以明亮坦澈的语言，复现芜杂记忆中真实的光晕
-“这边咬一口番茄，那边尝尝熟透的桃，/一块烤饼，一颗正在变软的梨。”
-“像一列小小的、毛茸茸的蒸汽火车：/ 嗷呜！嗷呜！”
-“该如何追踪那些日子/每一天都在闪光，每一天都孤独， /每一天都已远去。”
🚀 保卫脆弱！以诗歌的眼泪和匕首。
◆ 见血见泪却给人鼓舞的女性困境书写！
-“在桌子的这一边/女人不能说‘不’。/有一个词表示‘不’，但女人不能说。”
-“在叶子和枝刺之间/摸索的手/曾是我母亲的手。/我把它们传递了下去。/几十年后，你也会研究你自己的/无法恒久的手，你会牢记。/别哭泣，这就是自然的规律。”
◆ 在诗歌的眼泪中，留住坠落的羽毛和地球上脆弱的一切。
-“然后用你/画出这首诗，死去的鸟。/用你筋疲力尽的飞行，/用你渐渐消退的惊惶，/用你旋转坠落的眼睛，/用你的茫茫黑夜。”
🚀 青年诗人李琬以诗译诗，精妙复现阿特伍德层峦叠嶂的诗歌景观。
🚀 一块随身携带的诗意飞地，随时随地美妙潜逃！
◆ 精装方脊，110x180便携小开本，随手翻开，随机治愈。
◆ 特制三款诗句取景卡，随书附赠其一！透过诗歌的镜头，看见日复一日的奇迹！
——————————————————————————
【各界盛赞】
阿特伍德带着一部尖刻而睿智的杰作归来。她将具有尊严的脆弱、诗性的奇想和坚定的现实主义结合在一起，打造出这部令人难忘的诗集，给读者们勇气去迎接幻灭。——《出版人周刊》
这本诗集值得为阿特伍德造出一个形容词——阿特伍德式的——以匹配其独一无二的文风。——《芝加哥论坛报》
在《穿过一无所有的空气》中，阿特伍德的灵感来源广泛，从令人陶醉的大自然乐趣到关于僵尸的奇幻事件，但这些诗歌的主题都是我们熟悉的：爱情、失落、欲望和时间流逝的必然性。阿特伍德模糊了我们的认知界限，她要求我们相信自己的感受。——《时代》
阿特伍德是一位杰出的诗人。这本她十多年来首次推出的新诗集优美动人，对生命与死亡、时间与变化、自然与逝去之人进行了深刻的反思。即使是那些只熟悉阿特伍德小说的人，也可能会被其强烈的意象和氛围所吸引。——《华盛顿邮报》
这部诗集让我们看到阿特伍德诗歌创作的巅峰状态。阿特伍德运用的细节越多，她就越能用自己奇特敏锐的想象力串联起更大的世界。——《纽约时报书评》
阿特伍德最初发表的作品就是诗集；几十年后，她又在这本最新的诗集中注入她小说作品中常有的确凿的幽默和坚定的清醒。这些诗作充满了令人惊奇的并置手法和狡黠多变的语言趣味，时而尖刻，常常滑稽，却始终毫不退缩。——《书单》
阿特伍德的诗歌充满活力，才华横溢，锋芒毕露，且十分易读；毫无疑问，它们将成为我们这个动荡时代的经典之作。——《苏格兰人》
《穿过一无所有的空气》是一座宝库。它的主题丰富，涉及记忆、女性权利、环境危机和丧亲之痛。它既发人深省又充满趣味，忧郁感伤中也有不灭的希望。我强烈推荐这本书，即使你是非诗歌爱好者也该读读它。——Goodreads读者",2024,南海出版公司,https://book.douban.com/subject/36648152/,https://img9.doubanio.com/view/subject/s/public/s34833685.jpg
9787559673800,大熊座的呼唤,[奥]英格博格·巴赫曼,"我们不加选择地繁盛或枯萎，
顺服于雨，最后也顺服于光。
❂✡☽
20世纪德语文坛最重要的声音之一
毕希纳奖、奥地利国家文学奖获得者
英格博格·巴赫曼 诗合集
备受伯恩哈德、桑塔格、耶利内克等大师推崇
▸在生命之弦上演奏死亡 在黑暗洪流中倾吐晦暗之语◂
——————
英格 博格·巴赫曼是20世纪最独特的诗歌声音之一，她与保罗·策兰一同被认为是战后德语文学中最重要的两个诗人。她的诗歌将哲学洞察力与文学抒情性紧密结合在一起，用语言探索自然与世界的本质，创造出了独一无二的韵律与节奏，影响了包括托马斯·伯恩哈德、埃尔夫丽德·耶利内克、克里斯塔·沃尔夫在内的一众名家。
巴赫曼生前几乎拿遍德语文学界所有重要文学奖项，包括德语文学的最高荣誉毕希纳奖。《大熊座的呼唤》收录了巴赫曼生前发表过的所有诗集的内容，涵盖了诗人一生的代表作。
【编辑推荐】
1、英格博格·巴赫曼是20世纪德语文坛出现的最耀眼的明星之一，她的创作多样化，囊括诗歌、小说、剧本等多种形式，且在每个领域都留下了深深的印记。在这其中，诗歌则占据着最重要的地位且被给予最多的赞誉。
2、巴赫曼在世时即已获得包括伯恩哈德、汉德克、耶利内克在内的一众大师级作家的赞赏，在英美世界亦有包括西米克、桑塔格在内的名家给予其崇高评价。她的诗歌探索人的边界和语言的可能性，是了解战后德语文学无法绕开的作品。
3、中译本囊括巴赫曼生前发表出版过的所有诗歌作品，包含其创作生涯的所有阶段。设计上采用小开本单封，方便携带阅读。黑色+银色的主题色彰显其冷峻闪耀的文字气质。
【名家推荐】
我们国家本世纪诞生的最智慧、最重要的女作家。
——托马斯·伯恩哈德
英格博格·巴赫曼被认为是20世纪后半叶德语作家中的佼佼者。
在对她充满激情而多样化的作品的赞誉中，其诗歌通常会被给与最高赞誉。
——苏珊·桑塔格
她是那类依附于分行与句式、韵律与节奏的大诗人——
我始终坚信她是一九四五年以后最重要的女诗人。
——马塞尔·莱希- 拉尼茨基",2024,北京联合出版公司,https://book.douban.com/subject/36781328/,https://img9.doubanio.com/view/subject/s/public/s34816234.jpg
9787208187320,合作农场的冬日食谱,[美]露易丝·格丽克,"本书是2020年诺贝尔文学奖得主露易丝·格丽克生前最后一部诗集。诗集包含15首诗（其中有两首组诗），表达了身体即将面临衰亡之时，对往事的回忆，对过去人生经验的淬炼。这些诗有很强的叙事色彩，比如在《合作农场的冬日食谱》里，作者写到了把苔藓制作成食物以及修剪苔藓的工作，从而联想到生命的脆弱以及死亡的临近；《拒斥死亡》中，她写到了在旅馆里丢失护照后的经历，写到了和过去生命道别这一动作。
相比《忠贞之夜》，这本书有更多的宿命之感，诗人不再是自我探寻式地思索童年和过去，而是已经做好了迎接终结的准备，譬如她以非常写实的态度描绘了她和妹妹年迈时在医院里接受生命衰败的体验。这是一部凝集格丽克一生经验的、散发清冷之美的书。
---------------------
这部诗集进一步巩固了格丽克作为我们时代杰出诗人的地位……这些冬日食谱为精神和灵魂提供了强大养料，它有关生命的本质和时间。
——《芝加哥书评》
《合作农场的冬日食谱》意欲对抗我们当下困境造成的不确定性和焦虑。
——《华盛顿邮报》
一部简洁到极致的作品，复杂的情感被削减到最低程度，一生的经验被凝练为时而温柔、时而不祥的细节。
——《纽约书评》
格丽克的诗，来自对于人类经验与坚忍的惊奇与追问……除了诺贝尔文学奖评委会所说的“冷峻之美”，《合作农场的冬日食谱》这部诗集还为她的写作增添了温暖与机智。
——《书单》杂志

格丽克是极其精准的事实描绘者，她这些清晰的诗，貌似平淡，实际上却是他人难以达到的精巧技艺的结果……这部诗集通过一个女人的经历，记录了人之生命的各个阶段。
——《卫报》
令人目眩、震惊地冷冽，如同我们形容为“银光闪烁”的夜晚所散发出的那种清冷。
——《纽约时报》
这部诗集从人类生存的诸多参差节拍中开掘出了那些共同的、亲密的东西……它召唤读者与我们时代最伟大的诗人之一对话。
——Vulture杂志
格丽克审视了一种根本性的人之孤独，这些悲悯而充满沉思的诗深刻描绘了一个人独处的体验……这部无与伦比的诗集讨论了如何生，如何死的问题。
——《出版家周刊》",2024,上海人民出版社,https://book.douban.com/subject/36769665/,https://img9.doubanio.com/view/subject/s/public/s34846026.jpg
9787559866905,诗歌小史,[英]约翰·凯里,"妙趣横生的诗歌史入门之作！
从《吉尔伽美什》、荷马，到普拉斯、聂鲁达；英雄与诸神、冒险与爱情、宫廷与战争、通俗歌谣与赞美诗……四千年诗歌史中，那些伟大作品背后的故事。
【内容简介】
流传至今的最古老的诗歌讲了什么故事？
与荷马齐名的女诗人是谁？
欧洲人眼中的李白、苏轼作 品什么样？
诗歌是用特殊的方式构成的语言，因此它会被人记诵，被人珍惜。本书要讲的，就是这些至今没有被遗忘的作品，主谈英美诗歌，兼及欧洲其他地区和东方诗歌。英雄史诗如《吉尔伽美什》《贝奥武甫》，传奇歌谣如《高文爵士与绿衣骑士》《仙后》，中世纪大师如但丁、彼特拉克，现代主义诗人如华莱士·史蒂文斯、兰斯顿·休斯……还有各个历史时期，不可不提的女诗人如毕晓普、普拉斯。他们共同构成了本书璀璨的诗人星图，他们的故事与创作写就了四千年诗歌史。
诗人告诉我们，一切都将变为尘土，但这首诗本身不会消亡。
【名人推荐】
关于诗歌的书籍很少有让人爱不释手的，但是凯里的小史扣人心弦，令人捧起之后放不下来！读着这本书和书中的诗人星系，就好比仰望天空，发现整个流转的群星璀璨的宇宙。
——达尔吉特·纳格拉（《看，我们来到了多佛！》作者）
一部精致的诗歌史，它谈到了诗歌的本质、作用及其重要性，并以一种权威而迷人的声音写成。一部杰作。
——露丝·帕德尔（《看诗的52种方式》作者）
语气温暖，信息量大，慷慨而富有同情心，材料剪裁引人入胜，尤其突出的是在诗歌成就背后的那些富有人情味的故事。
——艾玛·史密斯（《这就是莎士比亚》作者）
凯里的小史精彩纷呈，从《贝奥武甫》讲到当代，对整个英语诗歌进行了难以置信的全方位介绍。
——伯纳德·奥多诺休（惠特布莱德诗歌奖获得者）
这是一本信息量大、节奏很快的书……就像凯里以前的作品一样，文笔有力而清晰，它着眼于普通大众，不故作高深，反对精英主义。许多人会在这本书里找到自己新的最爱。
——斯蒂芬妮·伯特（《别去读诗》的作者）
【编辑推荐】
如果你想了解诗歌史，却不知从何入手；如果你刚刚喜欢上某个诗人，爱屋及乌，想看看有哪些他同时代的创作者；如果你喜欢逸闻趣事，想知道那些耳熟能详的名作背后有哪些“冷知识”……这本书正是为你准备的！
这里有英雄与诸神，吉尔伽美什、恩启都、伊丝塔尔的吟唱刻印在千年前的泥板上；有世俗的恩怨与执念，但丁将心目中的女神和竞争对手写入《神曲》；有自我的内心挣扎与升华，“与他人争吵成就了修辞，与自我争吵成就了诗歌”（叶芝）……
没有人知道究竟是什么让一首诗成为不朽，我们每个人都可以有自己的取舍。一部不设门槛的小书，给想读诗歌史的你。",2024,广西师范大学出版社,https://book.douban.com/subject/36743918/,https://img1.doubanio.com/view/subject/s/public/s34872700.jpg
9787521761788,穿越月色宁谧,[爱尔兰]威廉·巴特勒·叶芝,"北岛 马凌 倪湛舸 刘立杆 赵松 一致推荐！
一部让你真正读懂叶芝，乃至现代诗歌的解经之作
——————
豆瓣首页长文《叶芝和他的拜占庭诗篇》作者
精心选译叶芝诗作一百首，逐行详解六十余首
附录相关罕见高清照片和艺术名作多幅
双语对照转呈诗篇之美，反复推敲解诠文本真意
以期还原诗心幻象如澄湖月影乍现，让阅读叶芝不再是云山雾罩的旅程
——————
创作生涯长逾半个世纪的叶芝是 西方现代文学史上承前启后的人物，他上承浪漫主义先辈，以勤勉而 虔 诚的创作接续着一个亘古常新的想象传统，构筑起自己完整而严谨的象征体系，又被视为现代主义文学的奠基人，从诸多名篇中浮现的巨大身影为无数后辈诗人瞻望。对于想要精读和系统把握现代诗歌的读 者而言，叶芝无疑是一个适宜的起点。
象征主义者叶芝同时也是思想深邃的哲学和历史研究者，他那些哲思深蕴的诗作以玄奥晦涩的风格著称，虽然中译本众多，但对于大部分读者来说，阅读它们的感受仍然如处云雾。本书的写作亦是由想要窥透作者深意真正读懂一首诗的好奇心驱动，历时四年而成，细读苦研仿佛拨云见月的过程。
全书辑录叶芝各个时期代表诗作一百首，采用前中文后英文并对其中六十余首逐行详细解读的编排体例（另有三十余首未加注，是为留白以供读者练习）。作者在研读叶芝诗作和散文等一手材料，对其哲学思想和象征体系有了清晰理解的基础上，以贴近作者的贯通视点对诗篇进行细致文本分析，以准确的语言翻译和阐释，意图提供一个既能展现叶芝思想体系与诗歌创作概貌、又富于细节和深度的叶芝诗作精注本，令普通读者也能像诗歌研究者一样领悟杰作精髓，从字里行间去到他的心乡幻境，开启一段穿越月色宁谧的行程。
-----------
-----------
《穿越月色宁谧》是叶芝在1916到1917年间写下的一篇很长的书信体散文，曾以单行本出版。收信人是茅德•岗（Maud Gonne）的女儿伊索尔德•岗（Iseult Gonne）。其时已入知天命之年的叶芝曾两度向这位美丽的少女求婚，没有得到肯定的回应，尽管伊索尔德在更早的时候也曾对诗人表达过爱意。在茅德•岗母女处接连受挫的叶芝转而向另一位年轻女孩乔治（Georgie Hyde-Lees）求婚，被欣然允诺，同年秋天他结束了单身状态。
“穿越月色宁谧”的标题为拉丁文，“Per Amica Silentia Lunae”（在1917年给格里高利夫人的信中，叶芝将其翻译为“Through the friendly silences of the moon” ），典出维吉尔的《埃涅阿斯纪》，在书的第二部分被用以描绘特洛伊战争的最后，潜藏在忒涅多斯岛的希腊士兵在夜色掩护下偷偷返回并攻占特洛伊城的场景。
叶芝选取这古代诗行中包含月和关联特洛伊之战的短语作为讲述一生之笃信的文章的标题，与我选取这标题作为本书书名，大约是出于同样的原因。月亮是笼罩象征主义者叶芝诗歌生涯的最重要的象征，而特洛伊之战也指示着叶芝哲学观与历史观的核心关窍。
-----------
-----------
叶芝已是也确是这个时代最伟大的诗人，我想不起来有谁，包括那些屈指可数真正伟大的诗人们，有过比叶芝更漫长延展的诗歌生涯。
叶芝是那种很稀有的，将个人的历史活成了他所在时代的历史的人，他已经成为一个时代集体意识的一部分，若要了解那个时代就无法回避的一部分。
有人曾说他傲慢，我从不觉得。他和青年作者交谈时，总是平等相待……他更关心诗本身，而非他的名望和作为诗人的形象。艺术大于艺术家：在沟通中他把这种态度也传递给了别人。
——T.S.艾略特
面对叶芝这种能在沉思与浮想中熔炼古今思境的现代大诗人，周丽华的译与注都展现出很强的语言感应力和领悟转化力。尤其是译上，她在那些关键处对单字的独特运用创造出细微的陌生化效果，令叶芝的诗在汉语中呈现出水晶般的质地和多面棱角，非常耐人寻味。
——赵松，作家
本译本不同以往之处，在于它不仅是诗歌的翻译，更是灵魂的接近、哲学的抵达。如果说叶芝本人是“月下漫游者”，本书详尽深入的注释与解析，让读者亦可同沐叶芝的神秘月色。
——马凌，复旦大学教授，书评人
活着的最伟大的诗人。
我想起那烟囱里的声音，听起来像是风声，其实是威廉叔叔在楼下作诗的声音……在苏塞克斯荒沼旁的石屋里。
——埃兹拉•庞德
他的诗作是英语语言的荣耀。
——哈罗德•布鲁姆
叶芝之于今日世界，已与莎士比亚、约翰逊和狄金森之于今日世界同样重要。他已经和我们对于英语语言在书页上的生发力的理解不可分割。叶芝影响着今天每一个用英语写作的诗人，不管他们对此有无意识……他几乎将抒情诗重新发明了一遍……作为写作者和诗歌读者，我们仍然生活在他制造的诗歌气候中。
——BBC
叶芝竭尽全力与现代主义开战，结果却是承认了自己是一个骨子里的现代主义者。
——丹尼尔•阿尔布莱特
象征主义者叶芝无疑也是一个解读人类文明符号的专家，甚至让我在逛三星堆博物馆和金沙遗址博物馆时生出很多联想和感悟。在这本书里，你将会发现智者叶芝如何解析摩西头顶双角、斯芬克斯坠崖、克罗诺斯吞吃幼子、俄狄浦斯弑父娶母、奥德修斯千回百折的返航等世界各地神话和宗教故事中的千古之谜的谜底。叶芝本质上也是一位东方思维的秉持者，阅读这位周公和孔子的西方拥趸的作品，那些时时闪现的共鸣与回响或许也可以促进我们对于中国古代哲学思想的领悟。
叶芝和他的作品已成为西方社会文化符号般的存在，对他的引用和致意频现于各种类型的文艺作品。读懂叶芝，你能更深刻地理解很多，乔伊斯的《尤利西斯》、艾略特的《荒原》、博尔赫斯的诗作，诺兰近年来的电影，甚至还有大型电子游戏《赛博朋克2077》。
——周丽华",2024,中信出版集团,https://book.douban.com/subject/36665669/,https://img9.doubanio.com/view/subject/s/public/s34825465.jpg
9787559673879,永存我的话语,[俄]奥西普·曼德尔施塔姆,"【作者简介】
奥西普·曼德尔施塔姆（1891—1938）
俄罗斯白银时代著名诗人。生于华沙，在圣彼得堡度过童年和青少年时期，早年曾参与“阿克梅”派运动，与古米廖夫、阿赫玛托娃等人一起成为其代表诗人。早期作品受象征主义影响，后转向新古典主义，一生命运坎坷，被称为“时代的孤儿”，1935 年因为《我们活着，却无法感到脚下的土地》一诗在沃罗涅日流放三年，1938年末死于押送至远东的中转营里。诗人生前曾出版《石头》《哀歌》《诗选》《埃及邮票》《词与文化》等诗文集。他死后多年，其遗孀和朋友“像珍藏先人的骨灰一样”保存的“莫斯科诗抄”“沃罗涅日诗抄”才得以出版，并引起世界性关注。现在，曼德尔施塔姆已被公认为二十世纪俄罗斯最伟大和卓越的诗人之一。
【译者简介】
王家新
诗人、批评家、译者，1957年生于湖北省丹江口市，武汉大学中文系毕业，2006年起任教于中国人民...
(展开全部)",2024,北京联合出版公司,https://book.douban.com/subject/36783317/,https://img3.doubanio.com/view/subject/s/public/s34809717.jpg
9787559673190,帕斯捷尔纳克抒情诗全集,[俄]鲍里斯·帕斯捷尔纳克,"★1958年诺贝尔文学奖得主
★“白银时代”最后的巨擘，真正诗人的声音
★翻译家刘文飞经典译本
【内容简介】
帕斯捷尔纳克的创作纵贯二十世纪俄语诗歌半个多世纪，至二十世纪下半期，他和阿赫马托娃成为白银时代大诗人中仅有的两位依然留在苏联并坚持写诗的人。无论就创作时间之久、 创作精力之强而言，还是就诗歌风格的独特和诗歌成就的卓著而言，帕斯捷尔纳克都是二十世纪俄语诗歌中的佼佼者。
本书译者从俄文版《帕斯捷尔纳克诗全集》中译出其中所有抒情诗，为更清晰地体现抒情诗创作的过程和全貌，译者并未完全遵循原版目录，而是将帕斯捷尔纳克的九部诗集按出版时间的顺序排列，并将帕斯捷尔纳克未收入诗集的诗作悉数列入最后一辑。
【媒体推荐】
以表彰他在当代抒情诗歌领域取得的重大成就，以及他对伟大的俄国史诗小说传统的继承。
——诺贝尔文学奖授奖词
帕斯捷尔纳克能听到别人听不到的东西，听到小草的生长，心脏的跳动，但听不到时代的脚步声。
——利亚•爱伦堡
俄罗斯文学史上所谓“白银时代”的最后一位也是其中最伟大的一位代表。在世界上任何地方都很难再想出一位在天赋、活力、无可动摇的正直品性、道德勇气和坚定不移方面可与之相比的人。
——以赛亚•伯林",2024,北京联合出版公司,https://book.douban.com/subject/36688908/,https://img1.doubanio.com/view/subject/s/public/s34836118.jpg
9787540483050,我们生活的故事,[美]马克·斯特兰德,"以轻盈的智慧，讲述被繁忙表象遮蔽的我们生活的故事：
“你辛苦工作直到暮年/而你所做的都无关紧要。”
.
马克·斯特兰德，影响一代美国诗歌的桂冠诗人，一生获奖无数，作品被译成30多种语言。村上春树十分欣赏其人其作。《我们生活的故事》完整收录斯特兰德创作生涯前半段（1964—1978）6部重要诗集，辑录的108首佳作包括广为流传的《食诗》《新诗歌手册》《美好生活》《献给父亲的挽歌》《来自漫长而悲伤的聚会》《保持 事物的完整》等名篇。该诗集是当年度美国国家图书奖提名作品、《波士顿环球报》年度好书。
.
我喜欢神秘感。因为正是在那个遥不可及或神秘莫测的地方，诗才成为我们的，最终成为读者的所有物。
—— 马克·斯特兰德
偶尔读马克·斯特兰德的《一位老人在他自己的死亡中醒来》，心中忽有所感，将我的书取名为《在约定的场所》。
—— 村上春树
这些诗能瞬间触及普遍的痛苦，这是任何忏悔诗都无法比拟的，而斯特兰德很幸运，他的写作自然、近乎简单（尽管这必须是最高的技巧）。
—— 哈罗德·布鲁姆
读了斯特兰德的作品，我们才知道孤独是一场多么盛大的派对。
—— 戴维·柯比，著有《马克·斯特兰德与诗人在当代文化中的地位》",2024,湖南文艺出版社,https://book.douban.com/subject/36884509/,https://img2.doubanio.com/view/subject/s/public/s34857391.jpg
