ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787513344180,阿勒泰的角落,李娟,"◎【内容简介】
十九岁，她随家人初入阿尔泰深山牧场，在荒野中经营起半流动的裁缝店和杂货铺。
牧民自古逐水草而居，为了生活，她与家人也不断随之迁徙——从草场到沙漠、戈壁，甚至是凋敝的废墟。
踏入新的土地，空空荡荡，而自然丰泽。人有手有脚、感官明晰，就是自由。
什么都可以从无到有，一点点被创造出来。这样的土地容不下虚伪和矫情，一切都那么直接、真实——世界是未驯服的，感观是纯·天然的。
哪怕生活永远在一边抛弃，一边继续，只要感受力还在，永远可以发现新的、值得记忆的美好。
◎【编辑推荐】
-- 旷野中乘风高唱，闪闪发光的游牧岁时记🌄 --
★ 人民文学奖、鲁迅文学奖、朱自清散文奖得主李娟成名作
★ 豆瓣9.0分，阿勒泰系列开篇
★ 毛不易、CCTV《读书》栏目等一致推荐，于适、蒋奇明主演系列改编剧集
★ 热销10年，焕新上市！作者悉心修订，新增自序
——“无论多么否定那样的自己，还是羡慕她。又年轻又弱的那个她。出于弱而滋长强大的渴望；出于弱而表现得反复无常、死性不改；出于弱，对世间万物似懂非懂似信非信——最后，在弱的荒野耕种出烂漫迷离的无尽花海。这是弱的魅力，也是年轻的魅力。”
★ 在不确切的生活里，找到安放自己的角落
——“世界就在手边，躺倒就是睡眠，在这里，我不知道还能有什么遗憾。”
坦荡明亮的文字，献给每一个弱小但无惧的灵魂，愿你抵达心中旷野，乘风高唱！
★精美典藏：收录17幅全彩阿勒泰摄影大片，全景呈现大美北疆风貌。外封采用覆膜工艺，呈现防水皮面质感，长久陪伴在文字里流浪的日夜。内封铺陈从昼到夜的悠长转场，广阔明亮。
★首刷赠送：李娟【小山寄语卡】🏔️——“我们都向往广阔的世界，我们都栖身小小的角落。”
--
◎梁文道：这是本世纪最后的散文。惊为天人。
◎王安忆：她的文字一眼就能认出来，她的文字世界里，世界很大，时间很长，人变得很小。有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
◎刘亮程：我为读到这样的散文感到幸福。在李娟那些居无定所的漂泊文字里，我读到了一种心灵的安顿，那种简陋生活中的内心丰饶。
◎毛不易：我很喜欢书里对自然风貌、大人孩子淳朴可爱的个性的描写。李娟老师纯真的笔调，使得笔下的风景令读者身临其境。",2024,新星出版社,https://book.douban.com/subject/36629769/,https://img3.doubanio.com/view/subject/s/public/s34735442.jpg
9787536094352,我的阿勒泰,李娟,"2017年度“中国好书”奖
2018第七届“鲁迅文学奖”
2019第七届“中华优秀出版物”得主
李娟“阿勒泰”系列代表作  面世11年全新修订版
————————————————————
偏远寂静的阿克哈拉村，缓慢而永恒的喀吾图，沙依横布拉克的夏牧场……
“阿勒泰的精灵”李娟以细腻明亮的笔触全景式记录北疆边地美好闪光的时刻
全书分为两辑。第一辑记忆之中（2007-2009），记录了在喀吾图和阿克哈拉村细碎坚忍的生活画面；第二辑角落之中（2002-2006），原生态书写了李娟和母亲及高龄的外婆随牧民迁徙、流动的日常：开杂货铺，当小裁缝，帮往来的牧民车衣裙，去大山深处采野生木耳；春天沙依恒布拉克草原上鼓胀的帐篷，夏季牧场上喧嚣盛大的阿肯弹唱会，入冬后瓷实的迢迢雪路……戈壁、草原、森林、雪山、骏马和牧人，细腻明亮的文字展现了游牧民族在边地深远丰富的生存景观。
——————————————————
土地会像长出麦子和苞谷一样长出自己的言说者。李娟，就是这样一个言说者。
——刘亮程
有些人的文字你看一百遍也记不住，有些人的文字看一遍就难以忘怀。
——王安忆
秋天的早晨，在小树林里看到一只松鼠。蓬松的尾巴和饰毛，灵活地在树上飞来跳去找吃的东西。它太灵了，让人望着出神，就像是在看表演。它的蓬松的尾巴原来不是为了好看，而是降落伞！高树尖稍上它轻松来去，地上的野猫拿它毫无办法，它是一个精灵，动作太快了！我看着它就想，大概李娟就是这样一个野生的松鼠。
—— 周 涛
她是阿勒泰的清少纳言。她让我们这些弄文字的家伙觉得绝望，让人想起《呼兰河传》……就像黑龙江呼兰河冰天雪地的小镇里，奇迹般地生长出萧红这样的大师一样，由新疆阿勒泰山区的荒野里，忽然出现了这样一个作家。
——舒飞廉",2021,花城出版社,https://book.douban.com/subject/35552619/,https://img3.doubanio.com/view/subject/s/public/s34877932.jpg
9787549641895,吃着吃着就老了,陈晓卿,"【编辑推荐】
美食的终极意义在于获得生理和心理的幸福感。这种幸福感是非常主观的，有时候和食物本身相关，有时候和生活经历相关，吃家常菜得到的满足感，吃燕鲍翅并不一定能得到。——陈晓卿
★《风味人间》总导演陈晓卿的舌尖寻味故事，一本掏心掏肺掏胎记的诚意之作。
-凭借现象级纪录片《舌尖上的中国》《风味人间》，陈晓卿开创了美食纪录片这个新品类，他也被亲切地称为“国民饿爸”。一个看到食物就两眼放光、在大街小巷遍寻人间至味的人，永远可以让你吃得更香。
★人生百味，以余味定输赢。一部吃透人生的随笔集。
-围绕食物的人生故事集，以人生经历为经线，以对食物的认识和态度为纬线，跨越一个吃货的一生。“食物承载着记忆，见证着岁月，我们探索食物，其实都是在寻找自己。”
-饭桌旁“快乐的饲养员”、小脏馆子里的人间烟火味、只有至亲才懂得的私密饮食偏好，吃什么、怎么吃都不及和谁吃来得重要，最好吃的永远是人。
★“保卫食欲，就是保卫我们的生活。”每个人都可以在“吃”里找到归属。
- “夜幕深处，高楼背后，总有一家不知疲倦的小饭馆在等待着我们。这种侥幸心理，有时竟有些信念的意味。”
-“晚上加班，在夜色里回家，总在这里打一转，跟江Sir聊两句天，听他骂骂人。小店非常简陋，但每到此刻，我觉得生活无比真实。”
★一次故乡和世界间的寻味之旅，“国民饭搭子”陈晓卿带你一起吃点好的。
-在菜市场感受城市的呼吸，泡一个笑靥如花的馍，去“每位十元”的粉店和老板辩论柳州米粉的粗细，纠结豌杂面的完美吃法。对日常食物了解得越多，越能自信地当个扫街嘴，在弥漫着酸笋味道的空气里，传递至味在人间的美食哲学——“美食不是小众的，它藏在大多数人的一日三餐里。”
★罗永浩作序推荐！
-“这本书以一贯的高水准，讲述了陈晓卿老师最擅长，我们也永远看不够的主题：好饭好菜，吾土吾民。爱吃的人，永远是最好的人”
-“如果你和我一样是陈晓卿老师的粉丝，一定不要错过这本掏心掏肺掏胎记的诚意之作。”——罗永浩
【名人推荐】
政治学家和经济学家都在说，人类社会下一个大的下行周期就要来了。如果他们错了（毕竟他们确实常常出错），我们就看完这本书到处去找好吃的，继续火热地生活；如果他们是对的，那就让这些暖乎乎、香喷喷的文字，抚慰着我们渡过这段艰难的岁月吧。——罗永浩
我一直觉得陈晓卿的美食文章比他导演的美食纪录片更好看，因为一个纪录片由于各种原因很难让他完全按自己的意愿来，但文章却可以由他任性地掌控，虽然信马由缰，却原汁原味原生态。原来陈晓卿可以更有才！——白岩松

陈晓卿是我相信得过的美食家。——蔡澜

是的，最好吃的是人。晓卿既是喜好吃的人，又是能让任何一个饭局变得好吃起来的人。从这个角度讲，晓卿是最好吃的人。——冯唐

吃喝有道，写字有气。各人笔下有各人的气，这个不服不行。论写吃，有人霸气侧漏，有人镬气狂喷，有人傻气直冒，有人酸气逼人，陈晓卿的气，是地气。陈晓卿的地气，不是从地里冒出来然后被他一弯腰接住，而是酝酿于丹田，厚积于舌根，薄发于舌尖，逆向地深入泥土，深入地表，深入人心。——沈宏非
【内容简介】
《风味人间》总导演陈晓卿的舌尖寻味故事。
一部吃透人生的随笔集，一本掏心掏肺掏胎记的诚意之作。
从十七岁出门远行，进京上学，到误打误撞成为一个美食纪录片导演，再到后来成为全国闻名的吃货，漫漫人生路，每个阶段都有与食物相关的记忆。
年少时候，好吃是六毛钱的缸贴子，邻居家的西瓜酱，第一次下馆子时把嘴巴烫出泡的萧县羊肉汤，这些是刻在基因里的叫乡愁的东西。一个外地务工人员的北京记忆，是难过时府右街的延吉冷面，寒夜里24小时的马华，以及人手一把肉串，喝着工业啤酒，聊着维特根斯坦的岁月。
食物，连接着故乡与世界。每个人都可以在“吃”里找到归属。美食并不小众，它藏在大多数人的一日三餐里。说到底，于勒叔叔的生蚝和父亲病榻前的萝卜丝汆丸子并没有本质区别——你吃到的，就是最好的。",2024,文汇出版社,https://book.douban.com/subject/36705913/,https://img3.doubanio.com/view/subject/s/public/s34745433.jpg
9787532189700,亲密关系的核心是友谊,汪民安,"- 编辑推荐 -
···学者汪民安思想访谈与随笔集
···将哲学放回生活的坐标系，让思想具体地着陆于日常
···身体·爱欲·空间·友谊·劳动·技术·艺术
···一部生命之思的交响乐：既饱含着理论的激情，又展现了批判的锋锐
- 内容简介 -
此书是学者汪民安的思想访谈与随笔集，从2006年到访巴黎寻踪法国理论，到2023年的当下对社会与技术的一系列思考，时间跨度正好是21世纪的这二十多年，综合呈现汪民安在知识与经验、理论与现实之间所进行的探索。",2024,上海文艺出版社,https://book.douban.com/subject/36712198/,https://img9.doubanio.com/view/subject/s/public/s34819796.jpg
9787572609268,我在北京送快递,胡安焉,"进入社会工作至今的二十年间，胡安焉走南闯北，辗转于广东、广西、云南、上海、北京等地，做过快递员、夜班拣货工人、便利店店员、保安、自行车店销售、服装店导购、加油站加油工……他将日常的点滴和工作的甘苦化作真诚的自述，记录了一个平凡人在生活中的辛劳、私心、温情、正气。
在物流公司夜间拣货的一年，给他留下了深刻的生理印记：“这份工作还会令人脾气变坏，因为长期熬夜以及过度劳累，人的情绪控制力会明显下降……我已经感到脑子不好使了，主要是反应变得迟钝，记忆力开始衰退。”在北京送快递的两年，他“把自己看作一个时薪30元的送货机器，达不到额定产出值就恼羞成怒、气急败坏”……
但他最终认识到，怀着怨恨的人生是不值得过的。这些在事后追忆中写成的工作经历，渗透着他看待生活和世界的态度与反思，旨在表达个人在有限的选择和局促的现实中，对生活意义的直面和肯定：生活中许多平凡隽永的时刻，要比现实困扰的方方面面对人生更具有决定意义。
————
✨2023年豆瓣年度图书No.1
✨第二届三联行读图书奖文学类中文原创年度图书、QQ阅读2023年度十大非虚构好书
✨上市以来，南方周末、澎湃新闻、人物、南方人物周刊、新周刊、新京报、界面文化、GQ、看理想、单读等多家主流媒体或平台持续热议
·
《我在北京送快递》应该加入市民生活必读书，让更多人了解社会运转背后各行各业的力量。
——《人民日报》",2023,湖南文艺出版社,https://book.douban.com/subject/36150423/,https://img1.doubanio.com/view/subject/s/public/s34522268.jpg
9787536091078,记一忘三二,李娟,"“鲁迅文学奖”“中国好书”奖得主，李娟《记一忘三二》2020年全新修订版。作者替换增改几万字篇幅，并增加新序。
《记一忘三二》是作家李娟十余年来的随笔结集。三十余篇以“记”为题的文字轻松随性，从亲情、友情、爱情，工作、生活、兴趣乃至梦境等诸多侧面，记录了李娟的心路日常——与母亲相依为命也闹过“分居”，定居于荒野中的大院子而生活不再颠沛流离，少年时曾遭受的暴力与得到的关爱，等等，随着成长反而愈益清晰。种种文字率性而作，平实诙谐，同时又有掩盖不住的温暖和诗意，组成一幕幕“含泪的微笑”，连缀起时间流逝中的琐碎日常。",2020,花城出版社,https://book.douban.com/subject/35040904/,https://img1.doubanio.com/view/subject/s/public/s34657640.jpg
9787532189922,可能的世界,杨潇,"《可能的世界》记录了杨潇2010—2019十年间前往美国、埃及、肯尼亚、缅甸、德国等十多个国家旅行、访学、短居的足迹，是一个拥抱世界的青年去现场，探寻可能性（并且认识不可能性）的历程。
2010—2019这十年，是中国人与中国护照真正拥抱世界的十年，回过头看，这更像是历 史的一段特殊恩惠，几乎不可避免地被乡愁化地对待。作者带领我们重新回到一个又一个现场，让今日的目光照进当时当刻的记录，从时事、人文、历史、地理等多个维度，探讨了在一个转型的世界里，我们如何学会与过去相处、如何面对历史的内爆与偶然，如何探索与思考一个可能的世界。",2024,上海文艺出版社,https://book.douban.com/subject/36815098/,https://img1.doubanio.com/view/subject/s/public/s34850508.jpg
9787542678652,东京八平米,[日]吉井忍,"身居八平米，坐拥全世界
《东京八平米》是日籍华语作家吉井忍的全新散文集。八平米在日本被称为“四畳半”，即只有四个半榻榻米大小的房间，租金便宜。
因为八平米房间没有厨房和冰箱，也没有洗澡间和洗衣机，她兴致勃勃地写起如何饮食起居，以及亲历的日本庶民生活日常。居住空间逼仄，她 把生活延伸到城市的街头和公共空间，写东京的洗衣店、钱汤、咖啡馆、24小时漫咖店、独立电影院、小餐厅等等，同时写下她遇见的东京平民的故事，这些人物是“看不见的、真正的东京人”，他们的故事为我们铺陈日本的世情百态，亦照见自身。
孤独的城市里，人如何找到属于自己的地方和存在意义？吉井忍的“八平米”经济学让人看到一种充满新鲜活力的生活的可能：省下昂贵房租，物质诉求简单，在都市中享受丰富的精神文化生活。城市也可以是一个流动的家，一个人也可以快乐自足。
*
【特别推荐】
*
孤独的城市里，人如何找到属于自己的地方和存在意义？吉井忍的“八平米”经济学让人看到一种充满新鲜活力的生活的可能：省下昂贵房租，物质诉求简单，在都市中享受丰富的精神文化生活，用自己的方式找到舒适感和归属感。城市也可以是一个流动的家，一个人也可以快乐自足。
东京曾经是“全球物价最贵城市”排名前列的常客，但这只不过是学到东京一些皮毛的外国记者们的偏见。东京其实是个适合居住的地方呢，我在心中长年抱有这样的不平，这也成为了我过去写了不少文章、做了好几本与东京相关的书的基本动力。
东京、京都、上海、北京……不管是在什么城市，吉井很擅长找出价格合理的房子。有时候她的居所只够睡觉，但在房子的外面，无论什么时候都有便捷的城市设施。你心爱的餐厅可以当作自家的餐室，喫茶店成为你的客厅，书店和图书馆是书房，健身房则是带有三温暖的浴室。
把城市当作自己的房间的延伸，并将其运用自如。吉井非常明白这个“城市生存技巧”的秘诀。这就像动物可以本能地找到最舒适的地方筑巢，也又像它们时机一到，干脆离巢飞走。
——都筑响一（独立编辑、摄影师）
*
【编辑推荐】
*
★	身居八平米，坐拥全世界。吉井忍“八平米”经济学，展现都市生活的另一种可能。日籍华语作家吉井忍的全新散文集，献给将要创建新生活的人。——离开日本二十年后，吉井忍回到东京，租住东京中心地带的八平米房间，重建在地的生活。八平米是生活的原点，东京整个城市则是生活的延长线。物质与精神的断舍离，带来经济空间和身心自由。吉井忍的“八平米”经济学，为每一个身心俱疲的现代人提供生活的另一种可能：珍惜此时此刻，用自己的方式，找到你所需要的舒适感和归属感，赋予明天继续生活的活力。
★	没有厨房、冰箱、洗澡间、洗衣机，如何在八平米房间自在过活？都市新型“蜗居”生活，东京深度探索指南。城市也可以是一个流动的家，一个人也可以快乐自足。——因为八平米房间空间局促，日常生活延伸到东京的街头和公共空间：洗衣店、钱汤、漫咖、小餐厅、咖啡馆，此外还有每周的独立电影院巡礼、听落语、学三味线、看展览等。便捷舒适的公共空间、生机勃勃的多元文化、热情活力的市井生活，你的“小”不成问题，因为外面的世界足够大。
★	每个人都有自己的“八平米”。深入城市细部拜访“附近”，讲述东京平民故事，看见真正的普通人。孤独的城市里，人如何找到属于自己的地方和存在意义？——人来人往的都市中，偶尔的相遇带来宝石一般的回忆：被称为“活字典”的金星堂咖啡馆主人大泽先生、快九十岁的犀利幽默的Mako咖啡老铺女主人、热情善良勤劳的荞麦面店女店主……朴实真诚的东京人，流动隽永的东京风景，呈现生活的本真面貌。“我相信，每个人都有自己的八平米，以及对其的定义，它不指实际面积，而是指心中的某一块地方。也许八平米在别人眼里是畸形状态，但它能够让你活在自己的世界里。它也许是某个地方或某个人，在那里你不用伪装，可以好好地面对自我，尽可能地去享受当下。”
★	著名书装设计师陆智昌操刀设计，清新典雅，质感舒适，巧妙呼应“四畳半”的布局。——著名摄影师都筑响一和作家吉井忍摄影，百余幅彩色图片呈现“八平米”和东京这座城市流动的风景。全书使用雅致书纸印刷，触感柔软，轻盈便携，适于在日常与旅途中阅读。",2023,上海三联书店,https://book.douban.com/subject/36096287/,https://img1.doubanio.com/view/subject/s/public/s34361490.jpg
9787530214657,我们生活在巨大的差距里,余华,"《我们生活在巨大的差距里》是余华自2003年以来的首部杂文集。
十年来他走遍世界，以亦庄亦谐的笔锋将观察到的社会、时事、文化等现象一一记录剖析，在日常生活的表象下洞见社会固有病灶，对我们生活的时代进行了由外而内深刻反省，亦在与世界的踫撞交锋中，呈现出一个崛起、变迁中的中国。正如余华所说：“这就是我的写作，从中国人的日常生活出发，经过政治、历史、经济、社会、体育、文化、情感、欲望、隐私等等，然后再回到中国人的日常生活之中。”
· 余华10年首部杂文集
· 从中国到世界，从文学到社会，以犀利的目光洞见时代病灶，以戏谑的文字戳穿生活表象。
· 当社会面目全非，当梦想失去平衡，我们还能认识自己吗？",2015,北京十月文艺出版社,https://book.douban.com/subject/26291216/,https://img1.doubanio.com/view/subject/s/public/s27999290.jpg
9787570204946,我的阿勒泰,李娟,李娟的散文成名作和代表作之一。原生态记录了作者在疆北阿勒泰地区生活的点点滴滴，包括人与事的记忆和感悟。全书文字明净，质地纯粹，原生态地再现了疆北风物人情，充满了朴野清新的气息。十年前，作者在到处收集来的纸片上用密密麻麻的文字写下她的生活和感悟，投稿到新疆的文艺期刊。一些资深的编辑认为一个二十岁左右的女孩不可能写出如此清新而有才华的作品。但新疆著名作家刘亮程将她挖掘出来，她的*部作品以《九篇雪》为名结集出版，人们才开始知道有个新疆女孩叫李娟。此后，她的散文在《南方周末》、《文汇报》陆续刊登，完全是天才的笔触，引起了文坛的震惊。人们很难想象：一个没有受过完整高等教育、阅读范围主要限于金庸、琼瑶、一直生活在疆北荒野之地的女孩，能够写出如此清新、活泼、充满灵性和生命力的文字。她的作品和图书相继荣获年度华文*散文奖，入评年度十大好书，很有可能将成为这个时代的散文经典之一。在本次全新插图修订版上市前，作者亲自对本书做了篇目和文字的修订润色工作，题写了新的序言，并将全书分为“上篇：记忆之中”和“下篇：角落之中”两个部分，使内容更为纯净和集中。同时，本书还插入了作者的好友——在北疆生活多年、对阿勒泰有着深厚感情的作家、摄影师康剑老师的精美的摄影作品，以飨读者。,2018,长江文艺出版社,https://book.douban.com/subject/30259726/,https://img1.doubanio.com/view/subject/s/public/s33678980.jpg
